code,name,source
CRUDE_WTI,Crude WTI World Bank Commodity Price Data (The Pink Sheet),http://pubdocs.worldbank.org/en/561011486076393416/CMO-Historical-Data-Monthly.xlsx
DAP,,http://pubdocs.worldbank.org/en/561011486076393416/CMO-Historical-Data-Monthly.xlsx
IENERGY,Energy World Bank Commodity Price Data (The Pink Sheet),http://pubdocs.worldbank.org/en/561011486076393416/CMO-Historical-Data-Monthly.xlsx
IFERTILIZERS,,http://pubdocs.worldbank.org/en/561011486076393416/CMO-Historical-Data-Monthly.xlsx
FISH_MEAL,Fish Meal World Bank Commodity Price Data (The Pink Sheet),http://pubdocs.worldbank.org/en/561011486076393416/CMO-Historical-Data-Monthly.xlsx
GOLD,Gold World Bank Commodity Price Data (The Pink Sheet),http://pubdocs.worldbank.org/en/561011486076393416/CMO-Historical-Data-Monthly.xlsx
GRNUT_OIL,Groundnut Oil World Bank Commodity Price Data (The Pink Sheet),http://pubdocs.worldbank.org/en/561011486076393416/CMO-Historical-Data-Monthly.xlsx
IRON_ORE,Iron Ore World Bank Commodity Price Data (The Pink Sheet),http://pubdocs.worldbank.org/en/561011486076393416/CMO-Historical-Data-Monthly.xlsx
LEAD,Lead World Bank Commodity Price Data (The Pink Sheet),http://pubdocs.worldbank.org/en/561011486076393416/CMO-Historical-Data-Monthly.xlsx
LOGS_CMR,Logs Cameroon Bank Commodity Price Data (The Pink Sheet),
LOGS_MYS,Logs Malaysian World Bank Commodity Price Data ,
MAIZE,Maize World Bank Commodity Price Data,
BEEF,Beef World Bank Commodity Price Data,
CHICKEN,Chicken World Bank Commodity Price Data,
LAMB,Lamb World Bank Commodity Price Data,
IMETMIN,Metals and Minerals World Bank Commodity Price Data,
NGAS_JP,Liquefied Natural Gas Japan World Bank Commodity Price Data,
NGAS_EUR,Natural Gas Europe World Bank Commodity Price Data,
NGAS_US,Natural Gas USA World Bank Commodity Price Data,
NICKEL,Nickel World Bank Commodity Price Data,
INONFUEL,Non-Energy (Fuels) World Bank Commodity Price Data,
ORANGE,Oranges World Bank Commodity Price Data,
PALM_OIL,Palm Oil World Bank Commodity Price Data,
PHOSROCK,Phosporus Rock World Bank Commodity Price Data,
PLATINUM,Platinum World Bank Commodity Price Data,
PLYWOOD,Plywood World Bank Commodity Price Data,
POTASH,Potash World Bank Commodity Price Data,
RICE_A1,Rice Thai A.1 World Bank Commodity Price Data,
RICE_25,Rice Thai 25% World Bank Commodity Price Data,
RICE_05,Rice Thai 05% World Bank Commodity Price Data,
RUBBER1_MYSG,Rubber Malaysian World Bank Commodity Price Data,
SAWNWD_MYS,Sawn Wood Malaysian World Bank Commodity Price Data,
SHRIMP_MEX,Shrimp Mexican World Bank Commodity Price Data,
SILVER,Silver World Bank Commodity Price Data,
SORGHUM,Sorghum World Bank Commodity Price Data,
SOYBEAN_MEAL,Soybean Meal World Bank Commodity Price Data,
SOYBEAN_OIL,Soybean Oil World Bank Commodity Price Data,
SOYBEANS,Soybeans World Bank Commodity Price Data,
STL_JP_CROLL,Steel Cold Rolled Coilsheet World Bank Commodity Price Data,
STL_JP_HROLL,Steel Hot Rolled Coilsheet World Bank Commodity Price Data,
STL_JP_WIROD,Steel Wire Rod World Bank Commodity Price Data,
STL_JP_REBAR,Steel Rebar World Bank Commodity Price Data,
SUGAR_EU,Sugar Europe World Bank Commodity Price Data,
SUGAR_US,Sugar USA World Bank Commodity Price Data,
SUGAR_WLD,Sugar World World Bank Commodity Price Data,
TEA_AVG,Tea Average 3 Auctions World Bank Commodity Price Data,
TEA_COLOMBO,Tea Colombo World Bank Commodity Price Data,
TEA_KOLKATA,Tea Kolkata World Bank Commodity Price Data,
TEA_MOMBASA,Tea Mombasa World Bank Commodity Price Data,
TIN,Tin World Bank Commodity Price Data,
TOBAC_US,Tobacco US Import World Bank Commodity Price Data,
TSP,,
UREA_EE_BULK,,
WHEAT_CANADI,Wheat Canadian World Bank Commodity Price Data,
WHEAT_US_HRW,Wheat US HRW World Bank Commodity Price Data,
WHEAT_US_SRW,Wheat US SRW World Bank Commodity Price Data,
WOODPULP,Woodpulp World Bank Commodity Price Data,
ZINC,Zinc World Bank Commodity Price Data,
CUUR0000SAF112,"Consumer Price Index for All Urban Consumers: Meats, poultry, fish, and eggs",https://fred.stlouisfed.org/series/CUUR0000SAF112
PCU3114223114224Z,"Producer Price Index by Industry: Specialty Canning: Canned Soups and Stews, Excluding Frozen and Seafood (DISCONTINUED)",
PCU3117103117101, Producer Price Index by Industry: Seafood Product Preparation and Packaging: Seafood Canning(PCU3117103117101),
PCU3117103117102,Producer Price Index by Industry: Seafood Product Preparation and Packaging: Fresh and Frozen Seafood Processing,https://fred.stlouisfed.org/series/PCU3117103117102
WPU022," Producer Price Index by Commodity for Processed Foods and Feeds: Meats, Poultry, and Fish (WPU022)",https://fred.stlouisfed.org/series/WPU022
EXCHUS,China / U.S. Foreign Exchange Rate (EXCHUS),https://fred.stlouisfed.org/series/EXCHUS
EXDNUS, Denmark / U.S. Foreign Exchange Rate (EXDNUS),https://fred.stlouisfed.org/series/EXDNUS
EXHKUS, Hong Kong / U.S. Foreign Exchange Rate (EXHKUS),https://fred.stlouisfed.org/series/EXHKUS
EXINUS, India / U.S. Foreign Exchange Rate (EXINUS),
EXJPUS, Japan / U.S. Foreign Exchange Rate (EXJPUS),
EXKOUS, South Korea / U.S. Foreign Exchange Rate (EXKOUS),
EXMAUS, Malaysia / U.S. Foreign Exchange Rate (EXMAUS),
EXNOUS,Norway / U.S. Foreign Exchange Rate (EXNOUS),
EXSDUS, Sweden / U.S. Foreign Exchange Rate (EXSDUS),
EXSFUS, South Africa / U.S. Foreign Exchange Rate (EXSFUS),
EXSIUS, Singapore / U.S. Foreign Exchange Rate (EXSIUS),
EXSZUS, Switzerland / U.S. Foreign Exchange Rate (EXSZUS),
EXTAUS," Taiwan / U.S. Foreign Exchange Rate (EXTAUS)	",
EXTHUS, Thailand / U.S. Foreign Exchange Rate (EXTHUS),
EXUSAL, U.S. / Australia Foreign Exchange Rate (EXUSAL),
EXUSNZ, U.S. / New Zealand Foreign Exchange Rate (EXUSNZ),
EXUSUK, U.S. / U.K. Foreign Exchange Rate (EXUSUK),
TWEXBMTH,Trade Weighted U.S. Dollar Index: Broad (TWEXBMTH),
