DATE,PISPFG01CAM661N
1998-11-01,0.963323929
1998-12-01,0.958194409
1999-01-01,0.958194409
1999-02-01,0.95101308
1999-03-01,0.963323929
1999-04-01,0.959220313
1999-05-01,0.953064888
1999-06-01,0.953064888
1999-07-01,0.962298025
1999-08-01,0.965375737
1999-09-01,0.966401641
1999-10-01,0.96845345
1999-11-01,0.963323929
1999-12-01,0.970505258
2000-01-01,0.964349833
2000-02-01,0.970505258
2000-03-01,0.977686586
2000-04-01,0.979738394
2000-05-01,0.984867915
2000-06-01,0.984867915
2000-07-01,0.985893819
2000-08-01,0.986919723
2000-09-01,0.988971531
2000-10-01,1.00128238
2000-11-01,1.009489613
2000-12-01,1.000256476
2001-01-01,1.000256476
2001-02-01,1.007437805
2001-03-01,1.015645037
2001-04-01,1.021800462
2001-05-01,1.021800462
2001-06-01,1.011541421
2001-07-01,1.011541421
2001-08-01,1.011541421
2001-09-01,1.02385227
2001-10-01,1.015645037
2001-11-01,1.016670941
2001-12-01,1.009489613
2002-01-01,1.020774558
2002-02-01,1.022826366
2002-03-01,1.026929982
2002-04-01,1.027955886
2002-05-01,1.018722749
2002-06-01,1.017696845
2002-07-01,1.016670941
2002-08-01,1.024878174
2002-09-01,1.033085407
2002-10-01,1.037189023
2002-11-01,1.034111311
2002-12-01,1.030007694
2003-01-01,1.030007694
2003-02-01,1.034111311
2003-03-01,1.025904078
2003-04-01,1.010515517
2003-05-01,0.986919723
2003-06-01,0.976660682
2003-07-01,0.993075147
2003-08-01,0.998204668
2003-09-01,0.992049243
2003-10-01,0.974608874
2003-11-01,0.967427546
2003-12-01,0.970505258
2004-01-01,0.971531162
2004-02-01,0.984867915
2004-03-01,0.987945627
2004-04-01,0.995126956
2004-05-01,1.017696845
2004-06-01,1.008463709
2004-07-01,0.998204668
2004-08-01,0.99615286
2004-09-01,0.988971531
2004-10-01,0.979738394
2004-11-01,0.961272121
2004-12-01,0.963323929
2005-01-01,0.971531162
2005-02-01,0.979738394
2005-03-01,0.979738394
2005-04-01,0.989997435
2005-05-01,0.993075147
2005-06-01,0.991023339
2005-07-01,0.991023339
2005-08-01,0.99615286
2005-09-01,0.999230572
2005-10-01,0.986919723
2005-11-01,0.976660682
2005-12-01,0.972557066
