DATE,CSCICP03CAM665S
1997-12-01,100.4583642
1998-01-01,100.7435082
1998-02-01,100.8889996
1998-03-01,100.8043269
1998-04-01,100.5112527
1998-05-01,100.2284861
1998-06-01,99.8978946
1998-07-01,99.46727047
1998-08-01,99.22092249
1998-09-01,99.15772418
1998-10-01,99.2374618
1998-11-01,99.44403265
1998-12-01,99.87542617
1999-01-01,100.5371531
1999-02-01,100.9108519
1999-03-01,100.981803
1999-04-01,100.8652298
1999-05-01,100.7353477
1999-06-01,100.6091955
1999-07-01,100.4765172
1999-08-01,100.4259146
1999-09-01,100.4630788
1999-10-01,100.5613931
1999-11-01,100.6247685
1999-12-01,100.6505273
2000-01-01,100.6660272
2000-02-01,100.7029033
2000-03-01,100.7984685
2000-04-01,100.9588381
2000-05-01,101.0633643
2000-06-01,101.1034789
2000-07-01,101.0781665
2000-08-01,100.9538504
2000-09-01,100.650395
2000-10-01,100.1654219
2000-11-01,99.87776517
2000-12-01,99.79562488
2001-01-01,99.84422375
2001-02-01,99.94794742
2001-03-01,100.1115646
2001-04-01,100.3165035
2001-05-01,100.3572343
2001-06-01,100.1712923
2001-07-01,99.79854642
2001-08-01,99.56714173
2001-09-01,99.50393828
2001-10-01,99.56591591
2001-11-01,99.7033776
2001-12-01,99.99893066
2002-01-01,100.530025
2002-02-01,101.0734
2002-03-01,101.4585773
2002-04-01,101.6361134
2002-05-01,101.6850725
2002-06-01,101.5750829
2002-07-01,101.3061517
2002-08-01,101.0639601
2002-09-01,100.9224727
2002-10-01,100.7538868
2002-11-01,100.694811
2002-12-01,100.7258761
2003-01-01,100.7761169
2003-02-01,100.631499
2003-03-01,100.6246724
2003-04-01,100.8206174
2003-05-01,100.8573501
2003-06-01,100.6938472
2003-07-01,100.6261707
2003-08-01,100.6883229
2003-09-01,100.8860446
2003-10-01,101.0591532
2003-11-01,101.1746331
2003-12-01,101.1988337
2004-01-01,101.2840268
2004-02-01,101.2458439
2004-03-01,101.1803212
2004-04-01,101.0037202
2004-05-01,100.7294763
2004-06-01,100.6372497
2004-07-01,100.7769705
2004-08-01,100.9100467
2004-09-01,100.9963725
2004-10-01,100.9932942
2004-11-01,101.0486696
2004-12-01,101.164153
2005-01-01,101.290839
2005-02-01,101.3043909
2005-03-01,101.308759
2005-04-01,101.2677343
2005-05-01,101.2875163
2005-06-01,101.2197819
2005-07-01,100.9741464
2005-08-01,100.4499796
2005-09-01,99.97081637
2005-10-01,100.0307735
2005-11-01,100.4749481
2005-12-01,100.8925178
2006-01-01,101.3429654
2006-02-01,101.5156556
2006-03-01,101.5328464
2006-04-01,101.5202668
2006-05-01,101.4313556
2006-06-01,101.399634
2006-07-01,101.2461933
2006-08-01,101.1230437
2006-09-01,101.1002336
2006-10-01,101.1606323
2006-11-01,101.2378426
2006-12-01,101.420085
2007-01-01,101.5860515
2007-02-01,101.5624563
2007-03-01,101.4790852
2007-04-01,101.3921907
2007-05-01,101.3376585
2007-06-01,101.3423926
2007-07-01,101.41844
2007-08-01,101.5205015
2007-09-01,101.5529452
2007-10-01,101.4791716
2007-11-01,101.3873326
2007-12-01,101.2016588
2008-01-01,101.0687862
2008-02-01,100.931802
2008-03-01,100.6102603
2008-04-01,100.050431
2008-05-01,99.30704819
2008-06-01,98.73314228
2008-07-01,98.60588036
2008-08-01,98.67354136
2008-09-01,98.52440879
2008-10-01,97.88155582
2008-11-01,97.27299428
2008-12-01,96.89250063
2009-01-01,96.8230784
2009-02-01,96.89643551
2009-03-01,97.15505653
2009-04-01,97.59762241
2009-05-01,98.09406171
2009-06-01,98.49420479
2009-07-01,98.85623697
2009-08-01,99.26553328
2009-09-01,99.52548301
2009-10-01,99.57124829
2009-11-01,99.57226047
2009-12-01,99.81849622
2010-01-01,100.190898
2010-02-01,100.2624826
2010-03-01,100.2171536
2010-04-01,100.0305722
2010-05-01,99.87038062
2010-06-01,99.6107482
2010-07-01,99.34745835
2010-08-01,99.1893812
2010-09-01,99.15176632
2010-10-01,99.25391224
2010-11-01,99.43596585
2010-12-01,99.6077958
2011-01-01,99.83693596
2011-02-01,99.93512473
2011-03-01,99.88609852
2011-04-01,99.86066749
2011-05-01,99.74472528
2011-06-01,99.53467726
2011-07-01,99.25705769
2011-08-01,98.94449795
2011-09-01,98.74722493
2011-10-01,98.63399285
2011-11-01,98.61956014
2011-12-01,98.57588307
2012-01-01,98.67695322
2012-02-01,98.83839768
2012-03-01,98.98640596
2012-04-01,99.01710098
2012-05-01,99.04873172
2012-06-01,98.97567535
2012-07-01,98.97292472
2012-08-01,99.05567936
2012-09-01,99.23311535
2012-10-01,99.30481528
2012-11-01,99.29496018
2012-12-01,99.28246706
2013-01-01,99.33533445
2013-02-01,99.29660658
2013-03-01,99.20721666
2013-04-01,99.14083874
2013-05-01,99.26307381
2013-06-01,99.44476999
2013-07-01,99.61549805
2013-08-01,99.83103698
2013-09-01,100.0271363
2013-10-01,100.0003022
2013-11-01,99.80067312
2013-12-01,99.56252889
2014-01-01,99.53779871
2014-02-01,99.71502646
2014-03-01,99.92716145
2014-04-01,100.0292259
2014-05-01,99.9957695
2014-06-01,99.93962
2014-07-01,99.91126016
2014-08-01,99.91722228
2014-09-01,99.85783652
2014-10-01,99.75534863
2014-11-01,99.76799989
2014-12-01,99.92251792
2015-01-01,99.98820092
2015-02-01,99.89627283
2015-03-01,99.89785219
2015-04-01,99.75168347
2015-05-01,99.73734625
2015-06-01,99.7141505
2015-07-01,99.53816763
2015-08-01,99.31898874
2015-09-01,99.2654985
2015-10-01,99.37349807
2015-11-01,99.37449504
2015-12-01,99.00623599
2016-01-01,98.63185817
2016-02-01,98.64168319
2016-03-01,98.96583001
2016-04-01,99.3462756
2016-05-01,99.68923384
2016-06-01,99.86994911
2016-07-01,99.96961719
2016-08-01,99.93359251
2016-09-01,99.85830609
2016-10-01,99.77762014
2016-11-01,99.85892251
2016-12-01,99.98447235
2017-01-01,100.1452764
2017-02-01,100.404132
2017-03-01,100.5656913
2017-04-01,100.6263471
2017-05-01,100.7012659
2017-06-01,100.7784936
2017-07-01,100.909814
2017-08-01,101.0368747
2017-09-01,101.0209445
2017-10-01,101.1601628
2017-11-01,101.4725668
2017-12-01,101.8951359
