DATE,SPASTT01CAM657N
1960-01-01,2.743461324
1960-02-01,-4.500893679
1960-03-01,-3.164700544
1960-04-01,-0.117137168
1960-05-01,-1.53629647
1960-06-01,2.705653486
1960-07-01,-2.475888595
1960-08-01,-1.805461968
1960-09-01,6.016509577
1960-10-01,-4.751751447
1960-11-01,0.149904061
1960-12-01,3.893667551
1961-01-01,4.909908179
1961-02-01,5.566338302
1961-03-01,3.182780033
1961-04-01,2.03567046
1961-05-01,4.44645799
1961-06-01,1.941671004
1961-07-01,0.762803652
1961-08-01,1.775102498
1961-09-01,1.377510222
1961-10-01,-1.509108227
1961-11-01,0.704161504
1961-12-01,2.996518816
1962-01-01,1.990064247
1962-02-01,-2.43404231
1962-03-01,0.547560136
1962-04-01,-0.238799016
1962-05-01,-2.916234875
1962-06-01,-8.214688416
1962-07-01,-6.130939706
1962-08-01,2.376631535
1962-09-01,2.072609511
1962-10-01,-4.44678222
1962-11-01,1.841916712
1962-12-01,7.469499116
1963-01-01,0.6434616
1963-02-01,4.519854679
1963-03-01,-2.953765824
1963-04-01,3.065565566
1963-05-01,4.666444094
1963-06-01,1.36289165
1963-07-01,-3.643203502
1963-08-01,-2.54141678
1963-09-01,0.784439164
1963-10-01,2.900237278
1963-11-01,0.71086567
1963-12-01,-0.799183316
1964-01-01,3.425362383
1964-02-01,2.504548556
1964-03-01,-0.626785368
1964-04-01,3.880717814
1964-05-01,3.667235334
1964-06-01,3.283531805
1964-07-01,-0.081548672
1964-08-01,2.148363929
1964-09-01,-0.382284612
1964-10-01,4.110214457
1964-11-01,0.366230903
1964-12-01,0.405044756
1965-01-01,0.653925316
1965-02-01,5.303747327
1965-03-01,-0.453839325
1965-04-01,-0.733466353
1965-05-01,2.316597981
1965-06-01,-0.534483516
1965-07-01,-6.574054662
1965-08-01,-0.86924685
1965-09-01,2.410198368
1965-10-01,1.691523767
1965-11-01,1.555850455
1965-12-01,-2.614563151
1966-01-01,2.124903124
1966-02-01,3.821583907
1966-03-01,-2.3935764
1966-04-01,-1.258550543
1966-05-01,0.73124901
1966-06-01,-3.186946555
1966-07-01,-0.609388058
1966-08-01,-1.893094468
1966-09-01,-7.20900888
1966-10-01,-2.269403464
1966-11-01,1.818038619
1966-12-01,-0.522135987
1967-01-01,2.637342699
1967-02-01,6.550835901
1967-03-01,1.046406902
1967-04-01,3.30608559
1967-05-01,1.797107372
1967-06-01,-3.468311234
1967-07-01,2.620178144
1967-08-01,3.006968602
1967-09-01,-1.037181141
1967-10-01,1.607969166
1967-11-01,-5.477963154
1967-12-01,2.466509515
1968-01-01,0.784423746
1968-02-01,-2.927323542
1968-03-01,-4.295710025
1968-04-01,-1.948822437
1968-05-01,8.436724566
1968-06-01,-0.643663131
1968-07-01,4.964828682
1968-08-01,-0.425872282
1968-09-01,2.700766375
1968-10-01,4.614734172
1968-11-01,1.616553508
1968-12-01,3.655941775
1969-01-01,2.597527169
1969-02-01,0.338441114
1969-03-01,-2.091816293
1969-04-01,3.330858981
1969-05-01,2.712335832
1969-06-01,-6.759143854
1969-07-01,-5.578689234
1969-08-01,-0.796463782
1969-09-01,3.2391532
1969-10-01,0.659327546
1969-11-01,3.831258645
1969-12-01,-1.181754172
1970-01-01,-0.643198275
1970-02-01,-1.901383882
1970-03-01,2.521091419
1970-04-01,-2.711557363
1970-05-01,-11.08712016
1970-06-01,-3.307340983
1970-07-01,-0.231564152
