DATE,RU1000PR
1979-01-01,103.9209090909090909
1979-02-01,102.6731578947368421
1979-03-01,104.8127272727272727
1979-04-01,107.1615000000000000
1979-05-01,104.8877272727272727
1979-06-01,107.5719047619047619
1979-07-01,108.9595238095238095
1979-08-01,114.1173913043478261
1979-09-01,115.7142105263157895
1979-10-01,111.0717391304347826
1979-11-01,110.6219047619047619
1979-12-01,115.6780000000000000
1980-01-01,119.1404545454545455
1980-02-01,123.8470000000000000
1980-03-01,112.0428571428571429
1980-04-01,109.7690476190476190
1980-05-01,115.0547619047619048
1980-06-01,122.7347619047619048
1980-07-01,128.6031818181818182
1980-08-01,132.7238095238095238
1980-09-01,136.6276190476190476
1980-10-01,140.9465217391304348
1980-11-01,146.3150000000000000
1980-12-01,143.6227272727272727
1981-01-01,142.6390476190476190
1981-02-01,137.6063157894736842
1981-03-01,142.5363636363636364
1981-04-01,144.5704761904761905
1981-05-01,142.0905000000000000
1981-06-01,142.5972727272727273
1981-07-01,139.4636363636363636
1981-08-01,140.2838095238095238
1981-09-01,126.8952380952380952
1981-10-01,128.6700000000000000
1981-11-01,132.6155000000000000
1981-12-01,133.1509090909090909
1982-01-01,125.5780000000000000
1982-02-01,122.1984210526315789
1982-03-01,117.9147826086956522
1982-04-01,123.6576190476190476
1982-05-01,123.8750000000000000
1982-06-01,116.3927272727272727
1982-07-01,115.7714285714285714
1982-08-01,116.0609090909090909
1982-09-01,129.5280952380952381
1982-10-01,140.5295238095238095
1982-11-01,147.3871428571428571
1982-12-01,148.4827272727272727
1983-01-01,153.6519047619047619
1983-02-01,156.5078947368421053
1983-03-01,161.8095652173913043
1983-04-01,167.5700000000000000
1983-05-01,175.2128571428571429
1983-06-01,178.7640909090909091
1983-07-01,179.4580000000000000
1983-08-01,174.1852173913043478
1983-09-01,179.2061904761904762
1983-10-01,178.8090476190476190
1983-11-01,175.9295238095238095
1983-12-01,174.7804761904761905
1984-01-01,176.4533333333333333
1984-02-01,164.8260000000000000
1984-03-01,164.4904545454545455
1984-04-01,164.2550000000000000
1984-05-01,163.2272727272727273
1984-06-01,159.9328571428571429
1984-07-01,157.6842857142857143
1984-08-01,171.7982608695652174
1984-09-01,173.9036842105263158
1984-10-01,172.5469565217391304
1984-11-01,174.1604761904761905
1984-12-01,172.2540000000000000
1985-01-01,180.2481818181818182
1985-02-01,190.5389473684210526
1985-03-01,188.8680952380952381
1985-04-01,190.3190476190476190
1985-05-01,194.9831818181818182
1985-06-01,199.7930000000000000
1985-07-01,203.7204545454545455
1985-08-01,198.8281818181818182
1985-09-01,194.2652631578947368
1985-10-01,196.0239130434782609
1985-11-01,208.0720000000000000
1985-12-01,218.1033333333333333
1986-01-01,219.6668181818181818
1986-02-01,231.9115789473684211
1986-03-01,245.4935000000000000
1986-04-01,251.8981818181818182
1986-05-01,252.5319047619047619
1986-06-01,259.1623809523809524
1986-07-01,254.3986363636363636
1986-08-01,258.4676190476190476
1986-09-01,250.3795238095238095
1986-10-01,249.5065217391304348
1986-11-01,256.5889473684210526
1986-12-01,258.8377272727272727
1987-01-01,275.3342857142857143
1987-02-01,291.8336842105263158
1987-03-01,302.6395454545454545
1987-04-01,296.6495238095238095
1987-05-01,294.7055000000000000
1987-06-01,306.7963636363636364
1987-07-01,314.1781818181818182
1987-08-01,333.0595238095238095
1987-09-01,322.7500000000000000
1987-10-01,284.2063636363636364
1987-11-01,247.8135000000000000
1987-12-01,243.5677272727272727
1988-01-01,254.4350000000000000
1988-02-01,262.8265000000000000
1988-03-01,270.7300000000000000
1988-04-01,267.2445000000000000
1988-05-01,260.9009523809523810
1988-06-01,275.6522727272727273
1988-07-01,274.6815000000000000
1988-08-01,269.2052173913043478
1988-09-01,273.7252380952380952
1988-10-01,282.3823809523809524
1988-11-01,275.5014285714285714
1988-12-01,280.4942857142857143
1989-01-01,289.6095238095238095
1989-02-01,298.8463157894736842
1989-03-01,297.8845454545454545
1989-04-01,307.3665000000000000
1989-05-01,319.6204545454545455
1989-06-01,330.1300000000000000
1989-07-01,337.5315000000000000
1989-08-01,352.1052173913043478
1989-09-01,352.9670000000000000
1989-10-01,352.8036363636363636
1989-11-01,345.0209523809523810
1989-12-01,351.5490000000000000
1990-01-01,342.2509090909090909
1990-02-01,332.3105263157894737
1990-03-01,340.3886363636363636
1990-04-01,339.3790000000000000
1990-05-01,350.5490909090909091
1990-06-01,361.1404761904761905
1990-07-01,359.7123809523809524
1990-08-01,328.8873913043478261
1990-09-01,313.5500000000000000
1990-10-01,304.4252173913043478
1990-11-01,313.2466666666666667
1990-12-01,327.6475000000000000
1991-01-01,325.0518181818181818
1991-02-01,362.7873684210526316
1991-03-01,373.3850000000000000
1991-04-01,381.6950000000000000
1991-05-01,379.3518181818181818
1991-06-01,379.6455000000000000
1991-07-01,381.6159090909090909
1991-08-01,391.8368181818181818
1991-09-01,390.4685000000000000
1991-10-01,391.4543478260869565
1991-11-01,391.5295000000000000
1991-12-01,394.8809523809523810
1992-01-01,424.1731818181818182
1992-02-01,421.9000000000000000
1992-03-01,416.1304545454545455
1992-04-01,414.3663636363636364
1992-05-01,421.4595000000000000
1992-06-01,414.1954545454545455
1992-07-01,421.2627272727272727
1992-08-01,424.2333333333333333
1992-09-01,425.1590476190476190
1992-10-01,420.0559090909090909
1992-11-01,433.0150000000000000
1992-12-01,446.4040909090909091
1993-01-01,448.1240000000000000
1993-02-01,453.4300000000000000
1993-03-01,461.5600000000000000
1993-04-01,454.4433333333333333
1993-05-01,456.9165000000000000
1993-06-01,459.7295454545454545
