DATE,MANMM101CAM189N
1974-05-01,28135209055
1974-06-01,27845848202
1974-07-01,28172545939
1974-08-01,27935456724
1974-09-01,27998929427
1974-10-01,27937323569
1974-11-01,27730103862
1974-12-01,28923017310
1975-01-01,28755001332
1975-02-01,28756868176
1975-03-01,29442000000
1975-04-01,30315000000
1975-05-01,30834000000
1975-06-01,31329000000
1975-07-01,32552000000
1975-08-01,32335000000
1975-09-01,32838000000
1975-10-01,33047000000
1975-11-01,33526000000
1975-12-01,34913000000
1976-01-01,33060000000
1976-02-01,32552000000
1976-03-01,32396000000
1976-04-01,32811000000
1976-05-01,33535000000
1976-06-01,34334000000
1976-07-01,34534000000
1976-08-01,34504000000
1976-09-01,34828000000
1976-10-01,34778000000
1976-11-01,35051000000
1976-12-01,35719000000
1977-01-01,35016000000
1977-02-01,34427000000
1977-03-01,34506000000
1977-04-01,35327000000
1977-05-01,36311000000
1977-06-01,37238000000
1977-07-01,37687000000
1977-08-01,37798000000
1977-09-01,37887000000
1977-10-01,38232000000
1977-11-01,38898000000
1977-12-01,39682000000
1978-01-01,38863000000
1978-02-01,38214000000
1978-03-01,38251000000
1978-04-01,38648000000
1978-05-01,39775000000
1978-06-01,40226000000
1978-07-01,41291000000
1978-08-01,41325000000
1978-09-01,41690000000
1978-10-01,42007000000
1978-11-01,43454000000
1978-12-01,42886000000
1979-01-01,41740000000
1979-02-01,40668000000
1979-03-01,39844000000
1979-04-01,41153000000
1979-05-01,42602000000
1979-06-01,43211000000
1979-07-01,44619000000
1979-08-01,44322000000
1979-09-01,44421000000
1979-10-01,44719000000
1979-11-01,44397000000
1979-12-01,44782000000
1980-01-01,43975000000
1980-02-01,43026000000
1980-03-01,43476000000
1980-04-01,44158000000
1980-05-01,44534000000
1980-06-01,45230000000
1980-07-01,47089000000
1980-08-01,47129000000
1980-09-01,48014000000
1980-10-01,49144000000
1980-11-01,50014000000
1980-12-01,51033000000
1981-01-01,48368000000
1981-02-01,47380000000
1981-03-01,47123000000
1981-04-01,48651000000
1981-05-01,49370000000
1981-06-01,49017000000
1981-07-01,50540000000
1981-08-01,50291000000
1981-09-01,49836000000
1981-10-01,49257000000
1981-11-01,48671000000
1981-12-01,49873000000
1982-01-01,48614000000
1982-02-01,47971000000
1982-03-01,47384000000
1982-04-01,48997000000
1982-05-01,50637000000
1982-06-01,51454000000
1982-07-01,51499000000
1982-08-01,51092000000
1982-09-01,51668000000
1982-10-01,52049000000
1982-11-01,53390000000
1982-12-01,55175000000
1983-01-01,54613000000
1983-02-01,54140000000
1983-03-01,54174000000
1983-04-01,55414000000
1983-05-01,57191000000
1983-06-01,58146000000
1983-07-01,59259000000
1983-08-01,59823000000
1983-09-01,60210000000
1983-10-01,60334000000
1983-11-01,61523000000
1983-12-01,62592000000
1984-01-01,60483000000
1984-02-01,59224000000
1984-03-01,58593000000
1984-04-01,59759000000
1984-05-01,61871000000
1984-06-01,62703000000
1984-07-01,64459000000
1984-08-01,64463000000
1984-09-01,65533000000
1984-10-01,67066000000
1984-11-01,67967000000
1984-12-01,70527000000
1985-01-01,70487000000
1985-02-01,70056000000
1985-03-01,70728000000
1985-04-01,72545000000
1985-05-01,76391000000
1985-06-01,78003000000
1985-07-01,80454000000
1985-08-01,81254000000
1985-09-01,83393000000
1985-10-01,86175000000
1985-11-01,87871000000
1985-12-01,89427000000
1986-01-01,89089000000
1986-02-01,87517000000
1986-03-01,86793000000
1986-04-01,89428000000
1986-05-01,92487000000
1986-06-01,94180000000
1986-07-01,96320000000
1986-08-01,95971000000
1986-09-01,97194000000
1986-10-01,98982000000
1986-11-01,1.00167E+11
1986-12-01,1.02767E+11
1987-01-01,1.01046E+11
1987-02-01,1.01635E+11
1987-03-01,1.01861E+11
1987-04-01,1.05517E+11
1987-05-01,1.07657E+11
1987-06-01,1.08689E+11
1987-07-01,1.09704E+11
1987-08-01,1.08572E+11
1987-09-01,1.09209E+11
1987-10-01,1.09177E+11
1987-11-01,1.06883E+11
1987-12-01,1.08522E+11
1988-01-01,1.05736E+11
1988-02-01,1.03929E+11
1988-03-01,1.04018E+11
1988-04-01,1.05604E+11
1988-05-01,1.06921E+11
1988-06-01,1.10183E+11
1988-07-01,1.1149E+11
1988-08-01,1.12193E+11
1988-09-01,1.12326E+11
1988-10-01,1.11995E+11
1988-11-01,1.15144E+11
1988-12-01,1.16428E+11
1989-01-01,1.13623E+11
1989-02-01,1.11731E+11
1989-03-01,1.11816E+11
1989-04-01,1.12102E+11
1989-05-01,1.14325E+11
1989-06-01,1.15568E+11
1989-07-01,1.1708E+11
1989-08-01,1.17189E+11
1989-09-01,1.18932E+11
1989-10-01,1.20667E+11
1989-11-01,1.23426E+11
1989-12-01,1.25911E+11
1990-01-01,1.22769E+11
1990-02-01,1.20571E+11
1990-03-01,1.19328E+11
1990-04-01,1.21697E+11
1990-05-01,1.22492E+11
1990-06-01,1.22748E+11
1990-07-01,1.22996E+11
1990-08-01,1.22203E+11
1990-09-01,1.22669E+11
1990-10-01,1.24108E+11
1990-11-01,1.2535E+11
1990-12-01,1.28499E+11
1991-01-01,1.27067E+11
1991-02-01,1.24571E+11
1991-03-01,1.24458E+11
1991-04-01,1.25789E+11
1991-05-01,1.2787E+11
1991-06-01,1.28594E+11
1991-07-01,1.31356E+11
1991-08-01,1.30128E+11
1991-09-01,1.3039E+11
1991-10-01,1.30364E+11
1991-11-01,1.31969E+11
1991-12-01,1.3451E+11
1992-01-01,1.31847E+11
1992-02-01,1.29854E+11
1992-03-01,1.28152E+11
1992-04-01,1.31252E+11
1992-05-01,1.31683E+11
1992-06-01,1.32828E+11
1992-07-01,1.35419E+11
1992-08-01,1.35234E+11
1992-09-01,1.3829E+11
1992-10-01,1.38777E+11
1992-11-01,1.38972E+11
1992-12-01,1.39841E+11
1993-01-01,1.36682E+11
1993-02-01,1.3414E+11
1993-03-01,1.31538E+11
1993-04-01,1.346E+11
1993-05-01,1.36839E+11
1993-06-01,1.41747E+11
1993-07-01,1.4281E+11
1993-08-01,1.43251E+11
1993-09-01,1.46664E+11
1993-10-01,1.4707E+11
1993-11-01,1.48304E+11
1993-12-01,1.51501E+11
1994-01-01,1.50014E+11
1994-02-01,1.49923E+11
1994-03-01,1.48768E+11
1994-04-01,1.51776E+11
1994-05-01,1.52282E+11
1994-06-01,1.54431E+11
1994-07-01,1.55712E+11
1994-08-01,1.53781E+11
1994-09-01,1.53946E+11
1994-10-01,1.55003E+11
1994-11-01,1.54596E+11
1994-12-01,1.5628E+11
1995-01-01,1.54042E+11
1995-02-01,1.50734E+11
1995-03-01,1.47966E+11
1995-04-01,1.51447E+11
1995-05-01,1.50121E+11
1995-06-01,1.53689E+11
1995-07-01,1.54856E+11
1995-08-01,1.54772E+11
1995-09-01,1.56517E+11
1995-10-01,1.57862E+11
1995-11-01,1.58529E+11
1995-12-01,1.60398E+11
1996-01-01,1.57553E+11
1996-02-01,1.57181E+11
1996-03-01,1.57661E+11
1996-04-01,1.61047E+11
1996-05-01,1.64097E+11
1996-06-01,1.68677E+11
1996-07-01,1.68738E+11
1996-08-01,1.69207E+11
1996-09-01,1.70086E+11
1996-10-01,1.73141E+11
1996-11-01,1.75983E+11
1996-12-01,1.79464E+11
1997-01-01,1.77253E+11
1997-02-01,1.7686E+11
1997-03-01,1.76501E+11
1997-04-01,1.79293E+11
1997-05-01,1.82615E+11
1997-06-01,1.8674E+11
1997-07-01,1.87447E+11
1997-08-01,1.89157E+11
1997-09-01,1.88872E+11
1997-10-01,1.90881E+11
1997-11-01,1.94547E+11
1997-12-01,1.97601E+11
1998-01-01,1.95774E+11
1998-02-01,1.92133E+11
1998-03-01,1.90426E+11
1998-04-01,1.93929E+11
1998-05-01,1.9651E+11
1998-06-01,1.98803E+11
1998-07-01,2.00573E+11
