DATE,RNCABIS
1988-03-01,92.62
1988-04-01,93.23
1988-05-01,93.32
1988-06-01,95.26
1988-07-01,97.2
1988-08-01,95.97
1988-09-01,95.19
1988-10-01,96.4
1988-11-01,94.6
1988-12-01,96.1
1989-01-01,97.2
1989-02-01,97.88
1989-03-01,97.72
1989-04-01,97.87
1989-05-01,98.83
1989-06-01,99.19
1989-07-01,99.7
1989-08-01,101.07
1989-09-01,100.58
1989-10-01,100.56
1989-11-01,101.18
1989-12-01,101.22
1990-01-01,99.94
1990-02-01,97.85
1990-03-01,99.77
1990-04-01,100.98
1990-05-01,99.86
1990-06-01,100.06
1990-07-01,100.79
1990-08-01,100.5
1990-09-01,98.27
1990-10-01,97.53
1990-11-01,97.39
1990-12-01,97.94
1991-01-01,100.33
1991-02-01,99.72
1991-03-01,101.15
1991-04-01,101.79
1991-05-01,102.45
1991-06-01,103.85
1991-07-01,103.27
1991-08-01,102.99
1991-09-01,102.61
1991-10-01,102.75
1991-11-01,102.04
1991-12-01,99.69
1992-01-01,98.9
1992-02-01,96.78
1992-03-01,96.53
1992-04-01,96.58
1992-05-01,95.25
1992-06-01,94.84
1992-07-01,94.69
1992-08-01,94.42
1992-09-01,91.67
1992-10-01,90.26
1992-11-01,90
1992-12-01,89.74
1993-01-01,89.56
1993-02-01,90.83
1993-03-01,91.19
1993-04-01,89.15
1993-05-01,88.57
1993-06-01,87.91
1993-07-01,88.23
1993-08-01,86.25
1993-09-01,84.98
1993-10-01,84.72
1993-11-01,85.99
1993-12-01,84.83
1994-01-01,85.76
1994-02-01,82.88
1994-03-01,81.06
1994-04-01,79.8
1994-05-01,79.47
1994-06-01,79.11
1994-07-01,78.78
1994-08-01,78.84
1994-09-01,79.95
1994-10-01,79.72
1994-11-01,79.36
1994-12-01,78.59
1995-01-01,77.56
1995-02-01,78.11
1995-03-01,77.08
1995-04-01,77.86
1995-05-01,78.91
1995-06-01,77.74
1995-07-01,78.92
1995-08-01,79.67
1995-09-01,80.28
1995-10-01,80.11
1995-11-01,80.27
1995-12-01,79.24
1996-01-01,79.31
1996-02-01,78.61
1996-03-01,79.22
1996-04-01,79.54
1996-05-01,79.06
1996-06-01,79.31
1996-07-01,78.92
1996-08-01,78.41
1996-09-01,78.56
1996-10-01,79.75
1996-11-01,80.63
1996-12-01,79.37
1997-01-01,80.38
