DATE,NFCINONFINLEVERAGE
1971-01-01,-1.4325000000000000
1971-02-01,-1.4675000000000000
1971-03-01,-1.4625000000000000
1971-04-01,-1.4140000000000000
1971-05-01,-1.3400000000000000
1971-06-01,-1.2600000000000000
1971-07-01,-1.18000000000000000000
1971-08-01,-1.11000000000000000000
1971-09-01,-1.05750000000000000000
1971-10-01,-1.01400000000000000000
1971-11-01,-0.97750000000000000000
1971-12-01,-0.94000000000000000000
1972-01-01,-0.90250000000000000000
1972-02-01,-0.85250000000000000000
1972-03-01,-0.78200000000000000000
1972-04-01,-0.70000000000000000000
1972-05-01,-0.62000000000000000000
1972-06-01,-0.52400000000000000000
1972-07-01,-0.44250000000000000000
1972-08-01,-0.37750000000000000000
1972-09-01,-0.32000000000000000000
1972-10-01,-0.26500000000000000000
1972-11-01,-0.22250000000000000000
1972-12-01,-0.15600000000000000000
1973-01-01,-0.07000000000000000000
1973-02-01,0.02000000000000000000
1973-03-01,0.15000000000000000000
1973-04-01,0.28250000000000000000
1973-05-01,0.39000000000000000000
1973-06-01,0.48800000000000000000
1973-07-01,0.55500000000000000000
1973-08-01,0.59800000000000000000
1973-09-01,0.62500000000000000000
1973-10-01,0.63750000000000000000
1973-11-01,0.65600000000000000000
1973-12-01,0.67000000000000000000
1974-01-01,0.67250000000000000000
1974-02-01,0.65500000000000000000
1974-03-01,0.60400000000000000000
1974-04-01,0.52000000000000000000
1974-05-01,0.43000000000000000000
1974-06-01,0.34250000000000000000
1974-07-01,0.27750000000000000000
1974-08-01,0.23000000000000000000
1974-09-01,0.18500000000000000000
1974-10-01,0.14500000000000000000
1974-11-01,0.06800000000000000000
1974-12-01,-0.05750000000000000000
1975-01-01,-0.22000000000000000000
1975-02-01,-0.41250000000000000000
1975-03-01,-0.58250000000000000000
1975-04-01,-0.74750000000000000000
1975-05-01,-0.91000000000000000000
1975-06-01,-1.04750000000000000000
1975-07-01,-1.14500000000000000000
1975-08-01,-1.2280000000000000
1975-09-01,-1.2850000000000000
1975-10-01,-1.3200000000000000
1975-11-01,-1.3500000000000000
1975-12-01,-1.3675000000000000
1976-01-01,-1.3780000000000000
1976-02-01,-1.3625000000000000
1976-03-01,-1.3250000000000000
1976-04-01,-1.2600000000000000
