DATE,EXSLUS
1992-08-01,44.05
1992-09-01,44.1591
1992-10-01,44.2758
1992-11-01,44.4044
1992-12-01,45.0463
1993-01-01,46.3071
1993-02-01,46.3507
1993-03-01,47.0685
1993-04-01,47.7115
1993-05-01,47.965
1993-06-01,48.0733
1993-07-01,48.643
1993-08-01,48.8056
1993-09-01,48.8538
1993-10-01,48.9538
1993-11-01,49.1873
1993-12-01,49.3222
1994-01-01,49.4595
1994-02-01,49.1129
1994-03-01,48.9308
1994-04-01,48.9251
1994-05-01,49.0667
1994-06-01,49.2323
1994-07-01,49.01
1994-08-01,49.2413
1994-09-01,49.26
1994-10-01,49.112
1994-11-01,49.1628
1994-12-01,49.5314
1995-01-01,49.87
1995-02-01,49.8953
1995-03-01,49.627
1995-04-01,49.3705
1995-05-01,49.5582
1995-06-01,50.21
1995-07-01,50.8985
1995-08-01,51.2265
1995-09-01,52.5465
1995-10-01,52.5386
1995-11-01,53.1986
1995-12-01,53.8075
1996-01-01,53.8738
1996-02-01,53.716
1996-03-01,53.7476
1996-04-01,54.1632
1996-05-01,54.8677
1996-06-01,55.5285
1996-07-01,55.2932
1996-08-01,55.6027
1996-09-01,56.05
1996-10-01,57.0155
1996-11-01,56.9874
1996-12-01,56.7295
1997-01-01,57.2776
1997-02-01,57.7721
1997-03-01,57.8729
1997-04-01,58.8255
1997-05-01,58.8619
1997-06-01,58.531
1997-07-01,58.7323
1997-08-01,59.1886
1997-09-01,59.7129
1997-10-01,59.7232
1997-11-01,60.1322
1997-12-01,61.5914
1998-01-01,62.2805
1998-02-01,62.3632
1998-03-01,62.0834
1998-04-01,62.9032
1998-05-01,64.2605
1998-06-01,65.1495
1998-07-01,65.9084
1998-08-01,66.6424
1998-09-01,66.26
1998-10-01,66.3452
1998-11-01,67.5784
1998-12-01,68.1173
1999-01-01,68.6295
1999-02-01,69.0695
1999-03-01,69.5696
1999-04-01,69.5877
1999-05-01,70.581
1999-06-01,71.2114
1999-07-01,71.9124
1999-08-01,71.8676
1999-09-01,71.9419
1999-10-01,71.747
1999-11-01,72.04
1999-12-01,72.0178
2000-01-01,73.14
2000-02-01,73.552
2000-03-01,73.8096
2000-04-01,74.1225
2000-05-01,74.8668
2000-06-01,76.7359
2000-07-01,78.8515
2000-08-01,78.2826
2000-09-01,78.731
2000-10-01,79.291
2000-11-01,80.3805
2000-12-01,82.03
2001-01-01,85.8333
2001-02-01,87.1358
2001-03-01,85.7295
2001-04-01,88.2052
2001-05-01,90.8477
2001-06-01,90.3714
2001-07-01,90.3143
2001-08-01,89.9935
2001-09-01,90.1572
2001-10-01,90.9536
2001-11-01,92.67
2001-12-01,93.194
2002-01-01,93.4733
2002-02-01,93.65
2002-03-01,94.9033
2002-04-01,96.0295
2002-05-01,96.3182
2002-06-01,96.4075
2002-07-01,96.2655
2002-08-01,96.2805
2002-09-01,96.207
2002-10-01,96.4023
2002-11-01,96.4263
2002-12-01,96.7048
2003-01-01,96.8133
2003-02-01,96.8795
2003-03-01,96.9433
2003-04-01,97.0036
2003-05-01,97.2305
2003-06-01,97.2362
2003-07-01,97.1527
2003-08-01,96.9748
2003-09-01,95.2843
2003-10-01,94.5595
2003-11-01,96.0106
2003-12-01,96.4132
2004-01-01,98.009
2004-02-01,98.5074
2004-03-01,97.5222
2004-04-01,98.1323
2004-05-01,98.9288
2004-06-01,100.93
2004-07-01,102.9981
2004-08-01,103.4364
2004-09-01,103.3257
2004-10-01,103.8845
2004-11-01,104.632
2004-12-01,104.7483
2005-01-01,98.9288
2005-02-01,99.2726
2005-03-01,99.3896
2005-04-01,99.671
2005-05-01,99.791
2005-06-01,99.9455
2005-07-01,100.283
2005-08-01,100.7383
2005-09-01,101.3324
2005-10-01,101.4845
2005-11-01,101.7995
2005-12-01,101.9767
2006-01-01,102.016
2006-02-01,102.1942
2006-03-01,102.6478
2006-04-01,102.6345
2006-05-01,102.8382
2006-06-01,103.5245
2006-07-01,103.9565
2006-08-01,103.6691
2006-09-01,102.595
2006-10-01,105.7181
2006-11-01,107.72
2006-12-01,107.7905
2007-01-01,108.5219
2007-02-01,108.6842
2007-03-01,109.2941
2007-04-01,109.3595
2007-05-01,110.7995
2007-06-01,110.9662
2007-07-01,111.6724
2007-08-01,112.1839
2007-09-01,113.3415
2007-10-01,112.8583
2007-11-01,110.4181
2007-12-01,108.891
2008-01-01,108.1557
2008-02-01,107.827
2008-03-01,107.6838
2008-04-01,107.7791
2008-05-01,107.7705
2008-06-01,107.7633
2008-07-01,107.6086
2008-08-01,107.7181
2008-09-01,107.8233
2008-10-01,108.1661
2008-11-01,109.9594
2008-12-01,111.4464
2009-01-01,113.7685
2009-02-01,114.1026
2009-03-01,114.2836
2009-04-01,117.3068
2009-05-01,116.672
2009-06-01,114.8105
2009-07-01,114.8002
2009-08-01,114.7148
2009-09-01,114.7667
2009-10-01,114.7838
2009-11-01,114.4853
2009-12-01,114.2836
2010-01-01,114.3589
2010-02-01,114.5079
2010-03-01,114.1039
2010-04-01,113.8286
2010-05-01,113.7025
2010-06-01,113.5605
2010-07-01,112.9571
2010-08-01,112.3968
2010-09-01,112.3029
2010-10-01,111.667
2010-11-01,111.5155
2010-12-01,111.0081
2011-01-01,110.82
2011-02-01,110.8074
2011-03-01,110.3022
2011-04-01,110.2129
2011-05-01,109.7629
2011-06-01,109.5391
2011-07-01,109.457
2011-08-01,109.7139
2011-09-01,110.0529
2011-10-01,110.0875
2011-11-01,111.2205
2011-12-01,113.8067
2012-01-01,113.8195
2012-02-01,117.281
2012-03-01,125.6605
2012-04-01,128.4248
2012-05-01,129.0045
2012-06-01,131.8519
2012-07-01,132.4848
2012-08-01,131.9896
2012-09-01,131.5105
2012-10-01,129.0859
2012-11-01,130.234
2012-12-01,128.036
2013-01-01,126.72
2013-02-01,126.7342
2013-03-01,126.7005
2013-04-01,125.9673
2013-05-01,126.2432
2013-06-01,127.9125
2013-07-01,131.1345
2013-08-01,131.9682
2013-09-01,132.3465
2013-10-01,130.9955
