DATE,RU2000VPR
2013-05-20,4788.61
2013-05-21,4788.28
2013-05-22,4704.30
2013-05-23,4705.03
2013-05-24,4710.54
2013-05-27,.
2013-05-28,4764.62
2013-05-29,4714.20
2013-05-30,4744.67
2013-05-31,4691.39
2013-06-03,4731.38
2013-06-04,4690.03
2013-06-05,4624.43
2013-06-06,4677.78
2013-06-07,4707.17
2013-06-10,4733.50
2013-06-11,4670.25
2013-06-12,4621.56
2013-06-13,4715.02
2013-06-14,4671.99
2013-06-17,4702.92
2013-06-18,4760.58
2013-06-19,4690.69
2013-06-20,4568.36
2013-06-21,4584.37
2013-06-24,4519.01
2013-06-25,4580.45
2013-06-26,4587.40
2013-06-27,4666.48
2013-06-28,4659.97
2013-07-01,4708.92
2013-07-02,4710.38
2013-07-03,4718.31
2013-07-04,.
2013-07-05,4777.66
2013-07-08,4794.21
2013-07-09,4841.51
2013-07-10,4852.91
2013-07-11,4905.97
2013-07-12,4916.33
2013-07-15,4951.46
2013-07-16,4937.67
2013-07-17,4957.11
2013-07-18,5003.74
2013-07-19,5011.30
2013-07-22,5029.03
2013-07-23,5029.67
2013-07-24,4989.57
2013-07-25,5028.14
2013-07-26,4998.43
2013-07-29,4959.42
2013-07-30,4962.00
2013-07-31,4955.16
2013-08-01,5008.15
2013-08-02,5000.93
2013-08-05,5010.05
2013-08-06,4958.83
2013-08-07,4935.40
2013-08-08,4957.47
2013-08-09,4946.76
2013-08-12,4967.69
2013-08-13,4951.64
2013-08-14,4935.68
2013-08-15,4849.25
2013-08-16,4826.61
2013-08-19,4767.02
2013-08-20,4839.84
2013-08-21,4800.45
2013-08-22,4867.52
2013-08-23,4879.26
2013-08-26,4869.05
2013-08-27,4761.82
2013-08-28,4770.19
2013-08-29,4805.80
2013-08-30,4727.93
2013-09-02,.
2013-09-03,4742.68
2013-09-04,4777.38
2013-09-05,4793.32
2013-09-06,4803.64
2013-09-09,4876.17
2013-09-10,4913.81
2013-09-11,4912.35
2013-09-12,4879.53
2013-09-13,4903.56
2013-09-16,4919.91
2013-09-17,4961.45
2013-09-18,5016.16
2013-09-19,4999.96
2013-09-20,4992.95
2013-09-23,4993.50
2013-09-24,5004.97
2013-09-25,5002.50
2013-09-26,5010.56
2013-09-27,4988.77
2013-09-30,4988.53
2013-10-01,5042.16
2013-10-02,5012.60
2013-10-03,4957.13
2013-10-04,4987.50
2013-10-07,4940.28
2013-10-08,4880.00
2013-10-09,4881.41
2013-10-10,4993.55
2013-10-11,5065.45
2013-10-14,5087.13
2013-10-15,5042.51
2013-10-16,5095.43
2013-10-17,5147.37
2013-10-18,5199.00
2013-10-21,5189.29
2013-10-22,5211.94
2013-10-23,5192.90
2013-10-24,5221.23
2013-10-25,5228.25
2013-10-28,5231.12
2013-10-29,5234.16
2013-10-30,5176.60
2013-10-31,5146.31
2013-11-01,5133.38
2013-11-04,5185.99
2013-11-05,5161.49
2013-11-06,5149.60
2013-11-07,5071.35
2013-11-08,5151.93
2013-11-11,5146.33
2013-11-12,5138.96
2013-11-13,5182.07
2013-11-14,5190.39
2013-11-15,5205.43
2013-11-18,5177.87
2013-11-19,5153.80
2013-11-20,5148.92
2013-11-21,5228.55
2013-11-22,5256.07
2013-11-25,5260.30
2013-11-26,5292.78
2013-11-27,5328.36
2013-11-28,.
2013-11-29,5337.81
2013-12-02,5267.33
2013-12-03,5248.36
2013-12-04,5241.41
2013-12-05,5241.19
2013-12-06,5286.31
2013-12-09,5280.12
2013-12-10,5233.49
2013-12-11,5159.90
2013-12-12,5170.05
2013-12-13,5185.06
2013-12-16,5241.70
2013-12-17,5237.02
2013-12-18,5303.45
2013-12-19,5264.55
2013-12-20,5353.80
2013-12-23,5400.89
2013-12-24,5427.02
2013-12-25,.
2013-12-26,5423.90
2013-12-27,5422.97
2013-12-30,5411.45
2013-12-31,5425.39
2014-01-01,.
2014-01-02,5365.10
2014-01-03,5380.98
2014-01-06,5345.77
2014-01-07,5382.43
2014-01-08,5364.35
2014-01-09,5359.95
2014-01-10,5376.65
2014-01-13,5308.20
2014-01-14,5365.47
2014-01-15,5402.68
2014-01-16,5398.69
2014-01-17,5382.01
2014-01-20,.
2014-01-21,5425.24
2014-01-22,5453.35
2014-01-23,5409.78
2014-01-24,5292.04
2014-01-27,5228.58
2014-01-28,5260.68
2014-01-29,5193.09
2014-01-30,5261.15
2014-01-31,5211.81
2014-02-03,5059.64
2014-02-04,5097.18
2014-02-05,5058.71
2014-02-06,5103.98
2014-02-07,5138.87
2014-02-10,5144.27
2014-02-11,5201.57
2014-02-12,5216.06
2014-02-13,5279.62
2014-02-14,5298.49
2014-02-17,.
2014-02-18,5345.02
2014-02-19,5280.60
2014-02-20,5330.96
2014-02-21,5338.05
2014-02-24,5385.97
2014-02-25,5373.22
2014-02-26,5404.69
2014-02-27,5432.74
2014-02-28,5442.49
2014-03-03,5416.03
2014-03-04,5546.75
2014-03-05,5528.76
2014-03-06,5536.94
2014-03-07,5533.77
2014-03-10,5529.27
2014-03-11,5471.86
2014-03-12,5491.04
2014-03-13,5438.18
2014-03-14,5465.15
2014-03-17,5492.05
2014-03-18,5554.26
2014-03-19,5515.10
2014-03-20,5542.09
2014-03-21,5544.24
2014-03-24,5500.29
2014-03-25,5506.89
2014-03-26,5410.94
2014-03-27,5387.89
2014-03-28,5405.66
2014-03-31,5495.29
2014-04-01,5558.66
2014-04-02,5580.80
2014-04-03,5547.26
2014-04-04,5442.81
2014-04-07,5376.91
2014-04-08,5411.41
2014-04-09,5450.32
2014-04-10,5331.67
2014-04-11,5270.15
2014-04-14,5292.91
2014-04-15,5316.36
2014-04-16,5362.16
2014-04-17,5396.68
2014-04-18,.
2014-04-21,5406.58
2014-04-22,5455.10
2014-04-23,5430.48
2014-04-24,5420.43
2014-04-25,5343.25
2014-04-28,5319.68
2014-04-29,5319.76
2014-04-30,5349.01
2014-05-01,5334.01
2014-05-02,5350.16
2014-05-05,5332.68
2014-05-06,5260.02
2014-05-07,5289.61
2014-05-08,5246.12
2014-05-09,5289.48
2014-05-12,5400.63
2014-05-13,5345.43
2014-05-14,5254.36
2014-05-15,5214.21
2014-05-16,5243.55
2014-05-19,5289.27
2014-05-20,5218.02
2014-05-21,5239.39
2014-05-22,5278.20
2014-05-23,5329.88
2014-05-26,.
2014-05-27,5399.55
2014-05-28,5372.42
2014-05-29,5385.62
2014-05-30,5373.34
2014-06-02,5356.29
2014-06-03,5344.27
2014-06-04,5360.30
2014-06-05,5469.41
2014-06-06,5519.64
2014-06-09,5561.66
2014-06-10,5544.08
2014-06-11,5506.75
2014-06-12,5473.99
2014-06-13,5478.98
2014-06-16,5478.30
2014-06-17,5524.19
2014-06-18,5555.56
2014-06-19,5558.97
2014-06-20,5579.31
2014-06-23,5558.41
2014-06-24,5506.51
2014-06-25,5550.67
2014-06-26,5543.39
2014-06-27,5582.43
2014-06-30,5596.84
2014-07-01,5651.16
2014-07-02,5614.72
2014-07-03,5653.43
2014-07-04,.
2014-07-07,5573.05
2014-07-08,5532.23
2014-07-09,5533.83
2014-07-10,5480.51
2014-07-11,5460.38
2014-07-14,5484.81
2014-07-15,5448.11
2014-07-16,5442.48
2014-07-17,5364.20
2014-07-18,5440.48
2014-07-21,5413.15
2014-07-22,5444.64
2014-07-23,5439.24
2014-07-24,5424.33
2014-07-25,5370.90
2014-07-28,5355.78
2014-07-29,5345.65
2014-07-30,5356.58
2014-07-31,5253.63
2014-08-01,5232.60
2014-08-04,5266.71
2014-08-05,5248.52
2014-08-06,5271.44
2014-08-07,5244.49
2014-08-08,5293.34
2014-08-11,5335.12
2014-08-12,5296.17
2014-08-13,5329.63
2014-08-14,5340.18
2014-08-15,5332.41
2014-08-18,5407.56
2014-08-19,5424.29
2014-08-20,5409.66
2014-08-21,5436.28
2014-08-22,5433.01
2014-08-25,5443.87
2014-08-26,5477.73
2014-08-27,5470.04
2014-08-28,5439.71
2014-08-29,5473.54
2014-09-01,.
2014-09-02,5497.67
2014-09-03,5466.70
2014-09-04,5446.69
2014-09-05,5464.08
2014-09-08,5463.58
2014-09-09,5405.44
2014-09-10,5421.27
2014-09-11,5454.44
2014-09-12,5393.85
2014-09-15,5343.41
2014-09-16,5359.98
2014-09-17,5368.51
2014-09-18,5385.79
2014-09-19,5335.28
2014-09-22,5256.67
2014-09-23,5204.78
2014-09-24,5223.84
2014-09-25,5147.33
2014-09-26,5185.00
2014-09-29,5162.99
2014-09-30,5092.12
2014-10-01,5031.01
2014-10-02,5073.45
2014-10-03,5101.73
2014-10-06,5072.69
2014-10-07,5000.62
2014-10-08,5097.88
2014-10-09,4970.02
2014-10-10,4923.61
2014-10-13,4922.28
2014-10-14,4982.86
2014-10-15,5005.06
2014-10-16,5066.45
2014-10-17,5048.71
2014-10-20,5102.75
2014-10-21,5180.55
2014-10-22,5116.02
2014-10-23,5192.09
2014-10-24,5200.64
2014-10-27,5196.28
2014-10-28,5338.57
2014-10-29,5328.84
2014-10-30,5366.09
2014-10-31,5442.55
2014-11-03,5430.06
2014-11-04,5406.53
2014-11-05,5429.73
2014-11-06,5443.09
2014-11-07,5457.83
2014-11-10,5480.88
2014-11-11,5476.01
2014-11-12,5505.77
2014-11-13,5452.47
2014-11-14,5445.33
2014-11-17,5406.27
2014-11-18,5423.39
2014-11-19,5365.13
2014-11-20,5424.26
2014-11-21,5429.24
2014-11-24,5481.99
2014-11-25,5483.13
2014-11-26,5494.67
2014-11-27,.
2014-11-28,5408.34
2014-12-01,5335.32
2014-12-02,5389.10
2014-12-03,5435.67
2014-12-04,5410.89
2014-12-05,5446.98
2014-12-08,5381.46
2014-12-09,5468.31
2014-12-10,5348.57
2014-12-11,5366.31
2014-12-12,5292.06
2014-12-15,5242.80
2014-12-16,5248.74
2014-12-17,5399.91
2014-12-18,5468.72
2014-12-19,5485.41
2014-12-22,5513.27
2014-12-23,5538.86
2014-12-24,5549.72
2014-12-25,.
2014-12-26,5584.33
2014-12-29,5613.59
2014-12-30,5591.06
2014-12-31,5541.89
2015-01-01,.
2015-01-02,5519.66
2015-01-05,5434.65
2015-01-06,5347.61
2015-01-07,5397.40
2015-01-08,5477.70
2015-01-09,5418.49
2015-01-12,5393.35
2015-01-13,5399.52
2015-01-14,5382.12
2015-01-15,5304.64
2015-01-16,5396.55
2015-01-19,.
2015-01-20,5347.96
2015-01-21,5339.36
2015-01-22,5459.45
2015-01-23,5433.21
2015-01-26,5478.19
2015-01-27,5447.14
2015-01-28,5351.68
2015-01-29,5421.14
2015-01-30,5307.63
2015-02-02,5370.19
2015-02-03,5480.55
2015-02-04,5449.42
2015-02-05,5527.24
2015-02-06,5506.71
2015-02-09,5460.51
2015-02-10,5475.99
2015-02-11,5459.21
2015-02-12,5523.09
2015-02-13,5545.94
2015-02-16,.
2015-02-17,5546.85
2015-02-18,5551.57
2015-02-19,5537.47
2015-02-20,5550.59
2015-02-23,5549.92
2015-02-24,5562.37
2015-02-25,5552.48
2015-02-26,5561.87
2015-02-27,5545.71
2015-03-02,5583.09
2015-03-03,5554.31
2015-03-04,5519.30
2015-03-05,5520.75
2015-03-06,5442.92
2015-03-09,5473.87
2015-03-10,5406.35
2015-03-11,5439.01
2015-03-12,5544.70
2015-03-13,5525.19
2015-03-16,5547.45
2015-03-17,5557.85
2015-03-18,5606.06
2015-03-19,5595.07
2015-03-20,5668.11
2015-03-23,5670.63
2015-03-24,5666.86
2015-03-25,5562.55
2015-03-26,5550.83
2015-03-27,5567.73
2015-03-30,5640.09
2015-03-31,5624.95
2015-04-01,5628.60
2015-04-02,5654.93
2015-04-03,.
2015-04-06,5677.87
2015-04-07,5637.24
2015-04-08,5660.30
2015-04-09,5630.98
2015-04-10,5650.92
2015-04-13,5653.81
2015-04-14,5655.60
2015-04-15,5696.44
2015-04-16,5682.65
2015-04-17,5592.64
2015-04-20,5650.54
2015-04-21,5634.42
2015-04-22,5643.74
2015-04-23,5662.12
2015-04-24,5652.75
2015-04-27,5611.46
2015-04-28,5659.34
2015-04-29,5606.10
2015-04-30,5499.96
2015-05-01,5517.40
2015-05-04,5534.26
2015-05-05,5466.63
2015-05-06,5472.50
2015-05-07,5490.90
2015-05-08,5529.98
2015-05-11,5530.62
