DATE,RU2000VTR
1985-01-01,372.5300000000000000
1985-02-01,380.2900000000000000
1985-03-01,374.3700000000000000
1985-04-01,372.3800000000000000
1985-05-01,384.2900000000000000
1985-06-01,388.9900000000000000
1985-07-01,399.0900000000000000
1985-08-01,397.2700000000000000
1985-09-01,377.7900000000000000
1985-10-01,390.7300000000000000
1985-11-01,418.5200000000000000
1985-12-01,435.4400000000000000
1986-01-01,439.2300000000000000
1986-02-01,469.9900000000000000
1986-03-01,494.2200000000000000
1986-04-01,496.7200000000000000
1986-05-01,512.8300000000000000
1986-06-01,509.6100000000000000
1986-07-01,468.8800000000000000
1986-08-01,488.3000000000000000
1986-09-01,467.0200000000000000
1986-10-01,480.4200000000000000
1986-11-01,479.3000000000000000
1986-12-01,467.7100000000000000
1987-01-01,516.4300000000000000
1987-02-01,553.3400000000000000
1987-03-01,568.0300000000000000
1987-04-01,553.1000000000000000
1987-05-01,553.4400000000000000
1987-06-01,568.0500000000000000
1987-07-01,589.8800000000000000
1987-08-01,607.4900000000000000
1987-09-01,597.2300000000000000
1987-10-01,428.3000000000000000
1987-11-01,410.3100000000000000
1987-12-01,434.4600000000000000
1988-01-01,463.7800000000000000
1988-02-01,504.1000000000000000
1988-03-01,524.5200000000000000
1988-04-01,535.6500000000000000
1988-05-01,524.1600000000000000
1988-06-01,560.3400000000000000
1988-07-01,560.0200000000000000
1988-08-01,551.5400000000000000
1988-09-01,565.1100000000000000
1988-10-01,561.8400000000000000
1988-11-01,546.1500000000000000
1988-12-01,562.5000000000000000
1989-01-01,588.6600000000000000
1989-02-01,595.8900000000000000
1989-03-01,607.4200000000000000
1989-04-01,630.0900000000000000
1989-05-01,654.0300000000000000
1989-06-01,645.4900000000000000
1989-07-01,665.5600000000000000
1989-08-01,678.8500000000000000
1989-09-01,675.3200000000000000
1989-10-01,632.1700000000000000
1989-11-01,634.6000000000000000
1989-12-01,632.4000000000000000
1990-01-01,587.5700000000000000
1990-02-01,601.7000000000000000
1990-03-01,621.1900000000000000
1990-04-01,598.9200000000000000
1990-05-01,629.6100000000000000
1990-06-01,628.9700000000000000
1990-07-01,602.4100000000000000
1990-08-01,528.5900000000000000
1990-09-01,484.6700000000000000
1990-10-01,452.6700000000000000
1990-11-01,480.0600000000000000
1990-12-01,494.6900000000000000
1991-01-01,537.2500000000000000
1991-02-01,595.9200000000000000
1991-03-01,637.5100000000000000
1991-04-01,642.4000000000000000
1991-05-01,672.5300000000000000
1991-06-01,641.0500000000000000
1991-07-01,657.6900000000000000
1991-08-01,677.6500000000000000
1991-09-01,678.4400000000000000
1991-10-01,686.1500000000000000
1991-11-01,658.3100000000000000
1991-12-01,700.9900000000000000
1992-01-01,759.6300000000000000
1992-02-01,795.8700000000000000
1992-03-01,787.2100000000000000
1992-04-01,776.3100000000000000
1992-05-01,797.4100000000000000
1992-06-01,771.5900000000000000
1992-07-01,800.6600000000000000
1992-08-01,785.0500000000000000
1992-09-01,799.8800000000000000
1992-10-01,818.5500000000000000
1992-11-01,869.1900000000000000
1992-12-01,905.2300000000000000
1993-01-01,953.2700000000000000
1993-02-01,957.0800000000000000
1993-03-01,993.3800000000000000
1993-04-01,969.5100000000000000
1993-05-01,1000.0000000000000000
1993-06-01,998.1595454545454545
1993-07-01,1021.2161904761904762
1993-08-01,1044.1300000000000000
1993-09-01,1070.4409523809523810
1993-10-01,1103.6509523809523810
1993-11-01,1094.5480952380952381
1993-12-01,1099.4700000000000000
1994-01-01,1136.9704761904761905
1994-02-01,1151.2884210526315789
1994-03-01,1154.3617391304347826
1994-04-01,1105.4445000000000000
1994-05-01,1107.4880952380952381
1994-06-01,1111.1577272727272727
1994-07-01,1098.0005000000000000
1994-08-01,1120.3265217391304348
1994-09-01,1140.0119047619047619
1994-10-01,1116.9800000000000000
1994-11-01,1087.5800000000000000
1994-12-01,1065.7338095238095238
1995-01-01,1100.8361904761904762
1995-02-01,1121.5721052631578947
1995-03-01,1130.6434782608695652
1995-04-01,1160.7326315789473684
1995-05-01,1195.0254545454545455
1995-06-01,1229.3890909090909091
1995-07-01,1271.5425000000000000
1995-08-01,1303.4391304347826087
1995-09-01,1350.0580000000000000
1995-10-01,1318.0659090909090909
1995-11-01,1323.1538095238095238
1995-12-01,1367.4620000000000000
1996-01-01,1373.8918181818181818
1996-02-01,1413.2690000000000000
1996-03-01,1427.5042857142857143
1996-04-01,1461.2438095238095238
1996-05-01,1508.4431818181818182
1996-06-01,1514.0425000000000000
1996-07-01,1446.1900000000000000
1996-08-01,1472.1200000000000000
1996-09-01,1512.5715000000000000
1996-10-01,1543.2478260869565217
1996-11-01,1588.6095000000000000
1996-12-01,1647.9485714285714286
1997-01-01,1695.3822727272727273
1997-02-01,1723.0300000000000000
1997-03-01,1732.9095000000000000
1997-04-01,1681.0000000000000000
1997-05-01,1785.7328571428571429
1997-06-01,1896.7038095238095238
1997-07-01,1965.8877272727272727
1997-08-01,2017.2223809523809524
1997-09-01,2126.4000000000000000
1997-10-01,2184.9995652173913043
1997-11-01,2137.1115789473684211
1997-12-01,2171.5465217391304348
1998-01-01,2164.8645000000000000
1998-02-01,2261.2852631578947368
1998-03-01,2353.1940909090909091
1998-04-01,2416.4200000000000000
1998-05-01,2378.1745000000000000
1998-06-01,2289.5331818181818182
1998-07-01,2283.0977272727272727
1998-08-01,2037.9433333333333333
1998-09-01,1877.8861904761904762
1998-10-01,1836.7800000000000000
1998-11-01,2013.0815000000000000
1998-12-01,2003.6540909090909091
1999-01-01,2058.9060000000000000
