DATE,PISPIG01CAM661N
1998-11-01,0.806621949
1998-12-01,0.799771657
1999-01-01,0.798059084
1999-02-01,0.796346511
1999-03-01,0.804909376
1999-04-01,0.806621949
1999-05-01,0.811759669
1999-06-01,0.815184815
1999-07-01,0.829741687
1999-08-01,0.830597973
1999-09-01,0.835735693
1999-10-01,0.834879406
1999-11-01,0.838304553
1999-12-01,0.844298559
2000-01-01,0.847723705
2000-02-01,0.856286571
2000-03-01,0.862280577
2000-04-01,0.862280577
2000-05-01,0.86399315
2000-06-01,0.86399315
2000-07-01,0.863136863
2000-08-01,0.863136863
2000-09-01,0.869130869
2000-10-01,0.873412302
2000-11-01,0.879406308
2000-12-01,0.875124875
2001-01-01,0.870843442
2001-02-01,0.871699729
2001-03-01,0.875124875
2001-04-01,0.876837448
2001-05-01,0.882831454
2001-06-01,0.870843442
2001-07-01,0.85885543
2001-08-01,0.85885543
2001-09-01,0.862280577
2001-10-01,0.846011132
2001-11-01,0.843442272
2001-12-01,0.834879406
2002-01-01,0.841729699
2002-02-01,0.846011132
2002-03-01,0.852861424
2002-04-01,0.857142857
2002-05-01,0.852861424
2002-06-01,0.850292565
2002-07-01,0.854573997
2002-08-01,0.859711717
2002-09-01,0.866562009
2002-10-01,0.868274583
2002-11-01,0.864849436
2002-12-01,0.862280577
2003-01-01,0.869987156
2003-02-01,0.880262595
2003-03-01,0.878550021
2003-04-01,0.86142429
2003-05-01,0.844298559
2003-06-01,0.836591979
2003-07-01,0.845154845
2003-08-01,0.849436278
2003-09-01,0.853717711
2003-10-01,0.845154845
2003-11-01,0.843442272
2003-12-01,0.844298559
2004-01-01,0.855430284
2004-02-01,0.878550021
2004-03-01,0.886256601
2004-04-01,0.900813472
2004-05-01,0.917082917
2004-06-01,0.914514057
2004-07-01,0.917082917
2004-08-01,0.924789496
2004-09-01,0.92136435
2004-10-01,0.917082917
2004-11-01,0.899100899
2004-12-01,0.900813472
2005-01-01,0.908520051
2005-02-01,0.923076923
2005-03-01,0.929070929
2005-04-01,0.929927216
2005-05-01,0.924789496
2005-06-01,0.92393321
2005-07-01,0.919651777
2005-08-01,0.923076923
2005-09-01,0.931639789
2005-10-01,0.939346368
2005-11-01,0.935064935
2005-12-01,0.933352362
2006-01-01,0.941915228
2006-02-01,0.939346368
2006-03-01,0.94619666
2006-04-01,0.960753532
2006-05-01,0.969316398
2006-06-01,0.965034965
2006-07-01,0.98387327
2006-08-01,0.97873555
2006-09-01,0.964178678
2006-10-01,0.963322392
2006-11-01,0.963322392
2006-12-01,0.977879264
2007-01-01,0.980448123
2007-02-01,0.989867276
2007-03-01,1.004424147
2007-04-01,1.010418153
2007-05-01,1.006993007
2007-06-01,0.995861282
2007-07-01,0.989010989
2007-08-01,0.977022977
2007-09-01,0.968460111
2007-10-01,0.959040959
2007-11-01,0.965891252
2007-12-01,0.977879264
2008-01-01,0.988154702
2008-02-01,0.990723562
2008-03-01,1.014699586
2008-04-01,1.033537891
2008-05-01,1.044669616
2008-06-01,1.06607678
2008-07-01,1.078921079
2008-08-01,1.078921079
2008-09-01,1.063507921
2008-10-01,1.054088768
2008-11-01,1.014699586
2008-12-01,0.98130441
2009-01-01,0.977879264
2009-02-01,0.977879264
2009-03-01,0.979591837
2009-04-01,0.977879264
2009-05-01,0.968460111
2009-06-01,0.974454117
2009-07-01,0.969316398
2009-08-01,0.979591837
2009-09-01,0.973597831
2009-10-01,0.971885258
2009-11-01,0.980448123
2009-12-01,0.984729556
2010-01-01,0.990723562
2010-02-01,0.994148708
2010-03-01,0.992436135
2010-04-01,1.000999001
2010-05-01,1.001855288
2010-06-01,0.989010989
2010-07-01,0.987298416
2010-08-01,0.994148708
2010-09-01,0.998430141
2010-10-01,1.007849294
2010-11-01,1.016412159
2010-12-01,1.026687598
2011-01-01,1.034394177
2011-02-01,1.047238476
2011-03-01,1.059226488
2011-04-01,1.063507921
2011-05-01,1.060082774
2011-06-01,1.058370201
2011-07-01,1.054945055
2011-08-01,1.058370201
2011-09-01,1.063507921
2011-10-01,1.059226488
