DATE,RU1000TR
1979-01-01,104.0100000000000000
1979-02-01,103.3400000000000000
1979-03-01,106.0372727272727273
1979-04-01,108.6210000000000000
1979-05-01,106.9840909090909091
1979-06-01,110.3371428571428571
1979-07-01,111.9828571428571429
1979-08-01,117.9486956521739130
1979-09-01,120.1836842105263158
1979-10-01,115.6047826086956522
1979-11-01,115.8800000000000000
1979-12-01,121.7665000000000000
1980-01-01,125.6686363636363636
1980-02-01,131.3565000000000000
1980-03-01,119.3976190476190476
1980-04-01,117.2190476190476190
1980-05-01,123.6080952380952381
1980-06-01,132.6033333333333333
1980-07-01,139.2131818181818182
1980-08-01,144.4209523809523810
1980-09-01,149.3566666666666667
1980-10-01,154.3704347826086957
1980-11-01,161.1261111111111111
1980-12-01,158.7490909090909091
1981-01-01,157.9395238095238095
1981-02-01,153.1884210526315789
1981-03-01,159.3836363636363636
1981-04-01,161.9300000000000000
1981-05-01,159.9605000000000000
1981-06-01,161.3263636363636364
1981-07-01,158.0736363636363636
1981-08-01,159.8395238095238095
1981-09-01,145.2714285714285714
1981-10-01,147.6363636363636364
1981-11-01,153.0695000000000000
1981-12-01,154.5050000000000000
1982-01-01,146.1100000000000000
1982-02-01,143.0631578947368421
1982-03-01,138.8373913043478261
1982-04-01,145.9142857142857143
1982-05-01,147.0740000000000000
1982-06-01,139.0604545454545455
1982-07-01,138.6566666666666667
1982-08-01,139.9881818181818182
1982-09-01,157.1614285714285714
1982-10-01,170.9095238095238095
1982-11-01,180.1933333333333333
1982-12-01,182.4013636363636364
1983-01-01,189.1195238095238095
1983-02-01,193.5642105263157895
1983-03-01,201.0530434782608696
1983-04-01,208.6225000000000000
1983-05-01,219.0657142857142857
1983-06-01,224.4336363636363636
1983-07-01,225.7875000000000000
1983-08-01,220.0586956521739130
1983-09-01,227.2185714285714286
1983-10-01,227.2476190476190476
1983-11-01,224.6090476190476190
1983-12-01,223.9609523809523810
1984-01-01,226.6828571428571429
1984-02-01,212.8030000000000000
1984-03-01,213.2454545454545455
1984-04-01,213.4840000000000000
1984-05-01,213.1381818181818182
1984-06-01,209.8028571428571429
1984-07-01,207.4895238095238095
1984-08-01,227.1682608695652174
1984-09-01,230.8873684210526316
1984-10-01,229.7169565217391304
1984-11-01,233.0276190476190476
1984-12-01,231.4100000000000000
1985-01-01,242.7850000000000000
1985-02-01,257.7963157894736842
1985-03-01,256.4557142857142857
1985-04-01,259.0704761904761905
1985-05-01,266.5872727272727273
1985-06-01,274.1895000000000000
1985-07-01,280.3268181818181818
1985-08-01,275.0468181818181818
1985-09-01,269.7536842105263158
1985-10-01,272.9486956521739130
1985-11-01,291.0170000000000000
1985-12-01,306.0757142857142857
1986-01-01,308.9654545454545455
1986-02-01,327.5094736842105263
1986-03-01,347.7235000000000000
1986-04-01,357.5231818181818182
1986-05-01,359.6733333333333333
1986-06-01,370.1880952380952381
1986-07-01,364.3272727272727273
1986-08-01,371.5885714285714286
1986-09-01,360.9176190476190476
1986-10-01,360.7134782608695652
1986-11-01,372.4621052631578947
1986-12-01,376.7809090909090909
1987-01-01,401.6385714285714286
1987-02-01,427.0352631578947368
1987-03-01,444.0113636363636364
1987-04-01,436.5790476190476190
1987-05-01,435.4920000000000000
1987-06-01,454.6827272727272727
1987-07-01,466.5136363636363636
1987-08-01,496.3133333333333333
1987-09-01,482.3171428571428571
1987-10-01,425.7977272727272727
1987-11-01,372.7405000000000000
1987-12-01,367.6081818181818182
1988-01-01,384.9030000000000000
1988-02-01,399.2735000000000000
1988-03-01,413.0108695652173913
1988-04-01,408.5875000000000000
1988-05-01,400.2880952380952381
1988-06-01,424.3213636363636364
1988-07-01,423.7885000000000000
1988-08-01,416.9239130434782609
1988-09-01,425.3200000000000000
1988-10-01,439.7657142857142857
1988-11-01,430.5952380952380952
1988-12-01,439.8376190476190476
1989-01-01,455.1957142857142857
1989-02-01,471.3215789473684211
1989-03-01,471.2659090909090909
1989-04-01,487.2985000000000000
1989-05-01,508.3881818181818182
1989-06-01,526.6913636363636364
1989-07-01,539.6465000000000000
1989-08-01,564.8873913043478261
1989-09-01,567.8345000000000000
1989-10-01,568.6836363636363636
1989-11-01,557.9476190476190476
1989-12-01,570.1470000000000000
1990-01-01,556.2300000000000000
1990-02-01,541.9394736842105263
1990-03-01,556.8509090909090909
1990-04-01,556.4010000000000000
1990-05-01,576.6213636363636364
1990-06-01,595.7971428571428571
1990-07-01,594.7128571428571429
1990-08-01,545.6960869565217391
1990-09-01,521.9357894736842105
1990-10-01,508.0543478260869565
1990-11-01,524.9704761904761905
1990-12-01,550.9200000000000000
1991-01-01,547.8331818181818182
1991-02-01,613.5231578947368421
1991-03-01,633.2410000000000000
1991-04-01,648.6254545454545455
1991-05-01,646.6454545454545455
1991-06-01,648.9930000000000000
1991-07-01,653.7322727272727273
1991-08-01,673.3322727272727273
1991-09-01,672.8270000000000000
1991-10-01,675.8034782608695652
1991-11-01,677.9565000000000000
1991-12-01,685.6628571428571429
1992-01-01,737.8636363636363636
1992-02-01,735.9700000000000000
1992-03-01,727.7763636363636364
1992-04-01,726.0477272727272727
1992-05-01,740.5255000000000000
1992-06-01,729.7250000000000000
1992-07-01,743.5950000000000000
1992-08-01,750.9771428571428571
1992-09-01,754.5695238095238095
1992-10-01,746.9672727272727273
1992-11-01,772.2040000000000000
1992-12-01,798.1222727272727273
1993-01-01,802.6845000000000000
1993-02-01,814.1236842105263158
1993-03-01,830.8556521739130435
1993-04-01,819.4885714285714286
1993-05-01,826.0030000000000000
1993-06-01,833.2100000000000000
