DATE,PSOILUSDM
1980-01-01,525.581408
1980-02-01,518.747086
1980-03-01,486.780096
1980-04-01,451.065252
1980-05-01,463.190662
1980-06-01,485.0164
1980-07-01,585.987996
1980-08-01,583.342452
1980-09-01,591.94047
1980-10-01,571.437504
1980-11-01,615.08898
1980-12-01,547.407146
1981-01-01,532.195268
1981-02-01,525.140484
1981-03-01,531.092958
1981-04-01,539.690976
1981-05-01,510.810454
1981-06-01,493.173494
1981-07-01,516.98339
1981-08-01,475.977458
1981-09-01,453.490334
1981-10-01,464.07251
1981-11-01,451.285714
1981-12-01,426.59397
1982-01-01,423.28704
1982-02-01,418.8778
1982-03-01,407.193314
1982-04-01,433.428292
1982-05-01,445.33324
1982-06-01,420.200572
1982-07-01,409.838858
1982-08-01,386.469886
1982-09-01,378.312792
1982-10-01,375.226324
1982-11-01,376.549096
1982-12-01,364.423686
1983-01-01,367.510154
1983-02-01,379.415102
1983-03-01,382.281108
1983-04-01,419.098262
1983-05-01,424.38935
1983-06-01,417.995952
1983-07-01,466.497592
1983-08-01,657.417684
1983-09-01,744.720636
1983-10-01,662.929234
1983-11-01,610.459278
1983-12-01,602.302184
1984-01-01,618.39591
1984-02-01,590.617698
1984-03-01,649.481052
1984-04-01,692.25068
1984-05-01,825.409728
1984-06-01,750.67311
1984-07-01,636.253332
1984-08-01,600.75895
1984-09-01,588.413078
1984-10-01,609.797892
1984-11-01,620.820992
1984-12-01,592.381394
1985-01-01,583.783376
1985-02-01,618.616372
1985-03-01,655.653988
1985-04-01,707.68302
1985-05-01,689.384674
1985-06-01,671.968176
1985-07-01,608.254658
1985-08-01,507.503524
1985-09-01,477.741154
1985-10-01,438.71938
1985-11-01,439.601228
1985-12-01,460.324656
1986-01-01,445.33324
1986-02-01,409.838858
1986-03-01,386.91081
1986-04-01,389.11543
1986-05-01,391.981436
1986-06-01,371.698932
1986-07-01,361.116756
1986-08-01,317.906204
1986-09-01,301.592016
1986-10-01,320.551748
1986-11-01,337.086398
1986-12-01,339.51148
1987-01-01,356.927978
1987-02-01,354.061972
1987-03-01,347.668574
1987-04-01,345.904878
1987-05-01,368.612464
1987-06-01,366.628306
1987-07-01,354.94382
1987-08-01,348.770884
1987-09-01,354.723358
1987-10-01,383.383418
1987-11-01,390.658664
1987-12-01,430.562286
1988-01-01,486.559634
1988-02-01,465.17482
1988-03-01,450.84479
1988-04-01,486.339172
1988-05-01,527.345104
1988-06-01,615.08898
1988-07-01,645.733198
1988-08-01,593.483704
1988-09-01,561.957638
1988-10-01,525.140484
1988-11-01,490.087026
1988-12-01,508.16491
1989-01-01,484.355014
1989-02-01,488.543792
1989-03-01,508.16491
1989-04-01,498.905506
1989-05-01,498.685044
1989-06-01,457.679112
1989-07-01,434.089678
1989-08-01,399.477144
1989-09-01,415.129946
1989-10-01,412.043478
1989-11-01,426.814432
1989-12-01,417.555028
1990-01-01,418.657338
1990-02-01,438.71938
1990-03-01,487.22102
1990-04-01,498.24412
1990-05-01,526.90418
1990-06-01,531.754344
1990-07-01,530.652034
1990-08-01,536.82497
1990-09-01,524.479098
1990-10-01,487.882406
1990-11-01,458.120036
1990-12-01,466.27713
1991-01-01,468.040826
1991-02-01,470.68637
1991-03-01,483.91409
1991-04-01,472.009142
1991-05-01,443.569544
1991-06-01,432.987368
1991-07-01,419.98011
1991-08-01,445.33324
1991-09-01,451.726638
1991-10-01,431.664596
1991-11-01,418.436876
1991-12-01,421.964268
1992-01-01,420.421034
1992-02-01,424.38935
1992-03-01,446.43555
1992-04-01,430.121362
1992-05-01,454.15172
1992-06-01,467.599902
1992-07-01,425.050736
1992-08-01,405.429618
1992-09-01,414.027636
1992-10-01,413.586712
1992-11-01,444.451392
1992-12-01,452.608486
1993-01-01,468.040826
1993-02-01,456.797264
1993-03-01,462.749738
1993-04-01,468.261288
1993-05-01,467.37944
1993-06-01,470.245446
1993-07-01,534.840812
1993-08-01,519.628934
1993-09-01,517.644776
1993-10-01,501.771512
1993-11-01,555.343778
1993-12-01,615.08898
1994-01-01,651.244748
1994-02-01,627.21439
1994-03-01,633.387326
1994-04-01,613.98667
1994-05-01,637.13518
1994-06-01,604.06588
1994-07-01,539.250052
1994-08-01,539.250052
1994-09-01,569.89427
1994-10-01,567.248726
1994-11-01,615.309442
1994-12-01,638.457952
1995-01-01,615.529904
1995-02-01,598.995254
1995-03-01,610.900202
1995-04-01,566.58734
1995-05-01,565.264568
1995-06-01,585.767534
1995-07-01,606.490962
1995-08-01,580.255984
1995-09-01,579.153674
1995-10-01,587.53123
1995-11-01,565.925954
1995-12-01,553.800544
1996-01-01,532.856654
1996-02-01,535.72266
1996-03-01,534.399888
1996-04-01,580.476446
