DATE,RU2500TR
1979-01-01,20.64
1979-02-01,20.11
1979-03-01,21.91
1979-04-01,22.38
1979-05-01,22.09
1979-06-01,23.36
1979-07-01,24.04
1979-08-01,25.9
1979-09-01,25.85
1979-10-01,23.33
1979-11-01,25.19
1979-12-01,26.55
1980-01-01,28.45
1980-02-01,27.89
1980-03-01,23.27
1980-04-01,24.8
1980-05-01,26.85
1980-06-01,28.05
1980-07-01,30.87
1980-08-01,32.46
1980-09-01,33.5
1980-10-01,34.26
1980-11-01,36.69
1980-12-01,35.65
1981-01-01,35.28
1981-02-01,35.73
1981-03-01,38.64
1981-04-01,39.44
1981-05-01,40.59
1981-06-01,39.87
1981-07-01,39.03
1981-08-01,36.4
1981-09-01,33.71
1981-10-01,36.11
1981-11-01,37.39
1981-12-01,36.71
1982-01-01,35.31
1982-02-01,33.75
1982-03-01,33.43
1982-04-01,35.13
1982-05-01,34.11
1982-06-01,33.14
1982-07-01,32.66
1982-08-01,35.96
1982-09-01,37.19
1982-10-01,42.49
1982-11-01,45.92
1982-12-01,46.51
1983-01-01,49.1
1983-02-01,51.82
1983-03-01,53.64
1983-04-01,57.19
1983-05-01,60.63
1983-06-01,63.03
1983-07-01,61.22
1983-08-01,59.68
1983-09-01,61.22
1983-10-01,57.73
1983-11-01,60.64
1983-12-01,59.38
1984-01-01,57.69
1984-02-01,54.33
1984-03-01,54.76
1984-04-01,54.39
1984-05-01,51.62
1984-06-01,53.22
1984-07-01,51.06
1984-08-01,57.29
1984-09-01,57.12
1984-10-01,56.52
1984-11-01,55.76
1984-12-01,56.92
1985-01-01,63.51
1985-02-01,64.88
1985-03-01,63.97
1985-04-01,63.44
1985-05-01,66.28
1985-06-01,67.57
1985-07-01,68.77
1985-08-01,68.39
1985-09-01,64.69
1985-10-01,67.27
1985-11-01,72.09
1985-12-01,75.09
1986-01-01,76.43
1986-02-01,82.03
1986-03-01,86.46
1986-04-01,87.31
1986-05-01,91.26
1986-06-01,91.96
1986-07-01,84.42
1986-08-01,88.63
1986-09-01,82.99
1986-10-01,86.31
1986-11-01,86.36
1986-12-01,84.08
1987-01-01,93.98
1987-02-01,100.87
1987-03-01,102.61
1987-04-01,99.95
1987-05-01,100.29
1987-06-01,103.22
1987-07-01,107.12
1987-08-01,110.44
1987-09-01,108.28
1987-10-01,77.64
1987-11-01,74.02
1987-12-01,80.15
1988-01-01,83.67
1988-02-01,90.71
1988-03-01,93
1988-04-01,94.06
1988-05-01,92.72
1988-06-01,99.31
1988-07-01,97.8
1988-08-01,95.55
1988-09-01,98.49
1988-10-01,98.03
1988-11-01,95.23
1988-12-01,98.37
1989-01-01,103.47
1989-02-01,104
1989-03-01,105.97
1989-04-01,111
1989-05-01,115.82
1989-06-01,114.01
1989-07-01,119.37
1989-08-01,122.95
1989-09-01,122.34
1989-10-01,115.98
1989-11-01,116.9
1989-12-01,117.48
1990-01-01,107.68
1990-02-01,110.7
1990-03-01,114.22
1990-04-01,110.01
1990-05-01,118.7
1990-06-01,118.71
1990-07-01,114.45
1990-08-01,100.68
1990-09-01,92.62
1990-10-01,88.21
1990-11-01,95.73
1990-12-01,100
1991-01-01,99.58409091
1991-02-01,115.6878947
1991-03-01,122.494
1991-04-01,127.8036364
1991-05-01,127.0013636
1991-06-01,128.4835
1991-07-01,128.5145455
1991-08-01,132.9054545
1991-09-01,134.6765
1991-10-01,136.1130435
1991-11-01,137.53
1991-12-01,137.0552381
1992-01-01,152.6190909
1992-02-01,157.8952632
1992-03-01,155.6436364
1992-04-01,149.3995238
1992-05-01,150.8505
1992-06-01,147.36
1992-07-01,147.7981818
1992-08-01,149.0957143
1992-09-01,150.0461905
1992-10-01,149.7363636
1992-11-01,159.719
1992-12-01,166.3477273
1993-01-01,172.286
1993-02-01,173.5757895
1993-03-01,176.5482609
1993-04-01,174.2557143
1993-05-01,177.936
1993-06-01,179.4668182
1993-07-01,182.7847619
1993-08-01,187.8436364
1993-09-01,191.6290476
1993-10-01,196.1819048
1993-11-01,193.457619
1993-12-01,194.5745455
1994-01-01,201.0009524
1994-02-01,203.3405263
