DATE,OPCNRE01CAM661N
1998-11-01,60.59626727
1998-12-01,60.59626727
1999-01-01,60.59626727
1999-02-01,60.79017533
1999-03-01,60.88712935
1999-04-01,60.98408338
1999-05-01,60.98408338
1999-06-01,61.08103741
1999-07-01,61.17799144
1999-08-01,61.37189949
1999-09-01,61.66276157
1999-10-01,61.7597156
1999-11-01,62.05057768
1999-12-01,62.24448574
2000-01-01,62.24448574
2000-02-01,62.63230185
2000-03-01,62.72925588
2000-04-01,62.82620991
2000-05-01,63.02011796
2000-06-01,63.02011796
2000-07-01,63.11707199
2000-08-01,63.40793407
2000-09-01,63.60184213
2000-10-01,63.69879615
2000-11-01,64.08661226
2000-12-01,64.08661226
2001-01-01,64.37747435
2001-02-01,64.5713824
2001-03-01,64.76529046
2001-04-01,65.05615254
2001-05-01,65.15310657
2001-06-01,65.44396865
2001-07-01,65.73483073
2001-08-01,65.83178476
2001-09-01,66.02569282
2001-10-01,66.02569282
2001-11-01,66.3165549
2001-12-01,66.41350893
2002-01-01,66.70437101
2002-02-01,67.3830492
2002-03-01,67.57695726
2002-04-01,68.25563545
2002-05-01,68.74040559
2002-06-01,68.93431365
2002-07-01,69.03126767
2002-08-01,69.51603781
2002-09-01,69.61299184
2002-10-01,70.19471601
2002-11-01,70.77644017
2002-12-01,70.97034823
2003-01-01,71.26121031
2003-02-01,71.84293448
2003-03-01,71.84293448
2003-04-01,72.23075059
2003-05-01,72.71552072
2003-06-01,72.90942878
2003-07-01,73.20029086
2003-08-01,73.685061
2003-09-01,74.07287711
2003-10-01,74.46069322
2003-11-01,75.23632544
2003-12-01,75.4302335
2004-01-01,75.72109558
2004-02-01,76.10891169
2004-03-01,76.39977377
2004-04-01,77.07845197
2004-05-01,77.85408419
2004-06-01,78.33885433
2004-07-01,78.43580835
2004-08-01,78.82362446
2004-09-01,79.11448655
2004-10-01,79.3083946
2004-11-01,79.69621071
2004-12-01,79.89011877
2005-01-01,80.08402682
2005-02-01,80.37488891
2005-03-01,80.66575099
2005-04-01,81.0535671
2005-05-01,81.44138321
2005-06-01,81.63529127
2005-07-01,81.82919932
2005-08-01,82.1200614
2005-09-01,82.60483154
2005-10-01,83.38046376
2005-11-01,83.76827987
2005-12-01,84.44695807
2006-01-01,85.31954432
2006-02-01,85.99822251
2006-03-01,86.96776279
2006-04-01,88.13121112
2006-05-01,89.10075139
2006-06-01,90.45810778
2006-07-01,91.23374
2006-08-01,92.68805042
2006-09-01,93.17282055
2006-10-01,93.26977458
2006-11-01,93.65759069
2006-12-01,93.56063666
2007-01-01,93.94845278
2007-02-01,94.43322291
2007-03-01,94.724085
2007-04-01,95.40276319
2007-05-01,96.56621152
2007-06-01,97.05098166
2007-07-01,97.72965985
2007-08-01,98.31138402
2007-09-01,98.6022461
2007-10-01,98.6022461
2007-11-01,99.08701624
2007-12-01,99.18397027
2008-01-01,99.76569443
2008-02-01,100.0565565
2008-03-01,100.1535105
2008-04-01,100.0565565
2008-05-01,99.95960249
2008-06-01,99.95960249
2008-07-01,100.0565565
2008-08-01,100.0565565
2008-09-01,99.95960249
2008-10-01,99.2809243
2008-11-01,98.69920013
2008-12-01,98.50529207
2009-01-01,97.92356791
2009-02-01,97.05098166
2009-03-01,96.56621152
2009-04-01,95.7905793
2009-05-01,95.69362527
2009-06-01,95.59667125
2009-07-01,95.88753333
2009-08-01,96.08144138
2009-09-01,96.76011958
2009-10-01,97.14793569
2009-11-01,97.63270583
2009-12-01,98.21442999
2010-01-01,98.69920013
2010-02-01,98.89310818
2010-03-01,99.47483235
2010-04-01,99.66874041
2010-05-01,100.1535105
2010-06-01,100.3474186
2010-07-01,100.2504646
2010-08-01,100.4443726
2010-09-01,100.4443726
2010-10-01,100.4443726
2010-11-01,100.6382807
2010-12-01,100.5413267
2011-01-01,100.8321887
2011-02-01,101.1230508
2011-03-01,101.3169589
2011-04-01,101.704775
2011-05-01,102.1895451
2011-06-01,102.5773612
2011-07-01,102.5773612
2011-08-01,102.6743153
2011-09-01,102.9651773
2011-10-01,103.1590854
2011-11-01,103.5469015
2011-12-01,103.5469015
2012-01-01,103.6438555
2012-02-01,103.8377636
2012-03-01,104.2255797
2012-04-01,104.5164418
2012-05-01,104.8073039
2012-06-01,105.098166
2012-07-01,105.19512
2012-08-01,105.389028
2012-09-01,105.5829361
2012-10-01,105.9707522
2012-11-01,106.0677062
2012-12-01,106.2616143
2013-01-01,106.4555223
2013-02-01,106.5524764
2013-03-01,106.6494304
2013-04-01,106.8433385
2013-05-01,107.0372465
2013-06-01,107.1342005
2013-07-01,107.4250626
2013-08-01,107.5220166
2013-09-01,107.5220166
2013-10-01,107.6189707
2013-11-01,107.7159247
2013-12-01,107.8128787
2014-01-01,108.1037408
2014-02-01,108.4915569
2014-03-01,108.5885109
2014-04-01,108.879373
2014-05-01,109.0732811
2014-06-01,109.2671891
2014-07-01,109.2671891
2014-08-01,109.5580512
2014-09-01,109.6550053
2014-10-01,109.7519593
2014-11-01,109.8489133
2014-12-01,109.9458673
2015-01-01,109.8489133
2015-02-01,110.0428214
2015-03-01,110.1397754
2015-04-01,110.2367294
2015-05-01,110.2367294
2015-06-01,110.4306375
2015-07-01,110.7214996
2015-08-01,111.0123616
2015-09-01,111.2062697
2015-10-01,111.4971318
2015-11-01,111.6910398
2015-12-01,111.8849479
2016-01-01,112.0788559
2016-02-01,112.4666721
2016-03-01,112.6605801
2016-04-01,113.0483962
2016-05-01,114.1148905
2016-06-01,114.2118446
2016-07-01,114.7935687
2016-08-01,115.0844308
2016-09-01,115.1813848
2016-10-01,115.666155
2016-11-01,115.763109
2016-12-01,115.860063
