DATE,PCU3117103117102
2007-05-01,187.8
2007-06-01,187.4
2007-07-01,187.5
2007-08-01,185.4
2007-09-01,186.5
2007-10-01,187.8
2007-11-01,188.9
2007-12-01,193.4
2008-01-01,196
2008-02-01,195.8
2008-03-01,198.8
2008-04-01,202.3
2008-05-01,207.3
2008-06-01,207.8
2008-07-01,211.6
2008-08-01,214
2008-09-01,213.9
2008-10-01,216.2
2008-11-01,212.9
2008-12-01,211.2
2009-01-01,211.1
2009-02-01,210.2
2009-03-01,211.3
2009-04-01,208.1
2009-05-01,204.8
2009-06-01,202.5
2009-07-01,201.4
2009-08-01,201
2009-09-01,200.9
2009-10-01,200.4
2009-11-01,206.2
2009-12-01,207.6
2010-01-01,208.5
2010-02-01,209.7
2010-03-01,211.4
2010-04-01,211.3
2010-05-01,213.9
2010-06-01,215.5
2010-07-01,215.9
2010-08-01,215.6
2010-09-01,216.3
2010-10-01,219.7
2010-11-01,225.2
2010-12-01,224.9
2011-01-01,228.3
2011-02-01,228.6
2011-03-01,230.1
2011-04-01,231.9
2011-05-01,232.3
2011-06-01,232.1
2011-07-01,229.9
2011-08-01,230.9
2011-09-01,232.1
2011-10-01,233
2011-11-01,236.4
2011-12-01,236.3
2012-01-01,236.1
2012-02-01,232.4
2012-03-01,232.9
2012-04-01,233.7
2012-05-01,233.2
2012-06-01,230.9
2012-07-01,228.6
2012-08-01,229.6
2012-09-01,228.8
2012-10-01,227.4
2012-11-01,228.6
2012-12-01,227.6
2013-01-01,230.4
2013-02-01,224.1
2013-03-01,226.5
2013-04-01,226.4
2013-05-01,229.6
2013-06-01,228.3
2013-07-01,225.6
2013-08-01,227.8
2013-09-01,230
2013-10-01,230.4
2013-11-01,230.7
2013-12-01,232.6
2014-01-01,233.6
2014-02-01,234.5
2014-03-01,236.9
2014-04-01,237.4
2014-05-01,238.8
2014-06-01,240.7
2014-07-01,238.2
2014-08-01,241.1
2014-09-01,240.2
2014-10-01,241.3
2014-11-01,241.7
2014-12-01,240.8
2015-01-01,242.1
2015-02-01,241.5
2015-03-01,241.4
2015-04-01,240.5
2015-05-01,237.1
2015-06-01,233.1
2015-07-01,231.4
2015-08-01,227
2015-09-01,224.9
2015-10-01,224.5
2015-11-01,227.5
2015-12-01,229.1
2016-01-01,228.1
2016-02-01,226.7
2016-03-01,228.4
2016-04-01,226
2016-05-01,224.7
2016-06-01,231
2016-07-01,232.8
2016-08-01,232.4
2016-09-01,233.5
2016-10-01,234.3
2016-11-01,235.8
2016-12-01,235.9
2017-01-01,239.4
2017-02-01,239.6
2017-03-01,240.3
2017-04-01,241.1
2017-05-01,239.7
2017-06-01,238.4
2017-07-01,235
2017-08-01,235.8
2017-09-01,236.1
2017-10-01,238.3
2017-11-01,238.2
2017-12-01,239.8
2018-01-01,240.8
2018-02-01,242.2
2018-03-01,240.8
2018-04-01,241.4
