DATE,RUMIDCAPPR
1979-02-01,102.3900000000000000
1979-03-01,110.3700000000000000
1979-04-01,111.2500000000000000
1979-05-01,109.6900000000000000
1979-06-01,115.7800000000000000
1979-07-01,118.4800000000000000
1979-08-01,126.2900000000000000
1979-09-01,125.5300000000000000
1979-10-01,114.2600000000000000
1979-11-01,122.0100000000000000
1979-12-01,126.2500000000000000
1980-01-01,132.8900000000000000
1980-02-01,129.2400000000000000
1980-03-01,111.7200000000000000
1980-04-01,118.6100000000000000
1980-05-01,127.0700000000000000
1980-06-01,132.6800000000000000
1980-07-01,143.4300000000000000
1980-08-01,146.4100000000000000
1980-09-01,150.8000000000000000
1980-10-01,151.9600000000000000
1980-11-01,163.3100000000000000
1980-12-01,159.6000000000000000
1981-01-01,155.5300000000000000
1981-02-01,157.5200000000000000
1981-03-01,169.1500000000000000
1981-04-01,169.5500000000000000
1981-05-01,172.9700000000000000
1981-06-01,169.1500000000000000
1981-07-01,166.6600000000000000
1981-08-01,156.4000000000000000
1981-09-01,145.7700000000000000
1981-10-01,155.3600000000000000
1981-11-01,160.8200000000000000
1981-12-01,156.3300000000000000
1982-01-01,150.1900000000000000
1982-02-01,143.0400000000000000
1982-03-01,140.9200000000000000
1982-04-01,147.3200000000000000
1982-05-01,141.2400000000000000
1982-06-01,136.8300000000000000
1982-07-01,133.2300000000000000
1982-08-01,148.2500000000000000
1982-09-01,151.8000000000000000
1982-10-01,171.6400000000000000
1982-11-01,181.2200000000000000
1982-12-01,183.2600000000000000
1983-01-01,189.3000000000000000
1983-02-01,195.0200000000000000
1983-03-01,201.1400000000000000
1983-04-01,213.3400000000000000
1983-05-01,221.3400000000000000
1983-06-01,228.7500000000000000
1983-07-01,221.1500000000000000
1983-08-01,218.8600000000000000
1983-09-01,224.3700000000000000
1983-10-01,215.2400000000000000
1983-11-01,223.5900000000000000
1983-12-01,218.7700000000000000
1984-01-01,212.1100000000000000
1984-02-01,199.8200000000000000
1984-03-01,202.4500000000000000
1984-04-01,199.8000000000000000
1984-05-01,187.6900000000000000
1984-06-01,192.8300000000000000
1984-07-01,186.7200000000000000
1984-08-01,208.8700000000000000
1984-09-01,209.2800000000000000
1984-10-01,209.3900000000000000
1984-11-01,207.6900000000000000
1984-12-01,212.9000000000000000
1985-01-01,232.6800000000000000
1985-02-01,236.0200000000000000
1985-03-01,233.9400000000000000
1985-04-01,232.7900000000000000
1985-05-01,245.1500000000000000
1985-06-01,250.2600000000000000
1985-07-01,249.4000000000000000
1985-08-01,247.1600000000000000
1985-09-01,234.3200000000000000
1985-10-01,245.9200000000000000
1985-11-01,262.0300000000000000
1985-12-01,271.1100000000000000
1986-01-01,276.6900000000000000
1986-02-01,298.2900000000000000
1986-03-01,313.1500000000000000
1986-04-01,311.2600000000000000
1986-05-01,326.4700000000000000
1986-06-01,330.1700000000000000
1986-07-01,307.7900000000000000
1986-08-01,328.6900000000000000
1986-09-01,304.6800000000000000
1986-10-01,319.3900000000000000
1986-11-01,320.9400000000000000
1986-12-01,311.0000000000000000
1987-01-01,348.8000000000000000
1987-02-01,368.7800000000000000
1987-03-01,371.4100000000000000
1987-04-01,360.9800000000000000
1987-05-01,361.1600000000000000
1987-06-01,374.9200000000000000
1987-07-01,389.5000000000000000
1987-08-01,402.0700000000000000
1987-09-01,392.9200000000000000
1987-10-01,295.5800000000000000
1987-11-01,278.1600000000000000
1987-12-01,301.2700000000000000
1988-01-01,314.7800000000000000
1988-02-01,335.9800000000000000
1988-03-01,335.5200000000000000
1988-04-01,337.1100000000000000
1988-05-01,335.2100000000000000
1988-06-01,357.2500000000000000
1988-07-01,349.4800000000000000
1988-08-01,340.4700000000000000
1988-09-01,351.1500000000000000
1988-10-01,351.9700000000000000
1988-11-01,342.3700000000000000
1988-12-01,349.9200000000000000
1989-01-01,370.2100000000000000
1989-02-01,368.1600000000000000
1989-03-01,373.2300000000000000
1989-04-01,390.6100000000000000
1989-05-01,406.8700000000000000
1989-06-01,404.4600000000000000
1989-07-01,431.9400000000000000
1989-08-01,445.0200000000000000
1989-09-01,439.9800000000000000
1989-10-01,418.5400000000000000
1989-11-01,423.0300000000000000
1989-12-01,429.2200000000000000
1990-01-01,394.1500000000000000
1990-02-01,400.8100000000000000
1990-03-01,409.4400000000000000
1990-04-01,391.1900000000000000
1990-05-01,425.2000000000000000
1990-06-01,421.4500000000000000
1990-07-01,408.0800000000000000
1990-08-01,362.6600000000000000
1990-09-01,334.9100000000000000
1990-10-01,323.4800000000000000
1990-11-01,353.1900000000000000
1990-12-01,367.2300000000000000
1991-01-01,391.3300000000000000
1991-02-01,422.4100000000000000
1991-03-01,438.9300000000000000
1991-04-01,440.6900000000000000
1991-05-01,460.1700000000000000
1991-06-01,437.9800000000000000
1991-07-01,458.6100000000000000
1991-08-01,470.6800000000000000
1991-09-01,466.9500000000000000
1991-10-01,475.7400000000000000
1991-11-01,454.7500000000000000
1991-12-01,504.4000000000000000
1992-01-01,513.0900000000000000
1992-02-01,523.5600000000000000
1992-03-01,509.0300000000000000
1992-04-01,512.1800000000000000
1992-05-01,514.1800000000000000
1992-06-01,504.6500000000000000
1992-07-01,524.9100000000000000
1992-08-01,511.4300000000000000
1992-09-01,520.9700000000000000
1992-10-01,532.8900000000000000
1992-11-01,558.2900000000000000
1992-12-01,572.1200000000000000
1993-01-01,582.8300000000000000
1993-02-01,582.1700000000000000
1993-03-01,599.8800000000000000
1993-04-01,583.1600000000000000
1993-05-01,600.1500000000000000
1993-06-01,605.8600000000000000
1993-07-01,607.9900000000000000
