DATE,WILLRESIND
1978-02-01,12.1100000000000000
1978-03-01,13.0900000000000000
1978-04-01,13.9800000000000000
1978-05-01,13.7600000000000000
1978-06-01,13.9900000000000000
1978-07-01,14.3700000000000000
1978-08-01,15.5300000000000000
1978-09-01,15.5800000000000000
1978-10-01,12.5900000000000000
1978-11-01,13.2000000000000000
1978-12-01,13.8100000000000000
1979-01-01,14.6300000000000000
1979-02-01,14.5400000000000000
1979-03-01,17.0800000000000000
1979-04-01,17.1200000000000000
1979-05-01,17.4200000000000000
1979-06-01,19.0000000000000000
1979-07-01,19.7700000000000000
1979-08-01,22.8600000000000000
1979-09-01,22.7800000000000000
1979-10-01,20.2400000000000000
1979-11-01,21.6200000000000000
1979-12-01,23.5900000000000000
1980-01-01,25.2500000000000000
1980-02-01,24.3700000000000000
1980-03-01,19.3200000000000000
1980-04-01,20.8300000000000000
1980-05-01,23.1400000000000000
1980-06-01,24.0100000000000000
1980-07-01,26.8200000000000000
1980-08-01,27.6600000000000000
1980-09-01,27.4000000000000000
1980-10-01,29.3800000000000000
1980-11-01,29.8200000000000000
1980-12-01,28.8000000000000000
1981-01-01,29.1700000000000000
1981-02-01,29.2300000000000000
1981-03-01,31.4300000000000000
1981-04-01,31.8200000000000000
1981-05-01,31.4400000000000000
1981-06-01,32.6000000000000000
1981-07-01,32.4000000000000000
1981-08-01,30.7900000000000000
1981-09-01,27.8700000000000000
1981-10-01,29.3100000000000000
1981-11-01,30.8900000000000000
1981-12-01,30.8700000000000000
1982-01-01,28.8100000000000000
1982-02-01,28.1800000000000000
1982-03-01,27.9300000000000000
1982-04-01,28.5700000000000000
1982-05-01,28.5000000000000000
1982-06-01,27.6100000000000000
1982-07-01,27.6600000000000000
1982-08-01,29.2000000000000000
1982-09-01,30.6800000000000000
1982-10-01,34.5700000000000000
1982-11-01,37.4100000000000000
1982-12-01,38.4200000000000000
1983-01-01,39.3700000000000000
1983-02-01,40.1900000000000000
1983-03-01,42.1700000000000000
1983-04-01,45.4200000000000000
1983-05-01,45.1000000000000000
1983-06-01,46.1500000000000000
1983-07-01,45.9700000000000000
1983-08-01,45.1600000000000000
1983-09-01,47.2600000000000000
1983-10-01,46.2100000000000000
1983-11-01,47.8100000000000000
1983-12-01,49.0300000000000000
1984-01-01,49.7700000000000000
1984-02-01,48.9000000000000000
1984-03-01,49.9000000000000000
1984-04-01,51.1700000000000000
1984-05-01,50.5700000000000000
1984-06-01,50.9100000000000000
1984-07-01,50.4600000000000000
1984-08-01,54.5700000000000000
1984-09-01,56.4200000000000000
1984-10-01,57.1800000000000000
1984-11-01,58.6300000000000000
1984-12-01,59.1500000000000000
1985-01-01,63.6000000000000000
1985-02-01,65.4600000000000000
1985-03-01,64.7000000000000000
1985-04-01,65.3700000000000000
1985-05-01,68.2900000000000000
1985-06-01,68.7000000000000000
1985-07-01,69.7300000000000000
1985-08-01,69.0400000000000000
1985-09-01,67.4300000000000000
1985-10-01,69.7700000000000000
1985-11-01,70.1200000000000000
1985-12-01,71.0600000000000000
1986-01-01,72.6700000000000000
1986-02-01,75.6400000000000000
1986-03-01,81.1600000000000000
1986-04-01,81.2000000000000000
1986-05-01,81.1200000000000000
1986-06-01,84.9300000000000000
1986-07-01,83.4800000000000000
1986-08-01,87.0100000000000000
1986-09-01,83.3700000000000000
1986-10-01,87.2100000000000000
1986-11-01,86.5000000000000000
1986-12-01,85.4900000000000000
1987-01-01,89.1900000000000000
1987-02-01,92.9000000000000000
1987-03-01,93.0500000000000000
1987-04-01,91.1700000000000000
1987-05-01,89.7500000000000000
1987-06-01,92.6600000000000000
1987-07-01,94.1300000000000000
1987-08-01,93.0100000000000000
1987-09-01,92.6700000000000000
1987-10-01,75.3300000000000000
1987-11-01,76.7900000000000000
1987-12-01,78.7700000000000000
1988-01-01,84.1400000000000000
1988-02-01,88.9900000000000000
1988-03-01,87.6200000000000000
1988-04-01,89.3000000000000000
1988-05-01,89.8200000000000000
1988-06-01,93.3400000000000000
1988-07-01,94.4700000000000000
1988-08-01,94.2700000000000000
1988-09-01,95.9800000000000000
1988-10-01,95.9700000000000000
1988-11-01,94.7300000000000000
1988-12-01,97.8100000000000000
1989-01-01,99.4000000000000000
1989-02-01,99.6600000000000000
1989-03-01,100.3600000000000000
1989-04-01,102.1800000000000000
1989-05-01,103.9400000000000000
1989-06-01,105.1000000000000000
1989-07-01,108.4200000000000000
1989-08-01,107.2800000000000000
1989-09-01,107.0400000000000000
1989-10-01,101.6900000000000000
1989-11-01,100.1700000000000000
1989-12-01,100.1300000000000000
1990-01-01,95.4200000000000000
1990-02-01,95.3800000000000000
1990-03-01,95.1600000000000000
1990-04-01,93.3100000000000000
1990-05-01,92.9000000000000000
1990-06-01,93.0800000000000000
1990-07-01,89.5100000000000000
1990-08-01,79.0600000000000000
1990-09-01,69.9000000000000000
1990-10-01,64.8600000000000000
1990-11-01,67.5000000000000000
1990-12-01,66.6300000000000000
1991-01-01,73.1200000000000000
1991-02-01,77.4100000000000000
1991-03-01,84.3100000000000000
1991-04-01,83.6300000000000000
1991-05-01,84.9300000000000000
1991-06-01,80.7400000000000000
1991-07-01,80.4000000000000000
1991-08-01,79.4300000000000000
1991-09-01,78.5200000000000000
1991-10-01,76.7500000000000000
1991-11-01,74.2100000000000000
1991-12-01,79.9800000000000000
1992-01-01,83.7500000000000000
1992-02-01,83.5400000000000000
1992-03-01,81.7300000000000000
1992-04-01,80.3800000000000000
1992-05-01,80.7000000000000000
1992-06-01,78.2700000000000000
1992-07-01,78.5600000000000000
