DATE,RU3000VTR
1979-01-01,93.3500000000000000
1979-02-01,91.3300000000000000
1979-03-01,97.0000000000000000
1979-04-01,97.6600000000000000
1979-05-01,96.5800000000000000
1979-06-01,101.7500000000000000
1979-07-01,103.7000000000000000
1979-08-01,109.7100000000000000
1979-09-01,110.0700000000000000
1979-10-01,101.2100000000000000
1979-11-01,105.6900000000000000
1979-12-01,107.3900000000000000
1980-01-01,112.8900000000000000
1980-02-01,112.5500000000000000
1980-03-01,100.2700000000000000
1980-04-01,105.7800000000000000
1980-05-01,113.1400000000000000
1980-06-01,116.1100000000000000
1980-07-01,122.2900000000000000
1980-08-01,124.5600000000000000
1980-09-01,126.0800000000000000
1980-10-01,127.1500000000000000
1980-11-01,137.0300000000000000
1980-12-01,133.7200000000000000
1981-01-01,132.3100000000000000
1981-02-01,134.8700000000000000
1981-03-01,141.3700000000000000
1981-04-01,141.5700000000000000
1981-05-01,142.7800000000000000
1981-06-01,143.7400000000000000
1981-07-01,142.3600000000000000
1981-08-01,135.8100000000000000
1981-09-01,128.6800000000000000
1981-10-01,133.7300000000000000
1981-11-01,140.6300000000000000
1981-12-01,137.0500000000000000
1982-01-01,133.7900000000000000
1982-02-01,128.8500000000000000
1982-03-01,129.1800000000000000
1982-04-01,133.2200000000000000
1982-05-01,130.9000000000000000
1982-06-01,127.6200000000000000
1982-07-01,124.1800000000000000
1982-08-01,140.5500000000000000
1982-09-01,141.9300000000000000
1982-10-01,157.8100000000000000
1982-11-01,162.7000000000000000
1982-12-01,165.5900000000000000
1983-01-01,173.1600000000000000
1983-02-01,177.0900000000000000
1983-03-01,184.4100000000000000
1983-04-01,199.0600000000000000
1983-05-01,201.5900000000000000
1983-06-01,206.2400000000000000
1983-07-01,203.2700000000000000
1983-08-01,207.5600000000000000
1983-09-01,211.0300000000000000
1983-10-01,208.9800000000000000
1983-11-01,215.4900000000000000
1983-12-01,214.0200000000000000
1984-01-01,217.4700000000000000
1984-02-01,210.2300000000000000
1984-03-01,212.8500000000000000
1984-04-01,213.5400000000000000
1984-05-01,202.5500000000000000
1984-06-01,205.2400000000000000
1984-07-01,201.7400000000000000
1984-08-01,224.8600000000000000
1984-09-01,228.5300000000000000
1984-10-01,228.1700000000000000
1984-11-01,228.1600000000000000
1984-12-01,233.8800000000000000
1985-01-01,251.1200000000000000
1985-02-01,255.5700000000000000
1985-03-01,256.5500000000000000
1985-04-01,259.0500000000000000
1985-05-01,273.8400000000000000
1985-06-01,278.8800000000000000
1985-07-01,277.7000000000000000
1985-08-01,278.1700000000000000
1985-09-01,267.5100000000000000
1985-10-01,280.8100000000000000
1985-11-01,296.7600000000000000
1985-12-01,307.5000000000000000
1986-01-01,311.5000000000000000
1986-02-01,334.5400000000000000
1986-03-01,350.1700000000000000
1986-04-01,343.0800000000000000
1986-05-01,359.6500000000000000
1986-06-01,363.1800000000000000
1986-07-01,346.3000000000000000
1986-08-01,378.0300000000000000
1986-09-01,353.0300000000000000
1986-10-01,370.3300000000000000
1986-11-01,376.3100000000000000
1986-12-01,365.2500000000000000
1987-01-01,407.0400000000000000
1987-02-01,416.5300000000000000
1987-03-01,426.7300000000000000
1987-04-01,421.0800000000000000
1987-05-01,422.3700000000000000
1987-06-01,441.6900000000000000
1987-07-01,459.2400000000000000
1987-08-01,475.8700000000000000
1987-09-01,467.2400000000000000
1987-10-01,369.9100000000000000
1987-11-01,345.3500000000000000
1987-12-01,364.7700000000000000
1988-01-01,392.8200000000000000
1988-02-01,411.5000000000000000
1988-03-01,405.4400000000000000
1988-04-01,411.5500000000000000
1988-05-01,416.3300000000000000
1988-06-01,436.7100000000000000
1988-07-01,436.8100000000000000
1988-08-01,428.3700000000000000
1988-09-01,442.0300000000000000
1988-10-01,451.0200000000000000
1988-11-01,444.9900000000000000
1988-12-01,450.9700000000000000
1989-01-01,481.0900000000000000
1989-02-01,474.5500000000000000
1989-03-01,484.8800000000000000
1989-04-01,504.6100000000000000
1989-05-01,524.6500000000000000
1989-06-01,522.2700000000000000
1989-07-01,556.0800000000000000
1989-08-01,569.6400000000000000
1989-09-01,564.3800000000000000
1989-10-01,543.1000000000000000
1989-11-01,549.0400000000000000
1989-12-01,560.1900000000000000
1990-01-01,524.9600000000000000
1990-02-01,538.1700000000000000
1990-03-01,544.4700000000000000
1990-04-01,523.3700000000000000
1990-05-01,565.6700000000000000
1990-06-01,553.6200000000000000
1990-07-01,547.7400000000000000
1990-08-01,498.5400000000000000
1990-09-01,473.5000000000000000
1990-10-01,465.7600000000000000
1990-11-01,497.8600000000000000
1990-12-01,510.6400000000000000
1991-01-01,534.6300000000000000
1991-02-01,571.3100000000000000
1991-03-01,581.3700000000000000
1991-04-01,585.6800000000000000
1991-05-01,607.8300000000000000
1991-06-01,582.0800000000000000
1991-07-01,605.8400000000000000
1991-08-01,617.3400000000000000
1991-09-01,613.1500000000000000
1991-10-01,623.0900000000000000
1991-11-01,591.5500000000000000
1991-12-01,640.3900000000000000
1992-01-01,644.8100000000000000
1992-02-01,661.6500000000000000
1992-03-01,652.2300000000000000
1992-04-01,677.6600000000000000
1992-05-01,682.0600000000000000
1992-06-01,676.5700000000000000
1992-07-01,702.6500000000000000
1992-08-01,681.7600000000000000
1992-09-01,691.4700000000000000
1992-10-01,693.3200000000000000
1992-11-01,717.6800000000000000
1992-12-01,735.8100000000000000
1993-01-01,758.6400000000000000
1993-02-01,783.3600000000000000
1993-03-01,806.9800000000000000
1993-04-01,795.9000000000000000
1993-05-01,812.6300000000000000
1993-06-01,829.7000000000000000
