DATE,RU3000PR
1979-01-01,104.2045455
1979-02-01,103.1289474
1979-03-01,105.3990909
1979-04-01,108.0715
1979-05-01,105.8586364
1979-06-01,108.6947619
1979-07-01,110.1942857
1979-08-01,115.6113043
1979-09-01,117.2805263
1979-10-01,112.3
1979-11-01,111.73
1979-12-01,117.296
1980-01-01,121.2154545
1980-02-01,126.0235
1980-03-01,113.5452381
1980-04-01,110.8942857
1980-05-01,116.5047619
1980-06-01,124.2938095
1980-07-01,130.5581818
1980-08-01,135.3490476
1980-09-01,139.9214286
1980-10-01,144.283913
1980-11-01,149.6222222
1980-12-01,146.8095455
1981-01-01,146.0495238
1981-02-01,141.1915789
1981-03-01,146.4795455
1981-04-01,149.2438095
1981-05-01,146.928
1981-06-01,147.7736364
1981-07-01,144.1340909
1981-08-01,144.6304762
1981-09-01,130.6419048
1981-10-01,132.5977273
1981-11-01,136.741
1981-12-01,137.1718182
1982-01-01,129.5715
1982-02-01,126.0173684
1982-03-01,121.3973913
1982-04-01,127.3985714
1982-05-01,127.7835
1982-06-01,119.9940909
1982-07-01,119.3180952
1982-08-01,119.4390909
1982-09-01,133.2242857
1982-10-01,144.6728571
1982-11-01,152.592381
1982-12-01,154.015
1983-01-01,159.7090476
1983-02-01,163.3057895
1983-03-01,169
1983-04-01,174.9695
1983-05-01,183.6685714
1983-06-01,188.2286364
1983-07-01,188.9925
1983-08-01,182.8604348
1983-09-01,187.797619
1983-10-01,186.6828571
1983-11-01,183.4771429
1983-12-01,182.6161905
1984-01-01,184.6085714
1984-02-01,171.8995
1984-03-01,171.5313636
1984-04-01,170.984
1984-05-01,170.1168182
1984-06-01,166.5419048
1984-07-01,163.987619
1984-08-01,178.323913
1984-09-01,180.5884211
1984-10-01,178.9578261
1984-11-01,180.2285714
1984-12-01,177.962
1985-01-01,186.7786364
1985-02-01,198.1584211
1985-03-01,196.2390476
1985-04-01,197.3909524
1985-05-01,201.9272727
1985-06-01,206.6185
1985-07-01,211.0559091
1985-08-01,206.2390909
1985-09-01,201.2668421
1985-10-01,202.7143478
1985-11-01,215.117
1985-12-01,225.5633333
1986-01-01,227.5140909
1986-02-01,239.9768421
1986-03-01,254.1155
1986-04-01,260.8595455
1986-05-01,261.7914286
1986-06-01,268.3933333
1986-07-01,262.6286364
1986-08-01,265.7395238
1986-09-01,257.3680952
1986-10-01,256.5308696
1986-11-01,263.6152632
1986-12-01,265.3809091
1987-01-01,282.6385714
1987-02-01,299.9405263
1987-03-01,311.3454545
1987-04-01,305.3361905
