DATE,WILLLRGCAPVAL
1978-08-01,1077.2700000000000000
1978-09-01,1091.6000000000000000
1978-10-01,995.6400000000000000
1978-11-01,1024.3300000000000000
1978-12-01,1027.8500000000000000
1979-01-01,1078.9200000000000000
1979-02-01,1058.2700000000000000
1979-03-01,1121.1700000000000000
1979-04-01,1130.3100000000000000
1979-05-01,1118.1200000000000000
1979-06-01,1179.5100000000000000
1979-07-01,1199.7100000000000000
1979-08-01,1264.6800000000000000
1979-09-01,1266.8900000000000000
1979-10-01,1173.5700000000000000
1979-11-01,1227.0300000000000000
1979-12-01,1241.8500000000000000
1980-01-01,1313.1200000000000000
1980-02-01,1321.6600000000000000
1980-03-01,1182.9200000000000000
1980-04-01,1255.5300000000000000
1980-05-01,1328.4800000000000000
1980-06-01,1363.0200000000000000
1980-07-01,1434.1300000000000000
1980-08-01,1454.6600000000000000
1980-09-01,1471.7100000000000000
1980-10-01,1471.0300000000000000
1980-11-01,1589.4400000000000000
1980-12-01,1552.2500000000000000
1981-01-01,1520.6400000000000000
1981-02-01,1546.3200000000000000
1981-03-01,1624.7900000000000000
1981-04-01,1619.5400000000000000
1981-05-01,1635.3800000000000000
1981-06-01,1647.7400000000000000
1981-07-01,1648.6300000000000000
1981-08-01,1573.0200000000000000
1981-09-01,1482.7500000000000000
1981-10-01,1547.4400000000000000
1981-11-01,1625.1100000000000000
1981-12-01,1578.6900000000000000
1982-01-01,1536.1200000000000000
1982-02-01,1473.0100000000000000
1982-03-01,1469.0100000000000000
1982-04-01,1508.5500000000000000
1982-05-01,1481.2800000000000000
1982-06-01,1441.5000000000000000
1982-07-01,1394.1700000000000000
1982-08-01,1588.7800000000000000
1982-09-01,1595.0700000000000000
1982-10-01,1773.9900000000000000
1982-11-01,1828.3400000000000000
1982-12-01,1857.9100000000000000
1983-01-01,1943.4800000000000000
1983-02-01,1982.8200000000000000
1983-03-01,2048.9400000000000000
1983-04-01,2219.2900000000000000
1983-05-01,2230.4800000000000000
1983-06-01,2266.7000000000000000
1983-07-01,2228.3900000000000000
1983-08-01,2288.4900000000000000
1983-09-01,2311.3600000000000000
1983-10-01,2301.1400000000000000
1983-11-01,2354.2000000000000000
1983-12-01,2335.3900000000000000
1984-01-01,2362.7400000000000000
1984-02-01,2297.8400000000000000
1984-03-01,2325.9200000000000000
1984-04-01,2339.1500000000000000
1984-05-01,2213.7700000000000000
1984-06-01,2231.6600000000000000
1984-07-01,2195.5300000000000000
1984-08-01,2451.2400000000000000
1984-09-01,2494.8800000000000000
1984-10-01,2491.1600000000000000
1984-11-01,2489.7400000000000000
1984-12-01,2557.6600000000000000
1985-01-01,2734.1600000000000000
1985-02-01,2768.7500000000000000
1985-03-01,2791.7300000000000000
1985-04-01,2827.4400000000000000
1985-05-01,2985.6900000000000000
1985-06-01,3036.6200000000000000
1985-07-01,3030.4000000000000000
1985-08-01,3021.8500000000000000
1985-09-01,2900.6200000000000000
1985-10-01,3037.0000000000000000
1985-11-01,3202.2500000000000000
1985-12-01,3337.8300000000000000
1986-01-01,3338.4600000000000000
1986-02-01,3545.1800000000000000
1986-03-01,3713.0100000000000000
1986-04-01,3615.1000000000000000
1986-05-01,3777.7800000000000000
1986-06-01,3808.4900000000000000
1986-07-01,3648.0800000000000000
1986-08-01,3985.0900000000000000
1986-09-01,3702.7000000000000000
1986-10-01,3841.1800000000000000
1986-11-01,3900.0300000000000000
1986-12-01,3787.8700000000000000
1987-01-01,4248.9600000000000000
1987-02-01,4343.9700000000000000
1987-03-01,4456.5200000000000000
1987-04-01,4407.9900000000000000
1987-05-01,4416.7600000000000000
1987-06-01,4620.3800000000000000
1987-07-01,4796.5000000000000000
1987-08-01,5002.1800000000000000
1987-09-01,4890.1300000000000000
1987-10-01,3903.7400000000000000
1987-11-01,3613.7300000000000000
1987-12-01,3827.1200000000000000
1988-01-01,4117.0300000000000000
1988-02-01,4301.8400000000000000
1988-03-01,4220.7900000000000000
1988-04-01,4269.2500000000000000
1988-05-01,4313.9500000000000000
1988-06-01,4523.0500000000000000
1988-07-01,4512.6400000000000000
1988-08-01,4403.1700000000000000
1988-09-01,4570.6200000000000000
1988-10-01,4683.8800000000000000
1988-11-01,4623.8800000000000000
1988-12-01,4693.1400000000000000
1989-01-01,5026.8700000000000000
1989-02-01,4934.5800000000000000
1989-03-01,5081.3300000000000000
1989-04-01,5301.0500000000000000
1989-05-01,5492.2100000000000000
1989-06-01,5473.0400000000000000
1989-07-01,5859.5400000000000000
1989-08-01,6055.3700000000000000
1989-09-01,5999.9000000000000000
1989-10-01,5818.1700000000000000
1989-11-01,5867.5600000000000000
1989-12-01,5958.3300000000000000
1990-01-01,5593.6800000000000000
1990-02-01,5722.7900000000000000
1990-03-01,5798.2700000000000000
1990-04-01,5598.6900000000000000
1990-05-01,6051.6800000000000000
1990-06-01,5964.6000000000000000
1990-07-01,5946.4100000000000000
1990-08-01,5419.0200000000000000
1990-09-01,5161.8900000000000000
1990-10-01,5085.6500000000000000
1990-11-01,5448.1500000000000000
1990-12-01,5608.9800000000000000
1991-01-01,5865.5900000000000000
1991-02-01,6254.3600000000000000
1991-03-01,6353.8700000000000000
1991-04-01,6394.6000000000000000
1991-05-01,6650.8900000000000000
1991-06-01,6374.4200000000000000
1991-07-01,6641.2500000000000000
1991-08-01,6759.4000000000000000
1991-09-01,6726.5500000000000000
1991-10-01,6843.5200000000000000
1991-11-01,6506.7500000000000000
1991-12-01,7038.2900000000000000
1992-01-01,6989.5600000000000000
1992-02-01,7088.7100000000000000
