DATE,WILL5000INDFC
1971-02-01,1.07000000000000000000
1971-03-01,1.12000000000000000000
1971-04-01,1.16000000000000000000
1971-05-01,1.12000000000000000000
1971-06-01,1.13000000000000000000
1971-07-01,1.09000000000000000000
1971-08-01,1.13000000000000000000
1971-09-01,1.12000000000000000000
1971-10-01,1.08000000000000000000
1971-11-01,1.08000000000000000000
1971-12-01,1.18000000000000000000
1972-01-01,1.21000000000000000000
1972-02-01,1.25000000000000000000
1972-03-01,1.26000000000000000000
1972-04-01,1.27000000000000000000
1972-05-01,1.30000000000000000000
1972-06-01,1.27000000000000000000
1972-07-01,1.27000000000000000000
1972-08-01,1.31000000000000000000
1972-09-01,1.30000000000000000000
1972-10-01,1.31000000000000000000
1972-11-01,1.37000000000000000000
1972-12-01,1.39000000000000000000
1973-01-01,1.35000000000000000000
1973-02-01,1.29000000000000000000
1973-03-01,1.28000000000000000000
1973-04-01,1.22000000000000000000
1973-05-01,1.19000000000000000000
1973-06-01,1.18000000000000000000
1973-07-01,1.25000000000000000000
1973-08-01,1.21000000000000000000
1973-09-01,1.27000000000000000000
1973-10-01,1.28000000000000000000
1973-11-01,1.12000000000000000000
1973-12-01,1.13000000000000000000
1974-01-01,1.14000000000000000000
1974-02-01,1.14000000000000000000
1974-03-01,1.11000000000000000000
1974-04-01,1.06000000000000000000
1974-05-01,1.01000000000000000000
1974-06-01,0.99000000000000000000
1974-07-01,0.92000000000000000000
1974-08-01,0.84000000000000000000
1974-09-01,0.74000000000000000000
1974-10-01,0.87000000000000000000
1974-11-01,0.83000000000000000000
1974-12-01,0.81000000000000000000
1975-01-01,0.93000000000000000000
1975-02-01,0.99000000000000000000
1975-03-01,1.01000000000000000000
1975-04-01,1.06000000000000000000
1975-05-01,1.12000000000000000000
1975-06-01,1.18000000000000000000
1975-07-01,1.11000000000000000000
1975-08-01,1.08000000000000000000
1975-09-01,1.04000000000000000000
1975-10-01,1.10000000000000000000
1975-11-01,1.13000000000000000000
1975-12-01,1.12000000000000000000
1976-01-01,1.26000000000000000000
1976-02-01,1.27000000000000000000
1976-03-01,1.30000000000000000000
1976-04-01,1.29000000000000000000
1976-05-01,1.28000000000000000000
1976-06-01,1.33000000000000000000
1976-07-01,1.33000000000000000000
1976-08-01,1.32000000000000000000
1976-09-01,1.36000000000000000000
1976-10-01,1.33000000000000000000
1976-11-01,1.34000000000000000000
1976-12-01,1.42000000000000000000
1977-01-01,1.37000000000000000000
1977-02-01,1.35000000000000000000
1977-03-01,1.34000000000000000000
1977-04-01,1.35000000000000000000
1977-05-01,1.33000000000000000000
1977-06-01,1.40000000000000000000
1977-07-01,1.38000000000000000000
1977-08-01,1.36000000000000000000
1977-09-01,1.36000000000000000000
1977-10-01,1.31000000000000000000
1977-11-01,1.37000000000000000000
1977-12-01,1.38000000000000000000
1978-01-01,1.31000000000000000000
1978-02-01,1.29000000000000000000
1978-03-01,1.34000000000000000000
1978-04-01,1.45000000000000000000
1978-05-01,1.48000000000000000000
1978-06-01,1.47000000000000000000
1978-07-01,1.55000000000000000000
1978-08-01,1.62000000000000000000
1978-09-01,1.61000000000000000000
1978-10-01,1.44000000000000000000
1978-11-01,1.48000000000000000000
1978-12-01,1.51000000000000000000
1979-01-01,1.58000000000000000000
1979-02-01,1.55000000000000000000
1979-03-01,1.65000000000000000000
1979-04-01,1.67000000000000000000
1979-05-01,1.64000000000000000000
1979-06-01,1.73000000000000000000
1979-07-01,1.75000000000000000000
1979-08-01,1.86000000000000000000
1979-09-01,1.87000000000000000000
1979-10-01,1.74000000000000000000
1979-11-01,1.85000000000000000000
1979-12-01,1.8880000000000000
1980-01-01,1.9704761904761905
1980-02-01,2.0595000000000000
1980-03-01,1.8580952380952381
1980-04-01,1.8219047619047619
1980-05-01,1.9147619047619048
1980-06-01,2.0552380952380952
1980-07-01,2.1618181818181818
1980-08-01,2.2576190476190476
1980-09-01,2.3452380952380952
1980-10-01,2.4347826086956522
1980-11-01,2.5344444444444444
1980-12-01,2.4995454545454545
1981-01-01,2.4838095238095238
1981-02-01,2.4084210526315789
1981-03-01,2.5122727272727273
1981-04-01,2.5690476190476190
1981-05-01,2.5565000000000000
1981-06-01,2.5931818181818182
1981-07-01,2.5336363636363636
1981-08-01,2.5514285714285714
1981-09-01,2.3171428571428571
1981-10-01,2.3554545454545455
1981-11-01,2.4425000000000000
1981-12-01,2.4613636363636364
1982-01-01,2.3280000000000000
1982-02-01,2.2631578947368421
1982-03-01,2.1908695652173913
1982-04-01,2.3033333333333333
1982-05-01,2.3250000000000000
1982-06-01,2.1972727272727273
1982-07-01,2.1890476190476190
1982-08-01,2.2013636363636364
1982-09-01,2.4676190476190476
1982-10-01,2.6833333333333333
1982-11-01,2.8400000000000000
1982-12-01,2.8722727272727273
1983-01-01,2.9895238095238095
1983-02-01,3.0736842105263158
1983-03-01,3.1986956521739130
1983-04-01,3.3270000000000000
1983-05-01,3.5114285714285714
1983-06-01,3.6127272727272727
1983-07-01,3.6305000000000000
1983-08-01,3.5217391304347826
1983-09-01,3.6352380952380952
1983-10-01,3.6185714285714286
1983-11-01,3.5700000000000000
1983-12-01,3.5642857142857143
1984-01-01,3.6076190476190476
1984-02-01,3.3810000000000000
1984-03-01,3.3900000000000000
1984-04-01,3.3850000000000000
1984-05-01,3.3800000000000000
1984-06-01,3.3219047619047619
1984-07-01,3.2790476190476190
1984-08-01,3.5752173913043478
1984-09-01,3.6347368421052632
1984-10-01,3.6117391304347826
1984-11-01,3.6519047619047619
1984-12-01,3.6205000000000000
