DATE,XTIMVA01CAM664N
1980-01-01,5500496000
1980-02-01,5467356000
1980-03-01,6064688000
1980-04-01,6480173000
1980-05-01,5706392000
1980-06-01,5753331000
1980-07-01,5533305000
1980-08-01,4834549000
1980-09-01,5388809000
1980-10-01,6808691000
1980-11-01,5994467000
1980-12-01,5741586000
1981-01-01,6002555000
1981-02-01,6032742000
1981-03-01,6893541000
1981-04-01,7168787000
1981-05-01,7084161000
1981-06-01,7586945000
1981-07-01,6732352000
1981-08-01,5800157000
1981-09-01,6686620000
1981-10-01,6867826000
1981-11-01,6558277000
1981-12-01,6067752000
1982-01-01,4990124000
1982-02-01,5876727000
1982-03-01,6746506000
1982-04-01,6183094000
1982-05-01,5943278000
1982-06-01,6104343000
1982-07-01,5580900000
1982-08-01,5392448000
1982-09-01,5501141000
1982-10-01,5143658000
1982-11-01,5544702000
1982-12-01,4848782000
1983-01-01,5296492000
1983-02-01,5446132000
1983-03-01,6165090000
1983-04-01,6184199000
1983-05-01,6466046000
1983-06-01,6443698000
1983-07-01,5716434000
1983-08-01,6229902000
1983-09-01,6583295000
1983-10-01,7316135000
1983-11-01,7358351000
1983-12-01,6314269000
1984-01-01,6887447000
1984-02-01,7431377000
1984-03-01,8415574000
1984-04-01,7993353000
1984-05-01,8910116000
1984-06-01,8233551000
1984-07-01,7828770000
1984-08-01,8207957000
1984-09-01,7805466000
1984-10-01,8527207000
1984-11-01,8106615000
1984-12-01,7112563000
1985-01-01,7849415000
1985-02-01,7723921000
1985-03-01,8594887000
1985-04-01,9135930000
1985-05-01,9294087000
1985-06-01,8862280000
1985-07-01,8841839000
1985-08-01,8392895000
1985-09-01,8666834000
1985-10-01,9457454000
1985-11-01,9379923000
1985-12-01,8155730000
1986-01-01,9368000000
1986-02-01,9495000000
1986-03-01,8802600000
1986-04-01,10344100000
1986-05-01,9597500000
1986-06-01,9695900000
1986-07-01,9751700000
1986-08-01,8561600000
1986-09-01,8970700000
1986-10-01,9744500000
1986-11-01,9556800000
1986-12-01,8623100000
1987-01-01,8767200000
1987-02-01,8974500000
1987-03-01,10034200000
1987-04-01,9406500000
1987-05-01,9492700000
1987-06-01,10678300000
1987-07-01,9508100000
1987-08-01,8559900000
1987-09-01,9746600000
1987-10-01,10138100000
1987-11-01,10621900000
1987-12-01,10310700000
1988-01-01,12417800000
1988-02-01,10474800000
1988-03-01,12294700000
1988-04-01,10653700000
1988-05-01,11661400000
1988-06-01,11266700000
1988-07-01,8897400000
1988-08-01,10713600000
1988-09-01,10916100000
1988-10-01,10966500000
1988-11-01,11208900000
1988-12-01,9799600000
1989-01-01,10586800000
1989-02-01,11014300000
1989-03-01,12151900000
1989-04-01,11906600000
1989-05-01,12608600000
1989-06-01,11919100000
1989-07-01,9508900000
1989-08-01,11073600000
1989-09-01,10861300000
1989-10-01,12267200000
1989-11-01,11467600000
1989-12-01,9825000000
1990-01-01,10825700000
1990-02-01,11385000000
1990-03-01,12960700000
1990-04-01,11601700000
1990-05-01,12384800000
1990-06-01,11865600000
1990-07-01,10080000000
1990-08-01,10949300000
1990-09-01,10324700000
1990-10-01,12293100000
1990-11-01,11521500000
1990-12-01,10032100000
1991-01-01,11006400000
1991-02-01,10457500000
1991-03-01,11210700000
1991-04-01,11904800000
1991-05-01,11779800000
1991-06-01,11250000000
1991-07-01,10759400000
1991-08-01,11103900000
1991-09-01,11413800000
1991-10-01,12893300000
1991-11-01,11831300000
1991-12-01,9849900000
1992-01-01,11219300000
1992-02-01,11371900000
1992-03-01,13189300000
1992-04-01,12483300000
1992-05-01,12187700000
1992-06-01,13193900000
1992-07-01,11502000000
1992-08-01,11569000000
1992-09-01,12983900000
1992-10-01,13464900000
1992-11-01,12813700000
1992-12-01,12039000000
1993-01-01,11729100000
1993-02-01,12802900000
1993-03-01,15418300000
1993-04-01,14526900000
1993-05-01,14172000000
1993-06-01,14971800000
1993-07-01,12500700000
1993-08-01,14307600000
1993-09-01,14800900000
1993-10-01,15391400000
1993-11-01,15493400000
1993-12-01,13836200000
1994-01-01,13385900000
1994-02-01,14177400000
1994-03-01,18147400000
1994-04-01,16488500000
1994-05-01,17499200000
1994-06-01,18201600000
1994-07-01,14157400000
1994-08-01,18194600000
1994-09-01,17919300000
1994-10-01,18424800000
1994-11-01,18756400000
1994-12-01,17385800000
1995-01-01,18574100000
1995-02-01,18110800000
1995-03-01,21018600000
1995-04-01,18505400000
1995-05-01,20834500000
1995-06-01,20040500000
1995-07-01,15590000000
1995-08-01,19207600000
1995-09-01,18417200000
1995-10-01,19501800000
1995-11-01,19225700000
1995-12-01,16526800000
1996-01-01,18206800000
1996-02-01,19528100000
1996-03-01,19705100000
1996-04-01,19837900000
1996-05-01,19579000000
1996-06-01,19172400000
1996-07-01,17621900000
1996-08-01,18954500000
1996-09-01,20137400000
1996-10-01,21102200000
1996-11-01,20697800000
1996-12-01,18022500000
1997-01-01,20677400000
1997-02-01,20689300000
1997-03-01,21965500000
1997-04-01,24034700000
1997-05-01,23097400000
1997-06-01,23218200000
1997-07-01,20869800000
1997-08-01,22167900000
1997-09-01,24360500000
1997-10-01,25492300000
1997-11-01,23592600000
1997-12-01,22780900000
1998-01-01,22534500000
1998-02-01,23792000000
1998-03-01,26184400000
1998-04-01,25591800000
1998-05-01,24652300000
1998-06-01,25615300000
1998-07-01,21367200000
1998-08-01,23938800000
1998-09-01,25974300000
1998-10-01,27739800000
1998-11-01,26420600000
1998-12-01,24575400000
1999-01-01,23331700000
1999-02-01,25037700000
1999-03-01,28944700000
1999-04-01,26768700000
1999-05-01,26256800000
1999-06-01,27606500000
1999-07-01,23102400000
1999-08-01,26755600000
1999-09-01,27828400000
1999-10-01,28514900000
1999-11-01,29304900000
1999-12-01,26956400000
2000-01-01,25930100000
2000-02-01,28329600000
2000-03-01,32381000000
2000-04-01,29010900000
2000-05-01,32090500000
2000-06-01,31412100000
2000-07-01,25617700000
2000-08-01,30450400000
2000-09-01,30079100000
2000-10-01,32071800000
2000-11-01,32154500000
2000-12-01,27464400000
2001-01-01,28517800000
2001-02-01,26991200000
2001-03-01,31973200000
2001-04-01,30068300000
2001-05-01,30935700000
2001-06-01,30379800000
2001-07-01,25390300000
2001-08-01,29511800000
2001-09-01,26490600000
2001-10-01,30174700000
2001-11-01,28557100000
2001-12-01,24120000000
2002-01-01,26168100000
2002-02-01,26627100000
2002-03-01,29495700000
2002-04-01,30486300000
2002-05-01,30608900000
2002-06-01,29681700000
2002-07-01,26711600000
2002-08-01,30283300000
2002-09-01,29379900000
2002-10-01,32280700000
2002-11-01,29914800000
2002-12-01,27318600000
2003-01-01,27768200000
2003-02-01,27830300000
2003-03-01,30868800000
2003-04-01,30446800000
2003-05-01,29518100000
2003-06-01,28422700000
2003-07-01,25194700000
2003-08-01,25557300000
2003-09-01,28292900000
2003-10-01,29104700000
2003-11-01,26929700000
2003-12-01,26207200000
2004-01-01,24127700000
2004-02-01,26904500000
2004-03-01,31676900000
2004-04-01,30187700000
2004-05-01,31958800000
2004-06-01,31775800000
2004-07-01,28094500000
2004-08-01,30646900000
2004-09-01,30697100000
2004-10-01,31114200000
2004-11-01,30009500000
2004-12-01,28692600000
2005-01-01,28001900000
2005-02-01,29292200000
2005-03-01,33520800000
2005-04-01,32119900000
2005-05-01,33440300000
2005-06-01,33919400000
2005-07-01,28069000000
2005-08-01,33052200000
2005-09-01,32838600000
2005-10-01,33074600000
2005-11-01,32875000000
2005-12-01,30654400000
2006-01-01,30544400000
2006-02-01,29530200000
2006-03-01,35650900000
2006-04-01,32242200000
2006-05-01,34932500000
2006-06-01,34683400000
2006-07-01,30561800000
2006-08-01,35168600000
2006-09-01,33386000000
2006-10-01,34606500000
2006-11-01,34292700000
2006-12-01,31444700000
2007-01-01,32223000000
2007-02-01,32243300000
2007-03-01,37577200000
2007-04-01,34872700000
2007-05-01,35547700000
2007-06-01,34400300000
2007-07-01,32251700000
2007-08-01,34838000000
2007-09-01,33173600000
2007-10-01,35328900000
2007-11-01,34024300000
2007-12-01,30820200000
2008-01-01,32304300000
2008-02-01,32622700000
2008-03-01,35166800000
2008-04-01,35925900000
2008-05-01,37407000000
2008-06-01,38172600000
2008-07-01,37340500000
2008-08-01,35963100000
2008-09-01,38189100000
2008-10-01,41131300000
2008-11-01,36080600000
2008-12-01,33695100000
2009-01-01,29213200000
2009-02-01,29605200000
2009-03-01,32100700000
2009-04-01,30905700000
2009-05-01,28341100000
2009-06-01,29716500000
2009-07-01,30426200000
2009-08-01,30120300000
2009-09-01,31178600000
2009-10-01,31577000000
2009-11-01,31318600000
2009-12-01,30856300000
2010-01-01,28242100000
2010-02-01,29870100000
2010-03-01,35142500000
2010-04-01,32642500000
2010-05-01,34038800000
2010-06-01,35371100000
2010-07-01,33182100000
2010-08-01,35140900000
2010-09-01,35946900000
2010-10-01,36085900000
2010-11-01,34793500000
2010-12-01,33244800000
2011-01-01,33125600000
2011-02-01,32757000000
2011-03-01,38967900000
2011-04-01,36114000000
2011-05-01,37523100000
2011-06-01,38755900000
2011-07-01,35642200000
2011-08-01,39349400000
2011-09-01,38576800000
2011-10-01,39999200000
2011-11-01,39297400000
2011-12-01,36557600000
2012-01-01,35957500000
2012-02-01,37188200000
2012-03-01,40557000000
2012-04-01,38466700000
2012-05-01,40237300000
2012-06-01,40583200000
2012-07-01,38170500000
2012-08-01,39581700000
2012-09-01,37228600000
2012-10-01,39961700000
2012-11-01,39231700000
2012-12-01,34907600000
2013-01-01,36830300000
2013-02-01,36266100000
2013-03-01,40123600000
2013-04-01,40955800000
2013-05-01,40309400000
2013-06-01,39809900000
2013-07-01,39073000000
2013-08-01,40930300000
2013-09-01,40399500000
2013-10-01,42342700000
2013-11-01,40299400000
2013-12-01,38320500000
2014-01-01,37887200000
2014-02-01,38481900000
2014-03-01,43236800000
2014-04-01,43552800000
2014-05-01,44543300000
2014-06-01,43725700000
2014-07-01,41978000000
2014-08-01,43622600000
2014-09-01,44084000000
2014-10-01,46769300000
2014-11-01,42169700000
2014-12-01,42148700000
2015-01-01,40301500000
2015-02-01,40377300000
2015-03-01,47572800000
2015-04-01,45315300000
2015-05-01,44608800000
2015-06-01,46262800000
2015-07-01,45035800000
2015-08-01,45823400000
2015-09-01,46148200000
2015-10-01,46173700000
2015-11-01,44797300000
2015-12-01,43735200000
2016-01-01,41572300000
2016-02-01,43033000000
2016-03-01,45771300000
2016-04-01,44048100000
2016-05-01,44578100000
2016-06-01,46326300000
2016-07-01,42108900000
2016-08-01,46416200000
2016-09-01,47701200000
2016-10-01,44999600000
2016-11-01,44644300000
2016-12-01,41994900000
2017-01-01,41843300000
2017-02-01,42535200000
2017-03-01,49756200000
2017-04-01,46585600000
2017-05-01,50864900000
2017-06-01,50998200000
2017-07-01,44097500000
2017-08-01,48056400000
2017-09-01,45914000000
2017-10-01,46398200000
2017-11-01,48806300000
2017-12-01,45257600000
2018-01-01,43783300000
2018-02-01,44281300000
2018-03-01,52583000000
2018-04-01,50173900000
2018-05-01,52905000000
