DATE,LFEACNTTCAM647N
1999-03-01,674900
1999-04-01,703300
1999-05-01,766900
1999-06-01,809100
1999-07-01,834200
1999-08-01,832000
1999-09-01,811900
1999-10-01,810400
1999-11-01,808600
1999-12-01,774000
2000-01-01,717100
2000-02-01,729500
2000-03-01,731900
2000-04-01,751800
2000-05-01,819600
2000-06-01,848000
2000-07-01,887100
2000-08-01,876100
2000-09-01,865100
2000-10-01,835800
2000-11-01,830400
2000-12-01,790300
2001-01-01,728900
2001-02-01,747300
2001-03-01,752900
2001-04-01,780300
2001-05-01,842400
2001-06-01,877700
2001-07-01,892500
2001-08-01,886100
2001-09-01,872000
2001-10-01,857600
2001-11-01,832100
2001-12-01,801100
2002-01-01,753800
2002-02-01,764200
2002-03-01,762800
2002-04-01,786200
2002-05-01,873600
2002-06-01,914000
2002-07-01,945100
2002-08-01,947900
2002-09-01,927800
2002-10-01,926100
2002-11-01,888300
2002-12-01,866300
2003-01-01,803700
2003-02-01,807500
2003-03-01,823900
2003-04-01,831300
2003-05-01,901800
2003-06-01,962600
2003-07-01,996200
2003-08-01,1002800
2003-09-01,980300
2003-10-01,961300
2003-11-01,942300
2003-12-01,913000
2004-01-01,836300
2004-02-01,827100
2004-03-01,838500
2004-04-01,870200
2004-05-01,949700
2004-06-01,1007600
2004-07-01,1047000
2004-08-01,1046000
2004-09-01,1013000
2004-10-01,1026000
2004-11-01,1007400
2004-12-01,980200
2005-01-01,914600
2005-02-01,893100
2005-03-01,904500
2005-04-01,952300
2005-05-01,1014700
2005-06-01,1081200
2005-07-01,1080500
2005-08-01,1119000
2005-09-01,1096300
2005-10-01,1083900
2005-11-01,1088900
2005-12-01,1036600
2006-01-01,969700
2006-02-01,968600
2006-03-01,979100
2006-04-01,1006700
2006-05-01,1075700
2006-06-01,1095000
2006-07-01,1147400
2006-08-01,1143300
2006-09-01,1113000
2006-10-01,1116700
2006-11-01,1109200
2006-12-01,1071500
2007-01-01,1007900
2007-02-01,1021100
2007-03-01,1013700
2007-04-01,1053600
2007-05-01,1139900
2007-06-01,1177900
2007-07-01,1212600
2007-08-01,1233400
2007-09-01,1188600
2007-10-01,1176200
2007-11-01,1163600
2007-12-01,1139100
2008-01-01,1099400
2008-02-01,1121000
2008-03-01,1126500
2008-04-01,1165500
2008-05-01,1243800
2008-06-01,1284900
2008-07-01,1319400
2008-08-01,1344100
2008-09-01,1314000
2008-10-01,1305700
2008-11-01,1291000
2008-12-01,1214300
2009-01-01,1125900
2009-02-01,1096400
2009-03-01,1083400
2009-04-01,1108800
2009-05-01,1178300
2009-06-01,1231000
2009-07-01,1263800
2009-08-01,1268700
2009-09-01,1251700
2009-10-01,1255600
2009-11-01,1231400
2009-12-01,1179700
2010-01-01,1109900
2010-02-01,1093900
2010-03-01,1111100
2010-04-01,1180200
2010-05-01,1259800
2010-06-01,1316100
2010-07-01,1327700
2010-08-01,1344500
2010-09-01,1307400
2010-10-01,1315900
2010-11-01,1299600
2010-12-01,1236800
2011-01-01,1161500
2011-02-01,1160100
2011-03-01,1167500
2011-04-01,1210400
2011-05-01,1299100
2011-06-01,1341000
2011-07-01,1399900
2011-08-01,1405600
2011-09-01,1378700
2011-10-01,1370700
2011-11-01,1356400
2011-12-01,1283700
2012-01-01,1194200
2012-02-01,1204700
2012-03-01,1203000
2012-04-01,1271300
2012-05-01,1347300
2012-06-01,1375500
2012-07-01,1413300
2012-08-01,1414000
2012-09-01,1401400
2012-10-01,1378400
2012-11-01,1355800
2012-12-01,1315300
2013-01-01,1244100
2013-02-01,1247200
2013-03-01,1247200
2013-04-01,1312400
2013-05-01,1399400
2013-06-01,1432100
2013-07-01,1462400
2013-08-01,1480800
2013-09-01,1449000
2013-10-01,1441900
2013-11-01,1393600
2013-12-01,1327900
2014-01-01,1254600
2014-02-01,1243300
2014-03-01,1269300
2014-04-01,1283800
2014-05-01,1364900
2014-06-01,1434100
2014-07-01,1454900
2014-08-01,1471400
2014-09-01,1455800
2014-10-01,1451200
2014-11-01,1411000
2014-12-01,1363600
2015-01-01,1283400
2015-02-01,1278600
2015-03-01,1260200
2015-04-01,1298300
2015-05-01,1373900
2015-06-01,1439000
2015-07-01,1454300
2015-08-01,1460800
2015-09-01,1442100
2015-10-01,1419800
2015-11-01,1402600
2015-12-01,1341400
2016-01-01,1259900
2016-02-01,1285900
2016-03-01,1276100
2016-04-01,1313300
2016-05-01,1421100
2016-06-01,1436900
2016-07-01,1459300
2016-08-01,1468600
2016-09-01,1454500
2016-10-01,1463300
2016-11-01,1417800
2016-12-01,1363400
2017-01-01,1298300
2017-02-01,1287800
2017-03-01,1294100
2017-04-01,1328300
2017-05-01,1418200
2017-06-01,1459400
2017-07-01,1483000
2017-08-01,1490100
2017-09-01,1476700
2017-10-01,1487300
2017-11-01,1472500
2017-12-01,1416300
2018-01-01,1327100
2018-02-01,1331700
2018-03-01,1349500
2018-04-01,1363000
2018-05-01,1436500
2018-06-01,1501600
