DATE,SFTPAGRM158SFRBSF
1990-05-01,-0.0878
1990-06-01,-0.08637
1990-07-01,-0.07544
1990-08-01,-0.00719
1990-09-01,0.05551
1990-10-01,0.00474
1990-11-01,-0.10908
1990-12-01,-0.15304
1991-01-01,-0.12235
1991-02-01,-0.04715
1991-03-01,0.0047
1991-04-01,0.04369
1991-05-01,0.07406
1991-06-01,0.06917
1991-07-01,0.06723
1991-08-01,0.09147
1991-09-01,0.10353
1991-10-01,0.08591
1991-11-01,0.07535
1991-12-01,0.1193
1992-01-01,0.19643
1992-02-01,0.24494
1992-03-01,0.29329
1992-04-01,0.31398
1992-05-01,0.28342
1992-06-01,0.22128
1992-07-01,0.13823
1992-08-01,0.07477
1992-09-01,0.08741
1992-10-01,0.11673
1992-11-01,0.10847
1992-12-01,0.06756
1993-01-01,0.04521
1993-02-01,0.05065
1993-03-01,0.05749
1993-04-01,0.07737
1993-05-01,0.11989
1993-06-01,0.14505
1993-07-01,0.13163
1993-08-01,0.14006
1993-09-01,0.17883
1993-10-01,0.21092
1993-11-01,0.20745
1993-12-01,0.17328
1994-01-01,0.15883
1994-02-01,0.20437
1994-03-01,0.30847
1994-04-01,0.35076
1994-05-01,0.26949
1994-06-01,0.18449
1994-07-01,0.17586
1994-08-01,0.22655
1994-09-01,0.30955
1994-10-01,0.39275
1994-11-01,0.39447
1994-12-01,0.29682
1995-01-01,0.21804
1995-02-01,0.25986
1995-03-01,0.38388
1995-04-01,0.424
1995-05-01,0.31889
1995-06-01,0.16328
1995-07-01,0.12652
1995-08-01,0.26188
1995-09-01,0.3648
1995-10-01,0.29216
1995-11-01,0.15396
1995-12-01,0.08293
1996-01-01,0.09379
1996-02-01,0.15831
1996-03-01,0.16432
1996-04-01,0.12002
1996-05-01,0.09887
1996-06-01,0.10829
1996-07-01,0.13722
1996-08-01,0.17462
1996-09-01,0.20791
1996-10-01,0.20749
1996-11-01,0.15319
1996-12-01,0.12191
1997-01-01,0.19349
1997-02-01,0.34255
1997-03-01,0.37787
1997-04-01,0.29846
1997-05-01,0.25541
1997-06-01,0.28179
1997-07-01,0.30194
1997-08-01,0.23593
1997-09-01,0.09082
1997-10-01,-0.01241
1997-11-01,-0.00497
1997-12-01,0.07238
1998-01-01,0.12636
1998-02-01,0.10833
1998-03-01,0.04382
1998-04-01,0.0037
1998-05-01,-0.00373
1998-06-01,0.03051
1998-07-01,0.0751
1998-08-01,0.13668
1998-09-01,0.19934
1998-10-01,0.21311
1998-11-01,0.20106
1998-12-01,0.20699
1999-01-01,0.23303
1999-02-01,0.25272
1999-03-01,0.25994
1999-04-01,0.28298
1999-05-01,0.29376
1999-06-01,0.26976
1999-07-01,0.15968
1999-08-01,0.00301
1999-09-01,-0.06182
1999-10-01,-0.0183
1999-11-01,0.08817
1999-12-01,0.22189
2000-01-01,0.35987
2000-02-01,0.43496
2000-03-01,0.45081
2000-04-01,0.40449
2000-05-01,0.30599
2000-06-01,0.20607
2000-07-01,0.15464
2000-08-01,0.12507
2000-09-01,0.11049
2000-10-01,0.05661
2000-11-01,-0.00303
2000-12-01,-0.09362
2001-01-01,-0.23617
2001-02-01,-0.36463
2001-03-01,-0.44965
2001-04-01,-0.48123
2001-05-01,-0.45277
2001-06-01,-0.41832
2001-07-01,-0.3998
2001-08-01,-0.34526
2001-09-01,-0.25368
2001-10-01,-0.18108
2001-11-01,-0.16675
2001-12-01,-0.17951
2002-01-01,-0.19321
2002-02-01,-0.15719
2002-03-01,-0.13877
2002-04-01,-0.16473
2002-05-01,-0.19026
2002-06-01,-0.18486
2002-07-01,-0.16527
2002-08-01,-0.16351
2002-09-01,-0.18236
2002-10-01,-0.18875
2002-11-01,-0.16243
2002-12-01,-0.10863
2003-01-01,-0.00858
2003-02-01,0.07156
2003-03-01,0.08179
2003-04-01,0.09422
2003-05-01,0.14146
2003-06-01,0.18996
2003-07-01,0.20775
2003-08-01,0.22156
2003-09-01,0.24315
2003-10-01,0.21313
2003-11-01,0.1103
2003-12-01,0.0125
2004-01-01,-0.02643
2004-02-01,-0.01453
2004-03-01,0.01724
2004-04-01,0.03929
2004-05-01,0.04498
2004-06-01,0.03173
2004-07-01,0.01894
2004-08-01,0.01931
2004-09-01,0.01864
2004-10-01,0.01039
2004-11-01,-0.00172
2004-12-01,0.01069
2005-01-01,0.03505
2005-02-01,0.03324
2005-03-01,0.00308
2005-04-01,-0.02086
2005-05-01,-0.01868
2005-06-01,0.01801
2005-07-01,0.09249
2005-08-01,0.16666
2005-09-01,0.18978
2005-10-01,0.16717
2005-11-01,0.16486
2005-12-01,0.22965
2006-01-01,0.28378
2006-02-01,0.24111
2006-03-01,0.1128
2006-04-01,0.03609
2006-05-01,0.03938
2006-06-01,0.05236
2006-07-01,0.06299
2006-08-01,0.09649
2006-09-01,0.07334
2006-10-01,0.00655
2006-11-01,-0.00965
2006-12-01,0.04311
2007-01-01,0.1423
2007-02-01,0.23752
2007-03-01,0.24781
2007-04-01,0.12275
2007-05-01,-0.06542
2007-06-01,-0.15341
2007-07-01,-0.1016
2007-08-01,0.02931
2007-09-01,0.14939
2007-10-01,0.20504
2007-11-01,0.14952
2007-12-01,0.00708
2008-01-01,-0.09854
2008-02-01,-0.11411
2008-03-01,-0.06695
2008-04-01,-0.03873
2008-05-01,-0.08567
2008-06-01,-0.1853
2008-07-01,-0.24935
2008-08-01,-0.27224
2008-09-01,-0.32656
2008-10-01,-0.43433
2008-11-01,-0.50923
2008-12-01,-0.49169
2009-01-01,-0.37479
2009-02-01,-0.20271
2009-03-01,-0.09034
2009-04-01,-0.03943
2009-05-01,0.03893
2009-06-01,0.17207
2009-07-01,0.27214
2009-08-01,0.26778
2009-09-01,0.23139
2009-10-01,0.17484
2009-11-01,0.09919
2009-12-01,0.05976
2010-01-01,0.09743
2010-02-01,0.11956
2010-03-01,0.09412
2010-04-01,0.05213
2010-05-01,0.02331
2010-06-01,0.05304
2010-07-01,0.1179
2010-08-01,0.11154
2010-09-01,0.05639
2010-10-01,0.02466
2010-11-01,0.01903
2010-12-01,-0.01228
2011-01-01,-0.06557
2011-02-01,-0.08151
2011-03-01,-0.03336
2011-04-01,0.0344
2011-05-01,0.03902
2011-06-01,-0.00349
2011-07-01,-0.01475
2011-08-01,0.01956
2011-09-01,0.00764
2011-10-01,-0.05966
2011-11-01,-0.09963
2011-12-01,-0.07186
2012-01-01,-0.00856
2012-02-01,0.0152
2012-03-01,-0.00003
2012-04-01,0.0168
2012-05-01,0.02398
2012-06-01,-0.05341
2012-07-01,-0.15392
2012-08-01,-0.13615
2012-09-01,0.04697
2012-10-01,0.192
2012-11-01,0.14118
2012-12-01,0.04591
2013-01-01,0.02127
2013-02-01,0.04755
2013-03-01,0.06105
2013-04-01,0.04207
2013-05-01,0.01699
2013-06-01,0.00067
2013-07-01,-0.01151
2013-08-01,-0.02139
2013-09-01,-0.02445
2013-10-01,-0.01943
2013-11-01,-0.01595
2013-12-01,-0.02631
2014-01-01,-0.01062
2014-02-01,0.0354
2014-03-01,0.06172
2014-04-01,0.06595
2014-05-01,0.06467
2014-06-01,0.02958
2014-07-01,-0.04228
2014-08-01,-0.1019
2014-09-01,-0.12272
2014-10-01,-0.10101
2014-11-01,-0.06717
2014-12-01,-0.04107
2015-01-01,0.00115
2015-02-01,0.06725
2015-03-01,0.1081
2015-04-01,0.10484
2015-05-01,0.07974
2015-06-01,0.06889
2015-07-01,0.06348
2015-08-01,0.0482
2015-09-01,0.01321
2015-10-01,-0.04495
2015-11-01,-0.09441
2015-12-01,-0.08596
2016-01-01,-0.05375
2016-02-01,-0.03049
2016-03-01,-0.01054
