DATE,CCUSMA02CAM659N
1960-01-01,-1.44777662868294
1960-02-01,-2.3589743589208
1960-03-01,-1.95876288664164
1960-04-01,-0.103734438912709
1960-05-01,1.55763239774945
1960-06-01,2.08550573520846
1960-07-01,2.19435736569683
1960-08-01,1.67714884693692
1960-09-01,2.10084033620193
1960-10-01,3.27004219421998
1960-11-01,2.84210526316023
1960-12-01,3.25972660465608
1961-01-01,4.19727177329022
1961-02-01,3.99159663970077
1961-03-01,3.78548895903647
1961-04-01,2.69989615687977
1961-05-01,1.02249488848821
1961-06-01,2.6557711951066
1961-07-01,5.72597137118181
1961-08-01,6.28865979365908
1961-09-01,6.06995884753488
1961-10-01,5.20939734515651
1961-11-01,6.03889457440763
1961-12-01,6.21181262633409
1962-01-01,5.23665659711199
1962-02-01,5.95959595952536
1962-03-01,6.28166160178495
1962-04-01,6.16784630924813
1962-05-01,9.54655870318581
1962-06-01,8.25970149282861
1962-07-01,4.37911025059916
1962-08-01,4.54413191070314
1962-09-01,4.4645974794161
1962-10-01,4.49126213478661
1962-11-01,3.95945945989342
1962-12-01,3.17833173568838
1963-01-01,3.09282296636306
1963-02-01,2.75023832105772
1963-03-01,2.78455672005299
1963-04-01,2.57047619035992
1963-05-01,-0.44811146403922
1963-06-01,-0.87499195709672
1963-07-01,0.0611518795090777
1963-08-01,0.489864082404235
1963-09-01,0.278543772872518
1963-10-01,0.170033264114802
1963-11-01,0.0761360050056934
1963-12-01,0.318728801472897
1964-01-01,0.294248690855999
1964-02-01,0.218954401184632
1964-03-01,0.229083388833094
1964-04-01,0.381619143074702
1964-05-01,0.335972231540189
1964-06-01,0.241077802532276
1964-07-01,0.135192695843781
1964-08-01,-0.393304589617475
1964-09-01,-0.347212577752412
1964-10-01,-0.244877515428328
1964-11-01,-0.346062496407317
1964-12-01,-0.440912206247967
1965-01-01,-0.599727900898865
1965-02-01,-0.396219254431044
1965-03-01,0.0582966275863941
1965-04-01,-0.168347054386007
1965-05-01,-0.13782386250086
1965-06-01,0.127648947037676
1965-07-01,0.208988347868451
1965-08-01,-0.0259530812313263
1965-09-01,0.0269446608978834
1965-10-01,-0.0158073364026023
1965-11-01,0.0977553515219839
1965-12-01,0.106994659238396
1966-01-01,0.0791426519979202
1966-02-01,0.0511185669164384
1966-03-01,-0.453154044625195
1966-04-01,-0.195500704292475
1966-05-01,-0.253797703855759
1966-06-01,-0.533040176950143
1966-07-01,-0.792684051983509
1966-08-01,-0.299465042518469
1966-09-01,-0.0176486425928399
1966-10-01,0.397105870558339
1966-11-01,0.661296923803541
1966-12-01,0.671951820492383
1967-01-01,0.445639432702834
1967-02-01,0.395734245091816
1967-03-01,0.526750959084405
1967-04-01,0.495743476275955
1967-05-01,0.500529317254565
1967-06-01,0.359431596590859
1967-07-01,0.270680048334774
1967-08-01,0.0595149529820014
1967-09-01,-0.0910459142339278
1967-10-01,-0.555787134316914
1967-11-01,-0.651408613392865
1967-12-01,-0.259416544075551
1968-01-01,0.478858888477883
1968-02-01,0.617169717280728
1968-03-01,0.264305782178669
1968-04-01,-0.205078936440735
1968-05-01,-0.388080387691403
1968-06-01,-0.32575400005638
1968-07-01,-0.383123989931063
1968-08-01,-0.296468400425687
1968-09-01,-0.207364701344341
1968-10-01,-0.0568208269980738
1968-11-01,-0.18507840295957
1968-12-01,-0.662723645519451
1969-01-01,-1.09972161219554
1969-02-01,-1.17986775847886
1969-03-01,-0.744741646003951
1969-04-01,-0.361014173104166
1969-05-01,-0.0825564672986247
1969-06-01,0.235829348807167
1969-07-01,0.645341527088097
1969-08-01,0.507079538181119
1969-09-01,0.485477604018447
1969-10-01,0.474397449203014
1969-11-01,0.253440549002899
1969-12-01,0.100630806241468
1970-01-01,0.00745649581787276
1970-02-01,-0.128422267444912
1970-03-01,-0.375164831069104
1970-04-01,-0.326089985510904
1970-05-01,-0.384344016167265
1970-06-01,-3.85238840612406
1970-07-01,-4.51340698364441
1970-08-01,-5.30952932979244
1970-09-01,-5.78460283049649
1970-10-01,-5.29020528156512
1970-11-01,-5.20005576552024
1970-12-01,-5.33458685146519
1971-01-01,-5.6823583144228
1971-02-01,-6.07528885686695
1971-03-01,-6.22844465926806
1971-04-01,-6.0472746258498
1971-05-01,-5.96633799980316
1971-06-01,-1.63776493324684
1971-07-01,-1.06589147274181
1971-08-01,-0.783545543749471
1971-09-01,-0.295275590257208
1971-10-01,-1.66503427939869
1971-11-01,-1.56862744988964
1971-12-01,-1.76991150461956
1972-01-01,-0.592885374902352
1972-02-01,-0.297619047323249
1972-03-01,-0.79522862857853
1972-04-01,-1.19047618929056
1972-05-01,-1.98216055506609
1972-06-01,-4.11361410414968
1972-07-01,-3.6238981394845
1972-08-01,-3.06021717591432
1972-09-01,-2.96150049385132
1972-10-01,-2.09163346728406
1972-11-01,-1.69322709270123
1972-12-01,-0.200200200242805
1973-01-01,-0.707825761887645
1973-02-01,-0.956662435647242
1973-03-01,-0.154807697387248
1973-04-01,0.483239084695676
1973-05-01,1.14915319575191
1973-06-01,1.96259585580797
1973-07-01,1.54395387048817
1973-08-01,2.20871216157736
1973-09-01,2.50155159430698
1973-10-01,1.83995904518683
1973-11-01,1.17568934253259
1973-12-01,0.20984200271208
1974-01-01,-0.758923492089498
1974-02-01,-1.91797257191416
1974-03-01,-2.47779514212384
1974-04-01,-3.36424080385783
1974-05-01,-3.83446670221977
1974-06-01,-3.20932094307556
1974-07-01,-2.40508565864639
1974-08-01,-2.39545028159635
1974-09-01,-2.12196382625246
1974-10-01,-1.81715939273658
