DATE,WILLREITIND
1978-02-01,99.1900000000000000
1978-03-01,106.9000000000000000
1978-04-01,112.0400000000000000
1978-05-01,110.1600000000000000
1978-06-01,107.9500000000000000
1978-07-01,112.1600000000000000
1978-08-01,121.1300000000000000
1978-09-01,122.2300000000000000
1978-10-01,103.5100000000000000
1978-11-01,107.1600000000000000
1978-12-01,110.9800000000000000
1979-01-01,118.4200000000000000
1979-02-01,118.3000000000000000
1979-03-01,134.2800000000000000
1979-04-01,135.7100000000000000
1979-05-01,140.0900000000000000
1979-06-01,147.6000000000000000
1979-07-01,152.3700000000000000
1979-08-01,173.0300000000000000
1979-09-01,169.0800000000000000
1979-10-01,151.6700000000000000
1979-11-01,157.5700000000000000
1979-12-01,165.3500000000000000
1980-01-01,179.8400000000000000
1980-02-01,179.0800000000000000
1980-03-01,151.4100000000000000
1980-04-01,159.7900000000000000
1980-05-01,173.1900000000000000
1980-06-01,181.7100000000000000
1980-07-01,202.7000000000000000
1980-08-01,210.1400000000000000
1980-09-01,205.5600000000000000
1980-10-01,228.0500000000000000
1980-11-01,229.2300000000000000
1980-12-01,220.1100000000000000
1981-01-01,222.9500000000000000
1981-02-01,225.0400000000000000
1981-03-01,239.2000000000000000
1981-04-01,242.1200000000000000
1981-05-01,235.9000000000000000
1981-06-01,256.3000000000000000
1981-07-01,258.7600000000000000
1981-08-01,248.9300000000000000
1981-09-01,224.1600000000000000
1981-10-01,242.1400000000000000
1981-11-01,257.9200000000000000
1981-12-01,259.4700000000000000
1982-01-01,246.2400000000000000
1982-02-01,244.4400000000000000
1982-03-01,240.2900000000000000
1982-04-01,247.1100000000000000
1982-05-01,244.8100000000000000
1982-06-01,235.4600000000000000
1982-07-01,230.5600000000000000
1982-08-01,244.8100000000000000
1982-09-01,253.0600000000000000
1982-10-01,287.4300000000000000
1982-11-01,299.6100000000000000
1982-12-01,313.7300000000000000
1983-01-01,318.1200000000000000
1983-02-01,325.8200000000000000
1983-03-01,358.3700000000000000
1983-04-01,380.4100000000000000
1983-05-01,380.3700000000000000
1983-06-01,376.5300000000000000
1983-07-01,374.6100000000000000
1983-08-01,372.7300000000000000
1983-09-01,389.6900000000000000
1983-10-01,392.7700000000000000
1983-11-01,401.2900000000000000
1983-12-01,414.6600000000000000
1984-01-01,427.3000000000000000
1984-02-01,422.2200000000000000
1984-03-01,425.9800000000000000
1984-04-01,430.1100000000000000
1984-05-01,423.3100000000000000
1984-06-01,427.8400000000000000
1984-07-01,423.4400000000000000
1984-08-01,452.6100000000000000
1984-09-01,466.3700000000000000
1984-10-01,476.7200000000000000
1984-11-01,491.8800000000000000
1984-12-01,505.4100000000000000
1985-01-01,526.5900000000000000
1985-02-01,542.9600000000000000
1985-03-01,536.6100000000000000
1985-04-01,536.0200000000000000
1985-05-01,545.2900000000000000
1985-06-01,546.0000000000000000
1985-07-01,556.9200000000000000
1985-08-01,543.9500000000000000
1985-09-01,530.2400000000000000
1985-10-01,534.2200000000000000
1985-11-01,533.0900000000000000
1985-12-01,538.2600000000000000
1986-01-01,552.2600000000000000
1986-02-01,568.4400000000000000
1986-03-01,599.5900000000000000
1986-04-01,596.9500000000000000
1986-05-01,597.5500000000000000
1986-06-01,625.2800000000000000
1986-07-01,619.9600000000000000
1986-08-01,651.7700000000000000
1986-09-01,629.0200000000000000
1986-10-01,651.1600000000000000
1986-11-01,648.0300000000000000
1986-12-01,644.5400000000000000
1987-01-01,669.5400000000000000
1987-02-01,699.5400000000000000
1987-03-01,694.8500000000000000
1987-04-01,680.4000000000000000
1987-05-01,670.6700000000000000
1987-06-01,696.7600000000000000
1987-07-01,693.8300000000000000
1987-08-01,683.9100000000000000
1987-09-01,674.4700000000000000
1987-10-01,567.5000000000000000
1987-11-01,580.6700000000000000
1987-12-01,602.0400000000000000
1988-01-01,637.9200000000000000
1988-02-01,665.5400000000000000
1988-03-01,668.4700000000000000
1988-04-01,671.7400000000000000
1988-05-01,667.7100000000000000
1988-06-01,699.1600000000000000
1988-07-01,710.1400000000000000
1988-08-01,706.8000000000000000
1988-09-01,707.0100000000000000
1988-10-01,706.8700000000000000
1988-11-01,696.9000000000000000
1988-12-01,707.2900000000000000
1989-01-01,716.6200000000000000
1989-02-01,707.9500000000000000
1989-03-01,712.0600000000000000
1989-04-01,723.1700000000000000
1989-05-01,737.9900000000000000
1989-06-01,741.2400000000000000
1989-07-01,764.9600000000000000
1989-08-01,762.8900000000000000
1989-09-01,759.6100000000000000
1989-10-01,730.4400000000000000
1989-11-01,729.7100000000000000
1989-12-01,726.5000000000000000
1990-01-01,698.7500000000000000
1990-02-01,687.0100000000000000
1990-03-01,686.2600000000000000
1990-04-01,671.8400000000000000
1990-05-01,660.7600000000000000
1990-06-01,668.5600000000000000
1990-07-01,651.5700000000000000
1990-08-01,593.0000000000000000
1990-09-01,544.7900000000000000
1990-10-01,520.8700000000000000
1990-11-01,556.0800000000000000
1990-12-01,556.1900000000000000
1991-01-01,608.9200000000000000
1991-02-01,632.5500000000000000
1991-03-01,689.7300000000000000
1991-04-01,692.4200000000000000
1991-05-01,697.5400000000000000
1991-06-01,676.4100000000000000
1991-07-01,669.6400000000000000
1991-08-01,660.2000000000000000
1991-09-01,670.4300000000000000
1991-10-01,659.8400000000000000
1991-11-01,657.6000000000000000
1991-12-01,688.7700000000000000
1992-01-01,722.8600000000000000
1992-02-01,724.0900000000000000
1992-03-01,718.0100000000000000
1992-04-01,712.4800000000000000
1992-05-01,721.0300000000000000
1992-06-01,704.9500000000000000
1992-07-01,728.2800000000000000
