DATE,CPGREN01CAM657N
1961-02-01,0
1961-03-01,0
1961-04-01,0
1961-05-01,-0.869565217
1961-06-01,-0.877192982
1961-07-01,0.884955752
1961-08-01,0.877192982
1961-09-01,0
1961-10-01,0
1961-11-01,0
1961-12-01,-1.739130435
1962-01-01,1.769911504
1962-02-01,0
1962-03-01,0
1962-04-01,-0.869565217
1962-05-01,0
1962-06-01,0
1962-07-01,0
1962-08-01,0
1962-09-01,0
1962-10-01,-0.877192982
1962-11-01,0
1962-12-01,0
1963-01-01,-0.884955752
1963-02-01,0.892857143
1963-03-01,-0.884955752
1963-04-01,0.892857143
1963-05-01,0
1963-06-01,0
1963-07-01,-2.654867257
1963-08-01,1.818181818
1963-09-01,0
1963-10-01,0
1963-11-01,0
1963-12-01,0
1964-01-01,0
1964-02-01,0
1964-03-01,0.892857143
1964-04-01,0
1964-05-01,0
1964-06-01,0
1964-07-01,0
1964-08-01,0
1964-09-01,0
1964-10-01,-0.884955752
1964-11-01,0
1964-12-01,0
1965-01-01,0.892857143
1965-02-01,0
1965-03-01,-0.884955752
1965-04-01,0
1965-05-01,0.892857143
1965-06-01,0
1965-07-01,-0.884955752
1965-08-01,0
1965-09-01,0.892857143
1965-10-01,0
1965-11-01,0
1965-12-01,0
1966-01-01,0
1966-02-01,0
1966-03-01,0
1966-04-01,0.884955752
1966-05-01,0
1966-06-01,0
1966-07-01,0
1966-08-01,0
1966-09-01,0
1966-10-01,0.877192982
1966-11-01,0
1966-12-01,0
1967-01-01,0
1967-02-01,0
1967-03-01,0.869565217
1967-04-01,2.586206897
1967-05-01,0.840336134
1967-06-01,0
1967-07-01,0
1967-08-01,-0.833333333
1967-09-01,0
1967-10-01,0
1967-11-01,0
1967-12-01,0
1968-01-01,0.840336134
1968-02-01,0
1968-03-01,0.833333333
1968-04-01,0.826446281
1968-05-01,0.819672131
1968-06-01,0
1968-07-01,0
1968-08-01,0.81300813
1968-09-01,0
1968-10-01,0
1968-11-01,0
1968-12-01,0
1969-01-01,0.806451613
1969-02-01,0
1969-03-01,0
1969-04-01,0
1969-05-01,0
1969-06-01,0
1969-07-01,0
1969-08-01,0.8
1969-09-01,0.793650794
1969-10-01,0
1969-11-01,0
1969-12-01,0
1970-01-01,0
1970-02-01,0
1970-03-01,2.362204724
1970-04-01,0
1970-05-01,0
1970-06-01,0
1970-07-01,0
1970-08-01,0
1970-09-01,0
1970-10-01,0
1970-11-01,0.769230769
1970-12-01,0
1971-01-01,0.763358779
1971-02-01,0.757575758
1971-03-01,0
1971-04-01,3.007518797
1971-05-01,0
1971-06-01,0
1971-07-01,0
1971-08-01,0
1971-09-01,0
1971-10-01,0
1971-11-01,0.729927007
1971-12-01,0
1972-01-01,0.724637681
1972-02-01,0
1972-03-01,0.71942446
1972-04-01,0
1972-05-01,0
1972-06-01,0
1972-07-01,0
1972-08-01,0
1972-09-01,0
1972-10-01,0
1972-11-01,0
1972-12-01,0
1973-01-01,2.857142857
1973-02-01,1.388888889
1973-03-01,0
1973-04-01,0
1973-05-01,1.369863014
1973-06-01,1.351351351
1973-07-01,1.333333333
1973-08-01,2.631578947
1973-09-01,0.641025641
1973-10-01,1.27388535
1973-11-01,1.257861635
1973-12-01,3.105590062
1974-01-01,0
1974-02-01,0
1974-03-01,0
1974-04-01,0
1974-05-01,6.024096386
1974-06-01,2.840909091
1974-07-01,0
1974-08-01,0
1974-09-01,0
1974-10-01,0
1974-11-01,0
1974-12-01,0.552486188
1975-01-01,1.648351648
1975-02-01,0
1975-03-01,2.162162162
1975-04-01,0.529100529
1975-05-01,0.526315789
1975-06-01,0
1975-07-01,6.806282723
1975-08-01,1.470588235
1975-09-01,1.93236715
1975-10-01,0
1975-11-01,1.895734597
1975-12-01,1.395348837
1976-01-01,1.834862385
1976-02-01,0.900900901
1976-03-01,0.446428571
1976-04-01,0
1976-05-01,0.444444444
1976-06-01,0.884955752
1976-07-01,0
1976-08-01,0
1976-09-01,4.385964912
1976-10-01,1.260504202
1976-11-01,-0.414937759
1976-12-01,0
1977-01-01,2.083333333
1977-02-01,0
1977-03-01,4.081632653
1977-04-01,0.784313725
1977-05-01,0.389105058
1977-06-01,0
1977-07-01,0
1977-08-01,0
1977-09-01,2.713178295
1977-10-01,0.754716981
1977-11-01,0.374531835
1977-12-01,-0.373134328
1978-01-01,0.374531835
1978-02-01,1.119402985
1978-03-01,3.6900369
1978-04-01,-0.355871886
1978-05-01,0
1978-06-01,-0.357142857
1978-07-01,0.358422939
1978-08-01,1.428571429
1978-09-01,2.464788732
1978-10-01,0
1978-11-01,0
1978-12-01,0.687285223
1979-01-01,2.04778157
1979-02-01,0.334448161
1979-03-01,0
1979-04-01,0.666666667
1979-05-01,0.331125828
1979-06-01,0
1979-07-01,0.99009901
1979-08-01,0.326797386
1979-09-01,4.234527687
1979-10-01,0.9375
1979-11-01,0.92879257
1979-12-01,1.226993865
1980-01-01,1.818181818
1980-02-01,0.297619048
1980-03-01,2.670623145
1980-04-01,0.867052023
1980-05-01,0.286532951
1980-06-01,0.571428571
1980-07-01,1.136363636
1980-08-01,1.123595506
1980-09-01,0
1980-10-01,6.388888889
1980-11-01,2.610966057
1980-12-01,0.254452926
1981-01-01,6.345177665
1981-02-01,0.477326969
1981-03-01,4.750593824
1981-04-01,0
1981-05-01,2.267573696
1981-06-01,4.87804878
1981-07-01,1.057082452
1981-08-01,0.418410042
1981-09-01,3.125
1981-10-01,1.01010101
1981-11-01,0
1981-12-01,2.8
1982-01-01,1.167315175
1982-02-01,0.192307692
1982-03-01,5.37428023
1982-04-01,0.364298725
1982-05-01,1.270417423
1982-06-01,0.17921147
1982-07-01,0
1982-08-01,0.894454383
1982-09-01,4.432624113
1982-10-01,-1.188455008
1982-11-01,0.687285223
1982-12-01,0
1983-01-01,-1.535836177
1983-02-01,-1.906412478
1983-03-01,8.303886926
1983-04-01,-4.567699837
1983-05-01,-3.418803419
1983-06-01,9.026548673
1983-07-01,0.974025974
1983-08-01,0.643086817
1983-09-01,-0.319488818
1983-10-01,-0.961538462
1983-11-01,-0.809061489
1983-12-01,1.468189233
1984-01-01,2.411575563
1984-02-01,0.470957614
1984-03-01,-2.1875
1984-04-01,0.319488818
1984-05-01,-0.636942675
1984-06-01,0.961538462
1984-07-01,1.746031746
1984-08-01,-1.248049922
1984-09-01,0.473933649
1984-10-01,0
1984-11-01,2.830188679
1984-12-01,1.070336391
1985-01-01,1.664145234
1985-02-01,-0.297619048
1985-03-01,0
1985-04-01,0
1985-05-01,0
1985-06-01,-0.298507463
1985-07-01,-1.19760479
1985-08-01,0.303030303
1985-09-01,2.265861027
1985-10-01,0.59084195
1985-11-01,0.587371512
1985-12-01,0.437956204
1986-01-01,0.872093023
1986-02-01,0
1986-03-01,-3.314121037
1986-04-01,-6.706408346
1986-05-01,-2.555910543
1986-06-01,-0.327868852
1986-07-01,-0.328947368
1986-08-01,-0.330033003
1986-09-01,-1.324503311
1986-10-01,-0.838926174
1986-11-01,1.015228426
1986-12-01,0.335008375
1987-01-01,1.335559265
1987-02-01,2.141680395
1987-03-01,1.935483871
1987-04-01,0.632911392
1987-05-01,0.157232704
1987-06-01,1.098901099
1987-07-01,0.465838509
1987-08-01,0.463678516
1987-09-01,0.769230769
1987-10-01,-0.305343511
1987-11-01,0.306278714
1987-12-01,0
1988-01-01,0
1988-02-01,-1.374045802
1988-03-01,-0.773993808
1988-04-01,1.092043682
1988-05-01,0.925925926
1988-06-01,-0.305810398
1988-07-01,0.153374233
1988-08-01,-1.684532925
1988-09-01,0.15576324
1988-10-01,-0.622083981
1988-11-01,-0.938967136
1988-12-01,-0.315955766
1989-01-01,0.792393027
1989-02-01,0.628930818
1989-03-01,0.625
1989-04-01,0.931677019
1989-05-01,3.846153846
1989-06-01,0.592592593
1989-07-01,0.29455081
1989-08-01,0
1989-09-01,-0.146842878
1989-10-01,-0.294117647
1989-11-01,0.442477876
1989-12-01,-0.440528634
1990-01-01,2.359882006
1990-02-01,1.152737752
1990-03-01,0.854700855
1990-04-01,0.847457627
1990-05-01,1.120448179
1990-06-01,0.55401662
1990-07-01,-0.275482094
1990-08-01,0.276243094
1990-09-01,1.101928375
1990-10-01,4.495912807
1990-11-01,3.389830508
1990-12-01,-0.126103405
1991-01-01,4.292929293
1991-02-01,-5.690072639
1991-03-01,-3.209242619
1991-04-01,-1.724137931
1991-05-01,2.968960864
1991-06-01,0.262123198
1991-07-01,1.307189542
1991-08-01,-0.258064516
1991-09-01,0.64683053
1991-10-01,-1.928020566
1991-11-01,0
1991-12-01,-1.179554391
1992-01-01,2.917771883
1992-02-01,-2.577319588
1992-03-01,-0.661375661
1992-04-01,0.133155792
1992-05-01,1.462765957
1992-06-01,1.572739187
1992-07-01,1.935483871
1992-08-01,-1.139240506
1992-09-01,-0.640204866
1992-10-01,-0.128865979
1992-11-01,1.032258065
1992-12-01,-0.127713921
1993-01-01,0.511508951
1993-02-01,-0.508905852
1993-03-01,-0.767263427
1993-04-01,0.128865979
1993-05-01,0.643500644
1993-06-01,0.895140665
1993-07-01,-0.380228137
1993-08-01,-0.636132316
1993-09-01,0.384122919
1993-10-01,-0.510204082
1993-11-01,0
1993-12-01,-1.153846154
1994-01-01,-0.907911803
1994-02-01,1.178010471
1994-03-01,0.258732212
1994-04-01,-0.129032258
1994-05-01,0.904392765
1994-06-01,1.408450704
1994-07-01,0.883838384
1994-08-01,0.876095119
1994-09-01,-0.992555831
1994-10-01,-2.005012531
1994-11-01,1.662404092
1994-12-01,-0.880503145
1995-01-01,-0.38071066
1995-02-01,0.25477707
1995-03-01,0.635324015
1995-04-01,0.378787879
1995-05-01,2.264150943
1995-06-01,-0.12300123
1995-07-01,-0.738916256
1995-08-01,-1.364764268
1995-09-01,0.251572327
1995-10-01,-1.12923463
1995-11-01,-0.38071066
1995-12-01,1.27388535
