DATE,VXOCLS
1986-01-01,18.1213636363636364
1986-02-01,20.6242105263157895
1986-03-01,23.5640000000000000
1986-04-01,23.0154545454545455
1986-05-01,18.8875000000000000
1986-06-01,18.5980952380952381
1986-07-01,19.6390909090909091
1986-08-01,18.6380952380952381
1986-09-01,22.7052380952380952
1986-10-01,22.5239130434782609
1986-11-01,18.6315789473684211
1986-12-01,19.7586363636363636
1987-01-01,20.7666666666666667
1987-02-01,23.4463157894736842
1987-03-01,21.8372727272727273
1987-04-01,26.8814285714285714
1987-05-01,25.4115000000000000
1987-06-01,21.6245454545454545
1987-07-01,17.8009090909090909
1987-08-01,20.8490476190476190
1987-09-01,22.8938095238095238
1987-10-01,58.2195454545454545
1987-11-01,49.4365000000000000
1987-12-01,41.7640909090909091
1988-01-01,38.3365000000000000
1988-02-01,33.6740000000000000
1988-03-01,29.3569565217391304
1988-04-01,27.4050000000000000
1988-05-01,25.7166666666666667
1988-06-01,25.2709090909090909
1988-07-01,23.6440000000000000
1988-08-01,23.7073913043478261
1988-09-01,19.5242857142857143
1988-10-01,20.4819047619047619
1988-11-01,21.6590476190476190
1988-12-01,17.7542857142857143
1989-01-01,17.7580952380952381
1989-02-01,18.3126315789473684
1989-03-01,17.4754545454545455
1989-04-01,16.8875000000000000
1989-05-01,17.4350000000000000
1989-06-01,16.7322727272727273
1989-07-01,18.0565000000000000
1989-08-01,19.3234782608695652
1989-09-01,16.7465000000000000
1989-10-01,21.9509090909090909
1989-11-01,20.9323809523809524
1989-12-01,18.2350000000000000
1990-01-01,23.4990909090909091
1990-02-01,23.3268421052631579
1990-03-01,18.8313636363636364
1990-04-01,20.4575000000000000
1990-05-01,18.1518181818181818
1990-06-01,17.5828571428571429
1990-07-01,18.9328571428571429
1990-08-01,27.7752173913043478
1990-09-01,28.8189473684210526
1990-10-01,30.1304347826086957
1990-11-01,25.1066666666666667
1990-12-01,22.5845000000000000
1991-01-01,26.9318181818181818
1991-02-01,22.1126315789473684
1991-03-01,19.0410526315789474
1991-04-01,18.9272727272727273
1991-05-01,17.1804545454545455
1991-06-01,17.5750000000000000
1991-07-01,17.6695454545454545
1991-08-01,15.9327272727272727
1991-09-01,17.0290000000000000
1991-10-01,16.8463636363636364
1991-11-01,17.6815000000000000
1991-12-01,18.0185714285714286
1992-01-01,17.4995454545454545
1992-02-01,17.0505263157894737
1992-03-01,16.2227272727272727
1992-04-01,16.1885714285714286
1992-05-01,14.7280000000000000
1992-06-01,14.7531818181818182
1992-07-01,13.3036363636363636
1992-08-01,14.4223809523809524
1992-09-01,14.2585714285714286
1992-10-01,17.4786363636363636
1992-11-01,14.5940000000000000
1992-12-01,12.7813636363636364
1993-01-01,12.5840000000000000
1993-02-01,13.6247368421052632
1993-03-01,13.6930434782608696
1993-04-01,13.4566666666666667
1993-05-01,13.4855000000000000
1993-06-01,12.9731818181818182
1993-07-01,11.8695000000000000
1993-08-01,11.9531818181818182
1993-09-01,12.6490000000000000
1993-10-01,11.3752380952380952
1993-11-01,13.3709523809523810
1993-12-01,10.8645454545454545
1994-01-01,10.6052380952380952
1994-02-01,12.8852631578947368
1994-03-01,14.2408695652173913
1994-04-01,15.3347368421052632
1994-05-01,13.3900000000000000
1994-06-01,12.9459090909090909
1994-07-01,12.1635000000000000
1994-08-01,11.3578260869565217
1994-09-01,12.6480952380952381
1994-10-01,15.0495238095238095
1994-11-01,16.2495238095238095
1994-12-01,13.8066666666666667
1995-01-01,11.7119047619047619
1995-02-01,11.1973684210526316
1995-03-01,11.9713043478260870
1995-04-01,12.5168421052631579
1995-05-01,12.4586363636363636
1995-06-01,13.1790909090909091
1995-07-01,14.0765000000000000
1995-08-01,13.3486956521739130
1995-09-01,12.2370000000000000
1995-10-01,14.2281818181818182
1995-11-01,12.9719047619047619
1995-12-01,12.2880000000000000
1996-01-01,14.1504545454545455
1996-02-01,16.2380000000000000
1996-03-01,19.0819047619047619
1996-04-01,17.5128571428571429
1996-05-01,16.9668181818181818
1996-06-01,17.6755000000000000
1996-07-01,19.3418181818181818
1996-08-01,16.4781818181818182
1996-09-01,17.2785000000000000
1996-10-01,17.4013043478260870
1996-11-01,17.1640000000000000
1996-12-01,20.1135000000000000
1997-01-01,21.0313636363636364
1997-02-01,21.6478947368421053
1997-03-01,22.3035000000000000
1997-04-01,21.5077272727272727
1997-05-01,21.9276190476190476
1997-06-01,22.7433333333333333
1997-07-01,23.2477272727272727
1997-08-01,25.1538095238095238
1997-09-01,25.5928571428571429
1997-10-01,25.6095652173913043
1997-11-01,31.5347368421052632
1997-12-01,26.4959090909090909
1998-01-01,24.4275000000000000
1998-02-01,20.4200000000000000
1998-03-01,20.5431818181818182
1998-04-01,22.5380952380952381
1998-05-01,21.4485000000000000
1998-06-01,21.9952380952380952
1998-07-01,20.2518181818181818
1998-08-01,31.4885714285714286
1998-09-01,39.2471428571428571
1998-10-01,37.4540909090909091
1998-11-01,25.0380000000000000
1998-12-01,25.4768181818181818
1999-01-01,28.6168421052631579
1999-02-01,29.9384210526315789
1999-03-01,26.4800000000000000
1999-04-01,24.6938095238095238
1999-05-01,27.3765000000000000
1999-06-01,24.1236363636363636
1999-07-01,21.4866666666666667
1999-08-01,24.8722727272727273
1999-09-01,25.5800000000000000
1999-10-01,25.3700000000000000
1999-11-01,22.2295238095238095
1999-12-01,23.2213636363636364
2000-01-01,24.9385000000000000
2000-02-01,25.4560000000000000
2000-03-01,24.7678260869565217
2000-04-01,29.8331578947368421
2000-05-01,29.4290909090909091
2000-06-01,24.3177272727272727
