DATE,USD12MD156N
1986-01-01,8.3153409090909091
1986-02-01,8.1635700000000000
1986-03-01,7.5855315789473684
1986-04-01,6.9403454545454545
1986-05-01,7.1218750000000000
1986-06-01,7.2544666666666667
1986-07-01,6.7432086956521739
1986-08-01,6.2890700000000000
1986-09-01,6.1605363636363636
1986-10-01,6.1385869565217391
1986-11-01,6.1586000000000000
1986-12-01,6.2314000000000000
1987-01-01,6.1919652380952381
1987-02-01,6.5031255000000000
1987-03-01,6.5866477272727273
1987-04-01,7.3250005000000000
1987-05-01,8.0921057894736842
1987-06-01,7.8778413636363636
1987-07-01,7.5387230434782609
1987-08-01,7.7500000000000000
1987-09-01,8.5596590909090909
1987-10-01,8.9282672727272727
1987-11-01,7.9464285714285714
1987-12-01,8.1897323809523810
1988-01-01,7.7812500000000000
1988-02-01,7.2619047619047619
1988-03-01,7.3885869565217391
1988-04-01,7.7993421052631579
1988-05-01,8.2046880000000000
1988-06-01,8.3039772727272727
1988-07-01,8.6666666666666667
1988-08-01,9.1306818181818182
1988-09-01,8.9062504545454545
1988-10-01,8.8125000000000000
1988-11-01,9.1306818181818182
1988-12-01,9.5437500000000000
1989-01-01,9.7797619047619048
1989-02-01,10.1750000000000000
1989-03-01,10.8958333333333333
1989-04-01,10.6156250000000000
1989-05-01,9.8184523809523810
1989-06-01,9.1846590909090909
1989-07-01,8.6354166666666667
1989-08-01,8.6676136363636364
1989-09-01,8.9047619047619048
1989-10-01,8.6107954545454545
1989-11-01,8.2904831818181818
1989-12-01,8.2039473684210526
1990-01-01,8.4744318181818182
1990-02-01,8.6625000000000000
1990-03-01,8.9232954545454545
1990-04-01,9.0328947368421053
1990-05-01,8.9166666666666667
1990-06-01,8.5625000000000000
1990-07-01,8.3551136363636364
1990-08-01,8.2173295454545455
1990-09-01,8.3125000000000000
1990-10-01,8.1949730434782609
1990-11-01,8.0255681818181818
1990-12-01,7.6875000000000000
1991-01-01,7.4240059090909091
1991-02-01,6.9156250000000000
1991-03-01,7.0500005000000000
1991-04-01,6.8154761904761905
1991-05-01,6.6160714285714286
1991-06-01,6.9246095000000000
1991-07-01,6.8206521739130435
1991-08-01,6.1755952380952381
1991-09-01,5.9501490476190476
1991-10-01,5.6273778260869565
1991-11-01,5.1785714285714286
1991-12-01,4.6464845000000000
1992-01-01,4.4630681818181818
1992-02-01,4.6468750000000000
1992-03-01,5.0628550000000000
1992-04-01,4.7382815000000000
1992-05-01,4.5793584210526316
1992-06-01,4.5511363636363636
1992-07-01,3.8885869565217391
1992-08-01,3.7378905000000000
1992-09-01,3.4801136363636364
1992-10-01,3.6772018181818182
1992-11-01,4.0993304761904762
1992-12-01,4.1298361904761905
1993-01-01,3.8851565000000000
1993-02-01,3.6906250000000000
1993-03-01,3.6022417391304348
1993-04-01,3.5656250000000000
1993-05-01,3.6138978947368421
1993-06-01,3.8377131818181818
1993-07-01,3.7528409090909091
1993-08-01,3.6718752380952381
1993-09-01,3.5419031818181818
1993-10-01,3.5587800000000000
1993-11-01,3.7705968181818182
1993-12-01,3.7987357142857143
1994-01-01,3.7503905000000000
1994-02-01,4.0910155000000000
1994-03-01,4.6042800000000000
1994-04-01,5.1348684210526316
1994-05-01,5.6074220000000000
1994-06-01,5.5678268181818182
1994-07-01,5.7831100000000000
1994-08-01,5.7816050000000000
1994-09-01,6.0039063636363636
1994-10-01,6.4233633333333333
1994-11-01,6.8338068181818182
1994-12-01,7.5718750000000000
1995-01-01,7.5096728571428571
1995-02-01,7.0664060000000000
1995-03-01,6.7948369565217391
1995-04-01,6.6410588888888889
1995-05-01,6.2602304761904762
1995-06-01,5.8467686363636364
1995-07-01,5.8411457142857143
1995-08-01,5.9861513636363636
1995-09-01,5.8690476190476190
1995-10-01,5.8714486363636364
1995-11-01,5.6702768181818182
1995-12-01,5.5045231578947368
1996-01-01,5.2830259090909091
1996-02-01,5.0913314285714286
1996-03-01,5.5677095238095238
1996-04-01,5.8019535000000000
1996-05-01,5.9090404761904762
1996-06-01,6.1472670000000000
1996-07-01,6.1754421739130435
1996-08-01,5.9373138095238095
1996-09-01,6.1434157142857143
1996-10-01,5.8449395652173913
1996-11-01,5.6958709523809524
1996-12-01,5.7628900000000000
1997-01-01,5.9268468181818182
1997-02-01,5.8222660000000000
1997-03-01,6.1032078947368421
1997-04-01,6.3824581818181818
1997-05-01,6.2599610000000000
1997-06-01,5.4698666666666667
1997-07-01,6.0217391304347826
1997-08-01,6.0333005000000000
1997-09-01,6.0239700000000000
1997-10-01,5.9952452173913043
1997-11-01,5.9949220000000000
1997-12-01,6.0184157142857143
1998-01-01,5.7038695238095238
1998-02-01,5.6873055000000000
1998-03-01,5.7935031818181818
1998-04-01,5.8636725000000000
1998-05-01,5.8976147368421053
1998-06-01,5.8350495454545455
1998-07-01,5.8133495652173913
1998-08-01,5.7275390000000000
1998-09-01,5.3110800000000000
1998-10-01,4.8326359090909091
1998-11-01,5.0577595238095238
1998-12-01,5.0379838095238095
1999-01-01,5.0710240000000000
1999-02-01,5.2104540000000000
1999-03-01,5.3099391304347826
1999-04-01,5.2405315000000000
1999-05-01,5.4073184210526316
1999-06-01,5.7046022727272727
1999-07-01,5.7710795454545455
1999-08-01,6.0200595238095238
1999-09-01,6.0467045454545455
1999-10-01,6.2288095238095238
1999-11-01,6.1706250000000000
1999-12-01,6.3754375000000000
2000-01-01,6.6298125000000000
2000-02-01,6.8061309523809524
2000-03-01,6.8323913043478261
2000-04-01,6.8877433333333333
2000-05-01,7.3831547619047619
2000-06-01,7.2451422727272727
