DATE,MABMM203CAM189N
1968-01-01,30194000000
1968-02-01,30361000000
1968-03-01,30514000000
1968-04-01,31180000000
1968-05-01,31563000000
1968-06-01,31912000000
1968-07-01,32511000000
1968-08-01,33033000000
1968-09-01,33283000000
1968-10-01,33698000000
1968-11-01,33760000000
1968-12-01,34001000000
1969-01-01,34140000000
1969-02-01,33904000000
1969-03-01,34319000000
1969-04-01,35009000000
1969-05-01,35298000000
1969-06-01,35566000000
1969-07-01,35997000000
1969-08-01,36175000000
1969-09-01,36485000000
1969-10-01,36937000000
1969-11-01,36839000000
1969-12-01,37121000000
1970-01-01,36921000000
1970-02-01,36978000000
1970-03-01,37395000000
1970-04-01,38034000000
1970-05-01,38268000000
1970-06-01,38651000000
1970-07-01,39281000000
1970-08-01,39511000000
1970-09-01,39822000000
1970-10-01,40217000000
1970-11-01,40356000000
1970-12-01,40899000000
1971-01-01,40932000000
1971-02-01,41120000000
1971-03-01,41721000000
1971-04-01,42437000000
1971-05-01,43033000000
1971-06-01,43883000000
1971-07-01,44460000000
1971-08-01,45037000000
1971-09-01,45648000000
1971-10-01,45896000000
1971-11-01,45599000000
1971-12-01,46161000000
1972-01-01,46358000000
1972-02-01,46649000000
1972-03-01,47352000000
1972-04-01,48083000000
1972-05-01,48570000000
1972-06-01,49351000000
1972-07-01,50384000000
1972-08-01,50963000000
1972-09-01,51752000000
1972-10-01,52377000000
1972-11-01,52623000000
1972-12-01,53318000000
1973-01-01,53607000000
1973-02-01,53850000000
1973-03-01,54509000000
1973-04-01,55599000000
1973-05-01,56419000000
1973-06-01,57317000000
1973-07-01,58582000000
1973-08-01,59419000000
1973-09-01,60264000000
1973-10-01,61235000000
1973-11-01,62115000000
1973-12-01,63495000000
1974-01-01,64227000000
1974-02-01,65072000000
1974-03-01,66221000000
1974-04-01,67657000000
1974-05-01,69139000000
1974-06-01,70033000000
1974-07-01,71460000000
1974-08-01,72331000000
1974-09-01,73130000000
1974-10-01,73956000000
1974-11-01,73486000000
1974-12-01,73741000000
1975-01-01,74828000000
1975-02-01,76123000000
1975-03-01,77424000000
1975-04-01,78898000000
1975-05-01,79784000000
1975-06-01,81035000000
1975-07-01,82610000000
1975-08-01,83658000000
1975-09-01,84684000000
1975-10-01,85912000000
1975-11-01,86116000000
1975-12-01,87298000000
1976-01-01,87210000000
