DATE,RUMIDCAPTR
1979-01-01,106.2500000000000000
1979-02-01,103.2000000000000000
1979-03-01,111.7200000000000000
1979-04-01,112.9100000000000000
1979-05-01,111.9800000000000000
1979-06-01,118.7000000000000000
1979-07-01,121.7500000000000000
1979-08-01,130.5500000000000000
1979-09-01,130.1400000000000000
1979-10-01,118.7700000000000000
1979-11-01,127.5500000000000000
1979-12-01,132.5200000000000000
1980-01-01,139.8700000000000000
1980-02-01,136.7700000000000000
1980-03-01,118.7100000000000000
1980-04-01,126.3800000000000000
1980-05-01,136.1900000000000000
1980-06-01,142.8100000000000000
1980-07-01,154.8000000000000000
1980-08-01,158.8400000000000000
1980-09-01,164.1500000000000000
1980-10-01,165.8700000000000000
1980-11-01,179.0300000000000000
1980-12-01,175.5900000000000000
1981-01-01,171.4800000000000000
1981-02-01,174.5200000000000000
1981-03-01,188.1600000000000000
1981-04-01,189.0500000000000000
1981-05-01,193.6600000000000000
1981-06-01,190.1200000000000000
1981-07-01,187.7600000000000000
1981-08-01,177.0600000000000000
1981-09-01,165.6900000000000000
1981-10-01,177.1200000000000000
1981-11-01,184.3000000000000000
1981-12-01,179.8000000000000000
1982-01-01,173.2000000000000000
1982-02-01,165.8400000000000000
1982-03-01,164.2000000000000000
1982-04-01,172.0500000000000000
1982-05-01,165.9200000000000000
1982-06-01,161.4600000000000000
1982-07-01,157.6500000000000000
1982-08-01,176.6100000000000000
1982-09-01,181.6300000000000000
1982-10-01,205.9100000000000000
1982-11-01,218.4700000000000000
1982-12-01,221.6200000000000000
1983-01-01,229.4400000000000000
1983-02-01,237.3800000000000000
1983-03-01,245.7400000000000000
1983-04-01,261.0900000000000000
1983-05-01,272.0100000000000000
1983-06-01,281.9100000000000000
1983-07-01,273.0600000000000000
1983-08-01,271.3400000000000000
1983-09-01,278.9300000000000000
1983-10-01,268.1100000000000000
1983-11-01,279.5900000000000000
1983-12-01,274.4100000000000000
1984-01-01,266.6200000000000000
1984-02-01,252.2000000000000000
1984-03-01,256.3800000000000000
1984-04-01,253.5600000000000000
1984-05-01,239.2600000000000000
1984-06-01,246.7300000000000000
1984-07-01,239.5000000000000000
1984-08-01,269.4100000000000000
1984-09-01,270.6800000000000000
1984-10-01,271.7300000000000000
1984-11-01,270.5900000000000000
1984-12-01,278.3300000000000000
1985-01-01,304.7400000000000000
1985-02-01,310.2000000000000000
1985-03-01,308.4300000000000000
1985-04-01,307.5400000000000000
1985-05-01,325.0000000000000000
1985-06-01,332.9000000000000000
1985-07-01,332.4700000000000000
1985-08-01,331.0700000000000000
1985-09-01,314.8500000000000000
1985-10-01,331.1600000000000000
1985-11-01,354.0400000000000000
1985-12-01,367.4300000000000000
1986-01-01,375.6900000000000000
1986-02-01,406.2400000000000000
1986-03-01,427.5900000000000000
1986-04-01,425.7100000000000000
1986-05-01,447.7600000000000000
1986-06-01,453.8700000000000000
1986-07-01,423.8400000000000000
1986-08-01,453.9100000000000000
1986-09-01,421.7400000000000000
1986-10-01,443.7500000000000000
1986-11-01,447.0300000000000000
1986-12-01,434.3000000000000000
1987-01-01,487.7900000000000000
1987-02-01,516.9800000000000000
1987-03-01,521.8800000000000000
1987-04-01,508.8100000000000000
1987-05-01,510.5600000000000000
1987-06-01,531.3200000000000000
1987-07-01,554.0800000000000000
1987-08-01,573.6500000000000000
1987-09-01,562.6900000000000000
1987-10-01,424.1000000000000000
1987-11-01,400.5600000000000000
1987-12-01,435.3000000000000000
1988-01-01,455.5200000000000000
1988-02-01,487.7900000000000000
1988-03-01,488.4400000000000000
1988-04-01,491.4400000000000000
1988-05-01,490.2900000000000000
1988-06-01,523.8800000000000000
1988-07-01,513.3500000000000000
1988-08-01,501.9400000000000000
1988-09-01,519.0200000000000000
1988-10-01,521.2400000000000000
1988-11-01,508.7400000000000000
1988-12-01,521.5000000000000000
1989-01-01,552.7000000000000000
1989-02-01,551.4000000000000000
1989-03-01,560.4500000000000000
1989-04-01,587.4700000000000000
1989-05-01,613.9600000000000000
1989-06-01,611.6800000000000000
1989-07-01,654.3100000000000000
1989-08-01,676.1900000000000000
1989-09-01,669.9900000000000000
1989-10-01,638.3900000000000000
1989-11-01,647.1400000000000000
1989-12-01,658.5000000000000000
1990-01-01,605.6900000000000000
1990-02-01,617.9700000000000000
1990-03-01,633.0100000000000000
1990-04-01,605.8300000000000000
1990-05-01,660.7000000000000000
1990-06-01,656.4200000000000000
1990-07-01,636.9000000000000000
1990-08-01,568.3900000000000000
1990-09-01,526.2600000000000000
1990-10-01,509.6500000000000000
1990-11-01,558.7300000000000000
1990-12-01,582.7900000000000000
1991-01-01,622.2900000000000000
1991-02-01,674.1500000000000000
1991-03-01,702.1100000000000000
1991-04-01,706.3300000000000000
1991-05-01,739.8700000000000000
1991-06-01,705.7700000000000000
1991-07-01,740.3700000000000000
1991-08-01,762.5100000000000000
1991-09-01,758.0600000000000000
1991-10-01,773.6000000000000000
1991-11-01,741.6100000000000000
1991-12-01,824.7100000000000000
1992-01-01,840.2200000000000000
1992-02-01,859.5200000000000000
1992-03-01,837.5600000000000000
1992-04-01,844.1100000000000000
1992-05-01,849.5600000000000000
1992-06-01,835.7800000000000000
1992-07-01,870.7300000000000000
1992-08-01,850.6700000000000000
1992-09-01,868.3200000000000000
1992-10-01,889.5600000000000000
1992-11-01,934.3900000000000000
1992-12-01,959.4800000000000000
1993-01-01,978.6500000000000000
1993-02-01,979.7600000000000000
1993-03-01,1011.6300000000000000
1993-04-01,984.8300000000000000
1993-05-01,1016.0900000000000000
