DATE,WILLMIDCAP
1978-08-01,1124.3000000000000000
1978-09-01,1104.4900000000000000
1978-10-01,933.6900000000000000
1978-11-01,973.0800000000000000
1978-12-01,990.9900000000000000
1979-01-01,1054.7100000000000000
1979-02-01,1027.0300000000000000
1979-03-01,1114.3200000000000000
1979-04-01,1131.7600000000000000
1979-05-01,1119.3600000000000000
1979-06-01,1187.0500000000000000
1979-07-01,1223.9200000000000000
1979-08-01,1313.5500000000000000
1979-09-01,1313.3400000000000000
1979-10-01,1198.6500000000000000
1979-11-01,1293.7400000000000000
1979-12-01,1348.6400000000000000
1980-01-01,1438.2500000000000000
1980-02-01,1402.8900000000000000
1980-03-01,1186.8300000000000000
1980-04-01,1263.2400000000000000
1980-05-01,1365.4800000000000000
1980-06-01,1434.7300000000000000
1980-07-01,1569.7000000000000000
1980-08-01,1631.8300000000000000
1980-09-01,1683.3800000000000000
1980-10-01,1712.5000000000000000
1980-11-01,1852.0300000000000000
1980-12-01,1803.1800000000000000
1981-01-01,1758.4600000000000000
1981-02-01,1784.5500000000000000
1981-03-01,1932.4200000000000000
1981-04-01,1955.6500000000000000
1981-05-01,2012.6800000000000000
1981-06-01,1961.9400000000000000
1981-07-01,1919.1900000000000000
1981-08-01,1803.2900000000000000
1981-09-01,1682.2700000000000000
1981-10-01,1787.1700000000000000
1981-11-01,1855.2800000000000000
1981-12-01,1814.8600000000000000
1982-01-01,1738.8900000000000000
1982-02-01,1664.2700000000000000
1982-03-01,1656.0700000000000000
1982-04-01,1736.6700000000000000
1982-05-01,1682.5000000000000000
1982-06-01,1642.5600000000000000
1982-07-01,1615.5500000000000000
1982-08-01,1801.7000000000000000
1982-09-01,1858.6500000000000000
1982-10-01,2114.0500000000000000
1982-11-01,2270.0400000000000000
1982-12-01,2281.4800000000000000
1983-01-01,2359.9700000000000000
1983-02-01,2480.8400000000000000
1983-03-01,2584.9400000000000000
1983-04-01,2760.9500000000000000
1983-05-01,2876.0000000000000000
1983-06-01,2993.2000000000000000
1983-07-01,2911.1200000000000000
1983-08-01,2863.5000000000000000
1983-09-01,2956.2700000000000000
1983-10-01,2815.7900000000000000
1983-11-01,2940.5000000000000000
1983-12-01,2885.5200000000000000
1984-01-01,2789.4300000000000000
1984-02-01,2626.7200000000000000
1984-03-01,2665.9900000000000000
1984-04-01,2654.7700000000000000
1984-05-01,2510.6400000000000000
1984-06-01,2581.9900000000000000
1984-07-01,2485.2400000000000000
1984-08-01,2793.0900000000000000
1984-09-01,2790.4900000000000000
1984-10-01,2766.8600000000000000
1984-11-01,2746.2700000000000000
1984-12-01,2816.2500000000000000
1985-01-01,3113.0000000000000000
1985-02-01,3146.9900000000000000
1985-03-01,3121.5600000000000000
1985-04-01,3102.9600000000000000
1985-05-01,3256.5200000000000000
1985-06-01,3328.0700000000000000
1985-07-01,3368.7400000000000000
1985-08-01,3358.8700000000000000
1985-09-01,3199.6600000000000000
1985-10-01,3327.1300000000000000
1985-11-01,3555.0100000000000000
1985-12-01,3694.5400000000000000
1986-01-01,3778.0400000000000000
1986-02-01,4044.7300000000000000
1986-03-01,4302.0900000000000000
1986-04-01,4300.2900000000000000
1986-05-01,4509.4100000000000000
1986-06-01,4560.4100000000000000
1986-07-01,4234.2100000000000000
1986-08-01,4490.4600000000000000
1986-09-01,4198.7100000000000000
1986-10-01,4351.7200000000000000
1986-11-01,4385.8800000000000000
1986-12-01,4277.2800000000000000
1987-01-01,4858.9900000000000000
1987-02-01,5162.1900000000000000
1987-03-01,5253.0000000000000000
1987-04-01,5143.4200000000000000
1987-05-01,5164.4000000000000000
1987-06-01,5321.3500000000000000
1987-07-01,5579.0100000000000000
1987-08-01,5748.8400000000000000
1987-09-01,5653.2900000000000000
1987-10-01,4162.0700000000000000
1987-11-01,3987.7600000000000000
1987-12-01,4341.1500000000000000
1988-01-01,4505.0800000000000000
1988-02-01,4851.6100000000000000
1988-03-01,4921.1300000000000000
1988-04-01,4954.0000000000000000
1988-05-01,4922.9400000000000000
1988-06-01,5256.8100000000000000
1988-07-01,5155.2000000000000000
1988-08-01,5052.0400000000000000
1988-09-01,5210.1200000000000000
1988-10-01,5232.9400000000000000
1988-11-01,5121.7400000000000000
1988-12-01,5264.7400000000000000
1989-01-01,5598.0000000000000000
1989-02-01,5614.9600000000000000
1989-03-01,5691.8300000000000000
1989-04-01,5986.6700000000000000
1989-05-01,6210.8100000000000000
1989-06-01,6174.7900000000000000
1989-07-01,6503.7200000000000000
1989-08-01,6730.9600000000000000
1989-09-01,6692.9300000000000000
1989-10-01,6393.0800000000000000
1989-11-01,6441.7400000000000000
1989-12-01,6496.8800000000000000
1990-01-01,5988.7600000000000000
1990-02-01,6115.1800000000000000
1990-03-01,6291.5400000000000000
1990-04-01,6006.7200000000000000
1990-05-01,6541.5600000000000000
1990-06-01,6508.9200000000000000
1990-07-01,6332.4000000000000000
1990-08-01,5660.7200000000000000
1990-09-01,5275.5600000000000000
1990-10-01,5063.8600000000000000
1990-11-01,5477.0200000000000000
1990-12-01,5721.7800000000000000
1991-01-01,6099.2500000000000000
1991-02-01,6671.4200000000000000
1991-03-01,6956.3600000000000000
1991-04-01,6940.0100000000000000
1991-05-01,7251.5500000000000000
1991-06-01,6991.8000000000000000
1991-07-01,7336.0700000000000000
1991-08-01,7565.1000000000000000
1991-09-01,7514.2700000000000000
1991-10-01,7645.0100000000000000
1991-11-01,7336.7700000000000000
1991-12-01,8121.7300000000000000
1992-01-01,8371.1400000000000000
1992-02-01,8588.6700000000000000
1992-03-01,8382.0800000000000000
