DATE,CCRETT01CAM661N
1987-11-01,88.50454041
1987-12-01,88.42914592
1988-01-01,89.87421885
1988-02-01,91.72263286
1988-03-01,92.72154402
1988-04-01,93.35195057
1988-05-01,93.48510166
1988-06-01,95.55805792
1988-07-01,97.38973961
1988-08-01,96.06831772
1988-09-01,95.45087828
1988-10-01,96.28561645
1988-11-01,94.9009454
1988-12-01,96.47854242
1989-01-01,97.50683852
1989-02-01,98.12673932
1989-03-01,97.88921867
1989-04-01,98.12672773
1989-05-01,98.97583807
1989-06-01,99.27216006
1989-07-01,99.8277192
1989-08-01,101.0986385
1989-09-01,100.5817988
1989-10-01,100.5554798
1989-11-01,101.0408644
1989-12-01,101.3173985
1990-01-01,99.94115223
1990-02-01,97.94358697
1990-03-01,99.64041553
1990-04-01,100.9679392
1990-05-01,99.83845283
1990-06-01,100.0279033
1990-07-01,100.8469269
1990-08-01,100.4989578
1990-09-01,98.35999999
1990-10-01,97.70876366
1990-11-01,97.66595932
1990-12-01,98.29155073
1991-01-01,100.6869187
1991-02-01,100.1903893
1991-03-01,101.4622205
1991-04-01,102.0815297
1991-05-01,102.8449719
1991-06-01,104.2269999
1991-07-01,103.5914436
1991-08-01,103.4561558
1991-09-01,103.0568694
1991-10-01,103.2567582
1991-11-01,102.4974461
1991-12-01,100.0905903
1992-01-01,99.36338957
1992-02-01,97.2415698
1992-03-01,96.92843292
1992-04-01,97.10517162
1992-05-01,95.67282866
1992-06-01,95.39566707
1992-07-01,95.34005976
1992-08-01,94.84213188
1992-09-01,92.05966347
1992-10-01,90.7149095
1992-11-01,90.3032695
1992-12-01,90.21101538
1993-01-01,89.93678829
1993-02-01,91.29035131
1993-03-01,91.69165184
1993-04-01,89.70786779
1993-05-01,89.15591534
1993-06-01,88.4342224
1993-07-01,88.75279655
1993-08-01,86.6834305
1993-09-01,85.39834768
1993-10-01,85.16854244
1993-11-01,86.36635309
1993-12-01,85.22116092
1994-01-01,86.30522233
1994-02-01,83.46422826
1994-03-01,81.63033792
1994-04-01,80.39634573
1994-05-01,80.01481886
1994-06-01,79.69682123
1994-07-01,79.46978413
1994-08-01,79.44155959
1994-09-01,80.53352674
1994-10-01,80.29242943
1994-11-01,79.84191212
1994-12-01,78.84218684
1995-01-01,77.58745658
1995-02-01,78.25553123
1995-03-01,77.34362347
1995-04-01,78.46316071
1995-05-01,79.38751556
1995-06-01,78.19069982
1995-07-01,79.3708889
1995-08-01,79.8191406
1995-09-01,80.30876896
1995-10-01,80.13573278
1995-11-01,80.16420845
1995-12-01,79.12087904
1996-01-01,79.20127445
1996-02-01,78.50020335
1996-03-01,79.06642779
1996-04-01,79.32193467
1996-05-01,78.91143777
1996-06-01,79.15681453
1996-07-01,78.77227509
1996-08-01,78.29342399
1996-09-01,78.39527787
1996-10-01,79.60351969
1996-11-01,80.44363238
1996-12-01,79.1198269
1997-01-01,80.34867686
1997-02-01,80.56313721
1997-03-01,79.7110247
1997-04-01,78.37884908
1997-05-01,78.85205482
1997-06-01,78.54737502
1997-07-01,79.31141493
1997-08-01,79.06218554
1997-09-01,79.1482648
1997-10-01,79.09746953
1997-11-01,78.08133834
1997-12-01,78.62608119
1998-01-01,78.92243973
1998-02-01,78.74272058
1998-03-01,79.65949137
1998-04-01,78.52639067
1998-05-01,78.016643
1998-06-01,77.58805527
1998-07-01,76.42253651
1998-08-01,74.38727616
1998-09-01,74.12161949
1998-10-01,72.05674045
1998-11-01,72.15241339
1998-12-01,71.55536135
1999-01-01,72.73535394
1999-02-01,74.27051893
1999-03-01,73.77162009
1999-04-01,75.17860096
1999-05-01,76.6790958
1999-06-01,76.68266637
1999-07-01,75.65535385
1999-08-01,75.1246902
1999-09-01,75.58299961
1999-10-01,75.31864159
1999-11-01,75.85678771
1999-12-01,75.60905872
2000-01-01,76.53744458
2000-02-01,76.97351125
2000-03-01,76.58161172
2000-04-01,75.98796932
2000-05-01,75.51965856
2000-06-01,76.34151865
2000-07-01,76.46930756
2000-08-01,76.33872495
2000-09-01,76.47483196
2000-10-01,75.51655813
2000-11-01,74.27404439
