DATE,BAMLCC0A0CMTRIV
1993-03-01,652.0647826
1993-04-01,656.7347619
1993-05-01,658.6719048
1993-06-01,665.3068182
1993-07-01,675.1540909
1993-08-01,685.4695455
1993-09-01,699.8457143
1993-10-01,703.4422727
1993-11-01,694.1571429
1993-12-01,697.5877273
1994-01-01,703.3209524
1994-02-01,699.8863158
1994-03-01,684.6513043
1994-04-01,670.2305
1994-05-01,666.1233333
1994-06-01,672.6818182
1994-07-01,671.0871429
1994-08-01,677.4021739
1994-09-01,673.7871429
1994-10-01,668.4871429
1994-11-01,665.1990476
1994-12-01,673.3418182
1995-01-01,678.8142857
1995-02-01,694.3973684
1995-03-01,709.2482609
1995-04-01,720.167
1995-05-01,742.5831818
1995-06-01,764.0472727
1995-07-01,764.0385
1995-08-01,760.4778261
1995-09-01,777.1161905
1995-10-01,788.8113636
1995-11-01,797.6161905
1995-12-01,811.7571429
1996-01-01,818.8818182
1996-02-01,816.81
1996-03-01,800.6531818
1996-04-01,794.7595455
1996-05-01,792.7490909
1996-06-01,791.8971429
1996-07-01,798.9481818
1996-08-01,813.6265217
1996-09-01,809.8845
1996-10-01,829.2952174
1996-11-01,850.3595238
1996-12-01,850.4671429
1997-01-01,843.2759091
1997-02-01,856.1121053
1997-03-01,847.5865
1997-04-01,843.4654545
1997-05-01,857.6713636
1997-06-01,873.1652381
1997-07-01,893.3854545
1997-08-01,893.8245455
1997-09-01,903.1066667
1997-10-01,916.2891304
1997-11-01,922.9271429
1997-12-01,930.96
1998-01-01,947.6168182
1998-02-01,946.9109524
1998-03-01,948.4981818
1998-04-01,955.527619
1998-05-01,960.6636364
1998-06-01,973.5368182
1998-07-01,977.85
1998-08-01,984.4795238
1998-09-01,990.3086364
1998-10-01,1000.633478
1998-11-01,991.2385714
1998-12-01,1015.807273
1999-01-01,1018.608571
1999-02-01,1010.46619
1999-03-01,1008.230435
1999-04-01,1018.585909
1999-05-01,1005.664286
1999-06-01,988.2118182
1999-07-01,997.0808696
1999-08-01,987.9795455
1999-09-01,992.3531818
1999-10-01,989.9172727
1999-11-01,1004.352727
1999-12-01,1001.323913
2000-01-01,992.5595238
2000-02-01,1002.363333
2000-03-01,1008.325652
2000-04-01,1014.294
2000-05-01,990.6047826
2000-06-01,1012.085909
2000-07-01,1026.317143
2000-08-01,1041.294348
2000-09-01,1047.870909
2000-10-01,1055.827727
2000-11-01,1058.913182
2000-12-01,1081.674762
2001-01-01,1102.289545
2001-02-01,1118.2795
2001-03-01,1135.408261
2001-04-01,1131.094
2001-05-01,1137.175217
2001-06-01,1153.920455
2001-07-01,1163.414091
2001-08-01,1184.341739
2001-09-01,1190.176667
2001-10-01,1204.919565
2001-11-01,1211.354545
2001-12-01,1198.475
2002-01-01,1213.242273
2002-02-01,1215.0535
2002-03-01,1202.949524
2002-04-01,1212.876818
2002-05-01,1215.523913
2002-06-01,1235.713333
2002-07-01,1234.166522
2002-08-01,1246.720435
2002-09-01,1276.544286
2002-10-01,1260.166087
2002-11-01,1285.508182
2002-12-01,1308.384286
2003-01-01,1324.679091
2003-02-01,1343.7215
2003-03-01,1356.488571
2003-04-01,1366.996667
2003-05-01,1416.055217
2003-06-01,1440.858571
2003-07-01,1406.513913
2003-08-01,1374.831818
2003-09-01,1400.100455
2003-10-01,1411.03913
2003-11-01,1418.170476
2003-12-01,1432.238182
2004-01-01,1453.823182
2004-02-01,1462.348095
2004-03-01,1485.402609
2004-04-01,1452.004762
2004-05-01,1423.698095
2004-06-01,1426.317727
2004-07-01,1450.434783
2004-08-01,1472.207727
2004-09-01,1492.724545
2004-10-01,1502.988636
2004-11-01,1503.455
2004-12-01,1511.547727
2005-01-01,1519.235714
2005-02-01,1531.408
2005-03-01,1508.815
2005-04-01,1514.068636
2005-05-01,1526.767273
2005-06-01,1547.707727
2005-07-01,1541.775909
2005-08-01,1542.629565
2005-09-01,1550.342727
2005-10-01,1530.930476
2005-11-01,1526.393182
2005-12-01,1537.5
2006-01-01,1548.825714
2006-02-01,1543.517
2006-03-01,1538.347391
2006-04-01,1523.8885
2006-05-01,1523.191739
2006-06-01,1524.194091
2006-07-01,1532.780476
2006-08-01,1559.41913
2006-09-01,1581.891818
2006-10-01,1589.332273
2006-11-01,1613.138182
2006-12-01,1623.18
2007-01-01,1616.036818
2007-02-01,1629.5225
