DATE,WILL5000PR
1971-02-01,885.3700000000000000
1971-03-01,923.1300000000000000
1971-04-01,955.2500000000000000
1971-05-01,919.8300000000000000
1971-06-01,921.9100000000000000
1971-07-01,887.9000000000000000
1971-08-01,919.1900000000000000
1971-09-01,914.2200000000000000
1971-10-01,877.3300000000000000
1971-11-01,871.1500000000000000
1971-12-01,949.2600000000000000
1972-01-01,976.7300000000000000
1972-02-01,1005.7900000000000000
1972-03-01,1013.1000000000000000
1972-04-01,1019.4700000000000000
1972-05-01,1033.3800000000000000
1972-06-01,1010.3400000000000000
1972-07-01,1006.5000000000000000
1972-08-01,1037.9000000000000000
1972-09-01,1028.1700000000000000
1972-10-01,1036.0100000000000000
1972-11-01,1080.2900000000000000
1972-12-01,1090.3100000000000000
1973-01-01,1059.7600000000000000
1973-02-01,1010.1100000000000000
1973-03-01,1001.6100000000000000
1973-04-01,950.8700000000000000
1973-05-01,923.9600000000000000
1973-06-01,914.8500000000000000
1973-07-01,965.0200000000000000
1973-08-01,931.5200000000000000
1973-09-01,979.0400000000000000
1973-10-01,978.7500000000000000
1973-11-01,854.6000000000000000
1973-12-01,861.7300000000000000
1974-01-01,863.5700000000000000
1974-02-01,862.0600000000000000
1974-03-01,838.9400000000000000
1974-04-01,799.5800000000000000
1974-05-01,760.0400000000000000
1974-06-01,739.5000000000000000
1974-07-01,686.3200000000000000
1974-08-01,620.0400000000000000
1974-09-01,550.0400000000000000
1974-10-01,639.4100000000000000
1974-11-01,607.8600000000000000
1974-12-01,590.3400000000000000
1975-01-01,675.5400000000000000
1975-02-01,712.8600000000000000
1975-03-01,730.2900000000000000
1975-04-01,763.9900000000000000
1975-05-01,802.3000000000000000
1975-06-01,840.1700000000000000
1975-07-01,787.0600000000000000
1975-08-01,766.2600000000000000
1975-09-01,734.6200000000000000
1975-10-01,773.7900000000000000
1975-11-01,794.0500000000000000
1975-12-01,784.1500000000000000
1976-01-01,880.4700000000000000
1976-02-01,881.8800000000000000
1976-03-01,903.4700000000000000
1976-04-01,893.6400000000000000
1976-05-01,879.5200000000000000
1976-06-01,914.8000000000000000
1976-07-01,907.8200000000000000
1976-08-01,900.9100000000000000
1976-09-01,920.7200000000000000
1976-10-01,899.9000000000000000
1976-11-01,899.2500000000000000
1976-12-01,954.1800000000000000
1977-01-01,918.8600000000000000
1977-02-01,899.9700000000000000
1977-03-01,888.8100000000000000
1977-04-01,893.4300000000000000
1977-05-01,882.1800000000000000
1977-06-01,919.1900000000000000
1977-07-01,905.6600000000000000
1977-08-01,887.6300000000000000
1977-09-01,887.4500000000000000
1977-10-01,851.6000000000000000
1977-11-01,882.3900000000000000
1977-12-01,887.5900000000000000
1978-01-01,836.7900000000000000
1978-02-01,822.2700000000000000
1978-03-01,847.8100000000000000
1978-04-01,916.4200000000000000
1978-05-01,930.6500000000000000
1978-06-01,917.9700000000000000
1978-07-01,969.1800000000000000
1978-08-01,1004.1500000000000000
1978-09-01,996.1000000000000000
1978-10-01,886.9200000000000000
1978-11-01,908.3400000000000000
1978-12-01,922.7700000000000000
1979-01-01,964.8800000000000000
1979-02-01,935.8400000000000000
1979-03-01,997.6200000000000000
1979-04-01,1004.7000000000000000
1979-05-01,981.1500000000000000
1979-06-01,1028.2300000000000000
1979-07-01,1038.1600000000000000
1979-08-01,1097.8100000000000000
1979-09-01,1101.8200000000000000
1979-10-01,1020.0400000000000000
1979-11-01,1075.4000000000000000
1979-12-01,1096.1150000000000000
1980-01-01,1142.4080952380952381
1980-02-01,1187.1170000000000000
1980-03-01,1066.8447619047619048
1980-04-01,1042.6885714285714286
1980-05-01,1090.4142857142857143
1980-06-01,1163.8614285714285714
1980-07-01,1222.4140909090909091
1980-08-01,1271.1371428571428571
1980-09-01,1314.5142857142857143
1980-10-01,1362.2065217391304348
1980-11-01,1410.6383333333333333
1980-12-01,1385.8040909090909091
1981-01-01,1374.8823809523809524
1981-02-01,1329.4689473684210526
1981-03-01,1383.3740909090909091
1981-04-01,1413.5866666666666667
1981-05-01,1395.4865000000000000
1981-06-01,1403.6318181818181818
1981-07-01,1367.0490909090909091
1981-08-01,1369.4566666666666667
1981-09-01,1238.2290476190476190
1981-10-01,1255.3540909090909091
1981-11-01,1294.4410000000000000
1981-12-01,1298.6590909090909091
1982-01-01,1225.9820000000000000
1982-02-01,1186.2189473684210526
1982-03-01,1141.2460869565217391
1982-04-01,1197.9033333333333333
1982-05-01,1201.9790000000000000
1982-06-01,1129.2427272727272727
1982-07-01,1122.3238095238095238
1982-08-01,1122.3263636363636364
1982-09-01,1251.5609523809523810
1982-10-01,1357.8533333333333333
1982-11-01,1430.1685714285714286
1982-12-01,1440.2900000000000000
1983-01-01,1496.2514285714285714
1983-02-01,1531.8042105263157895
1983-03-01,1587.0556521739130435
1983-04-01,1648.3245000000000000
1983-05-01,1732.0257142857142857
1983-06-01,1776.5577272727272727
1983-07-01,1781.3005000000000000
1983-08-01,1720.8643478260869565
1983-09-01,1769.9866666666666667
1983-10-01,1757.8276190476190476
1983-11-01,1727.7261904761904762
1983-12-01,1719.5566666666666667
1984-01-01,1737.4919047619047619
1984-02-01,1621.0720000000000000
1984-03-01,1618.8045454545454545
1984-04-01,1612.7765000000000000
1984-05-01,1603.6404545454545455
1984-06-01,1569.3295238095238095
1984-07-01,1544.9047619047619048
1984-08-01,1677.0917391304347826
1984-09-01,1698.6357894736842105
1984-10-01,1683.7634782608695652
1984-11-01,1694.6438095238095238
1984-12-01,1673.7220000000000000
1985-01-01,1756.4295454545454545
1985-02-01,1866.7094736842105263
1985-03-01,1848.7447619047619048
1985-04-01,1861.4166666666666667
1985-05-01,1904.7595454545454545
1985-06-01,1946.8910000000000000
1985-07-01,1991.0150000000000000
1985-08-01,1948.8813636363636364
1985-09-01,1900.8457894736842105
1985-10-01,1911.3869565217391304
1985-11-01,2027.1525000000000000
1985-12-01,2125.9166666666666667
1986-01-01,2146.9586363636363636
1986-02-01,2260.4584210526315789
1986-03-01,2392.0730000000000000
1986-04-01,2455.9709090909090909
1986-05-01,2464.2980952380952381
1986-06-01,2525.8766666666666667
