DATE,SFXRNSA
1987-01-01,46.612698
1987-02-01,46.867949
1987-03-01,47.320465
1987-04-01,47.693158
1987-05-01,48.314598
1987-06-01,48.832182
1987-07-01,49.486318
1987-08-01,49.938389
1987-09-01,50.689854
1987-10-01,51.330715
1987-11-01,51.796392
1987-12-01,52.031668
1988-01-01,52.241433
1988-02-01,52.636632
1988-03-01,53.185052
1988-04-01,54.192018
1988-05-01,56.093999
1988-06-01,58.21802
1988-07-01,58.701955
1988-08-01,59.004513
1988-09-01,59.501802
1988-10-01,60.374912
1988-11-01,61.313171
1988-12-01,62.197748
1989-01-01,62.661943
1989-02-01,63.318453
1989-03-01,64.644237
1989-04-01,66.265394
1989-05-01,67.768738
1989-06-01,69.258945
1989-07-01,70.274983
1989-08-01,71.362145
1989-09-01,72.311018
1989-10-01,72.952919
1989-11-01,73.251494
1989-12-01,73.024783
1990-01-01,72.871295
1990-02-01,72.945964
1990-03-01,73.502061
1990-04-01,74.572851
1990-05-01,75.119731
1990-06-01,75.151077
1990-07-01,74.806809
1990-08-01,74.454814
1990-09-01,74.2386
1990-10-01,73.440115
1990-11-01,72.575809
1990-12-01,71.468337
1991-01-01,71.167853
1991-02-01,70.267573
1991-03-01,69.558301
1991-04-01,69.463375
1991-05-01,70.132534
1991-06-01,70.82761
1991-07-01,71.392207
1991-08-01,71.515376
1991-09-01,71.554177
1991-10-01,71.208228
1991-11-01,70.686633
1991-12-01,70.051795
1992-01-01,69.667322
1992-02-01,69.478231
1992-03-01,69.167486
1992-04-01,69.259228
1992-05-01,69.862158
1992-06-01,70.02238
1992-07-01,70.001574
1992-08-01,69.64211
1992-09-01,69.510693
1992-10-01,69.281415
1992-11-01,68.846224
1992-12-01,68.205345
1993-01-01,67.770795
1993-02-01,67.436279
1993-03-01,67.090171
1993-04-01,67.592026
1993-05-01,67.904574
1993-06-01,67.991013
1993-07-01,67.649724
1993-08-01,67.627526
1993-09-01,67.501823
1993-10-01,67.176176
1993-11-01,66.774928
1993-12-01,66.274361
1994-01-01,65.984129
1994-02-01,65.79042
1994-03-01,66.369926
1994-04-01,67.051432
1994-05-01,67.697531
1994-06-01,68.14986
1994-07-01,68.381696
1994-08-01,68.404867
1994-09-01,68.206011
1994-10-01,68.170869
1994-11-01,68.038349
1994-12-01,67.934848
1995-01-01,67.725745
1995-02-01,67.402894
1995-03-01,66.786195
1995-04-01,67.083189
1995-05-01,67.310637
1995-06-01,67.501625
1995-07-01,67.717876
1995-08-01,67.777971
1995-09-01,67.758173
1995-10-01,67.302716
1995-11-01,66.802283
1995-12-01,66.434279
1996-01-01,66.15038
1996-02-01,65.96645
1996-03-01,65.924306
1996-04-01,66.438336
1996-05-01,67.051875
1996-06-01,67.667481
1996-07-01,68.021894
1996-08-01,68.346189
1996-09-01,68.433481
1996-10-01,68.529944
1996-11-01,68.718298
1996-12-01,68.686845
1997-01-01,68.803613
1997-02-01,68.813253
1997-03-01,69.78462
1997-04-01,71.090032
1997-05-01,72.194536
1997-06-01,73.116117
1997-07-01,73.752122
1997-08-01,74.434236
1997-09-01,74.755709
1997-10-01,75.22418
1997-11-01,75.311928
1997-12-01,75.808032
1998-01-01,76.188195
1998-02-01,76.525541
1998-03-01,77.483185
1998-04-01,79.080277
1998-05-01,80.823642
1998-06-01,82.406085
1998-07-01,83.519917
1998-08-01,84.410529
1998-09-01,85.063768
1998-10-01,85.047106
1998-11-01,84.657565
1998-12-01,84.504416
1999-01-01,85.028095
1999-02-01,85.928244
1999-03-01,87.508946
1999-04-01,89.20741
1999-05-01,90.823391
1999-06-01,92.51839
1999-07-01,94.201227
1999-08-01,95.138998
1999-09-01,96.151302
1999-10-01,96.716571
1999-11-01,97.8657
1999-12-01,98.898515
2000-01-01,100
2000-02-01,102.69766
2000-03-01,106.55867
2000-04-01,110.96653
2000-05-01,115.01005
2000-06-01,118.44729
2000-07-01,119.48304
2000-08-01,119.95064
2000-09-01,120.93617
2000-10-01,123.0771
2000-11-01,125.66195
2000-12-01,128.57666
2001-01-01,131.16016
2001-02-01,133.27125
2001-03-01,134.09724
2001-04-01,134.38318
2001-05-01,134.08919
2001-06-01,132.64323
2001-07-01,130.9545
2001-08-01,129.14919
2001-09-01,128.60237
2001-10-01,128.01327
2001-11-01,126.98901
2001-12-01,125.46555
2002-01-01,125.12633
2002-02-01,126.05652
2002-03-01,128.78729
2002-04-01,132.61909
2002-05-01,136.06845
2002-06-01,139.34645
2002-07-01,141.01991
2002-08-01,141.92851
2002-09-01,142.29211
2002-10-01,142.74374
2002-11-01,143.06171
2002-12-01,142.40219
2003-01-01,141.897
2003-02-01,142.19126
2003-03-01,142.99833
2003-04-01,144.69143
2003-05-01,145.53147
2003-06-01,146.52967
2003-07-01,147.74974
2003-08-01,148.72261
2003-09-01,150.24604
2003-10-01,151.74976
2003-11-01,153.35529
2003-12-01,154.62334
2004-01-01,155.9269
2004-02-01,158.10907
2004-03-01,160.89885
2004-04-01,164.65024
2004-05-01,167.7579
2004-06-01,171.50576
2004-07-01,173.8456
2004-08-01,175.88631
2004-09-01,178.15271
2004-10-01,180.74952
2004-11-01,183.1461
2004-12-01,185.71823
2005-01-01,189.34689
2005-02-01,193.49727
2005-03-01,198.29758
2005-04-01,201.86259
2005-05-01,205.52072
2005-06-01,208.92438
2005-07-01,211.55884
2005-08-01,212.86304
2005-09-01,214.73006
2005-10-01,215.55285
2005-11-01,215.70467
2005-12-01,215.10663
2006-01-01,214.78221
2006-02-01,215.49524
2006-03-01,216.03672
2006-04-01,217.5248
2006-05-01,218.3652
2006-06-01,218.12333
2006-07-01,217.63471
2006-08-01,217.22063
2006-09-01,216.37493
2006-10-01,215.42315
2006-11-01,213.83628
2006-12-01,212.12954
2007-01-01,211.77997
2007-02-01,210.77764
2007-03-01,211.08721
2007-04-01,211.47365
2007-05-01,210.88838
2007-06-01,209.48223
2007-07-01,208.63833
2007-08-01,208.14881
2007-09-01,206.46168
2007-10-01,202.02709
2007-11-01,195.48714
2007-12-01,189.22608
2008-01-01,183.81097
2008-02-01,174.54011
2008-03-01,168.37797
2008-04-01,164.62872
2008-05-01,162.69519
2008-06-01,159.8269
2008-07-01,156.87702
2008-08-01,151.41652
2008-09-01,145.53434
2008-10-01,139.43624
2008-11-01,135.28036
2008-12-01,130.12428
2009-01-01,124.39621
2009-02-01,120.35218
2009-03-01,117.70998
2009-04-01,118.45909
2009-05-01,120.15976
2009-06-01,124.69704
2009-07-01,128.85657
2009-08-01,132.47243
2009-09-01,134.1555
2009-10-01,135.8059
2009-11-01,136.634
2009-12-01,136.39835
2010-01-01,135.62948
2010-02-01,134.66893
2010-03-01,136.74066
2010-04-01,139.76521
2010-05-01,142.16311
2010-06-01,142.54871
2010-07-01,143.22531
2010-08-01,142.83089
2010-09-01,141.53792
2010-10-01,138.84187
2010-11-01,137.27596
2010-12-01,136.02005
2011-01-01,133.36885
2011-02-01,129.95865
2011-03-01,129.82873
2011-04-01,132.01903
2011-05-01,134.42185
2011-06-01,134.90061
2011-07-01,135.27786
2011-08-01,135.1978
2011-09-01,133.21735
2011-10-01,132.33582
2011-11-01,129.78084
2011-12-01,128.72449
2012-01-01,125.47017
2012-02-01,124.63617
2012-03-01,125.93748
2012-04-01,130.22845
2012-05-01,135.28028
2012-06-01,139.01479
2012-07-01,141.71095
2012-08-01,142.36988
2012-09-01,143.15473
2012-10-01,144.15352
2012-11-01,146.22861
2012-12-01,147.23891
2013-01-01,147.44518
2013-02-01,148.22628
2013-03-01,153.9612
2013-04-01,161.46093
2013-05-01,168.40786
2013-06-01,173.01232
2013-07-01,176.87111
2013-08-01,178.53284
2013-09-01,179.91221
2013-10-01,179.5523
2013-11-01,180.193
2013-12-01,180.54775
2014-01-01,181.52063
2014-02-01,181.91056
2014-03-01,186.6910303
