DATE,TWEXOMTH
1992-07-01,53.0923
1992-08-01,53.6292
1992-09-01,54.2984
1992-10-01,55.1854
1992-11-01,56.1864
1992-12-01,57.2426
1993-01-01,58.0819
1993-02-01,59.1223
1993-03-01,60.0026
1993-04-01,60.6808
1993-05-01,61.785
1993-06-01,62.8729
1993-07-01,63.8732
1993-08-01,64.7291
1993-09-01,65.7012
1993-10-01,66.7664
1993-11-01,67.9347
1993-12-01,68.8729
1994-01-01,74.4521
1994-02-01,75.8371
1994-03-01,77.7102
1994-04-01,79.209
1994-05-01,80.4742
1994-06-01,82.3543
1994-07-01,82.6988
1994-08-01,82.2156
1994-09-01,82.0841
1994-10-01,82.377
1994-11-01,82.3752
1994-12-01,84.6773
1995-01-01,90.209
1995-02-01,90.4591
1995-03-01,93.3766
1995-04-01,91.5004
1995-05-01,90.5301
1995-06-01,91.0981
1995-07-01,91.0041
1995-08-01,91.9908
1995-09-01,92.8954
1995-10-01,93.8712
1995-11-01,96.3046
1995-12-01,96.8252
1996-01-01,97.0469
1996-02-01,97.1271
1996-03-01,97.2201
1996-04-01,97.0798
1996-05-01,97.5473
1996-06-01,98.2923
1996-07-01,98.6171
1996-08-01,98.4179
1996-09-01,98.612
1996-10-01,99.2471
1996-11-01,99.7555
1996-12-01,99.9272
1997-01-01,100
1997-02-01,100.3112
1997-03-01,101.0092
1997-04-01,101.2043
1997-05-01,101.268
1997-06-01,101.2424
1997-07-01,102.5211
1997-08-01,103.9801
1997-09-01,105.8198
1997-10-01,108.2688
1997-11-01,111.5961
1997-12-01,118.4327
1998-01-01,125.9873
1998-02-01,123.6185
1998-03-01,122.1819
1998-04-01,120.7931
1998-05-01,122.4172
1998-06-01,126.0072
1998-07-01,125.7072
1998-08-01,127.9386
1998-09-01,131.6015
1998-10-01,129.4409
1998-11-01,127.7353
1998-12-01,127.1996
1999-01-01,129.1464
1999-02-01,130.6509
1999-03-01,130.7127
1999-04-01,128.8684
1999-05-01,128.3172
1999-06-01,128.3086
1999-07-01,127.985
1999-08-01,128.9187
1999-09-01,129.6406
1999-10-01,130.2135
1999-11-01,129.033
1999-12-01,128.4074
2000-01-01,128.165
2000-02-01,128.0716
2000-03-01,127.4233
2000-04-01,127.9152
2000-05-01,129.2528
2000-06-01,130.4785
2000-07-01,129.7142
2000-08-01,129.1222
2000-09-01,129.9181
2000-10-01,131.5661
2000-11-01,132.4683
2000-12-01,133.2561
2001-01-01,134.7702
2001-02-01,134.2846
2001-03-01,135.2013
2001-04-01,135.7151
2001-05-01,135.2657
2001-06-01,135.6985
2001-07-01,136.6008
2001-08-01,135.4505
2001-09-01,136.9794
2001-10-01,137.6552
2001-11-01,136.6685
2001-12-01,136.0481
2002-01-01,137.1798
2002-02-01,137.7478
2002-03-01,137.5499
2002-04-01,137.8907
2002-05-01,138.8193
2002-06-01,139.8364
2002-07-01,139.7264
2002-08-01,140.831
2002-09-01,142.6938
2002-10-01,144.3094
2002-11-01,143.5029
2002-12-01,143.537
2003-01-01,144.2599
2003-02-01,145.7628
2003-03-01,145.7895
2003-04-01,143.8781
2003-05-01,141.6584
2003-06-01,141.9792
2003-07-01,141.7319
2003-08-01,143.0774
2003-09-01,142.8836
2003-10-01,143.1205
2003-11-01,143.4142
2003-12-01,143.5435
2004-01-01,142.0317
2004-02-01,142.315
2004-03-01,142.4875
2004-04-01,142.8134
2004-05-01,144.8738
2004-06-01,144.6062
2004-07-01,144.5593
2004-08-01,144.5496
2004-09-01,144.2252
2004-10-01,143.582
2004-11-01,142.0507
2004-12-01,140.4639
2005-01-01,140.2439
2005-02-01,139.3848
2005-03-01,139.5558
2005-04-01,139.5235
2005-05-01,138.7375
2005-06-01,138.8004
2005-07-01,138.6225
2005-08-01,137.5653
2005-09-01,138.0196
2005-10-01,138.4649
2005-11-01,137.9871
2005-12-01,137.4844
2006-01-01,135.9806
2006-02-01,135.27
2006-03-01,135.7549
2006-04-01,135.6667
2006-05-01,135.4867
2006-06-01,137.1662
2006-07-01,135.7868
2006-08-01,135.2524
2006-09-01,135.2184
2006-10-01,134.6693
2006-11-01,133.9033
2006-12-01,132.8752
2007-01-01,132.9995
2007-02-01,132.577
2007-03-01,132.5998
2007-04-01,131.4721
2007-05-01,130.2867
2007-06-01,130.051
2007-07-01,129.0882
2007-08-01,130.4534
2007-09-01,129.6662
2007-10-01,127.7809
2007-11-01,127.1436
2007-12-01,126.7225
2008-01-01,125.7653
2008-02-01,124.4792
2008-03-01,123.5012
2008-04-01,122.4245
2008-05-01,122.7976
2008-06-01,122.2125
2008-07-01,121.3534
2008-08-01,122.3637
2008-09-01,125.7609
2008-10-01,134.157
2008-11-01,136.8492
2008-12-01,137.4487
2009-01-01,138.4557
2009-02-01,141.6636
2009-03-01,142.0405
2009-04-01,137.7336
2009-05-01,135.2729
2009-06-01,134.9053
2009-07-01,134.8916
2009-08-01,133.7098
2009-09-01,133.8035
2009-10-01,132.1763
2009-11-01,131.6736
2009-12-01,131.3919
2010-01-01,131.225
2010-02-01,132.36
2010-03-01,130.749
2010-04-01,129.3225
2010-05-01,131.5218
2010-06-01,132.0507
2010-07-01,131.4495
2010-08-01,130.7409
2010-09-01,129.7703
2010-10-01,127.4427
2010-11-01,127.3542
2010-12-01,127.5192
2011-01-01,126.0659
2011-02-01,125.6506
2011-03-01,125.1569
2011-04-01,123.2197
2011-05-01,122.9897
2011-06-01,123.0509
2011-07-01,122.1533
2011-08-01,123.4515
2011-09-01,127.0349
2011-10-01,128.5241
2011-11-01,129.0938
2011-12-01,129.8317
2012-01-01,128.2136
2012-02-01,125.7234
2012-03-01,126.169
2012-04-01,127.0697
2012-05-01,129.49
2012-06-01,131.2741
2012-07-01,129.9044
2012-08-01,129.2064
2012-09-01,127.8761
2012-10-01,127.0112
2012-11-01,127.2823
2012-12-01,126.6285
2013-01-01,125.8482
2013-02-01,126.3603
2013-03-01,126.1767
2013-04-01,125.4331
2013-05-01,125.5128
2013-06-01,128.2267
2013-07-01,128.2146
2013-08-01,129.1111
2013-09-01,129.0272
2013-10-01,127.9845
2013-11-01,128.7058
2013-12-01,128.9077
2014-01-01,129.8733
2014-02-01,130.6172
2014-03-01,130.8742
2014-04-01,130.3238
2014-05-01,129.7638
2014-06-01,129.8082
2014-07-01,129.4217
2014-08-01,129.8947
2014-09-01,130.7562
2014-10-01,132.173
2014-11-01,133.7675
2014-12-01,137.7616
2015-01-01,138.881
2015-02-01,140.0634
2015-03-01,141.4639
2015-04-01,139.9216
2015-05-01,140.1029
2015-06-01,141.4072
2015-07-01,143.3802
2015-08-01,147.8963
2015-09-01,150.097
2015-10-01,148.3727
2015-11-01,149.0343
2015-12-01,151.5048
2016-01-01,155.974
2016-02-01,156.3158
2016-03-01,152.7476
2016-04-01,151.076
2016-05-01,153.4466
2016-06-01,154.6502
2016-07-01,154.7277
2016-08-01,153.5864
2016-09-01,155.3706
2016-10-01,155.5498
2016-11-01,159.7845
2016-12-01,161.8776
2017-01-01,162.5873
2017-02-01,159.3863
2017-03-01,157.5502
2017-04-01,156.1413
2017-05-01,156.0711
2017-06-01,154.3151
2017-07-01,153.4192
2017-08-01,152.2367
2017-09-01,151.1085
2017-10-01,153.7731
2017-11-01,153.661
2017-12-01,153.4821
2018-01-01,150.5057
2018-02-01,152.1319
2018-03-01,152.6409
2018-04-01,152.6318
2018-05-01,155.9237
