DATE,CCUSSP01CAM650N
1960-01-01,1.0493179444379
1960-02-01,1.05152471193641
1960-03-01,1.04536901635518
1960-04-01,1.03519668844223
1960-05-01,1.01214575001229
1960-06-01,1.02009589005416
1960-07-01,1.02459016498421
1960-08-01,1.03092783611436
1960-09-01,1.02249488857106
1960-10-01,1.02459016498421
1960-11-01,1.02249488857106
1960-12-01,1.00401606526508
1961-01-01,1.00908173663883
1961-02-01,1.01214575001229
1961-03-01,1.01112234682621
1961-04-01,1.01214575001229
1961-05-01,1.01214575001229
1961-06-01,0.966183575812738
1961-07-01,0.969932105693436
1961-08-01,0.969932105693436
1961-09-01,0.970873787350363
1961-10-01,0.968054211972947
1961-11-01,0.959692898272553
1961-12-01,0.958405214642903
1962-01-01,0.955474871010892
1962-02-01,0.952653139899641
1962-03-01,0.952653139899641
1962-04-01,0.952380953287982
1962-05-01,0.91743119350223
1962-06-01,0.924556213872556
1962-07-01,0.927557741329708
1962-08-01,0.928332715306659
1962-09-01,0.928850083596508
1962-10-01,0.929713649060723
1962-11-01,0.932661817695077
1962-12-01,0.928332715306659
1963-01-01,0.929195317719007
1963-02-01,0.928591326957006
1963-03-01,0.927557741329708
1963-04-01,0.929454411125062
1963-05-01,0.927557741329708
1963-06-01,0.927557741329708
1963-07-01,0.925154963456379
1963-08-01,0.92353158563311
1963-09-01,0.927815922182052
1963-10-01,0.927815922182052
1963-11-01,0.927557741329708
1963-12-01,0.925411808254673
1964-01-01,0.925668795704897
1964-02-01,0.925668795704897
1964-03-01,0.925411808254673
1964-04-01,0.923787529721744
1964-05-01,0.925154963456379
1964-06-01,0.924898261191269
1964-07-01,0.925668795704897
1964-08-01,0.928074246800997
1964-09-01,0.930232559004867
1964-10-01,0.930492231255692
1964-11-01,0.932140194754046
1964-12-01,0.931272118580063
1965-01-01,0.930492231255692
1965-02-01,0.926955877759507
1965-03-01,0.926440615156569
1965-04-01,0.926698175263366
1965-05-01,0.925925925925926
1965-06-01,0.923020122690622
1965-07-01,0.924898261191269
1965-08-01,0.929454411125062
1965-09-01,0.929195317719007
1965-10-01,0.930492231255692
1965-11-01,0.929973031646957
1965-12-01,0.930232559004867
1966-01-01,0.930492231255692
1966-02-01,0.928850083596508
1966-03-01,0.928332715306659
1966-04-01,0.929195317719007
1966-05-01,0.928074246800997
1966-06-01,0.929713649060723
1966-07-01,0.931012010921713
1966-08-01,0.929454411125062
1966-09-01,0.927815922182052
1966-10-01,0.925411808254673
1966-11-01,0.922424131466123
1966-12-01,0.922679462006532
1967-01-01,0.926698175263366
1967-02-01,0.924043615712478
1967-03-01,0.923787529721744
1967-04-01,0.923787529721744
1967-05-01,0.924898261191269
1967-06-01,0.926183199036769
1967-07-01,0.929454411125062
1967-08-01,0.929454411125062
1967-09-01,0.931012010921713
1967-10-01,0.93187960202393
1967-11-01,0.925925925925926
1967-12-01,0.925411808254673
1968-01-01,0.920047843334297
1968-02-01,0.919793966997603
1968-03-01,0.923787529721744
1968-04-01,0.92729970412398
1968-05-01,0.927557741329708
1968-06-01,0.929454411125062
1968-07-01,0.932140194754046
1968-08-01,0.932140194754046
1968-09-01,0.932140194754046
1968-10-01,0.932400933270304
1968-11-01,0.93187960202393
1968-12-01,0.932140194754046
1969-01-01,0.932140194754046
1969-02-01,0.929195317719007
1969-03-01,0.929195317719007
1969-04-01,0.929713649060723
1969-05-01,0.927815922182052
1969-06-01,0.925154963456379
1969-07-01,0.927557741329708
1969-08-01,0.928332715306659
1969-09-01,0.926698175263366
1969-10-01,0.928850083596508
1969-11-01,0.930752048520804
1969-12-01,0.932140194754046
1970-01-01,0.932400933270304
1970-02-01,0.932400933270304
1970-03-01,0.932140194754046
1970-04-01,0.932140194754046
1970-05-01,0.930752048520804
1970-06-01,0.966744007121756
1970-07-01,0.975039002510763
1970-08-01,0.982221785679206
1970-09-01,0.981932443047918
1970-10-01,0.980392157823914
1970-11-01,0.981257973683896
1970-12-01,0.988924051610882
1971-01-01,0.992555832250676
1971-02-01,0.99314728472852
1971-03-01,0.991965083813079
1971-04-01,0.990982064206701
1971-05-01,0.988924051610882
1971-06-01,0.97713504101733
1971-07-01,0.981932443047918
1971-08-01,0.986387847701716
1971-09-01,0.990982064206701
1971-10-01,0.996611520829181
1971-11-01,0.996611520829181
1971-12-01,0.997804829375374
1972-01-01,0.994431186350866
1972-02-01,0.999100810269858
1972-03-01,1.00310964088987
1972-04-01,1.00786131929839
1972-05-01,1.0194719145881
1972-06-01,1.01491931494461
1972-07-01,1.01688021254513
1972-08-01,1.01719052081903
1972-09-01,1.01688021254513
1972-10-01,1.01719052081903
1972-11-01,1.00563153761628
1972-12-01,1.00441944656932
1973-01-01,0.99940036078293
1973-02-01,1.00593501760983
1973-03-01,1.001001002003
1973-04-01,0.996810208330154
1973-05-01,1.00502512663822
1973-06-01,1.00160256510577
1973-07-01,0.998402556907351
1973-08-01,0.994629004371026
1973-09-01,0.994233447001624
1973-10-01,1.001001002003
1973-11-01,1.000000001
1973-12-01,1.00421771540894
1974-01-01,1.01194090367531
1974-02-01,1.03220479049567
1974-03-01,1.02838338238213
1974-04-01,1.04123282074264
1974-05-01,1.0395010405816
1974-06-01,1.02859494037091
1974-07-01,1.02124183110829
1974-08-01,1.01255569158825
1974-09-01,1.01440454556138
1974-10-01,1.01564087042011
1974-11-01,1.01276078692805
1974-12-01,1.00887812854003
1975-01-01,1.00060036121733
1975-02-01,1.00200400902004
1975-03-01,0.996810208330154
1975-04-01,0.981161696410088
1975-05-01,0.977708252813559
