DATE,LXXRNSA
1997-05-01,75.717369
1997-06-01,76.61715
1997-07-01,77.198898
1997-08-01,78.069389
1997-09-01,78.287165
1997-10-01,78.768781
1997-11-01,78.967488
1997-12-01,79.504489
1998-01-01,80.279692
1998-02-01,81.142166
1998-03-01,82.73193
1998-04-01,83.957552
1998-05-01,85.404637
1998-06-01,86.967912
1998-07-01,88.619712
1998-08-01,89.982483
1998-09-01,90.949734
1998-10-01,91.384576
1998-11-01,91.379776
1998-12-01,91.2985
1999-01-01,91.222674
1999-02-01,91.461564
1999-03-01,92.374158
1999-04-01,93.946503
1999-05-01,95.274848
1999-06-01,96.623708
1999-07-01,97.493976
1999-08-01,98.303267
1999-09-01,98.628305
1999-10-01,98.992759
1999-11-01,99.342872
1999-12-01,99.786531
2000-01-01,100
2000-02-01,100.61896
2000-03-01,102.1278
2000-04-01,103.7041
2000-05-01,104.98908
2000-06-01,106.35687
2000-07-01,107.23331
2000-08-01,108.18488
2000-09-01,108.9445
2000-10-01,109.55771
2000-11-01,110.11861
2000-12-01,110.12042
2001-01-01,110.8808
2001-02-01,111.31561
2001-03-01,112.97801
2001-04-01,114.12192
2001-05-01,115.31479
2001-06-01,116.46524
2001-07-01,117.3574
2001-08-01,118.67334
2001-09-01,119.50897
2001-10-01,120.15862
2001-11-01,120.48479
2001-12-01,120.64875
2002-01-01,121.45291
2002-02-01,122.25645
2002-03-01,124.11952
2002-04-01,126.23434
2002-05-01,128.73119
2002-06-01,131.58745
2002-07-01,133.96556
2002-08-01,136.59175
2002-09-01,138.62004
2002-10-01,140.76478
2002-11-01,142.07137
2002-12-01,143.25814
2003-01-01,144.27185
2003-02-01,145.29663
2003-03-01,147.23021
2003-04-01,149.64871
2003-05-01,152.26745
2003-06-01,154.9822
2003-07-01,158.3402
2003-08-01,161.88628
2003-09-01,165.2921
2003-10-01,168.40113
2003-11-01,171.11312
2003-12-01,173.98178
2004-01-01,177.00621
2004-02-01,180.48967
2004-03-01,186.55191
2004-04-01,193.21553
2004-05-01,199.5839
2004-06-01,206.38488
2004-07-01,211.07595
2004-08-01,213.49125
2004-09-01,215.08165
2004-10-01,215.73785
2004-11-01,216.58175
2004-12-01,217.33848
2005-01-01,219.40768
2005-02-01,222.28893
