DATE,POLVOILUSDM
1998-06-01,3184.114
1998-07-01,3172.0322
1998-08-01,3148.3897
1998-09-01,3293.4076
1998-10-01,3346.7955
1998-11-01,3281.71925
1998-12-01,3299.119
1999-01-01,3260.9225
1999-02-01,3216.03075
1999-03-01,3767.08125
1999-04-01,3824.24875
1999-05-01,3876.888
1999-06-01,3829.728
1999-07-01,3658.96875
1999-08-01,3736.29825
1999-09-01,3773.35875
1999-10-01,3852.525
1999-11-01,3709.49185
1999-12-01,3299.70975
2000-01-01,3553.8042
2000-02-01,3488.1308
2000-03-01,3443.8768
2000-04-01,3404.095
2000-05-01,3243.6405
2000-06-01,2970.8782
2000-07-01,2669.9919
2000-08-01,2666.9031
2000-09-01,2567.8087
2000-10-01,2598.364
2000-11-01,2552.182
2000-12-01,2601.7192
2001-01-01,2624.08
2001-02-01,2552.27
2001-03-01,2565.32
2001-04-01,2597.95
2001-05-01,2581.68
2001-06-01,2536.49
2001-07-01,2559.12
2001-08-01,2626.91
2001-09-01,2736.64
2001-10-01,2842.81
2001-11-01,2936.19
2001-12-01,2847.84
2002-01-01,2788.69
2002-02-01,2774.94
2002-03-01,2795.62
2002-04-01,2814.34
2002-05-01,2820.98
2002-06-01,2834.26
2002-07-01,2981.64
2002-08-01,2957.091318
2002-09-01,3000.221571
2002-10-01,2987.839196
2002-11-01,3012.772742
2002-12-01,3037.728024
2003-01-01,3257.005405
2003-02-01,3395.18875
2003-03-01,3482.400952
2003-04-01,3463.59619
2003-05-01,3570.424
2003-06-01,3820.138952
2003-07-01,3852.841565
2003-08-01,3823.965714
2003-09-01,4007.754
2003-10-01,4224.254087
2003-11-01,4256.217
2003-12-01,4407.414261
2004-01-01,4525.79775
2004-02-01,4669.089325
2004-03-01,4673.580709
2004-04-01,4565.238655
2004-05-01,4570.703786
2004-06-01,4636.374764
2004-07-01,4649.908909
2004-08-01,4669.546918
2004-09-01,4569.175282
2004-10-01,4547.855571
2004-11-01,4670.356105
2004-12-01,4823.582857
2005-01-01,5351.366867
2005-02-01,5579.545325
2005-03-01,5645.155574
2005-04-01,5619.987324
2005-05-01,5487.492532
2005-06-01,5371.331509
2005-07-01,5239.173661
2005-08-01,5590.126563
2005-09-01,5669.459659
2005-10-01,5652.393646
2005-11-01,5727.453721
2005-12-01,5296.383405
2006-01-01,5751.187723
2006-02-01,5820.512175
2006-03-01,5744.852522
2006-04-01,5583.08288
2006-05-01,5853.978643
2006-06-01,5474.812286
2006-07-01,5513.205986
2006-08-01,5575.764017
2006-09-01,5474.179424
2006-10-01,5239.934459
2006-11-01,5060.344814
2006-12-01,4760.482814
2007-01-01,4490.577748
2007-02-01,4567.0909
2007-03-01,4749.4647
2007-04-01,4875.668571
2007-05-01,4733.694557
2007-06-01,4533.836938
2007-07-01,4426.953755
2007-08-01,4318.666839
2007-09-01,4384.62363
2007-10-01,4458.761557
2007-11-01,4650.506491
2007-12-01,4542.467743
2008-01-01,4559.199813
2008-02-01,4592.297262
2008-03-01,4774.3129
2008-04-01,4643.602032
2008-05-01,4523.491282
2008-06-01,4260.211557
2008-07-01,4323.351217
2008-08-01,4095.051067
2008-09-01,3914.529786
2008-10-01,3660.849896
2008-11-01,3307.33361
2008-12-01,3355.206848
2009-01-01,3288.708582
2009-02-01,3168.828045
2009-03-01,3059.7454
2009-04-01,3087.669827
2009-05-01,3151.8453
2009-06-01,3433.523859
2009-07-01,3528.357522
2009-08-01,3710.6748
2009-09-01,3947.327736
2009-10-01,3930.526441
2009-11-01,3954.226924
2009-12-01,3850.539791
2010-01-01,3722.444581
2010-02-01,3484.173705
2010-03-01,3349.495674
2010-04-01,3292.570245
2010-05-01,3011.229814
2010-06-01,2925.798323
2010-07-01,2934.725059
2010-08-01,3087.552214
2010-09-01,3068.006359
2010-10-01,3093.281367
2010-11-01,3081.940618
2010-12-01,3003.960278
2011-01-01,2989.79881
2011-02-01,3054.103845
2011-03-01,3098.496822
2011-04-01,3226.279829
2011-05-01,3164.794427
2011-06-01,3097.3402
2011-07-01,3071.997524
2011-08-01,3118.699917
2011-09-01,3013.479991
2011-10-01,3013.003943
2011-11-01,3031.799641
2011-12-01,2867.076405
2012-01-01,2760.97144
2012-02-01,2836.174237
2012-03-01,2824.565089
2012-04-01,2834.096226
2012-05-01,2722.666304
2012-06-01,2697.671828
2012-07-01,2671.841554
2012-08-01,2913.432654
2012-09-01,3571.68514
2012-10-01,3632.228346
2012-11-01,3448.225754
2012-12-01,3318.851776
2013-01-01,3957.596735
2013-02-01,4229.453404
2013-03-01,4094.757292
2013-04-01,4005.368804
2013-05-01,3847.064004
2013-06-01,3955.84949
2013-07-01,3895.240877
2013-08-01,3850.83426
2013-09-01,3827.169784
2013-10-01,3737.966352
2013-11-01,3703.164464
2013-12-01,3628.632143
2014-01-01,3601.012736
2014-02-01,3541.04628
2014-03-01,3586.633247
2014-04-01,3565.624351
2014-05-01,3553.717329
2014-06-01,3625.832031
2014-07-01,3820.553928
2014-08-01,3963.788288
2014-09-01,3997.120785
2014-10-01,3811.730264
2014-11-01,4065.101464
2014-12-01,4234.511002
2015-01-01,4128.513119
2015-02-01,4169.564192
2015-03-01,3933.601822
2015-04-01,3996.58296
2015-05-01,4305.325946
2015-06-01,4347.29852
2015-07-01,4487.719067
2015-08-01,5045.796774
2015-09-01,4986.874047
2015-10-01,4544.495769
2015-11-01,3910.356789
2015-12-01,3657.889292
2016-01-01,3976.428352
2016-02-01,4233.438608
2016-03-01,4047.257013
2016-04-01,4024.20899
2016-05-01,3858.02111
2016-06-01,3810.277602
2016-07-01,3890.976923
2016-08-01,3982.150423
2016-09-01,4073.871835
2016-10-01,3924.433755
2016-11-01,3928.01974
2016-12-01,3992.510801
2017-01-01,4152.218473
2017-02-01,4424.232062
2017-03-01,4434.147404
2017-04-01,4389.013393
2017-05-01,4635.179381
2017-06-01,4632.069782
