DATE,RUTOP200TR
1985-02-01,238.5000000000000000
1985-03-01,239.1200000000000000
1985-04-01,239.0500000000000000
1985-05-01,253.8200000000000000
1985-06-01,257.8800000000000000
1985-07-01,255.6900000000000000
1985-08-01,254.9500000000000000
1985-09-01,247.5600000000000000
1985-10-01,258.6500000000000000
1985-11-01,277.1200000000000000
1985-12-01,290.1700000000000000
1986-01-01,291.4300000000000000
1986-02-01,313.1400000000000000
1986-03-01,330.3800000000000000
1986-04-01,325.6800000000000000
1986-05-01,343.2600000000000000
1986-06-01,349.5600000000000000
1986-07-01,332.0400000000000000
1986-08-01,355.9700000000000000
1986-09-01,323.9800000000000000
1986-10-01,341.9100000000000000
1986-11-01,350.0600000000000000
1986-12-01,340.8900000000000000
1987-01-01,386.1200000000000000
1987-02-01,399.7500000000000000
1987-03-01,410.0600000000000000
1987-04-01,405.6800000000000000
1987-05-01,409.3700000000000000
1987-06-01,430.2200000000000000
1987-07-01,449.2500000000000000
1987-08-01,469.2500000000000000
1987-09-01,458.1800000000000000
1987-10-01,365.5600000000000000
1987-11-01,333.6100000000000000
1987-12-01,355.8700000000000000
1988-01-01,371.6000000000000000
1988-02-01,385.8900000000000000
1988-03-01,370.2700000000000000
1988-04-01,373.7700000000000000
1988-05-01,377.6200000000000000
1988-06-01,393.5900000000000000
1988-07-01,392.9700000000000000
1988-08-01,380.8100000000000000
1988-09-01,398.0500000000000000
1988-10-01,409.9100000000000000
1988-11-01,405.3800000000000000
1988-12-01,412.4100000000000000
1989-01-01,442.9200000000000000
1989-02-01,430.4000000000000000
1989-03-01,441.6000000000000000
1989-04-01,464.5100000000000000
1989-05-01,483.7300000000000000
1989-06-01,480.7600000000000000
1989-07-01,524.5000000000000000
1989-08-01,532.0400000000000000
1989-09-01,532.4100000000000000
1989-10-01,523.5600000000000000
1989-11-01,534.6900000000000000
1989-12-01,546.3000000000000000
1990-01-01,509.5600000000000000
1990-02-01,516.8300000000000000
1990-03-01,529.8000000000000000
1990-04-01,520.2400000000000000
1990-05-01,569.7000000000000000
1990-06-01,566.8000000000000000
1990-07-01,566.5500000000000000
1990-08-01,518.0100000000000000
1990-09-01,496.0900000000000000
1990-10-01,498.5200000000000000
1990-11-01,527.6200000000000000
1990-12-01,541.1800000000000000
1991-01-01,563.2000000000000000
1991-02-01,602.0500000000000000
1991-03-01,615.0900000000000000
1991-04-01,614.6600000000000000
1991-05-01,638.2500000000000000
1991-06-01,609.9700000000000000
1991-07-01,638.9600000000000000
1991-08-01,654.6600000000000000
1991-09-01,644.5900000000000000
1991-10-01,653.7500000000000000
1991-11-01,629.9900000000000000
1991-12-01,702.5400000000000000
1992-01-01,684.8000000000000000
1992-02-01,689.9400000000000000
1992-03-01,676.5300000000000000
1992-04-01,697.6600000000000000
1992-05-01,701.9300000000000000
1992-06-01,690.7200000000000000
1992-07-01,719.6000000000000000
1992-08-01,705.0100000000000000
1992-09-01,711.5000000000000000
1992-10-01,712.3600000000000000
1992-11-01,735.9100000000000000
1992-12-01,744.5800000000000000
1993-01-01,746.1800000000000000
1993-02-01,755.6600000000000000
1993-03-01,771.1800000000000000
1993-04-01,750.8800000000000000
1993-05-01,769.9600000000000000
1993-06-01,773.2700000000000000
1993-07-01,767.8100000000000000
1993-08-01,795.0700000000000000
1993-09-01,790.1700000000000000
1993-10-01,805.5100000000000000
1993-11-01,798.2700000000000000
1993-12-01,805.7000000000000000
1994-01-01,831.4800000000000000
1994-02-01,804.3300000000000000
1994-03-01,769.8700000000000000
1994-04-01,781.1500000000000000
1994-05-01,796.2700000000000000
1994-06-01,776.1600000000000000
1994-07-01,800.8600000000000000
1994-08-01,832.6200000000000000
1994-09-01,813.6900000000000000
1994-10-01,833.6300000000000000
1994-11-01,806.8900000000000000
1994-12-01,818.8600000000000000
1995-01-01,842.1600000000000000
1995-02-01,872.0300000000000000
1995-03-01,893.2200000000000000
1995-04-01,921.9600000000000000
1995-05-01,959.7800000000000000
1995-06-01,972.0250000000000000
1995-07-01,1005.0210000000000000
1995-08-01,1010.9830434782608696
1995-09-01,1053.5075000000000000
1995-10-01,1072.6454545454545455
1995-11-01,1100.3604761904761905
1995-12-01,1138.8205000000000000
1996-01-01,1141.7095454545454545
1996-02-01,1209.6555000000000000
1996-03-01,1204.7976190476190476
1996-04-01,1201.9433333333333333
1996-05-01,1227.9022727272727273
1996-06-01,1250.5365000000000000
1996-07-01,1209.0395454545454545
1996-08-01,1248.0090909090909091
1996-09-01,1272.9905000000000000
1996-10-01,1328.0826086956521739
1996-11-01,1398.4680000000000000
1996-12-01,1416.7509523809523810
1997-01-01,1468.2222727272727273
1997-02-01,1538.0042105263157895
1997-03-01,1523.0460000000000000
1997-04-01,1470.2927272727272727
1997-05-01,1611.3861904761904762
1997-06-01,1699.1695238095238095
1997-07-01,1797.1427272727272727
1997-08-01,1798.9476190476190476
1997-09-01,1813.9642857142857143
1997-10-01,1847.0017391304347826
1997-11-01,1831.5584210526315789
1997-12-01,1888.0760869565217391
1998-01-01,1899.3725000000000000
1998-02-01,2023.1900000000000000
1998-03-01,2125.7527272727272727
1998-04-01,2204.8795238095238095
1998-05-01,2203.2535000000000000
1998-06-01,2212.8945454545454545
1998-07-01,2332.2913636363636364
1998-08-01,2178.3333333333333333
1998-09-01,2071.4147619047619048
1998-10-01,2104.5295454545454545
1998-11-01,2342.7595000000000000
1998-12-01,2459.2972727272727273
1999-01-01,2600.7200000000000000
1999-02-01,2603.9035000000000000
1999-03-01,2683.3226086956521739
1999-04-01,2791.4180952380952381
