DATE,WILLMICROCAP
1978-08-01,1170.7200000000000000
1978-09-01,1172.4500000000000000
1978-10-01,915.8700000000000000
1978-11-01,952.4000000000000000
1978-12-01,969.4300000000000000
1979-01-01,1069.8900000000000000
1979-02-01,1051.2100000000000000
1979-03-01,1138.6800000000000000
1979-04-01,1177.9300000000000000
1979-05-01,1165.4600000000000000
1979-06-01,1222.3100000000000000
1979-07-01,1239.3100000000000000
1979-08-01,1341.3400000000000000
1979-09-01,1339.7100000000000000
1979-10-01,1195.5700000000000000
1979-11-01,1264.8600000000000000
1979-12-01,1363.8900000000000000
1980-01-01,1534.9100000000000000
1980-02-01,1506.3900000000000000
1980-03-01,1219.4800000000000000
1980-04-01,1282.6100000000000000
1980-05-01,1363.1600000000000000
1980-06-01,1420.6500000000000000
1980-07-01,1582.5400000000000000
1980-08-01,1715.6800000000000000
1980-09-01,1777.1700000000000000
1980-10-01,1853.8800000000000000
1980-11-01,1935.0200000000000000
1980-12-01,1854.8100000000000000
1981-01-01,1877.9800000000000000
1981-02-01,1881.7500000000000000
1981-03-01,2051.5600000000000000
1981-04-01,2149.9800000000000000
1981-05-01,2243.8700000000000000
1981-06-01,2249.9500000000000000
1981-07-01,2183.4600000000000000
1981-08-01,2018.2000000000000000
1981-09-01,1798.7200000000000000
1981-10-01,1936.3900000000000000
1981-11-01,1968.6500000000000000
1981-12-01,1924.0000000000000000
1982-01-01,1894.2800000000000000
1982-02-01,1802.5500000000000000
1982-03-01,1773.3000000000000000
1982-04-01,1858.7900000000000000
1982-05-01,1817.2500000000000000
1982-06-01,1760.6900000000000000
1982-07-01,1722.8700000000000000
1982-08-01,1800.1300000000000000
1982-09-01,1856.9600000000000000
1982-10-01,2109.9700000000000000
1982-11-01,2366.2000000000000000
1982-12-01,2425.0700000000000000
1983-01-01,2732.1800000000000000
1983-02-01,2857.3200000000000000
1983-03-01,3006.1000000000000000
1983-04-01,3251.8200000000000000
1983-05-01,3606.1700000000000000
1983-06-01,3767.2900000000000000
1983-07-01,3689.9500000000000000
1983-08-01,3537.8100000000000000
1983-09-01,3497.5500000000000000
1983-10-01,3284.2000000000000000
1983-11-01,3377.3700000000000000
1983-12-01,3304.2200000000000000
1984-01-01,3337.5300000000000000
1984-02-01,3154.5000000000000000
1984-03-01,3162.5400000000000000
1984-04-01,3072.7300000000000000
1984-05-01,2921.7000000000000000
1984-06-01,2969.0600000000000000
1984-07-01,2791.2400000000000000
1984-08-01,3021.6600000000000000
1984-09-01,3021.9900000000000000
1984-10-01,2936.8600000000000000
1984-11-01,2834.8100000000000000
1984-12-01,2838.1800000000000000
1985-01-01,3216.2000000000000000
1985-02-01,3356.1400000000000000
1985-03-01,3315.6900000000000000
1985-04-01,3302.4700000000000000
1985-05-01,3391.4000000000000000
1985-06-01,3423.3500000000000000
1985-07-01,3506.4700000000000000
1985-08-01,3489.3500000000000000
1985-09-01,3278.4200000000000000
1985-10-01,3320.8800000000000000
1985-11-01,3480.1200000000000000
1985-12-01,3609.9200000000000000
1986-01-01,3772.3300000000000000
1986-02-01,3994.3400000000000000
1986-03-01,4157.6600000000000000
1986-04-01,4242.4000000000000000
1986-05-01,4404.2400000000000000
1986-06-01,4443.5300000000000000
1986-07-01,4071.2500000000000000
1986-08-01,4077.8100000000000000
1986-09-01,3824.6200000000000000
1986-10-01,3880.6500000000000000
1986-11-01,3835.6300000000000000
1986-12-01,3702.2700000000000000
1987-01-01,4086.3000000000000000
1987-02-01,4416.1100000000000000
1987-03-01,4573.6700000000000000
1987-04-01,4503.6500000000000000
1987-05-01,4503.1100000000000000
1987-06-01,4577.1900000000000000
1987-07-01,4694.1300000000000000
1987-08-01,4759.7600000000000000
1987-09-01,4704.7800000000000000
1987-10-01,3267.1400000000000000
1987-11-01,3106.8900000000000000
1987-12-01,3187.4800000000000000
1988-01-01,3385.7100000000000000
1988-02-01,3606.7600000000000000
1988-03-01,3770.9100000000000000
1988-04-01,3825.2500000000000000
1988-05-01,3732.6800000000000000
1988-06-01,3931.5200000000000000
1988-07-01,3906.8600000000000000
1988-08-01,3820.3300000000000000
1988-09-01,3862.8100000000000000
1988-10-01,3805.7900000000000000
1988-11-01,3645.0000000000000000
1988-12-01,3742.7900000000000000
1989-01-01,3906.6200000000000000
1989-02-01,3937.8300000000000000
1989-03-01,4008.7500000000000000
1989-04-01,4113.7800000000000000
1989-05-01,4227.4400000000000000
1989-06-01,4165.2200000000000000
1989-07-01,4269.6000000000000000
1989-08-01,4334.2000000000000000
1989-09-01,4333.7200000000000000
1989-10-01,4082.4100000000000000
1989-11-01,4043.0900000000000000
1989-12-01,3964.0100000000000000
1990-01-01,3710.3500000000000000
1990-02-01,3755.9500000000000000
1990-03-01,3839.0400000000000000
1990-04-01,3727.0500000000000000
1990-05-01,3897.4900000000000000
1990-06-01,3961.1700000000000000
1990-07-01,3786.1700000000000000
1990-08-01,3264.4700000000000000
1990-09-01,2978.3100000000000000
1990-10-01,2760.2700000000000000
1990-11-01,2830.7100000000000000
1990-12-01,2781.6200000000000000
1991-01-01,2955.8400000000000000
1991-02-01,3349.6400000000000000
1991-03-01,3662.5300000000000000
1991-04-01,3757.3200000000000000
1991-05-01,3883.4900000000000000
1991-06-01,3736.4200000000000000
1991-07-01,3857.4100000000000000
1991-08-01,3938.1400000000000000
1991-09-01,3964.2100000000000000
1991-10-01,4068.3200000000000000
1991-11-01,3974.7000000000000000
1991-12-01,4121.1300000000000000
1992-01-01,4782.9200000000000000
1992-02-01,5042.1700000000000000
1992-03-01,4943.6900000000000000
1992-04-01,4691.1800000000000000
1992-05-01,4706.1100000000000000
1992-06-01,4497.4000000000000000
1992-07-01,4628.4100000000000000
1992-08-01,4473.4300000000000000
1992-09-01,4550.4900000000000000
1992-10-01,4672.4600000000000000
1992-11-01,5102.7000000000000000
1992-12-01,5351.3900000000000000
1993-01-01,5666.1000000000000000
1993-02-01,5523.6800000000000000
1993-03-01,5738.9500000000000000
1993-04-01,5590.6800000000000000
1993-05-01,5782.8300000000000000
1993-06-01,5843.4100000000000000
1993-07-01,5947.5500000000000000
1993-08-01,6211.8300000000000000
1993-09-01,6434.5100000000000000
1993-10-01,6739.3400000000000000
1993-11-01,6516.8300000000000000
1993-12-01,6593.2900000000000000
1994-01-01,6892.4000000000000000
1994-02-01,6821.1000000000000000
1994-03-01,6455.1700000000000000
1994-04-01,6368.7000000000000000
1994-05-01,6319.5000000000000000
1994-06-01,6145.7400000000000000
1994-07-01,6205.4800000000000000
1994-08-01,6425.7300000000000000
1994-09-01,6510.8100000000000000
1994-10-01,6543.5100000000000000
1994-11-01,6282.2900000000000000
1994-12-01,6218.0900000000000000
1995-01-01,6365.9700000000000000
1995-02-01,6537.1700000000000000
1995-03-01,6683.4100000000000000
1995-04-01,6869.2300000000000000
1995-05-01,7022.6400000000000000
1995-06-01,7461.2700000000000000
1995-07-01,7973.6000000000000000
1995-08-01,8256.4500000000000000
1995-09-01,8560.5300000000000000
1995-10-01,8148.9700000000000000
1995-11-01,8316.3000000000000000
1995-12-01,8482.8700000000000000
1996-01-01,8584.3100000000000000
1996-02-01,8835.9600000000000000
1996-03-01,9095.4900000000000000
1996-04-01,9844.6700000000000000
1996-05-01,10547.8400000000000000
1996-06-01,9976.6600000000000000
1996-07-01,8922.9900000000000000
1996-08-01,9418.0400000000000000
1996-09-01,9818.9600000000000000
