DATE,WILL4500IND
1984-02-01,0.64000000000000000000
1984-03-01,0.65000000000000000000
1984-04-01,0.64000000000000000000
1984-05-01,0.61000000000000000000
1984-06-01,0.63000000000000000000
1984-07-01,0.61000000000000000000
1984-08-01,0.68000000000000000000
1984-09-01,0.68000000000000000000
1984-10-01,0.67000000000000000000
1984-11-01,0.66000000000000000000
1984-12-01,0.68000000000000000000
1985-01-01,0.75000000000000000000
1985-02-01,0.77000000000000000000
1985-03-01,0.76000000000000000000
1985-04-01,0.77000000000000000000
1985-05-01,0.80000000000000000000
1985-06-01,0.82000000000000000000
1985-07-01,0.82000000000000000000
1985-08-01,0.82000000000000000000
1985-09-01,0.78000000000000000000
1985-10-01,0.81000000000000000000
1985-11-01,0.86000000000000000000
1985-12-01,0.89000000000000000000
1986-01-01,0.91000000000000000000
1986-02-01,0.97000000000000000000
1986-03-01,1.02000000000000000000
1986-04-01,1.03000000000000000000
1986-05-01,1.07000000000000000000
1986-06-01,1.09000000000000000000
1986-07-01,1.02000000000000000000
1986-08-01,1.07000000000000000000
1986-09-01,0.99000000000000000000
1986-10-01,1.03000000000000000000
1986-11-01,1.02000000000000000000
1986-12-01,1.00000000000000000000
1987-01-01,1.11000000000000000000
1987-02-01,1.1610526315789474
1987-03-01,1.2122727272727273
1987-04-01,1.1847619047619048
1987-05-01,1.1695000000000000
1987-06-01,1.1968181818181818
1987-07-01,1.2250000000000000
1987-08-01,1.2785714285714286
1987-09-01,1.2557142857142857
1987-10-01,1.1022727272727273
1987-11-01,0.93150000000000000000
1987-12-01,0.92363636363636363636
1988-01-01,0.99050000000000000000
1988-02-01,1.03450000000000000000
1988-03-01,1.0969565217391304
1988-04-01,1.1025000000000000
1988-05-01,1.0880952380952381
1988-06-01,1.1368181818181818
1988-07-01,1.1505000000000000
1988-08-01,1.1252173913043478
1988-09-01,1.1385714285714286
1988-10-01,1.1552380952380952
1988-11-01,1.1247619047619048
1988-12-01,1.1409523809523810
1989-01-01,1.1928571428571429
1989-02-01,1.2373684210526316
1989-03-01,1.2509090909090909
1989-04-01,1.2860000000000000
1989-05-01,1.3327272727272727
1989-06-01,1.3763636363636364
1989-07-01,1.3950000000000000
1989-08-01,1.4500000000000000
1989-09-01,1.4640000000000000
1989-10-01,1.4577272727272727
1989-11-01,1.4200000000000000
1989-12-01,1.4245000000000000
1990-01-01,1.3900000000000000
1990-02-01,1.3468421052631579
1990-03-01,1.3740909090909091
1990-04-01,1.3515000000000000
1990-05-01,1.3786363636363636
1990-06-01,1.4242857142857143
1990-07-01,1.4147619047619048
1990-08-01,1.2847826086956522
1990-09-01,1.2189473684210526
1990-10-01,1.1382608695652174
1990-11-01,1.1642857142857143
1990-12-01,1.2320000000000000
1991-01-01,1.2372727272727273
1991-02-01,1.4084210526315789
1991-03-01,1.4765000000000000
1991-04-01,1.5368181818181818
1991-05-01,1.5272727272727273
1991-06-01,1.5325000000000000
1991-07-01,1.5368181818181818
1991-08-01,1.5927272727272727
1991-09-01,1.6065000000000000
1991-10-01,1.6369565217391304
1991-11-01,1.6635000000000000
1991-12-01,1.6709523809523810
1992-01-01,1.8404545454545455
1992-02-01,1.8757894736842105
1992-03-01,1.8422727272727273
1992-04-01,1.7690476190476190
1992-05-01,1.7835000000000000
1992-06-01,1.7450000000000000
1992-07-01,1.7622727272727273
1992-08-01,1.7771428571428571
1992-09-01,1.7914285714285714
1992-10-01,1.7845454545454545
1992-11-01,1.8880000000000000
1992-12-01,1.9586363636363636
1993-01-01,2.0140000000000000
1993-02-01,2.0284210526315789
1993-03-01,2.0552173913043478
1993-04-01,2.0180952380952381
1993-05-01,2.0610000000000000
1993-06-01,2.0786363636363636
1993-07-01,2.1166666666666667
1993-08-01,2.1731818181818182
1993-09-01,2.2238095238095238
1993-10-01,2.2795238095238095
1993-11-01,2.2442857142857143
1993-12-01,2.2477272727272727
1994-01-01,2.3076190476190476
1994-02-01,2.3215789473684211
1994-03-01,2.3173913043478261
1994-04-01,2.2042105263157895
1994-05-01,2.1952380952380952
1994-06-01,2.1936363636363636
1994-07-01,2.1770000000000000
1994-08-01,2.2386956521739130
1994-09-01,2.2880952380952381
1994-10-01,2.2709523809523810
1994-11-01,2.2414285714285714
1994-12-01,2.1771428571428571
1995-01-01,2.2490476190476190
1995-02-01,2.3205263157894737
1995-03-01,2.3604347826086957
1995-04-01,2.4105263157894737
1995-05-01,2.4650000000000000
1995-06-01,2.5581818181818182
1995-07-01,2.6900000000000000
1995-08-01,2.7769565217391304
1995-09-01,2.8980000000000000
1995-10-01,2.8363636363636364
1995-11-01,2.8828571428571429
1995-12-01,2.9355000000000000
1996-01-01,2.9218181818181818
1996-02-01,3.0780000000000000
1996-03-01,3.1166666666666667
1996-04-01,3.2000000000000000
1996-05-01,3.3590909090909091
1996-06-01,3.3375000000000000
1996-07-01,3.1145454545454545
1996-08-01,3.1750000000000000
1996-09-01,3.2820000000000000
1996-10-01,3.3652173913043478
1996-11-01,3.3940000000000000
1996-12-01,3.4471428571428571
1997-01-01,3.5609090909090909
1997-02-01,3.5794736842105263
1997-03-01,3.4995000000000000
1997-04-01,3.3204545454545455
1997-05-01,3.5552380952380952
1997-06-01,3.7852380952380952
1997-07-01,4.0000000000000000
1997-08-01,4.1204761904761905
1997-09-01,4.3404761904761905
1997-10-01,4.4569565217391304
1997-11-01,4.2910526315789474
1997-12-01,4.2950000000000000
1998-01-01,4.2770000000000000
1998-02-01,4.5326315789473684
1998-03-01,4.7736363636363636
1998-04-01,4.9376190476190476
