DATE,WILLSMLCAPVAL
1978-08-01,1123.7500000000000000
1978-09-01,1115.7600000000000000
1978-10-01,929.1400000000000000
1978-11-01,960.8700000000000000
1978-12-01,971.5100000000000000
1979-01-01,1050.9500000000000000
1979-02-01,1027.9200000000000000
1979-03-01,1117.7000000000000000
1979-04-01,1143.7000000000000000
1979-05-01,1136.8700000000000000
1979-06-01,1207.7200000000000000
1979-07-01,1256.6900000000000000
1979-08-01,1343.7000000000000000
1979-09-01,1319.4500000000000000
1979-10-01,1170.7200000000000000
1979-11-01,1241.3900000000000000
1979-12-01,1287.8900000000000000
1980-01-01,1378.4100000000000000
1980-02-01,1327.4100000000000000
1980-03-01,1115.9800000000000000
1980-04-01,1192.1600000000000000
1980-05-01,1292.6800000000000000
1980-06-01,1345.1100000000000000
1980-07-01,1455.4800000000000000
1980-08-01,1508.3000000000000000
1980-09-01,1529.2200000000000000
1980-10-01,1553.4000000000000000
1980-11-01,1602.3600000000000000
1980-12-01,1580.1500000000000000
1981-01-01,1602.4000000000000000
1981-02-01,1645.0400000000000000
1981-03-01,1776.0500000000000000
1981-04-01,1833.2700000000000000
1981-05-01,1872.8400000000000000
1981-06-01,1885.9800000000000000
1981-07-01,1857.1700000000000000
1981-08-01,1766.9600000000000000
1981-09-01,1671.3200000000000000
1981-10-01,1760.3500000000000000
1981-11-01,1846.6800000000000000
1981-12-01,1818.0900000000000000
1982-01-01,1777.0700000000000000
1982-02-01,1737.5500000000000000
1982-03-01,1749.1800000000000000
1982-04-01,1830.0700000000000000
1982-05-01,1789.0800000000000000
1982-06-01,1751.0800000000000000
1982-07-01,1733.2500000000000000
1982-08-01,1902.5900000000000000
1982-09-01,1974.7800000000000000
1982-10-01,2228.8900000000000000
1982-11-01,2389.3500000000000000
1982-12-01,2394.8500000000000000
1983-01-01,2520.1900000000000000
1983-02-01,2660.4400000000000000
1983-03-01,2807.2700000000000000
1983-04-01,3009.6500000000000000
1983-05-01,3145.8900000000000000
1983-06-01,3226.9600000000000000
1983-07-01,3239.5500000000000000
1983-08-01,3202.2900000000000000
1983-09-01,3317.8600000000000000
1983-10-01,3209.5400000000000000
1983-11-01,3346.7400000000000000
1983-12-01,3352.3700000000000000
1984-01-01,3377.4100000000000000
1984-02-01,3243.2900000000000000
1984-03-01,3301.7000000000000000
1984-04-01,3295.5300000000000000
1984-05-01,3128.9400000000000000
1984-06-01,3180.9100000000000000
1984-07-01,3096.5200000000000000
1984-08-01,3420.7000000000000000
1984-09-01,3469.3400000000000000
1984-10-01,3466.2900000000000000
1984-11-01,3482.8900000000000000
1984-12-01,3562.1300000000000000
1985-01-01,3893.0500000000000000
1985-02-01,3966.4300000000000000
1985-03-01,3946.3600000000000000
1985-04-01,3973.2700000000000000
1985-05-01,4123.4600000000000000
1985-06-01,4224.9400000000000000
1985-07-01,4331.2800000000000000
1985-08-01,4317.4700000000000000
1985-09-01,4103.5400000000000000
1985-10-01,4246.8300000000000000
1985-11-01,4538.2900000000000000
1985-12-01,4723.3200000000000000
1986-01-01,4783.4000000000000000
1986-02-01,5147.0300000000000000
1986-03-01,5398.1100000000000000
1986-04-01,5396.9200000000000000
1986-05-01,5585.3300000000000000
1986-06-01,5606.7200000000000000
1986-07-01,5193.6700000000000000
1986-08-01,5435.0200000000000000
1986-09-01,5161.2000000000000000
1986-10-01,5287.1900000000000000
1986-11-01,5257.0000000000000000
1986-12-01,5157.1200000000000000
1987-01-01,5720.5800000000000000
1987-02-01,6075.5400000000000000
1987-03-01,6153.8600000000000000
1987-04-01,5994.7800000000000000
