DATE,BAMLCC1A013YTRIV
1976-04-01,103.17
1976-05-01,103.17
1976-06-01,104.84
1976-07-01,104.84
1976-08-01,104.84
1976-09-01,107.99
1976-10-01,107.99
1976-11-01,107.99
1976-12-01,111.67
1977-01-01,111.67
1977-02-01,111.67
1977-03-01,113.09
1977-04-01,113.09
1977-05-01,113.09
1977-06-01,115.4
1977-07-01,116.05
1977-08-01,116.5
1977-09-01,116.82
1977-10-01,117.12
1977-11-01,117.9
1977-12-01,118.45
1978-01-01,118.98
1978-02-01,119.61
1978-03-01,120.31
1978-04-01,120.84
1978-05-01,120.89
1978-06-01,121.28
1978-07-01,121.99
1978-08-01,122.95
1978-09-01,123.4
1978-10-01,122.83
1978-11-01,123.33
1978-12-01,123.07
1979-01-01,125.05
1979-02-01,125.66
1979-03-01,126.7
1979-04-01,127.4
1979-05-01,128.69
1979-06-01,130.3
1979-07-01,130.89
1979-08-01,131.36
1979-09-01,130.84
1979-10-01,127.88
1979-11-01,129.8
1979-12-01,130.66
1980-01-01,131.3
1980-02-01,128.98
1980-03-01,128.35
1980-04-01,135.58
1980-05-01,141.35
1980-06-01,143.84
1980-07-01,144.18
1980-08-01,141.58
1980-09-01,141.78
1980-10-01,141.61
1980-11-01,141.29
1980-12-01,143.72
1981-01-01,144.96
1981-02-01,145.16
1981-03-01,147.76
1981-04-01,146.74
1981-05-01,148.45
1981-06-01,150.31
1981-07-01,150.02
1981-08-01,149.55
1981-09-01,151.59
1981-10-01,155.75
1981-11-01,162.67
1981-12-01,162.3
1982-01-01,163.52
1982-02-01,165.51
1982-03-01,167.58
1982-04-01,170.5
1982-05-01,172.94
1982-06-01,172.42
1982-07-01,177.23
1982-08-01,182.64
1982-09-01,186.79
1982-10-01,192.95
1982-11-01,195.48
1982-12-01,198.38
1983-01-01,200.83
1983-02-01,204.01
1983-03-01,204.84
1983-04-01,207.96
1983-05-01,208.53
1983-06-01,209.11
1983-07-01,208.67
1983-08-01,210.39
1983-09-01,213.91
1983-10-01,215.13
1983-11-01,218.32
1983-12-01,219.59
1984-01-01,222.43
1984-02-01,223.23
1984-03-01,224.49
1984-04-01,225.57
1984-05-01,224.26
1984-06-01,225.49
1984-07-01,229.74
1984-08-01,233.55
1984-09-01,237.09
1984-10-01,242.82
1984-11-01,247.23
1984-12-01,250.48
1985-01-01,253.79
1985-02-01,253.18
1985-03-01,257.63
1985-04-01,262.26
1985-05-01,267.64
1985-06-01,269.71
1985-07-01,270.55
1985-08-01,274.25
1985-09-01,276.3
1985-10-01,279.75
1985-11-01,283.2
1985-12-01,287.54
1986-01-01,289.54
1986-02-01,293.74
1986-03-01,297.84
1986-04-01,300.78
1986-05-01,301.38
1986-06-01,303.54
1986-07-01,305.57
1986-08-01,310.18
1986-09-01,311.41
1986-10-01,314.62
1986-11-01,315.8315
1986-12-01,318.3345455
1987-01-01,320.3372727
1987-02-01,321.2265
1987-03-01,323.3054545
1987-04-01,322.44
1987-05-01,321.6295238
1987-06-01,324.6363636
1987-07-01,327.5504545
1987-08-01,328.3328571
1987-09-01,328.1814286
1987-10-01,330.3152174
1987-11-01,334.93
1987-12-01,336.9795455
1988-01-01,340.6438095
1988-02-01,344.897
1988-03-01,347.7069565
1988-04-01,348.8847619
1988-05-01,349.6138095
1988-06-01,352.4872727
1988-07-01,354.3571429
1988-08-01,355.5004348
1988-09-01,359.1647619
1988-10-01,361.9804762
1988-11-01,362.9009524
1988-12-01,363.635
1989-01-01,365.867619
1989-02-01,368.2831579
1989-03-01,369.8368182
1989-04-01,372.5011111
1989-05-01,377.2145455
1989-06-01,384.5785714
1989-07-01,390.7255
1989-08-01,392.1321739
1989-09-01,395.5066667
1989-10-01,399.2914286
1989-11-01,403.3057143
1989-12-01,406.0214286
1990-01-01,406.9695455
1990-02-01,408.9589474
1990-03-01,411.4304348
1990-04-01,413.6325
1990-05-01,416.29
1990-06-01,421.0213636
1990-07-01,425.1204762
1990-08-01,428.5913043
1990-09-01,431.0245
1990-10-01,433.98
1990-11-01,437.6457143
1990-12-01,441.6765
1991-01-01,445.3145455
1991-02-01,450.0989474
1991-03-01,452.2619048
1991-04-01,458.5763636
1991-05-01,464.4513636
1991-06-01,466.5114286
1991-07-01,470.2136364
1991-08-01,477.0786957
1991-09-01,481.843
1991-10-01,486.9334783
1991-11-01,492.1647619
1991-12-01,498.3885714
1992-01-01,501.1909091
1992-02-01,502.1985
1992-03-01,502.3636364
1992-04-01,508.2309524
1992-05-01,512.8814286
1992-06-01,517.805
1992-07-01,527.7604545
1992-08-01,531.7952381
1992-09-01,536.9552381
1992-10-01,537.8665217
1992-11-01,535.7035
1992-12-01,537.5709091
1993-01-01,543.84
1993-02-01,549.1175
1993-03-01,554.2695652
1993-04-01,558.0895238
1993-05-01,559.832381
1993-06-01,561.2081818
1993-07-01,565.1640909
1993-08-01,568.5581818
1993-09-01,572.9019048
1993-10-01,575.3040909
1993-11-01,575
1993-12-01,577.4218182
1994-01-01,581.4190476
1994-02-01,580.9805263
1994-03-01,578.1408696
1994-04-01,575.139
1994-05-01,574.2738095
1994-06-01,578.3790909
1994-07-01,580.3647619
1994-08-01,583.563913
1994-09-01,585.5638095
1994-10-01,585.7433333
1994-11-01,585.1285714
1994-12-01,584.5722727
1995-01-01,589.3471429
1995-02-01,597.2052632
1995-03-01,605.0447826
1995-04-01,611.226
1995-05-01,619.3018182
1995-06-01,627.6504545
1995-07-01,630.491
1995-08-01,630.6034783
1995-09-01,635.6528571
1995-10-01,640.0790909
1995-11-01,645.5209524
1995-12-01,650.8204762
1996-01-01,656.2636364
1996-02-01,660.2795
1996-03-01,657.1554545
1996-04-01,657.4168182
1996-05-01,659.845
1996-06-01,661.6366667
1996-07-01,665.7686364
1996-08-01,672.4365217
1996-09-01,673.977
1996-10-01,681.7517391
1996-11-01,688.4004762
1996-12-01,690.9466667
1997-01-01,692.2627273
1997-02-01,697.5110526
1997-03-01,697.912
1997-04-01,699.9309091
1997-05-01,706.5086364
1997-06-01,712.6404762
1997-07-01,719.4868182
1997-08-01,722.5459091
1997-09-01,727.1704762
1997-10-01,732.2521739
1997-11-01,735.3490476
1997-12-01,738.53
1998-01-01,746.8181818
1998-02-01,749.2133333
1998-03-01,751.6272727
1998-04-01,755.6971429
1998-05-01,759.2954545
1998-06-01,763.7772727
1998-07-01,768.4191304
1998-08-01,774.102381
1998-09-01,780.8504545
1998-10-01,788.3773913
1998-11-01,785.3609524
