DATE,CANPPDMMINMEI
1977-11-01,35.6018236
1977-12-01,35.77135609
1978-01-01,36.27995357
1978-02-01,36.44948607
1978-03-01,36.8733173
1978-04-01,37.38191478
1978-05-01,37.55144727
1978-06-01,37.80574601
1978-07-01,37.97527851
1978-08-01,38.31434349
1978-09-01,38.65340848
1978-10-01,39.50107095
1978-11-01,39.67060344
1978-12-01,39.84013593
1979-01-01,40.94209714
1979-02-01,41.70499336
1979-03-01,42.04405835
1979-04-01,42.55265583
1979-05-01,42.89172081
1979-06-01,43.14601955
1979-07-01,43.65461703
1979-08-01,43.99368202
1979-09-01,44.67181199
1979-10-01,45.43470821
1979-11-01,45.60424071
1979-12-01,46.02807194
1980-01-01,47.80816312
1980-02-01,48.06246186
1980-03-01,47.80816312
1980-04-01,48.14722811
1980-05-01,48.40152685
1980-06-01,48.74059183
1980-07-01,49.16442307
1980-08-01,49.84255304
1980-09-01,50.35115052
1980-10-01,51.11404674
1980-11-01,51.53787797
1980-12-01,51.62264422
1981-01-01,52.30077419
1981-02-01,52.63983918
1981-03-01,52.97890417
1981-04-01,53.48750165
1981-05-01,53.91133288
1981-06-01,54.41993036
1981-07-01,54.84376159
1981-08-01,55.26759283
1981-09-01,55.35235907
1981-10-01,55.86095655
1981-11-01,55.77619031
1981-12-01,55.9457228
1982-01-01,56.53908653
1982-02-01,56.96291776
1982-03-01,57.30198275
1982-04-01,57.72581398
1982-05-01,57.98011272
1982-06-01,58.31917771
1982-07-01,58.40394395
1982-08-01,58.31917771
1982-09-01,58.74300894
1982-10-01,58.82777519
1982-11-01,58.65824269
1982-12-01,58.74300894
1983-01-01,58.74300894
1983-02-01,58.74300894
1983-03-01,59.25160642
1983-04-01,59.59067141
1983-05-01,59.84497015
1983-06-01,60.35356763
1983-07-01,60.52310012
1983-08-01,60.60786637
1983-09-01,60.52310012
1983-10-01,60.77739886
1983-11-01,60.69263261
1983-12-01,61.0316976
1984-01-01,61.54029508
1984-02-01,61.79459382
1984-03-01,62.21842505
1984-04-01,62.64225629
1984-05-01,62.64225629
1984-06-01,62.72702253
1984-07-01,63.23562001
1984-08-01,63.23562001
1984-09-01,63.15085377
1984-10-01,63.15085377
1984-11-01,63.40515251
1984-12-01,63.574685
1985-01-01,63.91374999
1985-02-01,63.99851623
1985-03-01,64.42234747
1985-04-01,64.42234747
1985-05-01,64.50711371
1985-06-01,64.50711371
1985-07-01,64.50711371
1985-08-01,64.42234747
1985-09-01,64.50711371
1985-10-01,64.76141245
1985-11-01,64.8461787
1985-12-01,65.27000993
1986-01-01,65.18524369
1986-02-01,65.10047744
1986-03-01,64.93094495
1986-04-01,64.8461787
1986-05-01,64.42234747
1986-06-01,64.59187996
1986-07-01,64.76141245
1986-08-01,65.10047744
1986-09-01,65.18524369
1986-10-01,65.60907492
1986-11-01,65.60907492
1986-12-01,65.43954243
1987-01-01,65.77860741
1987-02-01,65.60907492
1987-03-01,65.60907492
1987-04-01,66.03290615
1987-05-01,66.62626988
1987-06-01,66.71103613
1987-07-01,67.05010111
1987-08-01,67.47393235
1987-09-01,67.47393235
1987-10-01,67.72823109
1987-11-01,68.15206232
1987-12-01,68.32159481
1988-01-01,68.91495854
1988-02-01,68.6606598
1988-03-01,68.83019229
1988-04-01,69.16925728
1988-05-01,69.50832227
1988-06-01,69.67785476
1988-07-01,70.01691975
1988-08-01,70.27121849
1988-09-01,70.27121849
1988-10-01,70.35598473
1988-11-01,70.77981597
1988-12-01,70.77981597
1989-01-01,71.28841345
1989-02-01,71.2036472
1989-03-01,71.45794594
1989-04-01,71.37317969
1989-05-01,71.37317969
1989-06-01,71.45794594
1989-07-01,71.37317969
1989-08-01,71.28841345
1989-09-01,71.03411471
1989-10-01,70.94934846
1989-11-01,70.77981597
1989-12-01,70.61028347
1990-01-01,70.49412549
1990-02-01,70.99408383
1990-03-01,70.89409216
1990-04-01,70.69410882
1990-05-01,71.09407549
1990-06-01,70.99408383
1990-07-01,70.69410882
1990-08-01,70.89409216
1990-09-01,71.49404216
1990-10-01,71.6940255
1990-11-01,71.89400883
1990-12-01,71.9940005
1991-01-01,72.09399217
1991-02-01,71.6940255
1991-03-01,71.09407549
1991-04-01,70.69410882
1991-05-01,70.49412549
1991-06-01,70.39413382
1991-07-01,70.19415049
1991-08-01,69.79418382
1991-09-01,69.69419215
1991-10-01,69.69419215
1991-11-01,69.69419215
1991-12-01,69.59420048
1992-01-01,69.29422548
1992-02-01,69.89417549
1992-03-01,70.09415882
1992-04-01,69.89417549
1992-05-01,70.49412549
1992-06-01,70.69410882
1992-07-01,70.69410882
1992-08-01,70.89409216
1992-09-01,71.29405883
1992-10-01,71.6940255
1992-11-01,71.9940005
1992-12-01,72.19398383
1993-01-01,72.79393384
1993-02-01,72.89392551
1993-03-01,73.09390884
1993-04-01,72.99391717
1993-05-01,72.79393384
1993-06-01,72.69394217
1993-07-01,72.69394217
1993-08-01,73.39388384
1993-09-01,73.49387551
1993-10-01,73.89384218
1993-11-01,74.19381718
1993-12-01,74.69377552
1994-01-01,74.79376719
1994-02-01,75.69369219
1994-03-01,76.09365886
1994-04-01,76.39363386
1994-05-01,76.8935922
1994-06-01,77.69352554
1994-07-01,78.09349221
1994-08-01,78.79343388
1994-09-01,78.59345055
1994-10-01,79.09340888
1994-11-01,79.99333389
1994-12-01,80.69327556
1995-01-01,82.69310891
1995-02-01,82.89309224
1995-03-01,83.39305058
1995-04-01,82.99308391
1995-05-01,82.99308391
1995-06-01,83.69302558
1995-07-01,83.89300892
1995-08-01,83.79301725
1995-09-01,84.19298392
1995-10-01,83.79301725
1995-11-01,83.89300892
1995-12-01,84.19298392
1996-01-01,84.09299225
1996-02-01,83.99300058
1996-03-01,83.49304225
1996-04-01,83.39305058
1996-05-01,84.19298392
1996-06-01,83.69302558
1996-07-01,83.59303391
1996-08-01,84.19298392
1996-09-01,84.29297559
1996-10-01,83.89300892
1996-11-01,83.79301725
1996-12-01,84.19298392
1997-01-01,83.99300058
1997-02-01,84.09299225
1997-03-01,84.19298392
1997-04-01,84.79293392
1997-05-01,84.69294225
1997-06-01,84.39296725
1997-07-01,84.19298392
1997-08-01,84.69294225
1997-09-01,84.59295059
1997-10-01,84.49295892
1997-11-01,84.89292559
1997-12-01,84.69294225
1998-01-01,84.69294225
1998-02-01,84.69294225
1998-03-01,83.69302558
1998-04-01,84.39296725
1998-05-01,84.39296725
1998-06-01,84.59295059
1998-07-01,84.79293392
1998-08-01,85.39288393
1998-09-01,84.89292559
1998-10-01,85.59286726
1998-11-01,85.59286726
1998-12-01,84.89292559
1999-01-01,84.79293392
1999-02-01,84.49295892
1999-03-01,85.39288393
1999-04-01,85.39288393
1999-05-01,85.49287559
1999-06-01,85.69285893
1999-07-01,86.89275894
1999-08-01,86.9927506
1999-09-01,87.49270894
1999-10-01,87.49270894
1999-11-01,87.59270061
1999-12-01,88.09265895
2000-01-01,87.99266728
2000-02-01,88.89259228
2000-03-01,89.59253396
2000-04-01,89.59253396
2000-05-01,89.89250896
2000-06-01,89.89250896
2000-07-01,89.89250896
2000-08-01,89.89250896
2000-09-01,90.29247563
2000-10-01,91.09240897
2000-11-01,91.79235064
2000-12-01,91.19240063
2001-01-01,90.79243396
2001-02-01,91.19240063
2001-03-01,91.69235897
2001-04-01,91.99233397
2001-05-01,92.49229231
2001-06-01,91.2923923
2001-07-01,90.59245063
2001-08-01,90.59245063
2001-09-01,91.2923923
2001-10-01,89.89250896
2001-11-01,89.79251729
2001-12-01,88.89259228
2002-01-01,89.79251729
2002-02-01,90.19248396
2002-03-01,90.79243396
2002-04-01,90.9924173
2002-05-01,90.49245896
2002-06-01,90.19248396
2002-07-01,90.49245896
2002-08-01,91.09240897
2002-09-01,91.79235064
2002-10-01,92.09232564
2002-11-01,91.79235064
2002-12-01,91.49237564
2003-01-01,91.8923423
2003-02-01,92.79226731
2003-03-01,92.49229231
2003-04-01,90.79243396
2003-05-01,88.79260062
2003-06-01,87.99266728
2003-07-01,89.09257562
2003-08-01,89.59253396
2003-09-01,89.59253396
2003-10-01,88.49262561
2003-11-01,88.09265895
2003-12-01,88.29264228
2004-01-01,88.99258395
2004-02-01,90.9924173
2004-03-01,91.69235897
2004-04-01,92.79226731
2004-05-01,94.69210899
2004-06-01,94.19215065
2004-07-01,93.99216732
2004-08-01,94.39213399
2004-09-01,93.89217565
2004-10-01,93.39221732
2004-11-01,91.5923673
2004-12-01,91.79235064
2005-01-01,92.59228398
2005-02-01,93.79218398
2005-03-01,94.19215065
2005-04-01,94.59211732
2005-05-01,94.39213399
2005-06-01,94.19215065
2005-07-01,93.89217565
2005-08-01,94.29214232
2005-09-01,94.99208399
2005-10-01,95.09207566
2005-11-01,94.49212566
2005-12-01,94.19215065
2006-01-01,94.89209233
2006-02-01,94.49212566
2006-03-01,95.39205066
2006-04-01,96.59195067
2006-05-01,96.79193401
2006-06-01,96.69194234
2006-07-01,98.29180902
2006-08-01,97.69185901
2006-09-01,96.09199233
2006-10-01,95.99200067
2006-11-01,96.09199233
2006-12-01,97.39188401
2007-01-01,97.69185901
2007-02-01,98.59178402
2007-03-01,99.89167569
2007-04-01,100.1916507
2007-05-01,99.79168403
2007-06-01,98.69177569
2007-07-01,98.09182568
2007-08-01,97.09190901
2007-09-01,96.29197567
2007-10-01,95.09207566
2007-11-01,95.79201733
2007-12-01,96.89192567
2008-01-01,97.89184235
2008-02-01,97.99183401
2008-03-01,99.89167569
2008-04-01,101.6915257
2008-05-01,102.6914424
2008-06-01,104.5912841
2008-07-01,105.4912091
2008-08-01,105.7911841
2008-09-01,104.5912841
2008-10-01,104.3913007
2008-11-01,101.3915507
2008-12-01,98.79176735
2009-01-01,98.79176735
2009-02-01,99.19173402
2009-03-01,99.69169236
2009-04-01,99.19173402
2009-05-01,98.09182568
2009-06-01,98.59178402
2009-07-01,97.89184235
2009-08-01,98.49179235
2009-09-01,97.89184235
2009-10-01,97.59186734
2009-11-01,98.39180068
2009-12-01,98.49179235
2010-01-01,99.09174235
2010-02-01,98.99175069
2010-03-01,98.99175069
2010-04-01,99.49170902
2010-05-01,99.89167569
2010-06-01,99.09174235
2010-07-01,98.99175069
2010-08-01,99.39171736
2010-09-01,100.1916507
2010-10-01,101.0915757
2010-11-01,101.891509
2010-12-01,102.8914257
2011-01-01,103.6913591
2011-02-01,104.8912591
2011-03-01,106.4911257
2011-04-01,107.6910257
2011-05-01,107.0910757
2011-06-01,107.1910674
2011-07-01,107.0910757
2011-08-01,107.9910007
2011-09-01,108.3909674
2011-10-01,107.7910174
2011-11-01,107.9910007
2011-12-01,106.9910841
2012-01-01,107.5910341
2012-02-01,108.4909591
2012-03-01,109.0909091
2012-04-01,109.0909091
2012-05-01,108.2909758
2012-06-01,107.6910257
2012-07-01,107.2910591
2012-08-01,107.3910507
2012-09-01,108.5909508
2012-10-01,108.2909758
2012-11-01,107.9910007
2012-12-01,107.5910341
2013-01-01,107.9910007
2013-02-01,109.5908674
2013-03-01,109.2908924
2013-04-01,108.1909841
2013-05-01,108.0909924
2013-06-01,108.3909674
2013-07-01,108.3909674
2013-08-01,108.8909258
2013-09-01,108.5909508
2013-10-01,108.0909924
2013-11-01,108.1909841
2013-12-01,108.9909174
2014-01-01,110.5907841
2014-02-01,111.9906674
2014-03-01,112.5906174
2014-04-01,112.2906424
2014-05-01,111.5907008
2014-06-01,111.7906841
2014-07-01,111.4907091
2014-08-01,111.7906841
2014-09-01,111.3907174
2014-10-01,110.6907758
2014-11-01,110.2908091
2014-12-01,108.5909508
2015-01-01,108.2909758
2015-02-01,110.3908008
2015-03-01,110.5907841
2015-04-01,109.6908591
2015-05-01,110.2908091
2015-06-01,110.8907591
2015-07-01,111.6906924
2015-08-01,111.2907258
2015-09-01,110.7907674
2015-10-01,110.2908091
2015-11-01,109.9908341
2015-12-01,109.6908591
2016-01-01,110.1908174
2016-02-01,109.1909008
2016-03-01,108.4909591
2016-04-01,107.8910091
2016-05-01,109.1909008
2016-06-01,110.0908258
2016-07-01,110.3908008
2016-08-01,109.9908341
2016-09-01,110.4907924
2016-10-01,111.2907258
2016-11-01,111.7906841
2016-12-01,112.1906508
2017-01-01,112.8905925
2017-02-01,113.1905675
2017-03-01,114.0904925
2017-04-01,114.6904425
2017-05-01,114.8904258
2017-06-01,113.5905341
2017-07-01,111.9906674
2017-08-01,112.3906341
2017-09-01,111.9906674
2017-10-01,113.1905675
2017-11-01,114.8904258
2017-12-01,114.7904341
2018-01-01,115.4903758
2018-02-01,115.7903508
2018-03-01,116.7902675
2018-04-01,117.2902258
2018-05-01,118.4901258
