DATE,RU3000TR
1997-06-01,1731.190952
1997-07-01,1826.761818
1997-08-01,1846.385714
1997-09-01,1884.912857
1997-10-01,1919.84087
1997-11-01,1889.113158
1997-12-01,1930.91
1998-01-01,1934.356
1998-02-01,2056.362632
1998-03-01,2161.435455
1998-04-01,2232.24
1998-05-01,2218.5705
1998-06-01,2202.945
1998-07-01,2290.266818
1998-08-01,2115.949048
1998-09-01,1996.67
1998-10-01,2011.385
1998-11-01,2246.2015
1998-12-01,2334.195909
1999-01-01,2464.4165
1999-02-01,2440.4815
1999-03-01,2500.201304
1999-04-01,2609.199048
1999-05-01,2625.124762
1999-06-01,2611.568182
1999-07-01,2715.585
1999-08-01,2607.598182
1999-09-01,2593.176667
1999-10-01,2563.735
1999-11-01,2755.749048
1999-12-01,2847.87
2000-01-01,2871.2345
2000-02-01,2847.172
2000-03-01,2981.410435
2000-04-01,2961.6685
2000-05-01,2878.859545
2000-06-01,2983.734545
2000-07-01,3006.423
2000-08-01,3031.635652
2000-09-01,3030.482381
2000-10-01,2861.731364
2000-11-01,2822.818095
2000-12-01,2730.0445
2001-01-01,2742.245714
2001-02-01,2686.853684
2001-03-01,2441.313636
2001-04-01,2445.0385
2001-05-01,2626.732273
2001-06-01,2570.461429
2001-07-01,2497.165714
2001-08-01,2446.974783
2001-09-01,2189.206316
2001-10-01,2230.441739
2001-11-01,2345.831905
2001-12-01,2394.019
2002-01-01,2393.179524
2002-02-01,2314.881579
2002-03-01,2435.334
2002-04-01,2364.287273
2002-05-01,2302.118636
2002-06-01,2161.0485
2002-07-01,1924.973636
2002-08-01,1944.909091
2002-09-01,1854.0725
2002-10-01,1817.693913
2002-11-01,1940.121
2002-12-01,1925.327619
2003-01-01,1921.849048
2003-02-01,1802.021579
2003-03-01,1823.38
2003-04-01,1918.142857
2003-05-01,2029.87
2003-06-01,2152.664286
2003-07-01,2174.916818
2003-08-01,2174.614286
2003-09-01,2253.213333
2003-10-01,2301.918696
2003-11-01,2340.271579
2003-12-01,2407.753182
2004-01-01,2528.372
2004-02-01,2551.718947
2004-03-01,2518.307826
2004-04-01,2540.778095
2004-05-01,2466.7325
2004-06-01,2538.540476
2004-07-01,2477.497619
2004-08-01,2436.278636
2004-09-01,2514.910952
2004-10-01,2525.651429
2004-11-01,2650.618095
2004-12-01,2734.355909
2005-01-01,2690.781
2005-02-01,2742.123158
2005-03-01,2738.572273
2005-04-01,2670.98381
2005-05-01,2709.902381
2005-06-01,2783.734091
2005-07-01,2848.6375
2005-08-01,2855.811739
2005-09-01,2868.73619
2005-10-01,2789.745238
2005-11-01,2902.834762
2005-12-01,2968.428095
2006-01-01,3021.425
2006-02-01,3028.586316
2006-03-01,3076.319565
2006-04-01,3109.226316
2006-05-01,3077.381364
2006-06-01,2984.372727
2006-07-01,2996.7765
2006-08-01,3056.200435
2006-09-01,3136.509
2006-10-01,3251.344091
2006-11-01,3323.26
2006-12-01,3397.504
2007-01-01,3423.6695
2007-02-01,3493.537368
2007-03-01,3406.699091
2007-04-01,3546.8325
2007-05-01,3655.582273
2007-06-01,3670.41619
2007-07-01,3684.181905
2007-08-01,3516.063478
2007-09-01,3625.255263
2007-10-01,3742.00087
2007-11-01,3556.780952
2007-12-01,3598.5785
2008-01-01,3348.798095
2008-02-01,3312.7945
2008-03-01,3217.196
2008-04-01,3357.771818
2008-05-01,3455.442381
2008-06-01,3333.288571
2008-07-01,3122.244545
2008-08-01,3193.342381
2008-09-01,3036.354286
2008-10-01,2388.040435
2008-11-01,2165.692105
2008-12-01,2161.534091
2009-01-01,2152.3905
2009-02-01,2009.011579
2009-03-01,1892.711818
2009-04-01,2137.519524
2009-05-01,2281.807
2009-06-01,2351.326818
2009-07-01,2380.238636
2009-08-01,2580.495714
2009-09-01,2681.273333
2009-10-01,2740.208636
2009-11-01,2781.651
2009-12-01,2854.787273
2010-01-01,2903.3
2010-02-01,2820.754211
2010-03-01,3002.877391
2010-04-01,3135.43619
2010-05-01,2952.2335
2010-06-01,2844.658636
2010-07-01,2828.825238
2010-08-01,2849.838182
2010-09-01,2953.27381
2010-10-01,3097.125714
2010-11-01,3185.101429
2010-12-01,3318.781818
2011-01-01,3429.4865
2011-02-01,3540.731053
2011-03-01,3507.46
2011-04-01,3595.09
2011-05-01,3614.859048
2011-06-01,3482.179545
2011-07-01,3592.26
2011-08-01,3189.643478
2011-09-01,3156.95619
2011-10-01,3244.028095
2011-11-01,3309.781905
2011-12-01,3359.368571
2012-01-01,3526.1705
2012-02-01,3690.3525
2012-03-01,3784.906364
2012-04-01,3776.4635
2012-05-01,3657.196818
2012-06-01,3604.77
2012-07-01,3709.867143
2012-08-01,3827.277826
2012-09-01,3956.225789
2012-10-01,3935.213043
2012-11-01,3838.777143
2012-12-01,3934.8845
2013-01-01,4117.806667
2013-02-01,4218.784737
2013-03-01,4338.273
2013-04-01,4386.583182
2013-05-01,4589.222273
2013-06-01,4538.3565
2013-07-01,4701.818182
2013-08-01,4726.149545
2013-09-01,4795.552
2013-10-01,4907.824348
2013-11-01,5076.511
2013-12-01,5159.389048
2014-01-01,5222.202381
2014-02-01,5222.697368
2014-03-01,5370.678571
2014-04-01,5351.364762
2014-05-01,5414.77619
2014-06-01,5597.572857
2014-07-01,5664.649091
2014-08-01,5641.514286
2014-09-01,5732.716667
2014-10-01,5560.37913
2014-11-01,5882.154737
2014-12-01,5916.745455
2015-01-01,5865.5645
2015-02-01,6043.51
2015-03-01,6068.918182
2015-04-01,6128.791905
2015-05-01,6168.3075
2015-06-01,6161.228636
2015-07-01,6139.508636
2015-08-01,5979.689524
2015-09-01,5716.064286
2015-10-01,5923.497273
2015-11-01,6086.0145
2015-12-01,6005.248182
2016-01-01,5586.371053
2016-02-01,5532.768
2016-03-01,5910.401364
2016-04-01,6088.710476
2016-05-01,6070.844286
2016-06-01,6150.738636
2016-07-01,6353.4695
2016-08-01,6460.425217
2016-09-01,6426.757619
2016-10-01,6383.614762
2016-11-01,6478.935714
2016-12-01,6757.985238
2017-01-01,6850.763
2017-02-01,7023.513684
2017-03-01,7123.075652
2017-04-01,7117.738421
2017-05-01,7227.362727
2017-06-01,7359.192273
2017-07-01,7432.543
2017-08-01,7427.953913
2017-09-01,7569.883
2017-10-01,7789.696364
2017-11-01,7900.308571
2017-12-01,8124.023
2018-01-01,8502.294762
2018-02-01,8249.114211
2018-03-01,8284.797619
2018-04-01,8154.401429
2018-05-01,.
