DATE,NASDAQCOM
1971-03-01,104.4704347826086957
1971-04-01,109.5552380952380952
1971-05-01,109.5705000000000000
1971-06-01,108.5677272727272727
1971-07-01,109.3033333333333333
1971-08-01,106.5131818181818182
1971-09-01,109.5238095238095238
1971-10-01,108.4100000000000000
1971-11-01,103.5852380952380952
1971-12-01,109.8081818181818182
1972-01-01,116.5433333333333333
1972-02-01,122.6645000000000000
1972-03-01,127.5481818181818182
1972-04-01,131.8145000000000000
1972-05-01,130.4963636363636364
1972-06-01,130.9790909090909091
1972-07-01,129.1825000000000000
1972-08-01,130.6186956521739130
1972-09-01,128.2840000000000000
1972-10-01,128.3950000000000000
1972-11-01,132.6745000000000000
1972-12-01,133.3121052631578947
1973-01-01,133.5290476190476190
1973-02-01,124.4968421052631579
1973-03-01,119.5827272727272727
1973-04-01,112.9500000000000000
1973-05-01,106.3709090909090909
1973-06-01,101.7528571428571429
1973-07-01,104.6861904761904762
1973-08-01,104.3895652173913043
1973-09-01,107.6426315789473684
1973-10-01,112.3573913043478261
1973-11-01,101.2919047619047619
1973-12-01,90.7925000000000000
1974-01-01,94.2090909090909091
1974-02-01,92.2036842105263158
1974-03-01,94.9652380952380952
1974-04-01,89.5890476190476190
1974-05-01,83.3972727272727273
1974-06-01,81.0015000000000000
1974-07-01,72.4350000000000000
1974-08-01,66.5822727272727273
1974-09-01,58.6420000000000000
1974-10-01,60.5752173913043478
1974-11-01,63.9425000000000000
1974-12-01,59.1619047619047619
1975-01-01,64.4572727272727273
1975-02-01,72.0831578947368421
1975-03-01,75.0570000000000000
1975-04-01,76.9750000000000000
1975-05-01,81.8476190476190476
1975-06-01,84.6414285714285714
1975-07-01,85.6200000000000000
1975-08-01,78.4076190476190476
1975-09-01,75.9147619047619048
1975-10-01,77.2582608695652174
1975-11-01,78.0405263157894737
1975-12-01,75.9081818181818182
1976-01-01,83.3771428571428571
1976-02-01,89.3021052631578947
1976-03-01,90.2413043478260870
1976-04-01,90.1414285714285714
1976-05-01,89.2910000000000000
1976-06-01,88.7668181818181818
1976-07-01,91.4476190476190476
1976-08-01,90.8709090909090909
1976-09-01,91.4057142857142857
1976-10-01,89.5000000000000000
1976-11-01,89.5315000000000000
1976-12-01,94.5518181818181818
1977-01-01,96.8980952380952381
1977-02-01,96.0900000000000000
1977-03-01,95.7013043478260870
1977-04-01,95.0045000000000000
1977-05-01,96.9447619047619048
1977-06-01,97.8654545454545455
1977-07-01,101.3489473684210526
1977-08-01,100.5795652173913043
1977-09-01,100.4133333333333333
1977-10-01,99.2471428571428571
1977-11-01,100.6919047619047619
1977-12-01,103.7104761904761905
1978-01-01,100.7804761904761905
1978-02-01,102.4447368421052632
1978-03-01,104.0100000000000000
1978-04-01,110.7685000000000000
1978-05-01,119.0772727272727273
1978-06-01,122.0118181818181818
1978-07-01,122.1190000000000000
1978-08-01,132.5400000000000000
1978-09-01,135.2345000000000000
1978-10-01,127.6777272727272727
1978-11-01,114.1223809523809524
1978-12-01,117.2485000000000000
1979-01-01,123.7181818181818182
1979-02-01,124.5489473684210526
1979-03-01,128.0804545454545455
1979-04-01,133.4455000000000000
1979-05-01,131.3486363636363636
1979-06-01,135.6395238095238095
1979-07-01,138.5804761904761905
1979-08-01,146.6856521739130435
1979-09-01,149.2036842105263158
1979-10-01,140.5265217391304348
1979-11-01,138.7828571428571429
1979-12-01,148.7485000000000000
1980-01-01,155.1409090909090909
1980-02-01,161.6440000000000000
1980-03-01,141.1004761904761905
1980-04-01,136.2866666666666667
1980-05-01,145.6847619047619048
1980-06-01,155.4290476190476190
1980-07-01,166.9259090909090909
