DATE,EXTHUS
2000-12-01,43.246
2001-01-01,43.1486
2001-02-01,42.6653
2001-03-01,43.9878
2001-04-01,45.4938
2001-05-01,45.5245
2001-06-01,45.2633
2001-07-01,45.6414
2001-08-01,44.9074
2001-09-01,44.3311
2001-10-01,44.75
2001-11-01,44.4105
2001-12-01,43.9515
2002-01-01,44.0362
2002-02-01,43.8537
2002-03-01,43.4152
2002-04-01,43.4423
2002-05-01,42.8165
2002-06-01,42.16
2002-07-01,41.2569
2002-08-01,42.1927
2002-09-01,42.8933
2002-10-01,43.6405
2002-11-01,43.3526
2002-12-01,43.3181
2003-01-01,42.7733
2003-02-01,42.8966
2003-03-01,42.7829
2003-04-01,42.9286
2003-05-01,42.2171
2003-06-01,41.6752
2003-07-01,41.8077
2003-08-01,41.6564
2003-09-01,40.4829
2003-10-01,39.7605
2003-11-01,39.935
2003-12-01,39.745
2004-01-01,39.1241
2004-02-01,39.1158
2004-03-01,39.4696
2004-04-01,39.4527
2004-05-01,40.56
2004-06-01,40.8268
2004-07-01,40.9819
2004-08-01,41.5208
2004-09-01,41.4738
2004-10-01,41.2935
2004-11-01,40.2818
2004-12-01,39.1835
2005-01-01,38.7393
2005-02-01,38.4462
2005-03-01,38.5939
2005-04-01,39.5214
2005-05-01,39.8005
2005-06-01,40.9168
2005-07-01,41.6995
2005-08-01,41.1317
2005-09-01,41.0405
2005-10-01,40.895
2005-11-01,41.097
2005-12-01,41.0757
2006-01-01,39.5185
2006-02-01,39.3432
2006-03-01,38.947
2006-04-01,37.952
2006-05-01,37.9468
2006-06-01,38.3486
2006-07-01,37.969
2006-08-01,37.587
2006-09-01,37.427
2006-10-01,37.2814
2006-11-01,36.501
2006-12-01,35.694
2007-01-01,35.189
2007-02-01,33.8884
2007-03-01,32.6423
2007-04-01,32.421
2007-05-01,32.8177
2007-06-01,32.3176
2007-07-01,30.3867
2007-08-01,31.7961
2007-09-01,32.0565
2007-10-01,31.5248
2007-11-01,31.3476
2007-12-01,30.158
2008-01-01,30.3048
2008-02-01,31.174
2008-03-01,31.4043
2008-04-01,31.5582
2008-05-01,32.0262
2008-06-01,33.1752
2008-07-01,33.4705
2008-08-01,33.8195
2008-09-01,34.2381
2008-10-01,34.4209
2008-11-01,35.035
2008-12-01,35.0086
2009-01-01,34.871
2009-02-01,35.3089
2009-03-01,35.7368
2009-04-01,35.4036
2009-05-01,34.624
2009-06-01,34.1036
2009-07-01,34.0313
2009-08-01,34.0076
2009-09-01,33.7876
2009-10-01,33.39
2009-11-01,33.2621
2009-12-01,33.2045
2010-01-01,33.0274
2010-02-01,33.1221
2010-03-01,32.4913
2010-04-01,32.2686
2010-05-01,32.365
2010-06-01,32.4459
2010-07-01,32.2895
2010-08-01,31.7173
2010-09-01,30.7771
2010-10-01,29.9205
2010-11-01,29.869
2010-12-01,30.0857
2011-01-01,30.5455
2011-02-01,30.6953
2011-03-01,30.333
2011-04-01,30.0424
2011-05-01,30.221
2011-06-01,30.4995
2011-07-01,30.0475
2011-08-01,29.8735
2011-09-01,30.4571
2011-10-01,30.8395
2011-11-01,30.9315
2011-12-01,31.1743
2012-01-01,31.506
2012-02-01,30.685
2012-03-01,30.7036
2012-04-01,30.8614
2012-05-01,31.285
2012-06-01,31.6152
2012-07-01,31.6181
2012-08-01,31.397
