DATE,EXNOUS
1993-04-01,6.7738
1993-05-01,6.8027
1993-06-01,6.9986
1993-07-01,7.3179
1993-08-01,7.3579
1993-09-01,7.0829
1993-10-01,7.1755
1993-11-01,7.3882
1993-12-01,7.4211
1994-01-01,7.5064
1994-02-01,7.4885
1994-03-01,7.3419
1994-04-01,7.368
1994-05-01,7.1789
1994-06-01,7.0686
1994-07-01,6.856
1994-08-01,6.8644
1994-09-01,6.7961
1994-10-01,6.6166
1994-11-01,6.7297
1994-12-01,6.8561
1995-01-01,6.6968
1995-02-01,6.5974
1995-03-01,6.273
1995-04-01,6.205
1995-05-01,6.298
1995-06-01,6.2387
1995-07-01,6.171
1995-08-01,6.3438
1995-09-01,6.3943
1995-10-01,6.2397
1995-11-01,6.2536
1995-12-01,6.3579
1996-01-01,6.4275
1996-02-01,6.4103
1996-03-01,6.4277
1996-04-01,6.4901
1996-05-01,6.5748
1996-06-01,6.5376
1996-07-01,6.4465
1996-08-01,6.4153
1996-09-01,6.4613
1996-10-01,6.481
1996-11-01,6.3554
1996-12-01,6.4716
1997-01-01,6.4589
1997-02-01,6.6323
1997-03-01,6.7915
1997-04-01,6.9932
1997-05-01,7.0797
1997-06-01,7.224
1997-07-01,7.4545
1997-08-01,7.6224
1997-09-01,7.3008
1997-10-01,7.0807
1997-11-01,7.0588
1997-12-01,7.263
1998-01-01,7.5007
1998-02-01,7.553
1998-03-01,7.5833
1998-04-01,7.5315
1998-05-01,7.4539
1998-06-01,7.5785
1998-07-01,7.6246
1998-08-01,7.7248
1998-09-01,7.5564
1998-10-01,7.4294
1998-11-01,7.4562
1998-12-01,7.605
1999-01-01,7.4532
1999-02-01,7.724
1999-03-01,7.8151
1999-04-01,7.775
1999-05-01,7.7496
1999-06-01,7.8749
1999-07-01,7.9029
1999-08-01,7.8036
1999-09-01,7.8361
1999-10-01,7.7402
1999-11-01,7.9367
1999-12-01,8.0113
2000-01-01,8.0241
2000-02-01,8.2374
2000-03-01,8.41
2000-04-01,8.6272
2000-05-01,9.0533
2000-06-01,8.6807
2000-07-01,8.7185
