DATE,PISPPR01CAM661N
1998-11-01,48.49595867
1998-12-01,46.59611699
1999-01-01,48.095992
1999-02-01,47.796017
1999-03-01,49.99583368
1999-04-01,51.89567536
1999-05-01,52.59561703
1999-06-01,52.29564203
1999-07-01,54.29547538
1999-08-01,55.99533372
1999-09-01,58.09515874
1999-10-01,57.5952004
1999-11-01,59.39505041
1999-12-01,61.59486709
2000-01-01,62.09482543
2000-02-01,63.89467544
2000-03-01,65.09457545
2000-04-01,61.29489209
2000-05-01,64.89459212
2000-06-01,66.4944588
2000-07-01,65.49454212
2000-08-01,66.99441713
2000-09-01,69.39421715
2000-10-01,69.79418382
2000-11-01,71.29405883
2000-12-01,67.3943838
2001-01-01,68.49429214
2001-02-01,69.09424215
2001-03-01,68.89425881
2001-04-01,68.49429214
2001-05-01,68.69427548
2001-06-01,67.0944088
2001-07-01,65.89450879
2001-08-01,65.89450879
2001-09-01,63.89467544
2001-10-01,60.59495042
2001-11-01,58.69510874
2001-12-01,58.09515874
2002-01-01,59.29505875
2002-02-01,60.69494209
2002-03-01,63.99466711
2002-04-01,64.69460878
2002-05-01,65.49454212
2002-06-01,63.99466711
2002-07-01,65.19456712
2002-08-01,65.99450046
2002-09-01,67.79435047
2002-10-01,67.99433381
2002-11-01,65.79451712
2002-12-01,68.69427548
2003-01-01,72.39396717
2003-02-01,74.89375885
2003-03-01,71.89400883
2003-04-01,66.99441713
2003-05-01,64.99458378
2003-06-01,64.29464211
2003-07-01,62.99475044
2003-08-01,63.49470877
2003-09-01,61.99483376
2003-10-01,62.59478377
2003-11-01,63.59470044
2003-12-01,65.29455879
2004-01-01,67.3943838
2004-02-01,70.19415049
2004-03-01,73.19390051
2004-04-01,72.99391717
2004-05-01,74.99375052
2004-06-01,74.09382551
2004-07-01,75.19373386
2004-08-01,77.89350887
2004-09-01,77.59353387
2004-10-01,80.8932589
2004-11-01,76.5936172
2004-12-01,73.09390884
2005-01-01,76.69360887
2005-02-01,78.99341722
2005-03-01,83.79301725
2005-04-01,82.79310057
2005-05-01,80.09332556
2005-06-01,84.29297559
2005-07-01,85.59286726
2005-08-01,89.69252562
2005-09-01,89.39255062
2005-10-01,88.39263395
2005-11-01,87.19273394
2005-12-01,86.0928256
2006-01-01,90.19248396
2006-02-01,87.49270894
2006-03-01,88.39263395
2006-04-01,93.89217565
2006-05-01,100.1916507
2006-06-01,97.69185901
2006-07-01,102.9914174
2006-08-01,98.99175069
2006-09-01,93.59220065
2006-10-01,91.09240897
2006-11-01,91.2923923
2006-12-01,95.892009
2007-01-01,93.19223398
2007-02-01,96.29197567
2007-03-01,98.49179235
2007-04-01,101.9915007
2007-05-01,101.591534
2007-06-01,101.891509
2007-07-01,105.5912007
2007-08-01,102.491459
2007-09-01,101.6915257
2007-10-01,102.191484
2007-11-01,105.2912257
2007-12-01,106.1911507
2008-01-01,110.5907841
2008-02-01,111.5907008
2008-03-01,118.9900842
2008-04-01,125.4895425
2008-05-01,129.5892009
2008-06-01,135.3887176
2008-07-01,137.2885593
2008-08-01,126.8894259
2008-09-01,117.6901925
2008-10-01,101.891509
2008-11-01,87.79268394
2008-12-01,73.99383385
2009-01-01,74.79376719
2009-02-01,76.09365886
2009-03-01,85.59286726
2009-04-01,85.7928506
2009-05-01,87.39271727
2009-06-01,92.79226731
2009-07-01,89.49254229
2009-08-01,92.99225065
2009-09-01,91.8923423
2009-10-01,94.09215899
2009-11-01,96.39196734
2009-12-01,94.89209233
2010-01-01,97.89184235
2010-02-01,97.69185901
2010-03-01,99.09174235
2010-04-01,102.0914924
2010-05-01,95.892009
2010-06-01,94.69210899
2010-07-01,96.39196734
2010-08-01,98.89175902
2010-09-01,99.59170069
2010-10-01,102.5914507
2010-11-01,105.0912424
2010-12-01,110.0908258
2011-01-01,111.6906924
2011-02-01,115.6903591
2011-03-01,121.2898925
2011-04-01,128.0893259
2011-05-01,121.6898592
2011-06-01,121.2898925
2011-07-01,120.7899342
2011-08-01,117.9901675
2011-09-01,119.1900675
2011-10-01,117.8901758
2011-11-01,120.8899258
2011-12-01,117.5902008
2012-01-01,118.8900925
2012-02-01,120.3899675
2012-03-01,118.3901342
2012-04-01,115.9903341
2012-05-01,114.2904758
2012-06-01,109.2908924
2012-07-01,109.3908841
2012-08-01,113.8905091
2012-09-01,116.0903258
2012-10-01,115.8903425
2012-11-01,113.2905591
2012-12-01,110.1908174
2013-01-01,115.2903925
2013-02-01,117.6901925
2013-03-01,115.8903425
2013-04-01,113.1905675
2013-05-01,114.2904758
2013-06-01,113.8905091
2013-07-01,119.8900092
2013-08-01,120.8899258
2013-09-01,119.0900758
2013-10-01,115.1904008
2013-11-01,110.5907841
2013-12-01,112.6906091
2014-01-01,115.7903508
2014-02-01,122.5897842
2014-03-01,123.5897009
2014-04-01,123.6896925
2014-05-01,123.2897259
2014-06-01,124.5896175
2014-07-01,122.8897592
2014-08-01,119.9900008
2014-09-01,117.4902091
2014-10-01,112.5906174
2014-11-01,106.0911591
2014-12-01,98.09182568
2015-01-01,90.39246729
2015-02-01,95.892009
2015-03-01,94.69210899
2015-04-01,98.39180068
2015-05-01,102.791434
2015-06-01,103.091409
2015-07-01,96.89192567
2015-08-01,90.39246729
2015-09-01,92.59228398
2015-10-01,92.39230064
2015-11-01,88.29264228
2015-12-01,83.79301725
2016-01-01,81.1932339
2016-02-01,81.69319223
2016-03-01,85.39288393
2016-04-01,86.0928256
2016-05-01,92.09232564
2016-06-01,93.99216732
2016-07-01,91.49237564
2016-08-01,90.79243396
2016-09-01,90.6924423
2016-10-01,93.79218398
2016-11-01,92.39230064
2016-12-01,98.19181735
2017-01-01,99.99166736
2017-02-01,101.4915424
2017-03-01,99.79168403
2017-04-01,101.591534
2017-05-01,99.79168403
2017-06-01,96.191984
2017-07-01,95.39205066
2017-08-01,96.29197567
2017-09-01,96.09199233
2017-10-01,99.69169236
2017-11-01,105.1912341
2017-12-01,104.2913091
2018-01-01,107.8910091
2018-02-01,107.4910424
2018-03-01,109.7908508
2018-04-01,110.6907758
2018-05-01,114.8904258
