DATE,LFEAINTTCAM647N
2000-02-01,2435700
2000-03-01,2446400
2000-04-01,2477300
2000-05-01,2540500
2000-06-01,2565400
2000-07-01,2566000
2000-08-01,2584100
2000-09-01,2537900
2000-10-01,2553900
2000-11-01,2535100
2000-12-01,2527000
2001-01-01,2480500
2001-02-01,2467500
2001-03-01,2484800
2001-04-01,2490500
2001-05-01,2541400
2001-06-01,2569700
2001-07-01,2590700
2001-08-01,2610800
2001-09-01,2546800
2001-10-01,2533000
2001-11-01,2481600
2001-12-01,2457600
2002-01-01,2439300
2002-02-01,2481500
2002-03-01,2516100
2002-04-01,2521700
2002-05-01,2589600
2002-06-01,2647100
2002-07-01,2675400
2002-08-01,2714900
2002-09-01,2648900
2002-10-01,2623100
2002-11-01,2631200
2002-12-01,2585100
2003-01-01,2535600
2003-02-01,2560000
2003-03-01,2539300
2003-04-01,2546000
2003-05-01,2600800
2003-06-01,2629500
2003-07-01,2659200
2003-08-01,2661400
2003-09-01,2583900
2003-10-01,2582500
2003-11-01,2581600
2003-12-01,2542700
2004-01-01,2520100
2004-02-01,2546400
2004-03-01,2569400
2004-04-01,2591100
2004-05-01,2643400
2004-06-01,2674600
2004-07-01,2702700
2004-08-01,2706900
2004-09-01,2645200
2004-10-01,2635500
2004-11-01,2597100
2004-12-01,2558200
2005-01-01,2539500
2005-02-01,2518700
2005-03-01,2524300
2005-04-01,2512100
2005-05-01,2554100
2005-06-01,2606700
2005-07-01,2606500
2005-08-01,2614800
2005-09-01,2539200
2005-10-01,2511900
2005-11-01,2492400
2005-12-01,2462000
2006-01-01,2382300
2006-02-01,2407600
2006-03-01,2409300
2006-04-01,2448100
2006-05-01,2503700
2006-06-01,2542200
2006-07-01,2529200
2006-08-01,2532400
2006-09-01,2483700
2006-10-01,2473100
2006-11-01,2469500
2006-12-01,2447800
2007-01-01,2420000
2007-02-01,2405000
2007-03-01,2409600
2007-04-01,2391400
2007-05-01,2442100
2007-06-01,2456400
2007-07-01,2488300
2007-08-01,2499900
2007-09-01,2431500
2007-10-01,2414900
2007-11-01,2379700
2007-12-01,2331500
2008-01-01,2295800
2008-02-01,2291500
2008-03-01,2294000
2008-04-01,2310700
2008-05-01,2375900
2008-06-01,2412000
2008-07-01,2403800
2008-08-01,2419100
2008-09-01,2358500
2008-10-01,2341500
2008-11-01,2296400
2008-12-01,2272000
2009-01-01,2143500
2009-02-01,2117900
2009-03-01,2119100
2009-04-01,2110300
2009-05-01,2132100
2009-06-01,2143100
2009-07-01,2153500
2009-08-01,2177600
2009-09-01,2151400
2009-10-01,2142300
2009-11-01,2130100
2009-12-01,2102300
2010-01-01,2061500
2010-02-01,2079800
2010-03-01,2054400
2010-04-01,2056300
2010-05-01,2109300
2010-06-01,2146100
2010-07-01,2157400
2010-08-01,2151400
2010-09-01,2117700
2010-10-01,2108400
2010-11-01,2096500
2010-12-01,2111300
2011-01-01,2086900
2011-02-01,2107500
2011-03-01,2107500
2011-04-01,2124700
2011-05-01,2171300
2011-06-01,2180000
2011-07-01,2175800
2011-08-01,2169800
2011-09-01,2124600
2011-10-01,2107000
2011-11-01,2107200
2011-12-01,2111000
2012-01-01,2089100
2012-02-01,2105900
2012-03-01,2124000
2012-04-01,2137900
2012-05-01,2189800
2012-06-01,2228200
2012-07-01,2245700
2012-08-01,2262300
2012-09-01,2209300
2012-10-01,2196300
2012-11-01,2176600
2012-12-01,2151500
2013-01-01,2115700
2013-02-01,2127600
2013-03-01,2118200
2013-04-01,2125900
2013-05-01,2163000
2013-06-01,2174500
2013-07-01,2202700
2013-08-01,2209400
2013-09-01,2170300
2013-10-01,2163500
2013-11-01,2171400
2013-12-01,2158600
2014-01-01,2121000
2014-02-01,2140500
2014-03-01,2123500
2014-04-01,2136800
2014-05-01,2155500
2014-06-01,2190300
2014-07-01,2205400
2014-08-01,2187500
2014-09-01,2157300
2014-10-01,2160200
2014-11-01,2153300
2014-12-01,2134100
2015-01-01,2101600
2015-02-01,2075400
2015-03-01,2075100
2015-04-01,2097900
2015-05-01,2162500
2015-06-01,2186500
2015-07-01,2193900
2015-08-01,2200500
2015-09-01,2147200
2015-10-01,2140900
2015-11-01,2148900
2015-12-01,2141800
2016-01-01,2104200
2016-02-01,2107800
2016-03-01,2073100
2016-04-01,2062400
2016-05-01,2098500
2016-06-01,2106600
2016-07-01,2118100
2016-08-01,2131600
2016-09-01,2103600
2016-10-01,2096200
2016-11-01,2077300
2016-12-01,2070300
2017-01-01,2036400
2017-02-01,2041500
2017-03-01,2054200
2017-04-01,2069300
2017-05-01,2139400
2017-06-01,2157900
2017-07-01,2187300
2017-08-01,2178400
2017-09-01,2138600
2017-10-01,2146500
2017-11-01,2156400
2017-12-01,2154300
2018-01-01,2124300
2018-02-01,2116800
2018-03-01,2106000
2018-04-01,2110500
2018-05-01,2148500
2018-06-01,2191600
