DATE,BAMLCC2A035YTRIV
1976-04-01,103.89
1976-05-01,103.89
1976-06-01,105.67
1976-07-01,105.67
1976-08-01,105.67
1976-09-01,109.51
1976-10-01,109.51
1976-11-01,109.51
1976-12-01,114.05
1977-01-01,114.05
1977-02-01,114.05
1977-03-01,114.8
1977-04-01,114.8
1977-05-01,114.8
1977-06-01,117.46
1977-07-01,118.19
1977-08-01,118.71
1977-09-01,118.99
1977-10-01,118.95
1977-11-01,119.73
1977-12-01,120.03
1978-01-01,120.2
1978-02-01,120.94
1978-03-01,121.6
1978-04-01,121.87
1978-05-01,121.86
1978-06-01,122.01
1978-07-01,122.96
1978-08-01,124.39
1978-09-01,124.6
1978-10-01,123.41
1978-11-01,124.13
1978-12-01,122.97
1979-01-01,125.33
1979-02-01,125.51
1979-03-01,126.5
1979-04-01,127.32
1979-05-01,128.89
1979-06-01,130.69
1979-07-01,131.17
1979-08-01,131.56
1979-09-01,130.53
1979-10-01,125.35
1979-11-01,133.68
1979-12-01,127.54
1980-01-01,126.66
1980-02-01,121.45
1980-03-01,121.42
1980-04-01,130.64
1980-05-01,137.46
1980-06-01,140.75
1980-07-01,139.89
1980-08-01,134.42
1980-09-01,134.41
1980-10-01,133.15
1980-11-01,133.37
1980-12-01,136.34
1981-01-01,136.42
1981-02-01,135.26
1981-03-01,137.81
1981-04-01,135.5
1981-05-01,137.98
1981-06-01,139.57
1981-07-01,137.88
1981-08-01,135.86
1981-09-01,137.01
1981-10-01,142.1
1981-11-01,152.68
1981-12-01,148.91
1982-01-01,150.08
1982-02-01,152.68
1982-03-01,154.28
1982-04-01,157.99
1982-05-01,160.51
1982-06-01,158.82
1982-07-01,164.57
1982-08-01,170.2
1982-09-01,176.52
1982-10-01,184.62
1982-11-01,187.45
1982-12-01,190.26
1983-01-01,192.7
1983-02-01,197.04
1983-03-01,197.49
1983-04-01,201.88
1983-05-01,201.18
1983-06-01,201.2
1983-07-01,198.98
1983-08-01,200.85
1983-09-01,204.75
1983-10-01,206.71
1983-11-01,209.03
1983-12-01,210.06
1984-01-01,213.81
1984-02-01,213.11
1984-03-01,214.5
