DATE,RU3000GTR
2006-06-01,2187.637727
2006-07-01,2159.613
2006-08-01,2188.448261
2006-09-01,2264.013
2006-10-01,2351.697727
2006-11-01,2404.132857
2006-12-01,2443.4115
2007-01-01,2469.7605
2007-02-01,2511.341053
2007-03-01,2446.348636
2007-04-01,2547.8035
2007-05-01,2625.117273
2007-06-01,2647.285238
2007-07-01,2685.583333
2007-08-01,2580.294348
2007-09-01,2671.383158
2007-10-01,2784.255217
2007-11-01,2689.474286
2007-12-01,2726.495
2008-01-01,2522.283333
2008-02-01,2477.423
2008-03-01,2416.8445
2008-04-01,2526.194091
2008-05-01,2619.422857
2008-06-01,2573.73619
2008-07-01,2415.784545
2008-08-01,2457.95
2008-09-01,2290.56619
2008-10-01,1781.827391
2008-11-01,1618.823158
2008-12-01,1608.418182
2009-01-01,1639.714
2009-02-01,1581.062632
2009-03-01,1512.192273
2009-04-01,1692.409524
2009-05-01,1791.8315
2009-06-01,1870.225455
2009-07-01,1901.322727
2009-08-01,2018.887619
2009-09-01,2093.664762
2009-10-01,2144.629091
2009-11-01,2197.4115
2009-12-01,2262.178636
2010-01-01,2291.549474
2010-02-01,2229.651579
2010-03-01,2365.492609
2010-04-01,2451.056667
2010-05-01,2312.6025
2010-06-01,2236.449091
2010-07-01,2223.967143
2010-08-01,2241.269545
2010-09-01,2330.504762
2010-10-01,2468.106667
2010-11-01,2559.997143
2010-12-01,2666.979091
2011-01-01,2743.668
2011-02-01,2838.298947
2011-03-01,2799.043913
2011-04-01,2878.352
2011-05-01,2898.789048
2011-06-01,2790.815455
2011-07-01,2914.0995
2011-08-01,2599.926957
2011-09-01,2593.868571
2011-10-01,2655.660952
2011-11-01,2711.001905
2011-12-01,2732.336667
2012-01-01,2856.686
2012-02-01,3017.321
2012-03-01,3103.803636
2012-04-01,3112.338
2012-05-01,3009.254545
2012-06-01,2950.049524
2012-07-01,3024.156667
2012-08-01,3118.853478
2012-09-01,3216.457368
2012-10-01,3170.983043
2012-11-01,3093.894286
2012-12-01,3156.0995
2013-01-01,3281.001429
2013-02-01,3338.805789
2013-03-01,3428.578
2013-04-01,3470.717727
2013-05-01,3641.642273
2013-06-01,3583.606
2013-07-01,3703.827727
2013-08-01,3742.982273
2013-09-01,3833.5705
2013-10-01,3933.788696
2013-11-01,4067.0845
2013-12-01,4144.510476
2014-01-01,4203.630476
2014-02-01,4226.224737
2014-03-01,4325.355238
2014-04-01,4252.351429
2014-05-01,4308.811429
2014-06-01,4458.771429
2014-07-01,4514.808182
2014-08-01,4516.088571
2014-09-01,4595.063333
2014-10-01,4468.113478
2014-11-01,4736.560526
2014-12-01,4763.339545
2015-01-01,4733.348
2015-02-01,4925.687368
2015-03-01,4988.389545
2015-04-01,5037.36381
2015-05-01,5064.532
2015-06-01,5061.805909
2015-07-01,5093.576364
2015-08-01,4984.027619
2015-09-01,4793.762381
2015-10-01,4931.512273
2015-11-01,5094.3135
2015-12-01,5053.475909
2016-01-01,4696.41
2016-02-01,4624.191
2016-03-01,4919.492727
2016-04-01,5070.92
2016-05-01,5011.835238
2016-06-01,5064.92
2016-07-01,5237.883
2016-08-01,5340.122174
2016-09-01,5299.396667
2016-10-01,5255.871905
2016-11-01,5269.075238
2016-12-01,5417.12381
2017-01-01,5537.2385
2017-02-01,5711.612105
2017-03-01,5834.93087
2017-04-01,5873.216316
2017-05-01,6051.08
