DATE,TWEXOPA
1994-02-01,103.855
1994-03-01,104.48
1994-04-01,103.87
1994-05-01,103.044
1994-06-01,103.204
1994-07-01,102.961
1994-08-01,101.36
1994-09-01,100.288
1994-10-01,99.933
1994-11-01,99.333
1994-12-01,101.271
1995-01-01,105.947
1995-02-01,105.291
1995-03-01,107.385
1995-04-01,103.062
1995-05-01,100.694
1995-06-01,100.561
1995-07-01,99.892
1995-08-01,100.248
1995-09-01,100.111
1995-10-01,100.792
1995-11-01,102.595
1995-12-01,102.214
1996-01-01,101.353
1996-02-01,100.469
1996-03-01,100.353
1996-04-01,99.188
1996-05-01,99.032
1996-06-01,99.375
1996-07-01,99.653
1996-08-01,98.586
1996-09-01,98.333
1996-10-01,98.9
1996-11-01,99.12
1996-12-01,98.472
1997-01-01,97.869
1997-02-01,97.534
1997-03-01,98.319
1997-04-01,97.928
1997-05-01,97.648
1997-06-01,97.361
1997-07-01,98.493
1997-08-01,99.469
1997-09-01,100.585
1997-10-01,102.981
1997-11-01,105.767
1997-12-01,111.437
1998-01-01,116.857
1998-02-01,113.519
1998-03-01,111.759
1998-04-01,109.975
1998-05-01,111.424
1998-06-01,114.329
1998-07-01,113.921
1998-08-01,115.496
1998-09-01,117.096
1998-10-01,114.782
1998-11-01,112.625
1998-12-01,111.488
1999-01-01,112.766
1999-02-01,113.706
1999-03-01,113.529
1999-04-01,112.406
1999-05-01,111.535
1999-06-01,111.315
1999-07-01,111.195
1999-08-01,111.754
1999-09-01,112.367
1999-10-01,112.637
1999-11-01,111.638
1999-12-01,111.096
2000-01-01,110.867
2000-02-01,110.687
2000-03-01,110.749
2000-04-01,111.009
2000-05-01,111.971
2000-06-01,113.204
2000-07-01,112.417
2000-08-01,111.476
2000-09-01,112.226
2000-10-01,113.547
2000-11-01,114.024
2000-12-01,114.546
2001-01-01,116.288
2001-02-01,116.207
2001-03-01,116.624
2001-04-01,116.833
2001-05-01,116.652
2001-06-01,117.001
2001-07-01,117.327
2001-08-01,116.064
2001-09-01,117.683
2001-10-01,117.595
2001-11-01,116.655
2001-12-01,116.175
2002-01-01,117.045
2002-02-01,117.247
2002-03-01,117.076
2002-04-01,117.404
2002-05-01,117.751
2002-06-01,118.197
2002-07-01,117.991
2002-08-01,118.955
2002-09-01,120.528
2002-10-01,121.809
2002-11-01,120.961
2002-12-01,120.844
2003-01-01,121.451
2003-02-01,122.983
2003-03-01,122.778
2003-04-01,120.545
2003-05-01,118.495
2003-06-01,118.886
2003-07-01,119.003
2003-08-01,120.333
2003-09-01,120.183
2003-10-01,119.877
2003-11-01,119.477
2003-12-01,119.525
2004-01-01,118.202
2004-02-01,118.693
2004-03-01,118.486
2004-04-01,118.451
2004-05-01,120.326
2004-06-01,120.106
2004-07-01,119.789
2004-08-01,119.29
2004-09-01,119.036
2004-10-01,118.9
2004-11-01,118.135
2004-12-01,116.666
2005-01-01,116.261
2005-02-01,115.4
2005-03-01,115.664
2005-04-01,115.675
2005-05-01,114.677
2005-06-01,114.607
2005-07-01,114.624
2005-08-01,114.262
2005-09-01,115.99
2005-10-01,116.139
2005-11-01,114.965
2005-12-01,114.274
2006-01-01,113.211
2006-02-01,112.563
2006-03-01,112.969
2006-04-01,113.093
2006-05-01,112.901
2006-06-01,114.422
2006-07-01,113.757
2006-08-01,113.466
2006-09-01,112.551
2006-10-01,111.391
2006-11-01,110.493
2006-12-01,109.585
2007-01-01,109.799
2007-02-01,109.569
2007-03-01,109.812
2007-04-01,108.939
2007-05-01,107.967
2007-06-01,107.417
2007-07-01,106.117
2007-08-01,106.534
2007-09-01,106.017
2007-10-01,104.242
2007-11-01,103.88
2007-12-01,103.334
2008-01-01,102.458
2008-02-01,100.639
2008-03-01,99.781
2008-04-01,98.588
2008-05-01,99.013
2008-06-01,98.816
2008-07-01,98.334
2008-08-01,98.955
2008-09-01,101.76
2008-10-01,107.306
2008-11-01,107.646
2008-12-01,107.502
2009-01-01,108.342
2009-02-01,111.369
2009-03-01,111.133
2009-04-01,107.598
2009-05-01,105.611
2009-06-01,105.978
2009-07-01,105.686
2009-08-01,104.765
2009-09-01,104.737
2009-10-01,103.526
2009-11-01,103.093
2009-12-01,102.536
2010-01-01,102.11
2010-02-01,102.469
2010-03-01,100.994
2010-04-01,99.576
2010-05-01,100.929
2010-06-01,101.175
2010-07-01,100.59
2010-08-01,99.778
2010-09-01,98.82
2010-10-01,96.806
2010-11-01,96.328
2010-12-01,96.538
2011-01-01,95.256
2011-02-01,94.869
2011-03-01,94.637
2011-04-01,93.242
2011-05-01,93.035
2011-06-01,92.654
2011-07-01,91.852
2011-08-01,92.867
2011-09-01,95.582
2011-10-01,96.421
2011-11-01,96.745
2011-12-01,97.076
2012-01-01,95.636
2012-02-01,94.131
2012-03-01,94.183
2012-04-01,94.768
2012-05-01,96.118
2012-06-01,97.157
2012-07-01,95.966
2012-08-01,95.571
2012-09-01,94.775
2012-10-01,94.16
2012-11-01,93.983
2012-12-01,93.125
2013-01-01,92.435
2013-02-01,92.951
2013-03-01,92.418
2013-04-01,91.334
2013-05-01,91.292
2013-06-01,93.148
2013-07-01,93.115
2013-08-01,93.744
2013-09-01,93.328
2013-10-01,92.297
2013-11-01,92.68
2013-12-01,92.858
2014-01-01,93.453
2014-02-01,93.915
2014-03-01,93.969
2014-04-01,93.582
2014-05-01,92.937
2014-06-01,92.896
2014-07-01,92.513
2014-08-01,92.673
2014-09-01,93.064
2014-10-01,93.795
2014-11-01,94.609
2014-12-01,96.849
2015-01-01,97.16
2015-02-01,97.921
2015-03-01,98.817
2015-04-01,97.682
2015-05-01,97.862
2015-06-01,98.717
2015-07-01,99.966
2015-08-01,102.795
2015-09-01,104.018
2015-10-01,102.681
2015-11-01,103.058
2015-12-01,104.382
2016-01-01,107.456
2016-02-01,106.799
2016-03-01,104.394
2016-04-01,103.415
2016-05-01,105.101
2016-06-01,105.921
2016-07-01,105.725
2016-08-01,105.037
2016-09-01,106.119
2016-10-01,106.249
2016-11-01,109.023
2016-12-01,110.589
2017-01-01,111.007
2017-02-01,108.908
2017-03-01,107.114
2017-04-01,105.959
2017-05-01,105.531
2017-06-01,104.203
2017-07-01,103.44
2017-08-01,102.654
2017-09-01,102.178
2017-10-01,103.696
2017-11-01,103.656
2017-12-01,103.46
2018-01-01,101.773
2018-02-01,102.829
2018-03-01,102.878
2018-04-01,102.715
