DATE,CANCPICORMINMEI
1961-01-01,14.2802791581592
1961-02-01,14.2802791581592
1961-03-01,14.2802791581592
1961-04-01,14.2802791581592
1961-05-01,14.3159882000212
1961-06-01,14.311392523271
1961-07-01,14.275683481409
1961-08-01,14.2668442519551
1961-09-01,14.3071489705673
1961-10-01,14.2937140643632
1961-11-01,14.2937140643632
1961-12-01,14.297957617067
1962-01-01,14.2668442519551
1962-02-01,14.2668442519551
1962-03-01,14.2802791581592
1962-04-01,14.3728585503692
1962-05-01,14.3997283627773
1962-06-01,14.4834685255334
1962-07-01,14.4565987131252
1962-08-01,14.5537737820854
1962-09-01,14.4700336193293
1962-10-01,14.5760479177434
1962-11-01,14.5760479177434
1962-12-01,14.5760479177434
1963-01-01,14.5580173347891
1963-02-01,14.5357431991312
1963-03-01,14.5580173347891
1963-04-01,14.5491781053352
1963-05-01,14.5626130115393
1963-06-01,14.5357431991312
1963-07-01,14.7431761192091
1963-08-01,14.8226727292615
1963-09-01,14.7389325665054
1963-10-01,14.7658023789135
1963-11-01,14.8629774478737
1963-12-01,14.8629774478737
1964-01-01,14.8629774478737
1964-02-01,14.8629774478737
1964-03-01,14.8541382184198
1964-04-01,14.964748193584
1964-05-01,14.964748193584
1964-06-01,14.9378783811759
1964-07-01,14.9947487315238
1964-08-01,15.0081836377279
1964-09-01,15.0484883563401
1964-10-01,15.0976323044062
1964-11-01,15.0841973982021
1964-12-01,15.1679375609582
1965-01-01,15.1725332377084
1965-02-01,15.1590983315043
1965-03-01,15.1679375609582
1965-04-01,15.2785475361224
1965-05-01,15.2428384942604
1965-06-01,15.4103188197726
1965-07-01,15.3788533306143
1965-08-01,15.4191580492265
1965-09-01,15.4371886321807
1965-10-01,15.4506235383848
1965-11-01,15.5209287949368
1965-12-01,15.5912340514889
1966-01-01,15.5912340514889
1966-02-01,15.6749742142449
1966-03-01,15.745279470797
1966-04-01,15.8470502165073
1966-05-01,15.8470502165073
1966-06-01,15.9442252854675
1966-07-01,15.9442252854675
1966-08-01,15.9876607296114
1966-09-01,16.0279654482236
1966-10-01,16.0459960311778
1966-11-01,16.0594309373819
1966-12-01,16.1700409125461
1967-01-01,16.1700409125461
1967-02-01,16.1969107249542
1967-03-01,16.3121163768686
1967-04-01,16.3962086636711
1967-05-01,16.4979794093814
1967-06-01,16.5817195721375
1967-07-01,16.6251550162815
1967-08-01,16.7042995022874
1967-09-01,16.7580391271036
1967-10-01,16.7849089395118
1967-11-01,16.7714740333077
1967-12-01,16.8686491022679
1968-01-01,16.930115129366
1968-02-01,16.9435500355701
1968-03-01,17.0721905936885
1968-04-01,17.0364815518265
1968-05-01,17.0545121347807
1968-06-01,17.1516872037409
1968-07-01,17.3326024354571
1968-08-01,17.3940684625553
1968-09-01,17.4075033687593
1968-10-01,17.4343731811675
1968-11-01,17.6287233190878
1968-12-01,17.6018535066796
1969-01-01,17.5930142772258
1969-02-01,17.6198840896339
1969-03-01,17.7304940647981
1969-04-01,18.0354541778826
1969-05-01,18.0354541778826
1969-06-01,18.0788896220265
1969-07-01,18.1894995971908
1969-08-01,18.2375307180848
1969-09-01,18.2824311134472
1969-10-01,18.3093009258553
1969-11-01,18.2824311134472
1969-12-01,18.4902161575716
1970-01-01,18.6008261327358
1970-02-01,18.5605214141236
1970-03-01,18.56087353817
1970-04-01,18.6311787947221
1970-05-01,18.6849184195383
1970-06-01,18.6580486071302
1970-07-01,18.8658336512546
1970-08-01,18.8523987450505
1970-09-01,18.8089633009066
1970-10-01,18.8358331133147
1970-11-01,18.867298602473
1970-12-01,18.7835584397169
1971-01-01,18.8718942792232
1971-02-01,18.9602301187295
1971-03-01,18.9467952125254
1971-04-01,19.0923535264261
1971-05-01,19.078918620222
1971-06-01,19.1895285953862
1971-07-01,19.3435740146944
1971-08-01,19.4976194340025
1971-09-01,19.4407490836545
1971-10-01,19.5647939650228
1971-11-01,19.5559547355689
1971-12-01,19.6262599921209
1972-01-01,19.7011609254231
1972-02-01,19.7849010881792
1972-03-01,19.9135416462977
1972-04-01,19.9972818090538
1972-05-01,20.0241516214619
1972-06-01,20.0241516214619
1972-07-01,20.235067391118
1972-08-01,20.3756779042221
1972-09-01,20.4862878793863
1972-10-01,20.5131576917944
1972-11-01,20.5131576917944
1972-12-01,20.5968978545505
1973-01-01,20.7155863560431
1973-02-01,20.8653882226475
1973-03-01,20.8653882226475
1973-04-01,21.1166087109158
1973-05-01,21.1826704147641
1973-06-01,21.3190373751644
1973-07-01,21.566014310729
1973-08-01,21.7550080687736
1973-09-01,21.8433439082798
1973-10-01,21.9497103307403
1973-11-01,22.1263820097528
1973-12-01,22.1927958376476
1974-01-01,22.3602761631598
1974-02-01,22.5008866762639
1974-03-01,22.7789769769403
1974-04-01,23.0001969272687
1974-05-01,23.3573752589184
1974-06-01,23.4940943433652
1974-07-01,23.6750095750814
1974-08-01,23.9530998757578
1974-09-01,24.1743198260863
1974-10-01,24.4524101267627
1974-11-01,24.6333253584789
1974-12-01,24.8891415234974
1975-01-01,24.8626238351357
1975-02-01,25.1541490420162
1975-03-01,25.2428370055689
1975-04-01,25.4417828202394
1975-05-01,25.724468797666
1975-06-01,25.8950798487099
1975-07-01,26.1151305168336
1975-08-01,26.3801380353524
1975-09-01,26.4956958113132
1975-10-01,26.7034808554376
1975-11-01,26.9730840507066
1975-12-01,27.0974810561213
1976-01-01,27.186169019674
1976-02-01,27.4165803235028
1976-03-01,27.5586557878253
1976-04-01,27.6961355753976
1976-05-01,27.8413417652519
1976-06-01,28.0314483504685
