DATE,LFEASETTCAM647N
1991-02-01,9180500
1991-03-01,9198100
1991-04-01,9249200
1991-05-01,9370900
1991-06-01,9492800
1991-07-01,9542900
1991-08-01,9522000
1991-09-01,9319000
1991-10-01,9381600
1991-11-01,9331300
1991-12-01,9329700
1992-01-01,9178700
1992-02-01,9217400
1992-03-01,9224900
1992-04-01,9229300
1992-05-01,9375800
1992-06-01,9493900
1992-07-01,9512200
1992-08-01,9466000
1992-09-01,9310800
1992-10-01,9377300
1992-11-01,9338700
1992-12-01,9358600
1993-01-01,9232000
1993-02-01,9293000
1993-03-01,9323300
1993-04-01,9321200
1993-05-01,9472500
1993-06-01,9626200
1993-07-01,9632100
1993-08-01,9630500
1993-09-01,9520000
1993-10-01,9525700
1993-11-01,9515200
1993-12-01,9519100
1994-01-01,9380400
1994-02-01,9466400
1994-03-01,9479200
1994-04-01,9461500
1994-05-01,9680700
1994-06-01,9808900
1994-07-01,9855600
1994-08-01,9849500
1994-09-01,9716500
1994-10-01,9729700
1994-11-01,9755300
1994-12-01,9750700
1995-01-01,9627900
1995-02-01,9657400
1995-03-01,9693100
1995-04-01,9677800
1995-05-01,9838900
1995-06-01,9977100
1995-07-01,10001200
1995-08-01,9997300
1995-09-01,9855500
1995-10-01,9887100
1995-11-01,9836800
1995-12-01,9882700
1996-01-01,9764700
1996-02-01,9822900
1996-03-01,9827900
1996-04-01,9857200
1996-05-01,10034400
1996-06-01,10121600
1996-07-01,10148500
1996-08-01,10110800
1996-09-01,9913300
1996-10-01,9920500
1996-11-01,9914900
1996-12-01,9955200
1997-01-01,9826400
1997-02-01,9882400
1997-03-01,9931000
1997-04-01,9953500
1997-05-01,10161000
1997-06-01,10319500
1997-07-01,10334600
1997-08-01,10354200
1997-09-01,10199300
1997-10-01,10219900
1997-11-01,10208400
1997-12-01,10232400
1998-01-01,10055300
1998-02-01,10141900
1998-03-01,10180900
1998-04-01,10227000
1998-05-01,10398800
1998-06-01,10542100
1998-07-01,10569000
1998-08-01,10550700
1998-09-01,10450300
1998-10-01,10463200
1998-11-01,10475000
1998-12-01,10500800
1999-01-01,10392600
1999-02-01,10441400
1999-03-01,10464600
1999-04-01,10526400
1999-05-01,10710400
1999-06-01,10832000
1999-07-01,10860800
1999-08-01,10835000
1999-09-01,10702800
1999-10-01,10725800
1999-11-01,10728600
1999-12-01,10794200
2000-01-01,10635900
2000-02-01,10730800
2000-03-01,10769200
2000-04-01,10797200
2000-05-01,11000300
2000-06-01,11112900
2000-07-01,11118500
2000-08-01,11104200
2000-09-01,10986600
2000-10-01,11032800
2000-11-01,11036400
2000-12-01,11082200
2001-01-01,10911100
2001-02-01,10959900
2001-03-01,10982100
2001-04-01,11041600
2001-05-01,11254700
2001-06-01,11329700
2001-07-01,11339400
2001-08-01,11307900
2001-09-01,11173600
2001-10-01,11213400
2001-11-01,11243500
2001-12-01,11234200
2002-01-01,11108300
2002-02-01,11134400
2002-03-01,11192400
2002-04-01,11272900
2002-05-01,11464600
2002-06-01,11584200
2002-07-01,11587600
2002-08-01,11597100
2002-09-01,11455700
2002-10-01,11490800
2002-11-01,11512800
2002-12-01,11584900
2003-01-01,11438500
2003-02-01,11527600
2003-03-01,11576800
2003-04-01,11602900
2003-05-01,11758500
2003-06-01,11928200
2003-07-01,11868800
2003-08-01,11829100
2003-09-01,11736700
2003-10-01,11818800
2003-11-01,11826300
2003-12-01,11884200
2004-01-01,11709000
2004-02-01,11754300
2004-03-01,11737100
2004-04-01,11799600
2004-05-01,11982200
2004-06-01,12125100
2004-07-01,12066600
2004-08-01,12010300
2004-09-01,11934500
2004-10-01,11970100
2004-11-01,11992200
2004-12-01,12016900
2005-01-01,11834800
2005-02-01,11946700
2005-03-01,11925300
2005-04-01,11974800
2005-05-01,12205200
2005-06-01,12271200
2005-07-01,12286100
2005-08-01,12229900
2005-09-01,12113100
2005-10-01,12213500
2005-11-01,12227500
2005-12-01,12246200
2006-01-01,12134500
2006-02-01,12182900
2006-03-01,12229700
2006-04-01,12234500
2006-05-01,12544600
2006-06-01,12649200
2006-07-01,12602400
2006-08-01,12552000
2006-09-01,12425400
2006-10-01,12497600
2006-11-01,12494100
2006-12-01,12555300
2007-01-01,12449700
2007-02-01,12545500
2007-03-01,12615100
2007-04-01,12639100
2007-05-01,12841000
2007-06-01,13008600
2007-07-01,12955800
2007-08-01,12887100
2007-09-01,12810500
2007-10-01,12932400
2007-11-01,12950800
2007-12-01,12970800
2008-01-01,12828500
2008-02-01,12916500
2008-03-01,12918500
2008-04-01,12932100
2008-05-01,13112200
2008-06-01,13239600
2008-07-01,13139900
2008-08-01,13097100
2008-09-01,13018500
2008-10-01,13103800
2008-11-01,13025500
2008-12-01,13024200
2009-01-01,12847400
2009-02-01,12894000
2009-03-01,12857600
2009-04-01,12905400
2009-05-01,13094300
2009-06-01,13225000
2009-07-01,13110400
2009-08-01,13065300
2009-09-01,12954000
2009-10-01,12989700
2009-11-01,13075300
2009-12-01,13071800
2010-01-01,12967800
2010-02-01,13031000
2010-03-01,13020200
2010-04-01,13137800
2010-05-01,13304600
2010-06-01,13513600
2010-07-01,13399300
2010-08-01,13368700
2010-09-01,13241600
2010-10-01,13273800
2010-11-01,13296700
2010-12-01,13316000
2011-01-01,13198700
2011-02-01,13236600
2011-03-01,13223000
2011-04-01,13307400
2011-05-01,13512800
2011-06-01,13660000
2011-07-01,13565400
2011-08-01,13549900
2011-09-01,13458500
2011-10-01,13447600
2011-11-01,13429000
2011-12-01,13448600
2012-01-01,13296400
2012-02-01,13329400
2012-03-01,13393100
2012-04-01,13510500
2012-05-01,13673900
2012-06-01,13795200
2012-07-01,13631500
2012-08-01,13651100
2012-09-01,13579400
2012-10-01,13614300
2012-11-01,13640100
2012-12-01,13653800
2013-01-01,13568900
2013-02-01,13630900
2013-03-01,13596900
2013-04-01,13664400
2013-05-01,13897600
2013-06-01,14009400
2013-07-01,13877200
2013-08-01,13877400
2013-09-01,13800800
2013-10-01,13798100
2013-11-01,13824700
2013-12-01,13826000
2014-01-01,13689700
2014-02-01,13739500
2014-03-01,13750300
2014-04-01,13803100
