DATE,WILLSMLCAP
1978-07-01,1059.5500000000000000
1978-08-01,1139.5000000000000000
1978-09-01,1126.0200000000000000
1978-10-01,913.8700000000000000
1978-11-01,965.7900000000000000
1978-12-01,988.3500000000000000
1979-01-01,1067.2600000000000000
1979-02-01,1041.7900000000000000
1979-03-01,1145.3400000000000000
1979-04-01,1170.6600000000000000
1979-05-01,1156.0000000000000000
1979-06-01,1229.0500000000000000
1979-07-01,1266.0700000000000000
1979-08-01,1363.9500000000000000
1979-09-01,1357.7200000000000000
1979-10-01,1219.8900000000000000
1979-11-01,1320.9900000000000000
1979-12-01,1395.6900000000000000
1980-01-01,1498.9700000000000000
1980-02-01,1464.7300000000000000
1980-03-01,1205.4900000000000000
1980-04-01,1289.2600000000000000
1980-05-01,1394.9100000000000000
1980-06-01,1462.6900000000000000
1980-07-01,1611.8000000000000000
1980-08-01,1694.0800000000000000
1980-09-01,1747.1900000000000000
1980-10-01,1797.3000000000000000
1980-11-01,1920.8100000000000000
1980-12-01,1867.2600000000000000
1981-01-01,1844.0100000000000000
1981-02-01,1870.9500000000000000
1981-03-01,2013.5600000000000000
1981-04-01,2067.9400000000000000
1981-05-01,2128.6000000000000000
1981-06-01,2091.0900000000000000
1981-07-01,2043.5800000000000000
1981-08-01,1902.5700000000000000
1981-09-01,1761.2700000000000000
1981-10-01,1894.3300000000000000
1981-11-01,1957.3800000000000000
1981-12-01,1921.0900000000000000
1982-01-01,1851.6200000000000000
1982-02-01,1770.4300000000000000
1982-03-01,1754.4900000000000000
1982-04-01,1851.8000000000000000
1982-05-01,1801.0600000000000000
1982-06-01,1752.4300000000000000
1982-07-01,1733.9800000000000000
1982-08-01,1891.7200000000000000
1982-09-01,1965.5300000000000000
1982-10-01,2241.7700000000000000
1982-11-01,2432.9400000000000000
1982-12-01,2452.7200000000000000
1983-01-01,2606.6100000000000000
1983-02-01,2747.1000000000000000
1983-03-01,2861.4700000000000000
1983-04-01,3084.2000000000000000
1983-05-01,3252.2900000000000000
1983-06-01,3394.0900000000000000
1983-07-01,3309.6500000000000000
1983-08-01,3211.4800000000000000
1983-09-01,3287.2100000000000000
1983-10-01,3097.5700000000000000
1983-11-01,3242.9700000000000000
1983-12-01,3197.0800000000000000
1984-01-01,3136.9500000000000000
1984-02-01,2975.9300000000000000
1984-03-01,3007.6800000000000000
1984-04-01,2998.7800000000000000
1984-05-01,2842.4500000000000000
1984-06-01,2929.8600000000000000
1984-07-01,2814.3900000000000000
1984-08-01,3158.1700000000000000
1984-09-01,3144.1800000000000000
1984-10-01,3107.7400000000000000
1984-11-01,3064.9700000000000000
1984-12-01,3133.2300000000000000
1985-01-01,3492.3300000000000000
1985-02-01,3576.6700000000000000
1985-03-01,3524.5200000000000000
1985-04-01,3518.7100000000000000
1985-05-01,3666.1400000000000000
1985-06-01,3750.5700000000000000
1985-07-01,3843.1400000000000000
1985-08-01,3824.6100000000000000
1985-09-01,3621.5600000000000000
1985-10-01,3763.4900000000000000
1985-11-01,4028.9300000000000000
1985-12-01,4190.5700000000000000
1986-01-01,4262.5200000000000000
1986-02-01,4570.3600000000000000
1986-03-01,4807.8400000000000000
1986-04-01,4863.9500000000000000
1986-05-01,5080.2000000000000000
1986-06-01,5138.3200000000000000
1986-07-01,4702.6400000000000000
1986-08-01,4904.2900000000000000
1986-09-01,4592.3700000000000000
1986-10-01,4743.7400000000000000
1986-11-01,4739.2300000000000000
1986-12-01,4641.1800000000000000
1987-01-01,5194.0800000000000000
1987-02-01,5574.6500000000000000
1987-03-01,5694.3400000000000000
1987-04-01,5539.9100000000000000
1987-05-01,5537.3000000000000000
1987-06-01,5657.3500000000000000
1987-07-01,5859.7700000000000000
