DATE,RU2000VPR
2000-02-01,1752.5945
2000-03-01,1810.545652
2000-04-01,1776.2485
2000-05-01,1797.053182
2000-06-01,1838.380455
2000-07-01,1898.3005
2000-08-01,1940.617826
2000-09-01,1963.619048
2000-10-01,1883.936364
2000-11-01,1938.61619
2000-12-01,1992.597
2001-01-01,2106.924762
2001-02-01,2176.814737
2001-03-01,2115.019545
2001-04-01,2116.8905
2001-05-01,2253.653182
2001-06-01,2290.54381
2001-07-01,2271.022381
2001-08-01,2297.334348
2001-09-01,2082.853158
2001-10-01,2058.086522
2001-11-01,2158.501905
2001-12-01,2297.2935
2002-01-01,2346.709048
2002-02-01,2341.254737
2002-03-01,2506.6365
2002-04-01,2595.98
2002-05-01,2608.252273
2002-06-01,2462.9715
2002-07-01,2194.529545
2002-08-01,2105.613636
2002-09-01,2030.1345
2002-10-01,1905.029565
2002-11-01,2040.5975
2002-12-01,2065.766667
2003-01-01,2038.558571
2003-02-01,1912.585789
2003-03-01,1904.66
2003-04-01,2012.419524
2003-05-01,2184.624286
2003-06-01,2355.248095
2003-07-01,2420.703182
2003-08-01,2451.313333
2003-09-01,2590.49381
2003-10-01,2671.054783
2003-11-01,2759.096316
2003-12-01,2854.578636
2004-01-01,3019.19
2004-02-01,3031.582105
2004-03-01,3038.815217
2004-04-01,3066.560952
2004-05-01,2888.8035
2004-06-01,3013.779048
2004-07-01,2990.145714
2004-08-01,2926.269545
2004-09-01,3072.599524
2004-10-01,3121.794762
2004-11-01,3304.757143
2004-12-01,3451.715455
2005-01-01,3318.997
2005-02-01,3397.343684
2005-03-01,3395.351364
2005-04-01,3254.407143
2005-05-01,3270.411429
2005-06-01,3452.726364
2005-07-01,3625.726
2005-08-01,3581.028261
2005-09-01,3587.578571
2005-10-01,3436.08619
2005-11-01,3577.073333
2005-12-01,3648.860476
2006-01-01,3772.0725
2006-02-01,3857.461053
2006-03-01,3941.820435
2006-04-01,4040.080526
2006-05-01,3991.200909
2006-06-01,3800.065
2006-07-01,3838.5065
2006-08-01,3879.666957
2006-09-01,4010.482
2006-10-01,4157.543636
2006-11-01,4267.097619
2006-12-01,4352.516
2007-01-01,4340.621
2007-02-01,4476.651053
2007-03-01,4339.717273
2007-04-01,4488.7955
2007-05-01,4516.525909
2007-06-01,4534.880952
2007-07-01,4425.140952
2007-08-01,4103.453043
2007-09-01,4156.173684
2007-10-01,4243.967826
2007-11-01,3916.901905
2007-12-01,3896.879
2008-01-01,3577.69619
2008-02-01,3651.434
2008-03-01,3529.0365
2008-04-01,3682.705455
2008-05-01,3757.993333
2008-06-01,3682.545238
2008-07-01,3463.35
2008-08-01,3733.86381
2008-09-01,3726.58
2008-10-01,2856.911739
2008-11-01,2490.644211
2008-12-01,2491.645455
2009-01-01,2466.8575
2009-02-01,2196.58
2009-03-01,1986.260455
2009-04-01,2354.068095
2009-05-01,2497.324
2009-06-01,2558.683182
2009-07-01,2576.951818
2009-08-01,2902.636667
2009-09-01,3027.642857
