DATE,USD3MTD156N
1986-01-01,8.1590909090909091
1986-02-01,8.0156250000000000
1986-03-01,7.5690789473684211
1986-04-01,6.9362500000000000
1986-05-01,6.9953150000000000
1986-06-01,7.0639904761904762
1986-07-01,6.6644000000000000
1986-08-01,6.1968750000000000
1986-09-01,5.9971590909090909
1986-10-01,5.9993217391304348
1986-11-01,6.0859400000000000
1986-12-01,6.3824428571428571
1987-01-01,6.2165180952380952
1987-02-01,6.4453125000000000
1987-03-01,6.4943181818181818
1987-04-01,6.8695315000000000
1987-05-01,7.3651315789473684
1987-06-01,7.2386363636363636
1987-07-01,6.9925273913043478
1987-08-01,7.0406250000000000
1987-09-01,7.6321022727272727
1987-10-01,8.4176136363636364
1987-11-01,7.5327380952380952
1987-12-01,7.9761904761904762
1988-01-01,7.2281255000000000
1988-02-01,6.8415180952380952
1988-03-01,6.8573369565217391
1988-04-01,7.1990131578947368
1988-05-01,7.5156250000000000
1988-06-01,7.7357954545454545
1988-07-01,8.1979171428571429
1988-08-01,8.5887786363636364
1988-09-01,8.4240059090909091
1988-10-01,8.6287204761904762
1988-11-01,9.0227272727272727
1988-12-01,9.4156250000000000
1989-01-01,9.4017857142857143
1989-02-01,9.7375000000000000
1989-03-01,10.2976190476190476
1989-04-01,10.1710940000000000
1989-05-01,9.7686014285714286
1989-06-01,9.3970172727272727
1989-07-01,8.9732142857142857
1989-08-01,8.8238636363636364
1989-09-01,8.9732142857142857
1989-10-01,8.7954545454545455
1989-11-01,8.5454545454545455
1989-12-01,8.5098684210526316
1990-01-01,8.3494318181818182
1990-02-01,8.3656250000000000
1990-03-01,8.4914772727272727
1990-04-01,8.5699015789473684
1990-05-01,8.4754466666666667
1990-06-01,8.3519347619047619
1990-07-01,8.2208809090909091
1990-08-01,8.0909090909090909
1990-09-01,8.1875000000000000
1990-10-01,8.1691578260869565
1990-11-01,8.1647727272727273
1990-12-01,7.9218752631578947
1991-01-01,7.3373581818181818
1991-02-01,6.7125000000000000
1991-03-01,6.5687500000000000
1991-04-01,6.2232142857142857
1991-05-01,6.0595238095238095
1991-06-01,6.2062500000000000
1991-07-01,6.1385869565217391
1991-08-01,5.7708333333333333
1991-09-01,5.6190476190476190
1991-10-01,5.4701086956521739
1991-11-01,5.0714285714285714
1991-12-01,4.6062500000000000
1992-01-01,4.1814631818181818
1992-02-01,4.1750000000000000
1992-03-01,4.3860086363636364
1992-04-01,4.1703125000000000
1992-05-01,3.9601152631578947
1992-06-01,3.9943181818181818
1992-07-01,3.5169834782608696
1992-08-01,3.4500000000000000
1992-09-01,3.2837359090909091
1992-10-01,3.4371450000000000
1992-11-01,3.7961314285714286
1992-12-01,3.6369047619047619
1993-01-01,3.3468750000000000
1993-02-01,3.2386720000000000
1993-03-01,3.2401495652173913
1993-04-01,3.2265625000000000
1993-05-01,3.2434210526315789
1993-06-01,3.3377131818181818
1993-07-01,3.2940340909090909
1993-08-01,3.2619047619047619
1993-09-01,3.2102272727272727
1993-10-01,3.3869047619047619
1993-11-01,3.4886363636363636
1993-12-01,3.3735119047619048
1994-01-01,3.2718750000000000
1994-02-01,3.5531250000000000
1994-03-01,3.8773782608695652
1994-04-01,4.1315789473684211
1994-05-01,4.6500000000000000
1994-06-01,4.6370740909090909
1994-07-01,4.8582590476190476
1994-08-01,4.9183240909090909
1994-09-01,5.1278409090909091
1994-10-01,5.6223957142857143
1994-11-01,5.8810372727272727
1994-12-01,6.3843750000000000
1995-01-01,6.3374257142857143
1995-02-01,6.2617190000000000
1995-03-01,6.2686821739130435
1995-04-01,6.2361111111111111
1995-05-01,6.1250000000000000
1995-06-01,6.0058590909090909
1995-07-01,5.8978795238095238
1995-08-01,5.9021663636363636
1995-09-01,5.8642114285714286
1995-10-01,5.9375000000000000
1995-11-01,5.8774859090909091
1995-12-01,5.7652142105263158
1996-01-01,5.5427918181818182
1996-02-01,5.2751114285714286
1996-03-01,5.3941600000000000
1996-04-01,5.4939465000000000
1996-05-01,5.4966519047619048
1996-06-01,5.5697275000000000
1996-07-01,5.6402856521739130
1996-08-01,5.5273438095238095
1996-09-01,5.6177457142857143
1996-10-01,5.5448373913043478
1996-11-01,5.5000000000000000
1996-12-01,5.5517585000000000
1997-01-01,5.5653409090909091
1997-02-01,5.5101570000000000
1997-03-01,5.6245900000000000
1997-04-01,5.8300790909090909
1997-05-01,5.8191410000000000
1997-06-01,5.8418904761904762
1997-07-01,5.7450743478260870
1997-08-01,5.7253910000000000
1997-09-01,5.7238990909090909
1997-10-01,5.7664743478260870
1997-11-01,5.8406250000000000
1997-12-01,5.9067604761904762
1998-01-01,5.6495538095238095
1998-02-01,5.6335945000000000
1998-03-01,5.6880327272727273
1998-04-01,5.6892580000000000
1998-05-01,5.6922294736842105
1998-06-01,5.6894531818181818
1998-07-01,5.6888586956521739
1998-08-01,5.6843750000000000
1998-09-01,5.4996450000000000
1998-10-01,5.2731400000000000
1998-11-01,5.3232452380952381
1998-12-01,5.2275676190476190
1999-01-01,5.0041485000000000
1999-02-01,4.9959925000000000
1999-03-01,5.0051973913043478
1999-04-01,4.9982500000000000
1999-05-01,5.0241094736842105
1999-06-01,5.1788068181818182
1999-07-01,5.3095454545454545
1999-08-01,5.4499114285714286
1999-09-01,5.5655681818181818
1999-10-01,6.1822919047619048
1999-11-01,6.1025286363636364
1999-12-01,6.1265625000000000
2000-01-01,6.0391565000000000
2000-02-01,6.0997619047619048
2000-03-01,6.1970382608695652
2000-04-01,6.3119100000000000
2000-05-01,6.7556547619047619
2000-06-01,6.7901427272727273
