DATE,SFTPINDM114SFRBSF
1990-07-01,25.71227
1990-08-01,25.6968
1990-09-01,25.81275
1990-10-01,25.82293
1990-11-01,25.57557
1990-12-01,25.224
1991-01-01,24.95116
1991-02-01,24.85094
1991-03-01,24.86065
1991-04-01,24.9494
1991-05-01,25.09839
1991-06-01,25.23866
1991-07-01,25.37588
1991-08-01,25.56165
1991-09-01,25.77236
1991-10-01,25.94998
1991-11-01,26.10756
1991-12-01,26.35391
1992-01-01,26.75072
1992-02-01,27.2436
1992-03-01,27.8338
1992-04-01,28.47442
1992-05-01,29.07273
1992-06-01,29.56108
1992-07-01,29.88175
1992-08-01,30.06186
1992-09-01,30.27251
1992-10-01,30.55231
1992-11-01,30.81563
1992-12-01,30.98397
1993-01-01,31.09834
1993-02-01,31.22665
1993-03-01,31.37243
1993-04-01,31.56786
1993-05-01,31.86714
1993-06-01,32.22887
1993-07-01,32.5627
1993-08-01,32.92036
1993-09-01,33.37482
1993-10-01,33.91136
1993-11-01,34.44828
1993-12-01,34.9101
1994-01-01,35.34159
1994-02-01,35.89353
1994-03-01,36.70679
1994-04-01,37.63812
1994-05-01,38.39403
1994-06-01,38.93958
1994-07-01,39.46882
1994-08-01,40.1462
1994-09-01,41.05864
1994-10-01,42.20793
1994-11-01,43.39384
1994-12-01,44.34397
1995-01-01,45.07887
1995-02-01,45.95504
1995-03-01,47.21625
1995-04-01,48.62772
1995-05-01,49.7624
1995-06-01,50.39354
1995-07-01,50.89635
1995-08-01,51.89252
1995-09-01,53.25502
1995-10-01,54.40477
1995-11-01,55.05789
1995-12-01,55.42466
1996-01-01,55.84025
1996-02-01,56.52831
1996-03-01,57.24953
1996-04-01,57.79283
1996-05-01,58.24869
1996-06-01,58.74993
1996-07-01,59.38287
1996-08-01,60.1847
1996-09-01,61.13955
1996-10-01,62.10774
1996-11-01,62.84983
1996-12-01,63.45519
1997-01-01,64.39748
1997-02-01,65.99784
1997-03-01,67.78451
1997-04-01,69.27601
1997-05-01,70.60168
1997-06-01,72.07753
1997-07-01,73.67994
1997-08-01,74.99207
1997-09-01,75.53727
1997-10-01,75.45872
1997-11-01,75.42742
1997-12-01,75.86796
1998-01-01,76.62402
1998-02-01,77.28358
1998-03-01,77.56027
1998-04-01,77.58412
1998-05-01,77.55995
1998-06-01,77.75444
1998-07-01,78.22507
1998-08-01,79.06469
1998-09-01,80.27146
1998-10-01,81.57421
1998-11-01,82.82914
1998-12-01,84.1379
1999-01-01,85.6195
1999-02-01,87.24229
1999-03-01,88.93844
1999-04-01,90.80458
1999-05-01,92.77459
1999-06-01,94.63952
1999-07-01,95.81513
1999-08-01,95.83912
1999-09-01,95.33081
1999-10-01,95.18417
1999-11-01,95.85675
1999-12-01,97.47096
2000-01-01,100
2000-02-01,103.05522
2000-03-01,106.30105
2000-04-01,109.353
2000-05-01,111.81298
2000-06-01,113.57252
2000-07-01,114.94158
2000-08-01,116.07589
2000-09-01,117.09409
2000-10-01,117.63268
2000-11-01,117.60298
2000-12-01,116.64361
2001-01-01,114.054
2001-02-01,109.82364
2001-03-01,104.49191
2001-04-01,98.93058
2001-05-01,94.08307
2001-06-01,89.92946
2001-07-01,86.18399
2001-08-01,83.19539
2001-09-01,81.19136
2001-10-01,79.85093
2001-11-01,78.64621
2001-12-01,77.36015
2002-01-01,75.98844
2002-02-01,74.91322
2002-03-01,73.9864
2002-04-01,72.8849
2002-05-01,71.61431
2002-06-01,70.40484
2002-07-01,69.35289
2002-08-01,68.32866
2002-09-01,67.1918
2002-10-01,66.0307
2002-11-01,65.06251
2002-12-01,64.44201
2003-01-01,64.39578
2003-02-01,64.76772
2003-03-01,65.19344
2003-04-01,65.68446
2003-05-01,66.41268
2003-06-01,67.38223
2003-07-01,68.45052
2003-08-01,69.60167
2003-09-01,70.87556
2003-10-01,72.0259
2003-11-01,72.65666
2003-12-01,72.73192
2004-01-01,72.56973
2004-02-01,72.48128
2004-03-01,72.58463
2004-04-01,72.8181
2004-05-01,73.08555
2004-06-01,73.27602
2004-07-01,73.39071
2004-08-01,73.50775
2004-09-01,73.62095
2004-10-01,73.68438
2004-11-01,73.67381
2004-12-01,73.73911
2005-01-01,73.95113
2005-02-01,74.15292
2005-03-01,74.17193
2005-04-01,74.04172
2005-05-01,73.92544
2005-06-01,74.03548
2005-07-01,74.58326
2005-08-01,75.54747
2005-09-01,76.64941
2005-10-01,77.64316
2005-11-01,78.63683
2005-12-01,80.00329
