DATE,SPCS10RNSA
1987-01-01,62.823543595692996
1987-02-01,63.38647573904
1987-03-01,63.8736161242
1987-04-01,64.567675925944
1987-05-01,65.564861512913
1987-06-01,66.591064285435
1987-07-01,67.538294118328
1987-08-01,68.247968542323
1987-09-01,68.873774040316
1987-10-01,69.416522159613
1987-11-01,69.759775366824
1987-12-01,70.217349595471
1988-01-01,70.44538159175201
1988-02-01,70.76832495873
1988-03-01,71.120402634585
1988-04-01,71.6513574696
1988-05-01,72.477390386493
1988-06-01,73.630968361848
1988-07-01,74.80691687891401
1988-08-01,75.696098879963
1988-09-01,76.403879796412
1988-10-01,76.896048193011
1988-11-01,77.281006038068
1988-12-01,77.576524459608
1989-01-01,77.986162926657
1989-02-01,78.363088028069
1989-03-01,79.117022376224
1989-04-01,79.826101078509
1989-05-01,80.51626634784701
1989-06-01,81.236420086296
1989-07-01,81.655134582984
1989-08-01,82.077518394193
1989-09-01,82.24975308596301
1989-10-01,82.436136078256
1989-11-01,82.434755496704
1989-12-01,82.353471631087
1990-01-01,82.293837683143
1990-02-01,82.151851907452
1990-03-01,82.01748854079099
1990-04-01,82.04831958642299
1990-05-01,82.01434270854101
1990-06-01,82.186672284206
1990-07-01,82.102191227663
1990-08-01,81.862526462845
1990-09-01,81.39303913760101
1990-10-01,80.83772370682101
1990-11-01,80.093748252314
1990-12-01,79.379858169787
1991-01-01,78.531988751699
1991-02-01,77.772985471791
1991-03-01,77.004005537433
1991-04-01,76.85836185628101
1991-05-01,77.306008065675
1991-06-01,78.020193979615
1991-07-01,78.608031220062
1991-08-01,78.934646787665
1991-09-01,78.881419514256
1991-10-01,78.684408635077
1991-11-01,78.31075289758999
1991-12-01,77.991251400381
1992-01-01,77.739564145023
1992-02-01,77.505251549847
1992-03-01,77.30503036826299
1992-04-01,77.356333349655
1992-05-01,77.622438103279
1992-06-01,77.93765052172499
1992-07-01,77.951793503969
1992-08-01,77.9927845174
1992-09-01,77.756080499752
1992-10-01,77.453733229551
1992-11-01,77.094644462104
1992-12-01,76.681938363962
1993-01-01,76.55570092491101
1993-02-01,76.276953280842
1993-03-01,75.91195479897199
1993-04-01,75.829324223523
1993-05-01,76.036166911617
1993-06-01,76.508024916344
1993-07-01,76.609887331983
1993-08-01,76.585100825588
1993-09-01,76.465720366581
